name,path,macro_count
brotli.c,c/tools/brotli.c,2882
dictionary_hash.c,c/enc/dictionary_hash.c,1774
backward_references_hq.c,c/enc/backward_references_hq.c,2224
histogram.c,c/enc/histogram.c,1917
memory.c,c/enc/memory.c,2079
entropy_encode.c,c/enc/entropy_encode.c,1803
compound_dictionary.c,c/enc/compound_dictionary.c,1849
compress_fragment_two_pass.c,c/enc/compress_fragment_two_pass.c,1927
block_splitter.c,c/enc/block_splitter.c,1921
command.c,c/enc/command.c,1894
encode.c,c/enc/encode.c,2243
encoder_dict.c,c/enc/encoder_dict.c,2229
cluster.c,c/enc/cluster.c,1919
backward_references.c,c/enc/backward_references.c,2223
utf8_util.c,c/enc/utf8_util.c,1774
compress_fragment.c,c/enc/compress_fragment.c,1925
fast_log.c,c/enc/fast_log.c,1833
brotli_bit_stream.c,c/enc/brotli_bit_stream.c,1925
bit_cost.c,c/enc/bit_cost.c,1918
static_dict.c,c/enc/static_dict.c,1830
literal_cost.c,c/enc/literal_cost.c,1835
metablock.c,c/enc/metablock.c,1922
dictionary.c,c/common/dictionary.c,1776
constants.c,c/common/constants.c,1801
transform.c,c/common/transform.c,752
platform.c,c/common/platform.c,2065
shared_dictionary.c,c/common/shared_dictionary.c,2149
context.c,c/common/context.c,748
state.c,c/dec/state.c,2125
decode.c,c/dec/decode.c,3812
huffman.c,c/dec/huffman.c,1814
bit_reader.c,c/dec/bit_reader.c,1803
