name,path,macro_count
main.c,main.c,3465
fpu.c,emu/fpu.c,1217
float80.c,emu/float80.c,1202
memory.c,emu/memory.c,2932
vec.c,emu/vec.c,1222
float80-test.c,emu/float80-test.c,1275
tlb.c,emu/tlb.c,1244
fakefsify.c,tools/fakefsify.c,2380
fakefs.c,tools/fakefs.c,2584
timer.c,util/timer.c,1310
fifo.c,util/fifo.c,770
sync.c,util/sync.c,2769
linux.c,platform/linux.c,1366
jit.c,jit/jit.c,1823
helpers.c,jit/helpers.c,875
gen.c,jit/gen.c,1626
tty-real.c,fs/tty-real.c,3838
fake-db.c,fs/fake-db.c,1987
pipe.c,fs/pipe.c,3456
fake-migrate.c,fs/fake-migrate.c,2627
dyndev.c,fs/dyndev.c,2131
mem.c,fs/mem.c,2641
mount.c,fs/mount.c,3467
poll.c,fs/poll.c,2936
fake-rebuild.c,fs/fake-rebuild.c,2436
dir.c,fs/dir.c,3457
pty.c,fs/pty.c,2966
inode.c,fs/inode.c,2376
generic.c,fs/generic.c,2808
sock.c,fs/sock.c,3550
fd.c,fs/fd.c,3408
sockrestart.c,fs/sockrestart.c,3352
path.c,fs/path.c,3462
tty.c,fs/tty.c,3464
proc.c,fs/proc.c,3462
stat.c,fs/stat.c,3503
tmp.c,fs/tmp.c,2811
adhoc.c,fs/adhoc.c,2688
lock.c,fs/lock.c,3432
dev.c,fs/dev.c,2691
real.c,fs/real.c,4050
fake.c,fs/fake.c,2927
pid.c,fs/proc/pid.c,3515
root.c,fs/proc/root.c,3618
entry.c,fs/proc/entry.c,2553
ish.c,fs/proc/ish.c,1245
calls.c,kernel/calls.c,3402
group.c,kernel/group.c,3441
log.c,kernel/log.c,3538
resource.c,kernel/resource.c,3679
exec.c,kernel/exec.c,3568
ptrace.c,kernel/ptrace.c,3388
user.c,kernel/user.c,3388
fork.c,kernel/fork.c,3466
mmap.c,kernel/mmap.c,3390
init.c,kernel/init.c,3533
poll.c,kernel/poll.c,3395
errno.c,kernel/errno.c,2728
exit.c,kernel/exit.c,3453
vdso.c,kernel/vdso.c,962
random.c,kernel/random.c,4193
fs_info.c,kernel/fs_info.c,2371
fs.c,kernel/fs.c,3464
getset.c,kernel/getset.c,3388
task.c,kernel/task.c,3579
time.c,kernel/time.c,3610
uname.c,kernel/uname.c,3413
tls.c,kernel/tls.c,3386
signal.c,kernel/signal.c,3410
ipc.c,kernel/ipc.c,3386
eventfd.c,kernel/eventfd.c,3389
futex.c,kernel/futex.c,3393
misc.c,kernel/misc.c,3397
epoll.c,kernel/epoll.c,3394
