id,name,value
10f03e43-f141-4484-b3ee-d04aab7ccb32,__S_IFBLK,"0060000
"
a94ec291-dc25-487c-ac41-98bcfd047d60,SOL_LLC,"268
"
5502b08a-7530-4316-be88-c298768190a1,TCP_KEEPCNT,"6
"
69af6164-e9d2-4b5b-953c-dbd16feb0c35,_BITS_SCHED_H,"1
"
1c35ee6f-6147-41d8-8ae6-24bbd46d17f9,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
6d36e24c-bedf-4aa7-b436-b3267bf0fa75,__SSP_STRONG__,"3
"
d5b93414-63d7-47ed-a3a8-aaa3ab473a70,ACL_DB_ATOU(_str_),(_str_
788b9b88-f8f0-4d4b-9b0d-6682b567f003,__attr_access(x),__attribute__
cde12a96-51ec-49db-be03-ed5e59a753a3,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
db8170a2-4022-4f66-af29-51822b249e9a,__DBL_MIN_EXP__,"(-1021)
"
6770cc16-1671-4bed-a051-90ff8ee6425b,EMULTIHOP,"72
"
05c24dae-05aa-42f6-819b-b51ab0739a43,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
8509f29b-87e7-4c65-b4f0-01af8f21b547,AF_MAX,"PF_MAX
"
500c91bf-1897-40c2-a65b-5dc6dc00c676,_SC_PII,"_SC_PII
"
faf620cf-6eda-4db3-96c8-cb63cb38d7cc,TCP_CONGESTION,"13
"
5c1d6b37-db76-4a0f-a5b1-a4a24e7e736a,__CFLOAT32,_Complex
39f50270-9584-415a-a7cf-04412e456196,IFF_SLAVE,"IFF_SLAVE
"
3c284ef0-bf3e-4621-af9e-a2a3984c63a0,__UINT_LEAST16_MAX__,"0xffff
"
2c272071-6db8-4058-97fe-487c2b4b8d45,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
8de34601-aecc-4267-ae73-57e6d27afed5,IP_ROUTER_ALERT,"5
"
95f94c9d-71c0-4942-807b-6c3977f662b7,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
c78fad11-b25b-4f42-871e-391761b1d5f2,EVENT_FDTABLE_FLAG_ADD_READ,(1
14b37390-cb5c-4028-aa23-037ad0f97b40,LOCK_DESTROY(mutex_in),do
0172c379-9371-456b-b9f3-5b1a1d03bfa6,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
c416108e-f5f2-4fb3-a290-5e51c993a213,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
62aea81a-d52e-4530-a84e-08b9bbab1b04,IPV6_RECVPATHMTU,"60
"
a0f8d1d7-e06a-4b19-b4a1-b9392ff44847,__FLT128_MAX_10_EXP__,"4932
"
d064ece3-1739-4063-ac09-1da5b4488acd,RE_DUP_MAX,"(0x7fff)
"
804b65e4-2e5f-49e2-b678-7e82c3ae8de1,SVE_SIG_REGS_OFFSET,((sizeof(struct
539508f7-f5dc-413f-ad0a-fdf000212288,ACL_MASTER_FLOW_READ,"3
"
88043a63-7e0d-4acd-8fdc-c34ad6c69d0e,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
bad1d6dd-4ac9-4cb2-8beb-e109a2f87ef7,sa_sigaction,"__sigaction_handler.sa_sigaction
"
509b78b1-00b3-4315-9c3a-68441588c818,ACL_JSON_T_OBJ,(1
5212f004-7e8e-44cf-a114-516fa6ec2024,ifr_name,"ifr_ifrn.ifrn_name
"
2a202d5f-0a90-4abc-b92c-90f206b75935,__NFDBITS,(8
cc96896b-6eac-49d3-be18-c6fb735b002d,AUT_FLAG_LOOP_END,"4
"
6465b53f-fd63-45df-9431-5ef555123f2a,acl_spool_accept,"acl_ioctl_accept
"
