id,name,value
9bc550fa-51e6-4e6f-acc1-8590a9de4c9b,__S_IFBLK,"0060000
"
33539dae-b65b-4cd7-a0d6-35a9a5aae5b6,SOL_LLC,"268
"
ee16e889-6745-4534-8c5e-7d9b1f4354dc,TCP_KEEPCNT,"6
"
7262f967-b556-40e4-9fcd-4129543b0c7e,_BITS_SCHED_H,"1
"
668e980b-1bb5-475a-9ccb-fd9c6aa8d86e,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
2bb35f94-9434-4ef5-b926-be4d42ee7632,__SSP_STRONG__,"3
"
b7052917-1287-464b-a28e-bf4a43459b06,ACL_DB_ATOU(_str_),(_str_
0b4b9a76-dea3-44f5-96df-4486aca35f6c,__attr_access(x),__attribute__
4826a6cd-6420-47bf-954c-d6fe72e31dd9,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
41396c0d-617e-4e01-99d8-d9fcbb14a4a9,__DBL_MIN_EXP__,"(-1021)
"
6076423e-3846-45fc-801f-5d126362cae0,EMULTIHOP,"72
"
d24dd5e0-ac4f-40ef-bdd3-765017c0afe3,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
c8280855-fcab-402a-a220-ce01684edec0,AF_MAX,"PF_MAX
"
61e0f1f9-b050-41a8-9361-ca9390fc9605,_SC_PII,"_SC_PII
"
f3c76ab9-7c3b-464b-b343-b1937850129f,TCP_CONGESTION,"13
"
20174eee-bb2b-498c-8ad6-e78836122e34,__CFLOAT32,_Complex
4084738b-c39b-4aa5-8f19-0d2d956be586,IFF_SLAVE,"IFF_SLAVE
"
8c6a4793-ffe4-48cc-8a04-677304a9e646,__UINT_LEAST16_MAX__,"0xffff
"
b4372fe8-2153-4130-9f5e-2e70b734d119,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
92099ea6-578c-4bbf-bc01-ee4941e6d044,IP_ROUTER_ALERT,"5
"
11e5865e-3f56-41a5-a018-6d3462f4c587,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
c1ec28d2-bb5a-47d9-a805-82c94828492c,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
f5724d14-396f-4b7a-8f5f-e427ae0c947b,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
3ccd7e38-a634-4521-a92d-4fa0f3edc87d,IPV6_RECVPATHMTU,"60
"
b4cedd09-a792-4c4d-944e-e25f2711bfd1,__FLT128_MAX_10_EXP__,"4932
"
eaf38626-a546-4a44-957d-93150a6180fe,RE_DUP_MAX,"(0x7fff)
"
0b8b0016-9266-4e52-8f0a-ac5b9b591398,SVE_SIG_REGS_OFFSET,((sizeof(struct
7186a79b-2ce4-4e50-b9a5-9735be75474a,ACL_MASTER_FLOW_READ,"3
"
d7828e00-2d67-41a8-a0d6-27f39a4af262,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
14368db0-da03-496b-ba45-3460b973e27f,sa_sigaction,"__sigaction_handler.sa_sigaction
"
af92431f-8177-455c-9ebe-f3e263c832b5,ACL_JSON_T_OBJ,(1
af0b262d-816e-4972-9f50-c7acdc989b5c,ifr_name,"ifr_ifrn.ifrn_name
"
99370b3a-748b-4772-aca6-ce311bb4e1ad,__NFDBITS,(8
8ce73516-dbcb-40e6-acd5-9cd0690005cd,AUT_FLAG_LOOP_END,"4
"
4ec86793-4403-48bc-9230-371931f66684,acl_spool_accept,"acl_ioctl_accept
"
86eeae17-a720-484d-89a2-94cce015c254,si_fd,"_sifields._sigpoll.si_fd
"
f3a89805-b04a-4442-929d-a132bd14f89a,_T_WCHAR_,"
"
4886f53e-efa6-4aa5-b945-a7f66d72b3dd,_SC_IPV6,"_SC_IPV6
"
c59dc7dd-ff25-4b10-9b84-a861a8bbe1b9,_IONBF,"2
"
dd17d985-36e0-4d1a-970e-0c71797eb8b4,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
5fa56161-d0e1-475c-a5da-a5f7a45b4181,NI_MAXSERV,"32
"
0d16ff58-9dd1-4cbb-8cbc-83b613103d6d,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
7459a4b0-ab0d-41dc-bbf4-698ad45990be,__CFLOAT64,_Complex
ebd41aec-9d50-4ebc-8a42-4ce9d0006f98,TCP_CORK,"3
"
a8c9d0e7-41c7-4548-b75d-068dcfc75498,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
dfbc8c1c-f3ad-4b9c-869e-5994fc56cce2,IP_DF,"0x4000
"
05f3ae62-693e-4ad2-89e8-c9b03588c138,acl_pthread_getspecific,"pthread_getspecific
"
3b038008-d218-444e-9ae5-fe0d0d51f909,si_arch,"_sifields._sigsys._arch
"
084bc7c8-6681-4d9d-9fda-7eab36d30b0f,ACL_EHOSTDOWN,"EHOSTDOWN
"
0396c078-3431-4d3e-9a3f-3b66037e9c02,ACL_FHANDLE_O_MKDIR,(1
0c2487f5-0464-44f5-8165-6b7852e78c7e,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
8c3581a1-7558-4766-b64e-9674c10756f1,__S64_TYPE,long
cc261c0c-4a80-4bc6-8a51-f011317c3bfc,IP_TOS,"1
"
49cd9ff6-bcf6-4936-ae44-ae82cd906525,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
9d4a7117-186d-4aca-97de-acea424f7d3f,__SQUAD_TYPE,long
d422f553-6ced-4aed-b3e2-37587095e49a,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
52b8b31c-2fae-45d2-9997-c7e55c9bd22a,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
381989f4-3678-4bbe-868c-c7432be81c40,_BITS_SIGINFO_CONSTS_H,"1
"
fbb06772-e8a9-438a-ab12-fc5acbffa80f,SIGBUS,"7
"
736d1582-659f-4179-8da9-c7022be2f33c,_BSD_SIZE_T_DEFINED_,"
"
6c6ae74a-326e-47c2-9fb1-27abe5b44872,ACL_DNS_OK_CACHE,"1
"
203c0f4a-4ac7-45fb-bab5-6b8812f1902e,SIG_SETMASK,"2
"
bf75f4f1-d71f-42fe-8c23-6189686e697a,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
33f870c6-33c9-43c9-9897-b2a43d1cc9aa,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
ae6aca60-1ca1-4c95-b353-09935e1405fe,acl_myfree_fn,"acl_free_fn_glue
"
7557ff1c-e467-44dd-8424-d0f24263dc6a,__CHAR_BIT__,"8
"
16230750-22a1-404e-9bb0-187090f980e4,SO_DOMAIN,"39
"
5a413282-f08a-46d0-9c8b-073552b76c47,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
95d362c8-8034-4de5-97ec-6a4d6d613b63,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
cbd45521-0b20-478c-939e-ec635b6aff52,EREMCHG,"78
"
45886cbb-fb59-44fe-a81c-3393e642a441,SIGTTIN,"21
"
a8006407-f2bd-4d17-a72f-a21f9f65a91b,EACCES,"13
"
9ffde520-c217-4d3d-a942-abdfb91914a5,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
ac87c566-1518-453b-a89f-674f8dfedb0c,IFF_ALLMULTI,"IFF_ALLMULTI
"
e3c9d47e-b4ae-40fb-a7ec-81b1be8f39ca,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
2bb29e5d-745e-4b39-aca7-fa56798a0371,"__isupper_l(c,l)","__isctype_l((c),"
6153a28b-8dee-40f1-a136-c36dc6bf0e69,EDESTADDRREQ,"89
"
d8ec3095-4539-401c-bcfa-a5573e699dca,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
9658f799-e367-435d-b0fb-7ed125816bd7,ACL_RFC1035_TYPE_MINFO,"14
"
9af0a629-7c36-4276-9c70-6140ebafa598,__DADDR_T_TYPE,"__S32_TYPE
"
44645b69-4cc9-4f0c-9b22-eba656e2cd6f,ACL_THREADS_PARAMS_INCLUDE_H,"
"
5d3079ae-093d-4b0c-bb95-73ffc49e20b1,si_pid,"_sifields._kill.si_pid
"
7b6590fe-861e-4423-949a-15fb4e668bf3,PIPE_BUF,"4096
"
8e8c181c-15c3-442f-80b1-ebe77685d518,IP_TTL,"2
"
1594cd6b-2ef3-49bb-adb7-4ac09597d4b6,ACL_VSTREAM_FLAG_WRITE,(1
