id,name,value
ae2c127f-2a2b-4072-b4ab-b2e4f028bfcb,__S_IFBLK,"0060000
"
d5d6ca0d-41b1-4569-9675-0750408800f5,SOL_LLC,"268
"
6cca1483-3810-4cb4-a081-c46a7bfd4545,TCP_KEEPCNT,"6
"
7fe16e7b-22e4-4b47-a5e9-48a831a4e46d,_BITS_SCHED_H,"1
"
18a2dede-9edd-405f-826a-2925406dfb03,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
5049f6c3-25bb-46f5-b612-0a76ad562470,__SSP_STRONG__,"3
"
1f921bd2-23d4-4f51-82ca-18f33d7c0646,ACL_DB_ATOU(_str_),(_str_
d96747b6-dc0f-4b5b-9fdf-f6dbb5ebdc7b,__attr_access(x),__attribute__
817553bc-6c3b-44a6-bc9b-b3eba98f275f,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
14dd48a5-5774-447d-8c84-a1e222a46564,__DBL_MIN_EXP__,"(-1021)
"
0e7dfacf-ee04-4dc9-8c3c-ca42381233e4,EMULTIHOP,"72
"
d37de675-fa1e-4335-86dc-81929727627e,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
6338e10c-1145-48f8-8aa1-a5520b42ff2c,AF_MAX,"PF_MAX
"
922983d0-aeea-4d81-8347-7a26fe3ada67,_SC_PII,"_SC_PII
"
91f96e24-9301-44fc-9d8f-25ceafa7d547,TCP_CONGESTION,"13
"
c9ef7247-c01e-43ab-9ea9-e555b0b4e0cf,ZDB_DBG_ADDD,(ZDB_DBG_BASE
c17e8aed-2d92-4d02-bd27-8b2c81b38471,__CFLOAT32,_Complex
afede6a5-1ae1-4305-81ca-133262252359,IFF_SLAVE,"IFF_SLAVE
"
1696a798-7cb9-4d82-9748-6f3ff2514302,__UINT_LEAST16_MAX__,"0xffff
"
89854bb0-8470-43b7-bbd5-9155552884b4,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
26ba89b5-a24a-4290-b096-9b4c1927c459,IP_ROUTER_ALERT,"5
"
0242ee86-85c0-4021-a023-45b2347da346,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
e96b0608-24f8-48ea-b094-cb3604613be5,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
9a9b72ec-346e-4e41-9edb-2a008cd5d1fd,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
09ad8fc0-0a9c-4468-b129-8083c25cde48,IPV6_RECVPATHMTU,"60
"
93256a66-ef36-4b67-a517-5af628bb8206,__FLT128_MAX_10_EXP__,"4932
"
aca87e36-c007-4119-8d2a-17ababdb5966,RE_DUP_MAX,"(0x7fff)
"
74898572-026a-48c5-a995-36188a9e6fb6,SVE_SIG_REGS_OFFSET,((sizeof(struct
1a198c0b-0b1d-4f87-bae0-38c013ea6250,ACL_MASTER_FLOW_READ,"3
"
d00231a8-f8f1-4d9c-afd7-f5fa78566bab,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
bdf658fd-140f-4688-83a9-bdb1b8f8e18e,sa_sigaction,"__sigaction_handler.sa_sigaction
"
7b34fb38-317a-40a7-8c93-0595b97b1f60,STORE_FLAG_IO_SLICE,(1
c6f05c86-f21a-44d8-bf78-6119c78373f5,ACL_JSON_T_OBJ,(1
da178098-a74a-4393-ab6b-c25824bbbb5a,ifr_name,"ifr_ifrn.ifrn_name
"
24e7c245-c448-4d05-a6a5-89f6211bc248,__NFDBITS,(8
dc84e03f-a284-410b-a8e9-4a4250152008,AUT_FLAG_LOOP_END,"4
"
560ad5f3-d36b-466e-994d-c9bf514abcf7,acl_spool_accept,"acl_ioctl_accept
"
4507d0d3-a2cd-45ca-967a-6403092dc51c,si_fd,"_sifields._sigpoll.si_fd
"
3b2eb0b0-ce57-4543-8883-47ea122d5c20,_T_WCHAR_,"
"
558f8c84-8e99-4f5a-9c71-51a53d9881c1,_SC_IPV6,"_SC_IPV6
"
5142220d-e02e-4513-8a66-4e1959b60a82,_IONBF,"2
"
dcde338c-c406-4b40-b810-68746f4bc6bb,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
b040ef7b-61e1-41a7-9f5f-8a690045e518,NI_MAXSERV,"32
"
bd14bb78-c828-43f3-a54c-564666001b16,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
e398147b-46e3-468b-893b-ee71cb63dc78,__CFLOAT64,_Complex
552414a0-b4f8-433e-98f4-0315ce39d952,TCP_CORK,"3
"
896c6c7a-1f46-4405-8cea-237dca54234b,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
1eda8009-99b0-406a-b985-b8dc1a38e80f,IP_DF,"0x4000
"
d5533d23-43d8-4ae6-849a-8e72c6350711,acl_pthread_getspecific,"pthread_getspecific
"
5a0cf746-fd05-4f45-9ae0-593d56aae491,si_arch,"_sifields._sigsys._arch
"
991ec7f5-eba7-4d42-8532-6aa8b00d2141,ACL_EHOSTDOWN,"EHOSTDOWN
"
768bca62-82e0-445c-9b22-6161ce579192,ACL_FHANDLE_O_MKDIR,(1
9177f606-a230-4b58-a7d1-f7c2ab08f093,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
209afa21-7da6-4447-9d56-c4c79442dfd0,__S64_TYPE,long
b8b3f099-06fd-421d-a828-8086e74bbe82,IP_TOS,"1
"
e6357292-18c6-4543-9d84-7ebcd9e96ab4,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
1810fe43-d466-4512-8508-e08c4fa4f0ba,__SQUAD_TYPE,long
a4385394-42e6-46eb-bfc0-e3d4ea248034,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
9ceaf366-0543-4ac2-9838-26ea06ec0969,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
1f906b83-a60b-4eb9-bb08-12ee3992004b,_BITS_SIGINFO_CONSTS_H,"1
"
6632ad6f-9fe8-4ef8-8417-a4d52a22a59a,SIGBUS,"7
"
e4f1f417-5ae0-41d4-a859-9aa755fb7613,_BSD_SIZE_T_DEFINED_,"
"
98027e1c-59fd-4ed2-9862-b9fe6bc673c8,ACL_DNS_OK_CACHE,"1
"
6471135f-bf1b-4001-a3d4-67b9961d940f,SIG_SETMASK,"2
"
c5cad817-e814-49fd-8887-83be0b06baba,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
0c4fe170-c0c7-43e4-974d-b54dd0bb82c3,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
1e3d93d1-8149-4999-bcf8-406d0a8908a0,acl_myfree_fn,"acl_free_fn_glue
"
d8dbf48e-f6de-4df3-b068-c73f05297524,__CHAR_BIT__,"8
"
9dde32c2-788c-4f71-9e86-b23f725e596b,SO_DOMAIN,"39
"
2f709410-cb71-498c-bac3-01b7e8d7f254,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
f03b5c77-1a76-4dc7-9fac-a68196d5e385,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
f342cdbe-1a63-4f10-8163-1eea260b4088,EREMCHG,"78
"
05bc298e-b7a9-48ee-838a-d50e76e4af76,SIGTTIN,"21
"
d36f9d47-32f0-4bc3-aa08-d5a56901b238,EACCES,"13
"
8380279b-ec43-4f78-a9c8-0f07f845ec0b,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
e7c443c7-2039-44c0-b54f-9e9c7fb74d15,IFF_ALLMULTI,"IFF_ALLMULTI
"
94ea0a71-83db-41ac-8552-af214b72b51d,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
9234b91d-8d3d-4dcf-bfc6-403c2a356765,"__isupper_l(c,l)","__isctype_l((c),"
6f3ffc94-8e41-4887-8ad3-bcf4f0bb5003,EDESTADDRREQ,"89
"
e235427f-3a97-4805-895d-51ec7c1f26f2,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
94b4bc12-164d-489e-ad04-ac9eee5c008b,ACL_RFC1035_TYPE_MINFO,"14
"
c3eb4f91-6d52-4d96-8114-c00d1bb2aced,__DADDR_T_TYPE,"__S32_TYPE
"
ce82f127-14f4-42cd-84bd-9c05942da8c2,ACL_THREADS_PARAMS_INCLUDE_H,"
"
2b5dece2-dbc1-49c9-a526-d822e85936db,si_pid,"_sifields._kill.si_pid
"
d169bae4-88d5-427b-bf7a-51fbe2a02f78,PIPE_BUF,"4096
"
1a98280f-5d78-4ae8-aa6d-8eeed0e1d7af,IP_TTL,"2
"
e63ed44a-901e-4828-ab75-7625e80e86c2,ACL_VSTREAM_FLAG_WRITE,(1
019146a7-883b-4d1e-8efd-b5a03f4068dd,ACL_DEFINE_SUNX86_INCLUDE_H,"
"
d945ed7b-b342-42d2-85ba-705c4411c35e,IPV6_JOIN_ANYCAST,"27
"
0d2690a8-a74e-4b59-81c7-36347274784a,stderr,"stderr
"
