id,name,value
853049b6-dd94-4770-8028-0503fef95b14,__S_IFBLK,"0060000
"
a666b84a-853a-40e8-9f94-a2aa457ca4e9,SOL_LLC,"268
"
25d6b36a-c6e1-4efb-b701-89ccef007ff8,TCP_KEEPCNT,"6
"
26fc92ce-3b7f-4a21-8e25-a9acfd9fc6e8,_BITS_SCHED_H,"1
"
2181e4d4-b0d0-4e1f-a9a5-4ba1f14452ba,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
234f551a-b257-4432-b211-3625e680de4d,__SSP_STRONG__,"3
"
3572fb07-8ca0-4495-82ae-acef7ddb1ce9,ACL_DB_ATOU(_str_),(_str_
c4b4dbeb-8439-4ee4-9a65-0ea3dd80b7b6,__attr_access(x),__attribute__
bb6b0286-bf92-442d-b0b3-2ff2a0cd3e1e,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
9f4baf88-34e0-4bf6-b6d1-7fe2a6130ddc,__DBL_MIN_EXP__,"(-1021)
"
e606f4a3-6bb7-4b38-bf62-047cd8cb8802,EMULTIHOP,"72
"
99ed04fc-9727-43bc-8bbe-190b457fec93,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
1472f64c-019f-4e88-9618-0941dbcc802d,AF_MAX,"PF_MAX
"
b909a539-68be-4ffb-8708-5b0769ab70a2,_SC_PII,"_SC_PII
"
fd2cd80c-e7ca-48e4-a769-613f71b3396e,TCP_CONGESTION,"13
"
631ec629-06f7-4a31-8b3f-154d6aa4de53,ZDB_DBG_ADDD,(ZDB_DBG_BASE
46576b20-3b43-4f33-88df-bb1d1fb225f4,__CFLOAT32,_Complex
5963e3d6-5ee1-4893-aa0a-baa8f71f76c2,IFF_SLAVE,"IFF_SLAVE
"
f1a3b74c-7876-46ce-b12e-4aacc8875293,__UINT_LEAST16_MAX__,"0xffff
"
03c007dd-3430-4a4f-81f3-453ca55b436f,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
dc582faa-3e56-4066-817c-fa8c5557f6c7,IP_ROUTER_ALERT,"5
"
8333223a-57eb-486e-a81a-c018bd5246f0,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
6916e4d6-7e8a-4918-b6b0-ad36d3e3ab99,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
555f773c-21f0-402a-9786-42452d476a00,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
523cd705-2def-485c-a05e-02f24a229349,IPV6_RECVPATHMTU,"60
"
