id,name,value
b7cd012b-3ede-4d71-b29a-7a37d00c8b48,__S_IFBLK,"0060000
"
c2930783-0efd-46fb-8760-74e784d82efc,SOL_LLC,"268
"
2b35507c-b645-4da7-ae69-8aa5137ad70f,TCP_KEEPCNT,"6
"
2ea32b62-6724-4ddc-876f-07e5c185dd7a,_BITS_SCHED_H,"1
"
859b6534-39e8-4e2e-9c75-f78a7f70f82c,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
2caa5b79-1387-42be-a9df-d347978e11ce,__SSP_STRONG__,"3
"
3b21b105-376e-4e6b-9551-0ac573f03a33,ACL_DB_ATOU(_str_),(_str_
69e46024-299d-4405-a55e-f1d037772896,__attr_access(x),__attribute__
db5f5b27-a285-4956-a0b7-65802604690e,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
38def535-dbd7-479f-a11b-143c4d0c903d,__DBL_MIN_EXP__,"(-1021)
"
af56cc2e-72e9-4528-bdb3-bb54c33610d7,EMULTIHOP,"72
"
3fc0bf6f-6ec4-49a6-8d7e-95667cb11b30,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
dc427aed-d8a0-4971-80a7-e098682a1fb1,AF_MAX,"PF_MAX
"
528ba995-a906-4f15-9394-3102efb5a56e,_SC_PII,"_SC_PII
"
37bc689d-6b6d-4fff-badc-facf90371f27,TCP_CONGESTION,"13
"
b523a297-d95b-4779-9ffb-224c94c93d84,__CFLOAT32,_Complex
3dde88c7-d99b-4fca-b23f-653393c6d2d2,IFF_SLAVE,"IFF_SLAVE
"
bea6dd01-7366-4ca2-afa8-9bee2d8fe79a,__UINT_LEAST16_MAX__,"0xffff
"
148f268d-e76e-400a-98b8-e7d368b1d511,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
e1759d89-26c7-4167-988d-9dcbccbd349f,IP_ROUTER_ALERT,"5
"
9a710a2b-d795-4a2b-8ad3-96448d011ed8,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
6b15ea10-485a-419a-a858-a149cbc91f2b,EVENT_FDTABLE_FLAG_ADD_READ,(1
fa923bde-2126-4e9f-84b7-4d1f77b6b564,LOCK_DESTROY(mutex_in),do
bdd793a4-acd3-4f44-9692-23d980389dd1,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
4ec844e7-d867-40eb-821f-0edf2bb6526e,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
3db4d913-964d-41f0-93ee-4f2e6660830b,IPV6_RECVPATHMTU,"60
"
5935624c-7e28-4250-99f4-a2c62256fed2,__FLT128_MAX_10_EXP__,"4932
"
9ea97486-f009-4e00-82cf-77489f4ce543,RE_DUP_MAX,"(0x7fff)
"
17fa61c6-0fc9-4aad-8df5-d6a34498a612,SVE_SIG_REGS_OFFSET,((sizeof(struct
30026ad9-297b-481c-a8c3-f2ac61c75c13,ACL_MASTER_FLOW_READ,"3
"
a9aa8770-bd86-44b7-8142-e31b2afc44de,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
6838840d-eb4e-4819-bcea-1c1cdeddbba8,sa_sigaction,"__sigaction_handler.sa_sigaction
"
f7de3b28-c992-45ec-bdd8-4cacb0a22f54,ACL_JSON_T_OBJ,(1
c9f1c820-1a62-4d5e-a7a3-d1423ad8371e,ifr_name,"ifr_ifrn.ifrn_name
"
deb7deb1-4771-43c3-8fdf-21055ba769fb,__NFDBITS,(8
0ee82d05-74b9-42ea-bbac-ca52b1aa4ad6,AUT_FLAG_LOOP_END,"4
"
dc1300da-f0d3-48e0-89fc-228baa91e8e9,acl_spool_accept,"acl_ioctl_accept
"
535da69c-94e2-4788-94cd-9db9bbbddff0,si_fd,"_sifields._sigpoll.si_fd
"
f4780b08-5aef-468b-9c13-8b52d6a9c1d4,_T_WCHAR_,"
"
ed0e0181-20e4-4ca7-9301-18dba4c95877,_SC_IPV6,"_SC_IPV6
"
3e796b91-3795-4533-8fb0-98e646caa52c,_IONBF,"2
"
62c6b530-8575-4263-8b5e-8f9a232146be,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
92ab7f29-1ef5-4cfb-b8f5-f920eeab4634,NI_MAXSERV,"32
"
14a44431-4fb5-4302-9473-04e50a7396ea,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
ede5fd89-f59d-4fea-9c60-aa935f6e4019,__CFLOAT64,_Complex
d7d084ba-a761-4268-b944-015580a172fa,TCP_CORK,"3
"
eb9a2a89-915f-4fb7-9aca-f9b2fd7be1fa,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
5f7377f8-0e0f-41bd-bf83-23a30dd69c55,IP_DF,"0x4000
"
e8884d1e-7f01-430c-98ec-0b95427be877,acl_pthread_getspecific,"pthread_getspecific
"
16b579b4-a618-4ee2-afe5-525362535643,si_arch,"_sifields._sigsys._arch
"
68f4aac5-d5b5-4e9b-b04d-223efe30ed3a,ACL_EHOSTDOWN,"EHOSTDOWN
"
45e646e6-a8a8-4de8-809c-a0537269d487,ACL_FHANDLE_O_MKDIR,(1
8d4f3ea9-67f2-46e6-8373-ac46e2c2e9bf,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
d3326be5-bd80-470b-a0a1-78917d240bd7,__S64_TYPE,long
6c16a661-80af-4f65-92c2-50c0bf89f0b9,IP_TOS,"1
"
aeaae5e2-008d-4f81-b1de-c96139e024d8,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
12c71180-8e4c-4ac0-86df-e26ad84c4113,__SQUAD_TYPE,long
a08721ce-b51f-42f7-915e-228e688a39b1,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
ebb16b6c-f9f4-4461-8375-0b493737da51,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
c154bdc5-7378-4f16-ba2c-466647432f9b,_BITS_SIGINFO_CONSTS_H,"1
"
4059672c-c85a-4aac-bfbe-7261315eded6,SIGBUS,"7
"
ca84ebda-69c8-411f-9f8b-774d68732237,_BSD_SIZE_T_DEFINED_,"
"
829c8f1c-e62f-41c3-927f-5ff73ff2e3a2,ACL_DNS_OK_CACHE,"1
"
f3e5d6d4-2a78-4d1f-b84b-52b39d206b86,SIG_SETMASK,"2
"
ec03b715-a07a-4206-8a7b-c57c153538c3,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
dae8e771-cc9d-4aa5-bb51-941144a6a79b,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
44a2a3b9-7519-413b-a619-2de7e392b4e4,acl_myfree_fn,"acl_free_fn_glue
"
fc474cc9-3c78-4d7d-b70b-d9cde6c0bbb4,__CHAR_BIT__,"8
"
c221748f-9b2c-435c-ac82-cf8e4758e6ec,SO_DOMAIN,"39
"
7dd4cfdf-c045-480f-9eeb-859549d19c71,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
438711b2-4f57-4a6f-a41c-98d8d8c7fa41,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
dbff1a67-834f-4318-8e56-23cad71aaf91,EREMCHG,"78
"
a61a2eea-d314-41d8-b5df-a88cfef8a2b0,SIGTTIN,"21
"
2d8e5d4e-f5a7-40e9-9669-ab7ab12734dd,EACCES,"13
"
29d54d6a-c725-44ab-8274-538695df5288,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
aa09c92f-5d63-4304-8439-dac3c9f8fbe2,IFF_ALLMULTI,"IFF_ALLMULTI
"
a0906037-eedb-4226-9ba9-b9d47415e673,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
39bf57b1-ae92-4337-a775-48b6c884a672,"__isupper_l(c,l)","__isctype_l((c),"
26318fab-7e11-437a-9819-3a84e77c3fac,EDESTADDRREQ,"89
"
1ca17186-42f3-4f57-8d02-70e4e068af51,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
ba4841f6-0472-434b-b629-b2fc71fe377e,ACL_RFC1035_TYPE_MINFO,"14
"
f9ef8831-3009-4082-afe1-48e2c014db25,__DADDR_T_TYPE,"__S32_TYPE
"
75822e82-9797-4538-9038-f7cfc11b79a4,ACL_THREADS_PARAMS_INCLUDE_H,"
"
933d6a9d-6cae-4104-bc3a-2fc831b4aa7d,si_pid,"_sifields._kill.si_pid
"
12df6d30-1336-4a14-8ff5-2541504fb04d,PIPE_BUF,"4096
"
6dc6c139-28fb-4063-a979-f3cdcae85b43,IP_TTL,"2
"
2948fc62-cb61-4f22-b0f5-4e48c9471076,ACL_VSTREAM_FLAG_WRITE,(1
a36f1d15-563b-470c-aeb9-110408bcd6ae,ACL_DEFINE_SUNX86_INCLUDE_H,"
"
ddc6b112-6925-4afb-b130-51a168bf69f4,IPV6_JOIN_ANYCAST,"27
"
bac74b2c-328c-42a4-8ae2-0f5d945be8d9,stderr,"stderr
"
45e9c442-0cf9-47bc-987f-278f8dac1c6f,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
7d79cc6f-10ab-4f6b-87a1-d74580fbe56b,_CS_POSIX_V7_LP64_OFF64_LINTFLAGS,"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS
"
dc4e7eb3-f09b-42c4-a692-6f490c589b51,SOCK_RDM,"SOCK_RDM
"
7f353dd0-d8b1-4721-94cf-b24ec34fa9d0,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
b33ac74f-be9d-4005-a3f8-dc47bea7391b,_SC_V7_ILP32_OFF32,"_SC_V7_ILP32_OFF32
"
6581c682-c10a-4f6c-ba7e-f2fa2413063a,__INT32_C(c),"c
"
5e65cc55-602a-462f-92c7-1365ac973d9b,ACL_APP_CTL_EXIT_FN,"ACL_MASTER_SERVER_EXIT
"
67664879-7820-4a32-b1f4-02383d9e3bbe,PF_DECnet,"12
"
4dfc3001-36e5-47e9-bb64-7fa76e0cad8c,IPV6_CHECKSUM,"7
"
3ec45294-5b21-4b7f-9981-d6e2daf511fb,EMLINK,"31
"
67dfbb94-6a38-4ceb-ba64-90fbfaaece75,__ORDER_LITTLE_ENDIAN__,"1234
"
905f29c7-aef6-4734-913f-0ac11c287a33,IP_MAX_MEMBERSHIPS,"20
"
caa5abae-6559-4f24-b160-b1848648c4ab,"__ispunct_l(c,l)","__isctype_l((c),"
fac10770-5880-4ef7-8042-976ff7eeba6c,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
96e7f8db-5716-4414-a271-3f9ec3bb7129,__STATFS_MATCHES_STATFS64,"1
"
7b7e76ef-5f36-461e-8cc7-9d9408a9f90e,ACL_DLL_FARPROC,"void*
"
f5bdb96d-8f08-47c3-9ae2-51e87ee43c59,IPPROTO_ROUTING,"IPPROTO_ROUTING
"
be964899-a03e-42ba-884a-49061d36c17d,IPOPT_SECUR_MMMM,"0xbc4d
"
fc340938-7edd-4d24-93d4-536aceede0c6,ACL_BINHASH_STAT_OK,"0
"
6939b4f1-a73f-4175-9373-1ba172cab098,ACL_RING_LAST(head),(acl_ring_pred(head)
f7b04837-b6b4-461a-811d-4b30edaea242,MCAST_LEAVE_SOURCE_GROUP,"47
"
d149a48c-6df8-4f57-948c-824faf6d70b0,__FLT32X_DECIMAL_DIG__,"17
"
5697d59c-a70e-4241-9df3-d0aeef8672e2,F_RDLCK,"0
"
36c1e113-b38c-472c-89e5-c9f7a31c0fd6,IPV6_IPSEC_POLICY,"34
"
d82e4f5a-7a57-4217-966e-4198afd2c4b3,TCPI_OPT_TIMESTAMPS,"1
"
aee3ae83-5383-4152-8dbb-4cbce7b7ca8c,_SC_SPORADIC_SERVER,"_SC_SPORADIC_SERVER
"
5e31e66b-4351-4d9e-9f71-a2fc76d70a70,_IO_USER_LOCK,"0x8000
"
9dfaa55d-23d3-482b-9908-92da2073c5c4,IPV6_2292HOPOPTS,"3
"
35adc19f-620d-4563-af1a-e8c3ecd22c4a,ifr_qlen,"ifr_ifru.ifru_ivalue
"
c599ff85-e431-4af5-b806-6ba40aaec8f4,_SC_THREAD_PRIO_INHERIT,"_SC_THREAD_PRIO_INHERIT
"
262cb712-d791-4390-8f66-1b73ebdf4c27,IPV6_PMTUDISC_PROBE,"3
"
bed9dc83-548d-4c64-bc8b-e972d8df1884,ACL_HASH_INCLUD_H,"
"
ab812e70-4197-4ce1-8d13-f3b5181af982,SCHED_RR,"2
"
c72757c0-942c-4c1e-8f2c-ee67438a8dd8,ACL_XML2_IS_CDATA(x),(((x)->flag
7ab410a6-5a57-475a-b7e4-8180417d9663,SEGV_BNDERR,"SEGV_BNDERR
"
30909825-8912-4e9b-b35d-6ae56e54c2f0,ACL_HAS_FCNTL_LOCK,"
"
06fa6896-e595-43ff-9726-9066adf77c52,ACL_FLOCK_STYLE_FLOCK,"1
"
