id,name,value
a464f300-0131-4c4a-86d7-6dfdf73dec93,__S_IFBLK,"0060000
"
de224eb8-078f-428f-a1b4-cf01cdd9cf42,SOL_LLC,"268
"
cc9fa63d-7ec5-41a2-a50c-74868cf0aa35,TCP_KEEPCNT,"6
"
e399374c-f102-4587-8a86-9030229d8d3e,_BITS_SCHED_H,"1
"
dfa04305-bbaa-48f1-9a6f-97f3c530e1c1,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
ef9e753f-c345-4a07-b8ab-11914931ee52,__SSP_STRONG__,"3
"
606ae353-cac2-4563-b553-36e93d5900e1,ACL_DB_ATOU(_str_),(_str_
84daf2f0-b9d6-430d-afdd-f72a297840dd,__attr_access(x),__attribute__
3605efc0-c0c5-4a07-b7fb-d31e1b33629c,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
35043c06-1a7a-470e-9b2c-314b853a2106,__DBL_MIN_EXP__,"(-1021)
"
4291c597-5b5e-49e8-8df6-733910ae4f13,EMULTIHOP,"72
"
82c97c95-8699-4694-9ef9-6cc78cdaf3b7,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
94f77a6e-c3f1-46be-9ed4-acc1a9d105c6,AF_MAX,"PF_MAX
"
a045afd0-dec0-4505-adeb-d2f80e51f7e9,_SC_PII,"_SC_PII
"
3bcaf1f9-1d8e-4102-bde7-6448c06a3141,TCP_CONGESTION,"13
"
94ba84f6-439a-4363-a2dd-47fd37a9ca86,__CFLOAT32,_Complex
f15e40c5-0ed7-40b8-8d96-4bbaa461c057,IFF_SLAVE,"IFF_SLAVE
"
bf210bdb-ba43-4af3-9f70-9d9174ae3ad0,__UINT_LEAST16_MAX__,"0xffff
"
d47cae21-c9d8-4f8f-bc79-26a934aa1fc7,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
426b329d-0104-4932-bfb2-e2bc0b59d45a,IP_ROUTER_ALERT,"5
"
195b8d34-9227-413b-8245-2a61e0b56bd8,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
0ff0e86e-4775-4e2b-93d8-ebb98a89289d,EVENT_FDTABLE_FLAG_ADD_READ,(1
71729d28-4bc5-4e3b-ba49-8b02b72261b7,LOCK_DESTROY(mutex_in),do
fb8666b2-40f9-4363-aafd-a361a4883e22,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
d4ef3c88-1686-45eb-90a8-b4a782d09d98,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
73a38e1e-e548-47ef-84f4-d7dc487d32f0,IPV6_RECVPATHMTU,"60
"
ec1756b5-26dc-43b0-8058-a8198b7a1f80,__FLT128_MAX_10_EXP__,"4932
"
8957714a-e6b5-4fce-99e0-8c762ec40899,RE_DUP_MAX,"(0x7fff)
"
9821d3ea-ba73-42a0-8c99-efbb90de0f18,SVE_SIG_REGS_OFFSET,((sizeof(struct
2755141b-ff22-44ac-b712-d57043785be5,ACL_MASTER_FLOW_READ,"3
"
e4be0d89-78a7-497e-b897-1dbcb81d123b,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
b0c013a1-9376-4baf-98e7-d3c989c9a9ea,sa_sigaction,"__sigaction_handler.sa_sigaction
"
843a952f-d6b6-48c1-8e12-6c621ea1bf55,ACL_JSON_T_OBJ,(1
af196f48-4577-47bc-897c-542483c2c12a,ifr_name,"ifr_ifrn.ifrn_name
"
d9765ebe-2887-49de-9184-4378c764d453,__NFDBITS,(8
38d62a9d-10c7-4004-96d3-bbb936aae684,AUT_FLAG_LOOP_END,"4
"
646c97d0-0f39-4549-af75-de1ddadf7dc2,acl_spool_accept,"acl_ioctl_accept
"
e65e6046-5b10-4864-bc00-7996c0e8f0cd,si_fd,"_sifields._sigpoll.si_fd
"
9f34a766-2fc8-4aca-9a0c-5421bf41549f,_T_WCHAR_,"
"
84746d4d-862b-41c8-addc-3417ad1565d6,_SC_IPV6,"_SC_IPV6
"
99ac65df-80a1-4d0e-9dfd-41a2a74a1164,_IONBF,"2
"
752dd5d6-cccf-4772-9460-1818578f9299,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
6ef0bacc-e870-4cc8-a343-702a0391d7b2,NI_MAXSERV,"32
"
b84a412d-d5da-4cb0-87e8-6e5a53b685ad,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
7d20c34c-62b6-4585-9831-4a5728cc315c,__CFLOAT64,_Complex
c4c2e790-84a7-48aa-bf97-427dceaec245,TCP_CORK,"3
"
