id,name,value
a2526f58-28d8-41a3-aeda-e6bb9d7b17be,__S_IFBLK,"0060000
"
882549af-4043-4766-9786-7f36be7df78c,SOL_LLC,"268
"
71f58bb9-e05c-4a5b-88cd-a892496fe915,TCP_KEEPCNT,"6
"
d3faed62-9b0e-4304-8d2b-da3802bafd3f,_BITS_SCHED_H,"1
"
8024a0f9-7fbf-4ade-a025-30d0f0880607,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
19a3a90e-2d74-497a-b97a-87feeca01048,__SSP_STRONG__,"3
"
0406f0f7-94a2-49a5-865e-95801a38a3b9,ACL_DB_ATOU(_str_),(_str_
bfe8b3fa-bd9b-4dce-b0c0-b69aebe61cc4,__attr_access(x),__attribute__
52c28057-feee-4bda-9e73-69c95eea8cbe,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
93d44e30-b585-490d-8b6c-c22142763afb,__DBL_MIN_EXP__,"(-1021)
"
c2dcd86c-dd22-4656-b15b-c7b845bc45da,EMULTIHOP,"72
"
228f5496-ec9c-4f5e-a506-c98859abdb9a,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
e646c45c-6e16-4a87-9842-840dfb0b255c,AF_MAX,"PF_MAX
"
a547c307-48c2-41d9-bf59-0d12f50574d9,_SC_PII,"_SC_PII
"
74cd3159-2ec9-4e6f-a8b2-68b48f868211,TCP_CONGESTION,"13
"
402c8019-7bc2-4ffa-90c4-a708dc5094a7,__CFLOAT32,_Complex
88abf668-fb88-44a7-a7cd-f8866ab667f5,IFF_SLAVE,"IFF_SLAVE
"
cabc9fbe-8124-477b-bf51-15c73a8e8795,__UINT_LEAST16_MAX__,"0xffff
"
12527711-d7b6-43ee-924a-a76fa2c6353e,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
3deb1809-8d61-403d-b04f-e33a137bda64,IP_ROUTER_ALERT,"5
"
a136fcf1-c5a9-4adb-b778-1671023db838,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
d457f6c0-8c53-4877-8f7b-aadbf067120a,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
dfbaee86-c1be-46fb-b013-787c0b843f39,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
c4fca4a0-6ec3-4991-b659-dec42df49d30,IPV6_RECVPATHMTU,"60
"
29a14df2-8351-4fb5-b5f7-0b5bc8c5bfb3,__FLT128_MAX_10_EXP__,"4932
"
c3de19b3-f7c9-4ce7-9947-ade834dfea22,RE_DUP_MAX,"(0x7fff)
"
f10fa8f8-a962-429f-a309-4aba9be8fff5,SVE_SIG_REGS_OFFSET,((sizeof(struct
c09234eb-6121-4018-a8db-097257395920,ACL_MASTER_FLOW_READ,"3
"
2bf24525-0a53-45b9-a14d-be947aed7fd3,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
b1913f5e-47c4-41d9-aa8b-98c5a2997cdd,sa_sigaction,"__sigaction_handler.sa_sigaction
"
aeff44f2-a8f4-4b18-9097-fd8133b128dd,ACL_JSON_T_OBJ,(1
1cce09d0-ca84-4699-9c54-3bcd483061d5,ifr_name,"ifr_ifrn.ifrn_name
"
2a3f4794-4653-41d4-8411-affbb7fd4b3f,__NFDBITS,(8
69a42dd7-9350-4251-bbac-afebd7e4b6c6,AUT_FLAG_LOOP_END,"4
"
da631903-43b9-498d-a58f-01fa559a1429,acl_spool_accept,"acl_ioctl_accept
"
b593d03a-d78d-401e-9f1b-e560a7dee4be,si_fd,"_sifields._sigpoll.si_fd
"
7571bdef-f790-4d80-92c9-a89b8b2dc4bb,_T_WCHAR_,"
"
6ebf0d80-ca7c-4b0f-a287-7135e2c5116a,_SC_IPV6,"_SC_IPV6
"
b197e2f4-d986-483b-8c8c-d5d366571031,_IONBF,"2
"
336a4a80-375d-4aa4-b885-4b65fc969115,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
16743c2f-235a-4da9-89a0-8d008a9db5b9,NI_MAXSERV,"32
"
3b48e1aa-4fb1-442b-840a-2fb0adec0b3d,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
2e12dcbe-d00e-4965-bf2b-46ae920e8060,__CFLOAT64,_Complex
3feef2b4-180e-45e5-80fe-66edd7e88501,TCP_CORK,"3
"
0a014494-0ebd-41f0-af52-e6ba0bcaf33d,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
c130e3c0-70a3-49c4-bc52-2c5f8a482316,IP_DF,"0x4000
"
4b2692d5-d365-4ba4-b164-7ec2b9855acc,acl_pthread_getspecific,"pthread_getspecific
"
61b2e437-187a-4bca-8cd6-773773c90192,si_arch,"_sifields._sigsys._arch
"
47450b82-47f2-4eec-add4-ab7fc6974ccc,ACL_EHOSTDOWN,"EHOSTDOWN
"
de13c3d7-078f-4b40-ba09-e51530982507,ACL_FHANDLE_O_MKDIR,(1
5fa00139-17d6-4374-815b-7232474423ba,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
34058773-2eb0-48b1-8e90-afcc513f2556,__S64_TYPE,long
ccd0460f-660f-4af6-a307-074e92354b1c,IP_TOS,"1
"
1c9afa8e-e92f-4907-90eb-731af2dd200c,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
b6b84abc-2c7c-41ce-b250-375ab20f281f,__SQUAD_TYPE,long
3d0a339c-3c5c-4d89-8281-ac81ae26c15d,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
0d2cb504-9e01-4260-b92a-bd86b7abbf54,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
9ad06039-bc10-410b-82fa-60d47224e4f7,_BITS_SIGINFO_CONSTS_H,"1
"
628d6a7e-111e-4b1e-872e-e2654934f0bc,SIGBUS,"7
"
225b3abe-bb81-4ee5-940c-7e79eddbc896,_BSD_SIZE_T_DEFINED_,"
"
66e7c176-f3a6-445a-9ca1-5920ba4b15fc,ACL_DNS_OK_CACHE,"1
"
a5e8b54a-1ebb-4214-a96c-6d509fe36116,SIG_SETMASK,"2
"
9cfe8a28-db51-4273-85a9-334e0d120612,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
faf216f0-af71-47d9-a6de-1d24207feaa8,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
28d4d40e-1289-4afa-8f2b-7659f7cad2d9,acl_myfree_fn,"acl_free_fn_glue
"
ee529f31-506d-4c69-b918-ee35dd0362eb,__CHAR_BIT__,"8
"
36ba2638-33aa-445c-836c-2363cd8dc74d,SO_DOMAIN,"39
"
6929c326-3631-493e-814e-50e85e881029,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
b4c16eb5-612b-4162-8a2c-7b10ab43834b,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
3718dafc-71b8-4a75-8848-0c9dbbd0d735,EREMCHG,"78
"
28b2239c-df5a-4abe-94fa-897a79dd3281,SIGTTIN,"21
"
90435b39-aa17-4f02-8e15-ec4395dd6e6c,EACCES,"13
"
b5c68c4f-0d9e-44d4-8daa-1289a759bd06,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
20559374-4e55-4d04-bf25-698a5b1a0221,IFF_ALLMULTI,"IFF_ALLMULTI
"
798b024c-63de-4bd2-9310-c1e824b8a8b0,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
37dc2e48-40a8-46e5-ad9a-f54630429fc0,"__isupper_l(c,l)","__isctype_l((c),"
b1cf16c1-0ac8-47df-9f16-475c3f7118fa,EDESTADDRREQ,"89
"
588deb33-255d-4fed-885e-446e8b18c391,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
18984131-85e4-4fe9-9c4f-8868bd547076,ACL_RFC1035_TYPE_MINFO,"14
"
7e28665b-e515-419f-8021-8031de38acf4,__DADDR_T_TYPE,"__S32_TYPE
"
acaae254-0b2b-43a5-a807-71383b008280,ACL_THREADS_PARAMS_INCLUDE_H,"
"
fb0542ef-8f9a-49da-b83a-6d066983ebae,si_pid,"_sifields._kill.si_pid
"
5888d0e0-55b5-4bd4-ab1e-14123b27229e,PIPE_BUF,"4096
"
2ed6c4f6-5d0d-4072-942c-e9c4c72591ed,IP_TTL,"2
"
3dca5472-11b4-4fcd-b1d3-1ccfb2067deb,ACL_VSTREAM_FLAG_WRITE,(1
1b5d22d5-b41a-40ad-84d7-7f588fefa41c,ACL_DEFINE_SUNX86_INCLUDE_H,"
"
800b7699-e6de-4ce6-8fb1-431127e6e840,IPV6_JOIN_ANYCAST,"27
"
aa66f7ed-a0a5-4a6b-8769-64cf90f08eea,stderr,"stderr
"
d05245c5-66d5-4d11-985a-52e5b731d493,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
ed8fb660-7248-4bab-9a51-5ce0ed9ecff1,_CS_POSIX_V7_LP64_OFF64_LINTFLAGS,"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS
"
