id,name,value
778b86e0-0dea-45fc-96a8-c8b467d29f2a,__S_IFBLK,"0060000
"
05be7106-41a9-4870-ba64-7b75eed3e9ed,SOL_LLC,"268
"
d0e022f0-bf3b-449a-9a11-8931d7bb8b56,TCP_KEEPCNT,"6
"
faf67998-171c-4a97-9726-c123f7cb11cb,_BITS_SCHED_H,"1
"
46a71a63-dc5d-4442-82d4-e286175c3d38,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
ad35c39d-3e39-4e3c-ba05-a4eae70fa78c,__SSP_STRONG__,"3
"
e82032d9-80f9-4505-bde9-9a971f5c30a0,ACL_DB_ATOU(_str_),(_str_
45ec335e-b3ae-4ad7-b5d3-06f2f0b86334,__attr_access(x),__attribute__
d01dc3ac-7924-475a-bd80-22a76992a3e0,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
442df30c-c1b0-4299-be2e-69fd037a70e6,__DBL_MIN_EXP__,"(-1021)
"
00b2b732-bf12-45b2-81b0-3c2b3f53767a,EMULTIHOP,"72
"
955ca3d7-dd98-4ab6-bc35-4cdc5cd2ceb4,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
4dcf5aab-f3a4-400c-a25c-3c95303164d8,AF_MAX,"PF_MAX
"
c9a44a83-e007-4d91-ace8-e5eb1f6d8a24,_SC_PII,"_SC_PII
"
998650ed-d27d-432a-9576-d2eb34a72aa3,TCP_CONGESTION,"13
"
646c5684-1df7-4469-ab0c-4b8139561269,__CFLOAT32,_Complex
958e684a-19cd-4bcb-8c43-93144fb60bd2,IFF_SLAVE,"IFF_SLAVE
"
1818883a-73b6-4b86-b525-94c1db3a3e61,__UINT_LEAST16_MAX__,"0xffff
"
3f58e70a-43f0-466f-8dc5-edc80dd28860,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
063aa1f0-8837-48eb-9d76-9f095ffde354,IP_ROUTER_ALERT,"5
"
