id,name,value
426d8198-8a86-4711-b931-fcd29ed00ac8,__S_IFBLK,"0060000
"
187672e0-11f4-4543-bb00-f31239582406,SOL_LLC,"268
"
0543b608-d3b6-4515-a07b-13545564641e,TCP_KEEPCNT,"6
"
ed6e8c5c-8fde-47fe-84a9-02d047d24dc7,_BITS_SCHED_H,"1
"
a9914247-9fc1-400e-abfb-6a2922b50832,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
adf6c3ff-c278-44f4-b513-fdd90407669c,__SSP_STRONG__,"3
"
560ed51e-3b6e-4d8c-93c7-7d62c27546ee,ACL_DB_ATOU(_str_),(_str_
66cd4893-67a1-4340-93d1-61a9687b8845,__attr_access(x),__attribute__
588c0ac9-7a9d-4be3-96d9-d5c80b1d11bf,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
b109bb01-f5b1-4611-b032-42185b31b457,__DBL_MIN_EXP__,"(-1021)
"
7e248ea4-ba95-4cde-84e5-3b0357a8b5a4,EMULTIHOP,"72
"
00f21b9e-49c9-48df-a460-1fe4e16b199a,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
c52c4890-3915-420b-9472-9d479c1a91ed,AF_MAX,"PF_MAX
"
c4f7c128-d34e-4554-80ad-cffcb63b8106,_SC_PII,"_SC_PII
"
a15e077c-c0f2-43a9-a5a8-23eac62673b8,TCP_CONGESTION,"13
"
bc785abb-cac2-40e6-9994-77cfcc007a6d,__CFLOAT32,_Complex
1190c43c-d366-44c2-8dc8-5ddffdc14320,IFF_SLAVE,"IFF_SLAVE
"
cd70d231-30b8-4ea2-96ee-427422f7aae8,__UINT_LEAST16_MAX__,"0xffff
"
1061f308-ae36-425b-94e7-7a5a86695812,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
836264dd-0e9e-41a7-8d65-778928bf3d4f,IP_ROUTER_ALERT,"5
"
1b7fbc4b-c705-45a1-8310-5b89460f5f66,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
be6a6ab7-c07d-430f-b4ef-a19a21b50522,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
