id,name,value
934ced9d-40a9-4f17-855e-a90111bc8331,__S_IFBLK,"0060000
"
5cacc1ef-d6f9-402e-87f4-018ef2189bb6,SOL_LLC,"268
"
139d8cc3-f96a-4b07-936c-b1bc3db3f8a6,TCP_KEEPCNT,"6
"
53a8341a-4051-4acf-af1b-f8fac612e1b3,_BITS_SCHED_H,"1
"
cca5bf28-e571-47dc-9b8f-fff383d193e5,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
f3382cba-d695-4cd3-85ee-728d8d1f29e3,__SSP_STRONG__,"3
"
e39c3418-0d7e-47db-9285-29dd9195eacb,ACL_DB_ATOU(_str_),(_str_
94b6a776-5fa8-438e-b17c-d31f44cd7f62,__attr_access(x),__attribute__
0b391dde-de9c-43d5-97fe-c4597b782003,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
83f66703-4937-4811-8131-f01692bed6c3,__DBL_MIN_EXP__,"(-1021)
"
783f8dea-d65c-4f9b-839e-043822e5abe6,EMULTIHOP,"72
"
b0fb4a6b-8cb0-4b76-94c7-c337646d675a,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
5f28780f-9371-4bc7-be38-955f04d58f67,AF_MAX,"PF_MAX
"
4e77bdf1-2b39-4649-a5b2-ebded9466f28,_SC_PII,"_SC_PII
"
9f9f9974-2fa8-44dc-ad5c-935200495532,TCP_CONGESTION,"13
"
e2d993c1-445a-4b4c-981b-b101d3d4de6a,__CFLOAT32,_Complex
e297714f-ae2b-42b5-b97f-24a0303cf463,IFF_SLAVE,"IFF_SLAVE
"
4f5d0236-6104-446f-bd56-f561b88a27d5,__UINT_LEAST16_MAX__,"0xffff
"
bcff3250-ceb3-42aa-88c3-195c013e0ffd,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
67069d87-dd7e-4cda-aa38-c24504c8e181,IP_ROUTER_ALERT,"5
"
37a1e03d-2240-4a6c-ae9d-530016453d84,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
bcac828c-f22e-4e23-8771-08a437ca4da1,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
c7ebd3d4-b19b-4a00-90a2-6a21cb0beb25,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
a282919f-36e4-45f3-99c9-ed47e3bb73cd,IPV6_RECVPATHMTU,"60
"
cf1a7501-0b84-4509-a527-2641cef634a4,__FLT128_MAX_10_EXP__,"4932
"
3146d3b3-1daa-4200-a625-ac66c94ffefb,RE_DUP_MAX,"(0x7fff)
"
17a0ec8a-503f-4afa-b9e9-01cf1fd5b668,SVE_SIG_REGS_OFFSET,((sizeof(struct
