id,name,value
f09741fd-079f-4cc2-9e17-2f4ebcabd787,__S_IFBLK,"0060000
"
9d53fa59-3743-4883-a55c-f7b80f2eabdd,SOL_LLC,"268
"
a5247d90-aaac-4132-916f-c3662fb173fd,TCP_KEEPCNT,"6
"
3a9e085c-e9b8-4160-84e2-06b7a71f6ff7,_BITS_SCHED_H,"1
"
df09a878-efc0-4035-996f-167ad73f7b8d,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
1be55cac-0623-4b67-9f64-906b588e3c24,__SSP_STRONG__,"3
"
001106d0-166a-49cb-8756-1e99d8ce4a1c,ACL_DB_ATOU(_str_),(_str_
a691532c-6b4d-4b74-b02f-6058dce80fab,__attr_access(x),__attribute__
4e5cc11b-c3f0-404b-8455-4e95775ebf70,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
11f6beb1-e93f-42bb-93ef-3cad7db68e01,__DBL_MIN_EXP__,"(-1021)
"
8a0eefbd-fcc8-45e9-89c5-7190fa81649c,EMULTIHOP,"72
"
cfae1440-17e6-421f-b351-a2e0b9e6b0e8,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
2a008471-8128-494f-9e8b-0f88ab525f3e,AF_MAX,"PF_MAX
"
e33ef6f9-eccd-4598-b49e-4bf82ccc5a8a,_SC_PII,"_SC_PII
"
47dd0ab0-5dd7-4780-a011-69587fb8058e,TCP_CONGESTION,"13
"
7881e460-a010-486c-9631-5b08125c2cb8,__CFLOAT32,_Complex
4567d64f-4b10-4f21-8d29-502f65787def,IFF_SLAVE,"IFF_SLAVE
"
b9dc5f18-3964-4e85-932f-5ab3d7186cc2,__UINT_LEAST16_MAX__,"0xffff
"
3a7e3a26-470d-4407-a435-4c329a1f6865,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
22e48f15-bdd4-4764-8deb-74a8e88b9d4b,IP_ROUTER_ALERT,"5
"
50539dda-7742-4501-9a42-5906747a47e9,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
