id,name,value
9929f6a1-d684-43b2-ad9f-61155f6bf7f6,__S_IFBLK,"0060000
"
878153de-1c49-43c3-a205-35a48b76b892,SOL_LLC,"268
"
96d36329-397f-4bc7-9464-3a8df87395bd,TCP_KEEPCNT,"6
"
65044977-30a1-407e-82a1-696af6b64642,_BITS_SCHED_H,"1
"
a455f833-42c4-42cc-b723-00385c08f7a5,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
706582c8-3be4-43b5-b7a8-dfabcf703db0,__SSP_STRONG__,"3
"
657fab8e-dd7d-459b-97d2-bedc4946686c,ACL_DB_ATOU(_str_),(_str_
f9167b3a-beff-4a1c-b976-ca0bb108e408,__attr_access(x),__attribute__
0bd0317a-fb53-4e97-a718-96c412ffd256,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
5f00ed64-5d88-49d0-bb66-b13ee3397c6f,__DBL_MIN_EXP__,"(-1021)
"
60bd319f-8f8f-42f9-8e28-e7365d00cda7,EMULTIHOP,"72
"
c811f57b-0f7e-481d-9fe7-d19e1fd62ff8,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
139cccb5-2664-4b81-8f65-1b17e5807274,AF_MAX,"PF_MAX
"
663911da-bd2e-4295-b1f2-8634abde42d7,_SC_PII,"_SC_PII
"
0a5baf27-9be8-41b6-8361-00d49a338b70,TCP_CONGESTION,"13
"
42803ea9-0b1c-4f85-859d-af3d542c857f,__CFLOAT32,_Complex
7e2978e2-051e-491c-93ba-23b31f8cf78c,IFF_SLAVE,"IFF_SLAVE
"
a39539fd-545f-40bc-903e-aa27c10cf214,__UINT_LEAST16_MAX__,"0xffff
"
c0330752-aa67-4ef5-86e6-33d417492d26,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
8f8401e1-5073-4419-b013-f8e8fc9c6689,IP_ROUTER_ALERT,"5
"
4077ca0a-e9f7-45d5-ae72-8dfb860d930b,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
fe9320ff-276f-47df-814a-562eaa79cb71,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
e1dbd1b6-7e90-4baa-a21f-f8d4dbc0d8c3,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
16a485d8-dc27-4a1b-9f2d-67e52c153973,IPV6_RECVPATHMTU,"60
"
