id,name,value
221770b2-20ed-4557-b636-9ebe923f9d4d,__S_IFBLK,"0060000
"
cf947f13-45ae-4507-b484-ad46c45e1cbb,SOL_LLC,"268
"
9d80c216-2717-4ecc-8248-18c970ea13d7,TCP_KEEPCNT,"6
"
f9e7f92a-1e36-4fc9-8cb3-83bfeb546e93,_BITS_SCHED_H,"1
"
9155241d-66a7-4c69-8f73-e2e268e86932,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
70ee2ae7-fdd3-490b-8a05-9987601cb4de,__SSP_STRONG__,"3
"
bb88f07e-3c7b-42dd-995a-ea2f66a97a03,ACL_DB_ATOU(_str_),(_str_
c45f0a05-a8c1-4ab9-8ef2-8551ff8472f2,__attr_access(x),__attribute__
cac40dde-bbdb-4ad3-b51d-21eca9ae7929,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
c1ae7792-f852-41e6-9df3-9c4b3295d756,__DBL_MIN_EXP__,"(-1021)
"
88926b2a-fd38-4706-ba3d-ed194cc28f68,EMULTIHOP,"72
"
4c2f2c1f-80fb-4810-a20b-1c5e483ca70a,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
0ccf081c-379a-45a3-817d-dcdb08b7018a,AF_MAX,"PF_MAX
"
3e70ffb0-c5b2-43a9-9deb-b629d7b8ff6e,_SC_PII,"_SC_PII
"
f6f4e57d-864a-4245-b76f-f0333e80056e,TCP_CONGESTION,"13
"
a681aab0-f8d5-48a8-ae30-a03970f14d54,__CFLOAT32,_Complex
5d820e11-55ac-4698-bf8a-ffda2d14856b,IFF_SLAVE,"IFF_SLAVE
"
572386fd-a741-435c-a48c-b132137c5ba6,__UINT_LEAST16_MAX__,"0xffff
"
6b526e02-a6e7-4bfc-8e2c-fc6cb66caa32,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
f653a17e-7fc5-4e39-baed-b8ebe75a4a20,IP_ROUTER_ALERT,"5
"
ee7858b4-7c62-47c6-9a16-b255a2dce984,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
4ea23373-9ff3-449e-915e-a3a2c2da8c8c,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
f2d17557-3027-47f8-9415-109082506bef,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
677e97aa-c89d-40f0-9708-c85864822c8a,IPV6_RECVPATHMTU,"60
"
744079ca-f3ec-4d84-a34d-67688ce85b5d,__FLT128_MAX_10_EXP__,"4932
"
edddc8a6-36f4-47d0-b6c0-a5a0be99c114,RE_DUP_MAX,"(0x7fff)
"
5317c70f-35c8-4f59-9e1c-a14fb11455f4,SVE_SIG_REGS_OFFSET,((sizeof(struct
d6c1dc62-ac2e-41b7-8702-cd42bd4c9fbb,ACL_MASTER_FLOW_READ,"3
"
df6270c0-0a98-4b83-90a4-179491b5b70d,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
2ece44f2-f56b-451d-a9c3-63397af35d8b,sa_sigaction,"__sigaction_handler.sa_sigaction
"
f8c89826-954f-41ef-bed7-2bd9ce743d8a,ACL_JSON_T_OBJ,(1
44b62deb-2cd8-4e67-9790-be954413bc41,ifr_name,"ifr_ifrn.ifrn_name
"
90e69a68-2265-4cb3-a68e-10bbcf3951a4,__NFDBITS,(8
786b5f7d-f134-453d-ab77-dc079f694809,AUT_FLAG_LOOP_END,"4
"
ff015502-5f06-4ce7-ada3-564b52e6b8eb,acl_spool_accept,"acl_ioctl_accept
"
3a923de0-68ff-4a7d-9bc7-d25126495e85,si_fd,"_sifields._sigpoll.si_fd
"
62c70667-e2a4-4f5d-b9a3-7ef1090214c0,_T_WCHAR_,"
"
88f05911-964a-4ae5-9c52-5718bf2bd498,_SC_IPV6,"_SC_IPV6
"
a55b0acf-d195-4834-9c26-b9db4dca46ce,_IONBF,"2
"
4a96f4ba-596b-4709-8e3e-330e6187416e,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
f2e7b1ca-3fcc-4e92-b774-751145012a91,NI_MAXSERV,"32
"
a42a2b0c-23da-4768-8a5a-d523aff3e563,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
bde1028c-5f22-4852-b59f-5b2bf8b83c99,__CFLOAT64,_Complex
1319bfaf-f69b-4937-8b63-9ecd00a44d1e,TCP_CORK,"3
"
d425be11-405a-42c9-8587-feac999070b1,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
1132aac1-8edc-4fc3-ac69-7af6d1e228e4,IP_DF,"0x4000
"
0a708b52-2504-49e6-b740-7afef8a2cf73,acl_pthread_getspecific,"pthread_getspecific
"
149d250d-bae4-4ab4-8ba5-fa2a4973f69c,si_arch,"_sifields._sigsys._arch
"
5d3d0cda-bdb4-424f-b720-ab06f92697d6,ACL_EHOSTDOWN,"EHOSTDOWN
"
e8918c91-eef4-4ef3-8f8e-8e7aa5e800a7,ACL_FHANDLE_O_MKDIR,(1
91f73e26-43a4-4e40-9cac-087262719c64,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
0223979a-813b-4f50-a66e-84d041af958e,__S64_TYPE,long
edad799e-95b6-479a-8e0e-b754dd3a4efb,IP_TOS,"1
"
16c45ced-9dff-4d8b-b636-e2b5daaae6d4,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
b8363754-fbb6-457d-a04f-4f3a48da8f40,__SQUAD_TYPE,long
22be5efa-ad9e-412e-8c80-c4c634588ab3,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
7cbf0ee2-0048-47bc-9ce1-43858e439888,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
bfd7a110-5baa-4e68-93f0-dac0bdb07072,_BITS_SIGINFO_CONSTS_H,"1
"
37c9f08f-c8d7-4784-862c-54b05bb07b3e,SIGBUS,"7
"
5efcc7b3-15f2-4ec2-a4d6-6c79aceeb1ac,_BSD_SIZE_T_DEFINED_,"
"
98145913-602e-4f65-ad97-beac82b77315,ACL_DNS_OK_CACHE,"1
"
42b42f53-77ca-4b15-9ea1-3e8a063a9012,SIG_SETMASK,"2
"
e119c39a-9b8f-429a-982c-7c59527666d0,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
d7f34856-e9f4-4893-ba36-6cac88c59e71,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
85022eec-8cf4-4753-a65d-292ad0c3d0f6,acl_myfree_fn,"acl_free_fn_glue
"
