id,name,value
2f10af3c-7c7d-493e-863f-e983fbfccd08,__S_IFBLK,"0060000
"
88eec9ed-a24e-4923-9a9e-77bca4f1193b,SOL_LLC,"268
"
c692eef8-5e1e-418f-90a0-abbf2b9e7ff1,TCP_KEEPCNT,"6
"
f550dfcd-33a5-4872-a869-262881756382,_BITS_SCHED_H,"1
"
6dae8d47-bf87-41ee-8626-ddbbceb09bab,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
3dde8390-5171-42b5-97c1-e58e901080bc,__SSP_STRONG__,"3
"
ac83ca46-3913-400b-b6ee-5cb35d908519,ACL_DB_ATOU(_str_),(_str_
d48288b9-c5c4-4605-b112-1250eb3bd7da,__attr_access(x),__attribute__
c4d66919-e012-4dfc-8dc2-3b6db0d26323,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
2ead3d80-df03-43bd-9561-d0168fbbcbb5,__DBL_MIN_EXP__,"(-1021)
"
3feab8e3-ce61-4e75-80ed-415a24c2c8d3,EMULTIHOP,"72
"
83d46206-229b-4ab6-83f6-267578839202,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
c1d7426b-ef57-4438-8cb1-0a7239023002,AF_MAX,"PF_MAX
"
fdab82b4-ad02-4fff-8fe8-4fe0c7184f39,_SC_PII,"_SC_PII
"
54d56ba2-0d1f-463e-8484-98f5230172e9,TCP_CONGESTION,"13
"
23bc870b-e92d-4448-890c-41b673b7efd2,__CFLOAT32,_Complex
9d247a58-a97d-4b85-881e-20eab8c42e86,IFF_SLAVE,"IFF_SLAVE
"
559ff507-481a-467c-ab15-a50f1c8649e7,__UINT_LEAST16_MAX__,"0xffff
"
cee3d8ca-705f-40f8-8b01-17aa3adbc2e7,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
89616cc5-c1ee-452f-815c-f7410175e8d0,IP_ROUTER_ALERT,"5
"
a54372f7-10fe-4eed-a783-03c6dd0762df,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
5db7bde6-6eac-460e-9c65-9b1546368d81,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
4ec8ec0b-ee94-4057-a2c4-fa1cf65d1df8,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
38ccf7b8-8f43-4071-bc5b-b565634725c0,IPV6_RECVPATHMTU,"60
"
8ea3df63-97f3-4c18-9466-a16fc0b6dedc,__FLT128_MAX_10_EXP__,"4932
"
7a079ec0-762c-4874-89d6-dad809c8ce8f,RE_DUP_MAX,"(0x7fff)
"
72e32fd0-90ff-4f0e-9894-84701885e6ab,SVE_SIG_REGS_OFFSET,((sizeof(struct
