id,name,value
99c80835-b0bb-4287-8742-fc945aa96f67,__S_IFBLK,"0060000
"
73e85869-214b-4958-af71-6505195908b9,SOL_LLC,"268
"
108e6dda-68ee-4ae5-9901-5c88ecbf45a8,TCP_KEEPCNT,"6
"
a11ccce1-0e21-47a6-8624-6973854d646f,_BITS_SCHED_H,"1
"
c3fd248d-40dc-4013-95c0-0885010ce5ff,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
faac9312-e83c-40d4-843f-134a406a2e18,__SSP_STRONG__,"3
"
366957fa-8d21-4f97-a699-65b2d55eaf79,ACL_DB_ATOU(_str_),(_str_
749c6479-7ae2-4aad-a0a8-e55aa062a270,__attr_access(x),__attribute__
e24b735d-2841-4be9-a379-8d76313dd0ae,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
ce6ca143-08f6-4af3-91da-e12b91da475f,__DBL_MIN_EXP__,"(-1021)
"
6560881d-15ea-4914-b07d-1023e89446bd,EMULTIHOP,"72
"
6d46ca96-f261-43d6-8ec0-52f889bcecc3,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
c45c3e8f-2078-4337-814d-8a1973521504,AF_MAX,"PF_MAX
"
b4571f8c-af6d-4c47-9c77-ba639264bf44,_SC_PII,"_SC_PII
"
31136a92-815e-4d5e-97e6-6e429b12d28f,TCP_CONGESTION,"13
"
06ca80ab-e20c-458c-bc79-f6214553db69,__CFLOAT32,_Complex
9c9d0d63-c0a5-4df5-9834-21b20a351b6f,IFF_SLAVE,"IFF_SLAVE
"
6a15e8b0-76a1-40b1-b0aa-bce62e68d160,__UINT_LEAST16_MAX__,"0xffff
"
762aafb9-01e0-4c02-b12f-495cb6db943d,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
abcd653c-4768-47c3-9244-768daeb0e5df,IP_ROUTER_ALERT,"5
"
5fca2f05-b539-4194-8f2d-ee15af81a92d,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
9c8fdf4e-0d90-4146-b490-ed3d621bd754,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
2011bd38-b039-46d8-91a6-fe57e5ab7a2a,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
55280f73-9b33-40f9-b6ed-c52085588d97,IPV6_RECVPATHMTU,"60
"
a740d187-65ba-461e-9c4f-ee069dcaf68d,__FLT128_MAX_10_EXP__,"4932
"
29731e76-ea86-47e8-ad90-ef8172b5d6df,RE_DUP_MAX,"(0x7fff)
"
1014ea50-2b8d-4b12-8ed9-27688212ee6d,SVE_SIG_REGS_OFFSET,((sizeof(struct
f3c9663b-3439-4080-9f85-ed6605fbc3cc,ACL_MASTER_FLOW_READ,"3
"
731e41a1-0d84-4d9d-b7ff-eb09512d3ae0,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
33f93477-b31b-4df7-a65a-89166729ed1f,sa_sigaction,"__sigaction_handler.sa_sigaction
"
d9400da4-9f42-42f8-948b-b58ae908a7cf,ACL_JSON_T_OBJ,(1
570ff128-2f76-41f2-867f-1f8ce451d4cd,ifr_name,"ifr_ifrn.ifrn_name
"
d8228711-5b23-4af5-9756-9859e8e38edc,__NFDBITS,(8
8df145f7-2224-42d3-85df-f80a65e327b9,AUT_FLAG_LOOP_END,"4
"
8e70ba4b-a546-4e18-a8ae-7e71e2117e7e,acl_spool_accept,"acl_ioctl_accept
"
0acb91da-a8f9-433c-a5c7-68438a9a2189,si_fd,"_sifields._sigpoll.si_fd
"
51a1632c-7e79-4c08-8157-028bb35da4f1,_T_WCHAR_,"
"
3174d7d1-78c6-4b1d-8e38-9cc528c8db6c,_SC_IPV6,"_SC_IPV6
"
df69610a-638b-4169-ae4d-4fc8ad7dd2ca,_IONBF,"2
"
640ca233-b472-4a21-b609-835e02ebb67b,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
b1adc220-08fc-4e31-92ae-dec3bcad8899,NI_MAXSERV,"32
"
58f29e54-05ce-41e4-8607-9ecc69e836ac,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
ecb18b98-9272-4a0f-86fb-3933269c5b42,__CFLOAT64,_Complex
03e40ae8-e7f7-4af1-bb7c-18b3a1981e48,TCP_CORK,"3
"
8e420cd8-4c59-4c2c-8cdb-6dc1d30f4569,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
b398fd68-6400-467d-8220-5d55838722dd,IP_DF,"0x4000
"
d58ad65d-0316-45b8-bbd2-e059b42c6c5d,acl_pthread_getspecific,"pthread_getspecific
"
3dd258f3-abec-4702-91c8-b959df91cd54,si_arch,"_sifields._sigsys._arch
"
50f35e19-75bd-41a7-b48e-ba0ac38b77ff,ACL_EHOSTDOWN,"EHOSTDOWN
"
f2338e93-3f7a-4af4-bf13-794f398119a5,ACL_FHANDLE_O_MKDIR,(1
7648c69e-49cd-4e43-9ea0-f712af7abf3a,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
f7682a9a-a68e-4d45-8189-d25ffa71f147,__S64_TYPE,long
cee4329f-4c66-4fe0-8fc8-d2856cc27c28,IP_TOS,"1
"
76feea1d-d61f-43d2-85d7-7bd3cf933f8f,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
51ff781c-a433-4e0b-b259-ac1fd8d10930,__SQUAD_TYPE,long
f9a15814-78fe-4af1-b5a0-43b75d5a5f60,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
d1f9bd66-736a-41b9-bb9c-e19d871c9cfc,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
347aea67-5e94-4187-bce5-2b1ff57473b9,_BITS_SIGINFO_CONSTS_H,"1
"
622994ab-2eff-4b4a-8fed-d047a9385545,SIGBUS,"7
"
a2db5657-ed2d-45ba-88ea-607a36940620,_BSD_SIZE_T_DEFINED_,"
"
57843914-c60a-4a50-8c99-195b6a54d05e,ACL_DNS_OK_CACHE,"1
"
af5bc779-d14a-4514-b575-896de073a1a8,SIG_SETMASK,"2
"
87b599ed-c24c-482a-b4b4-b53c467d826c,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
