id,name,value
914b3d96-8948-450e-bc18-452580d26c0d,__S_IFBLK,"0060000
"
a088c2a1-46ff-42f4-8900-54c569acace1,SOL_LLC,"268
"
6849e0c8-fc75-4a41-a9cb-f80643abaf38,TCP_KEEPCNT,"6
"
9ed781cc-aa1b-4a34-8013-1ba43a42907a,_BITS_SCHED_H,"1
"
8cc9b5ca-1aff-4432-ad10-fc38f218c5dd,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
f6d3290c-3f0d-42e8-b3e6-d7e57b54889e,__SSP_STRONG__,"3
"
8f506eef-3ecc-43e9-b07f-60d23a28e328,ACL_DB_ATOU(_str_),(_str_
d842bd8b-c2c9-46a0-be99-3b1128e1f674,__attr_access(x),__attribute__
a99441a2-9ffb-4fb6-82a3-90e664f568f3,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
e0e525ee-6c39-4bfd-b81d-88871678d988,__DBL_MIN_EXP__,"(-1021)
"
74cfc6ad-8e86-42de-a9f4-a1d152ed2302,EMULTIHOP,"72
"
1560c8ef-7642-4b8e-ad66-614efa532dc3,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
c394003e-cf00-48d2-b1d2-232431eb7528,AF_MAX,"PF_MAX
"
6b5a079e-37d2-4e19-b5ca-02070668b715,_SC_PII,"_SC_PII
"
871dd564-a800-441d-801b-4d9b202a31c3,TCP_CONGESTION,"13
"
6fa243df-359b-42b2-b7c0-c50023922161,__CFLOAT32,_Complex
013d7bb9-8826-4583-a941-2cac69914394,IFF_SLAVE,"IFF_SLAVE
"
f60c6ff9-e37f-4343-bae3-a370dd79ef34,__UINT_LEAST16_MAX__,"0xffff
"
def60539-93df-4702-895e-7c6e0c369cc8,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
6dfdf935-8980-48b2-9854-dd46a44df8bb,IP_ROUTER_ALERT,"5
"
9aca47ef-8ca5-494a-a170-085a9352b3b6,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
9e129345-61e1-4617-b4b5-5518195f92a1,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
31277a74-7a12-4f34-a9ff-07303a3bea65,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
6edfcaa2-48a2-4962-b4be-1b6e8d25170e,IPV6_RECVPATHMTU,"60
"
e246176b-a5ea-480c-96c7-5fce966dfdac,__FLT128_MAX_10_EXP__,"4932
"
d06408cd-d1d3-4abd-b47e-79421981d92e,RE_DUP_MAX,"(0x7fff)
"
f8d5e02c-360c-457f-a09c-36dde8db0c9c,SVE_SIG_REGS_OFFSET,((sizeof(struct
b25dd5ee-ae5b-4f1f-a2b8-f3807ca03e35,ACL_MASTER_FLOW_READ,"3
"
255aeac7-24f1-4488-8d9b-3c0c4fa04ec2,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
0a1e9b59-091b-40c4-a0f5-d4354a4523b3,sa_sigaction,"__sigaction_handler.sa_sigaction
"
7da0962d-9aeb-4812-9228-f9dd16e7e946,ACL_JSON_T_OBJ,(1
bb4c1819-d2f3-479d-a1b8-bcf29a3152e7,ifr_name,"ifr_ifrn.ifrn_name
"
f3338314-5bb7-41ee-b787-09f50c374ed3,__NFDBITS,(8
3fbc2968-e1d0-4d08-b26f-7bfb6ac85491,AUT_FLAG_LOOP_END,"4
"
a9c91b3b-a73b-478b-90be-852152b8c188,acl_spool_accept,"acl_ioctl_accept
"
9ec7eb2b-be7e-4943-bc08-feb8acc4bbc9,si_fd,"_sifields._sigpoll.si_fd
"
5ea745e8-e113-4964-ac0e-f00497c41c08,_T_WCHAR_,"
"
681f5ed0-592e-4bd0-a146-7b0480a8da10,_SC_IPV6,"_SC_IPV6
"
0d2ee437-f4ca-4ab9-b180-e14c6c981458,_IONBF,"2
"
a36210c8-228f-411b-8a0d-6afa22cb2d82,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
2ede4be1-80f4-420c-88f1-52e01d88ffb1,NI_MAXSERV,"32
"
2b409b43-f1b2-4fd3-977f-5d8cdbe6e643,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
fd6d1cea-aa44-4d08-9d97-6e0314f1f11d,__CFLOAT64,_Complex
b839fe3f-8309-4ed0-955e-ee375e4ecf09,TCP_CORK,"3
"
082fc52d-754f-4126-9624-48771e0dd651,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
1b5d7988-95c7-487a-92f1-3d1f9009123a,IP_DF,"0x4000
"
39f89d36-53b3-4a4e-a72b-7d1d043ea27d,acl_pthread_getspecific,"pthread_getspecific
"
8a5075ca-5324-46d9-9071-55a7d73ba268,si_arch,"_sifields._sigsys._arch
"
412b6f11-5424-4560-a5c8-65d2961693bb,ACL_EHOSTDOWN,"EHOSTDOWN
"
b0a31b22-e1e6-44c6-9707-06bb277987e5,ACL_FHANDLE_O_MKDIR,(1
3bae5507-c959-4599-bcda-44f4caec45f2,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
08c4c68f-4fc1-4dfa-84c8-6070016ea1ed,__S64_TYPE,long
b8674faf-eeb8-4043-b4de-a62fcb3d3e0f,IP_TOS,"1
"
5ff31330-7e96-41e4-b52f-38dc5c203ab2,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
3fd668db-3e93-4d1a-9fc1-7a420aaa4f76,__SQUAD_TYPE,long
5831fdd1-836a-4ff6-ae72-edc15aeeb8af,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
f9804a6f-0bf4-4234-8d0d-595369384efb,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
3dce2653-4f6e-4cef-bfd3-dcfe611a1173,_BITS_SIGINFO_CONSTS_H,"1
"
a2f2b381-d314-4ccd-983c-983c3e80edeb,SIGBUS,"7
"
bc416f4f-17ca-4474-889b-6916e8172720,_BSD_SIZE_T_DEFINED_,"
"
df2d1618-a911-48d8-9c0a-f006bd91d9d1,ACL_DNS_OK_CACHE,"1
"
f5084e8e-9088-4f38-9cd5-7a370382d27e,SIG_SETMASK,"2
"
51db7d2e-9388-4991-88eb-e1531cbd3766,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
