id,name,value
3096cede-f22b-4590-96fc-d0b6fb31df2a,__S_IFBLK,"0060000
"
7b2cb20b-df9f-4bb7-a7af-2d7c2e6bb2ec,SOL_LLC,"268
"
a091c0f2-bafa-459e-babf-4363e1ce3229,TCP_KEEPCNT,"6
"
10270a95-f7c8-45ea-a90c-c4d6d0915f11,_BITS_SCHED_H,"1
"
33374146-2d1d-46d6-b29e-b50565c6d09b,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
8f6f9df8-7fa7-454f-90a8-826dceaf1ad4,__SSP_STRONG__,"3
"
e71e5d73-9aff-4908-8f59-a8e3a66ecc0c,ACL_DB_ATOU(_str_),(_str_
9a9b932f-bf6c-450a-bdae-81e53a159eee,__attr_access(x),__attribute__
6afed838-1d69-4d16-934f-08dae44fba51,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
48562587-0417-48d3-8d9d-9e5d4309227d,__DBL_MIN_EXP__,"(-1021)
"
43cb54a4-5016-4ff7-a257-fdb2cdc60988,EMULTIHOP,"72
"
75d22893-b079-42ea-bfc7-6e2103a3ed13,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
4f8e3d66-c18f-494c-9d92-ce98715a6c10,AF_MAX,"PF_MAX
"
3645cde0-604b-4622-bfc3-f4bffc1a5426,_SC_PII,"_SC_PII
"
283b80e5-9197-4ee3-8428-3e72b9f8cf19,TCP_CONGESTION,"13
"
eca3cf79-f422-4ef5-9d45-f91042e76c0a,__CFLOAT32,_Complex
48d1f0ae-f3c5-4cf2-acf9-b364f58852ea,IFF_SLAVE,"IFF_SLAVE
"
60ee7800-9e23-409f-8cfc-af97c982e9b3,__UINT_LEAST16_MAX__,"0xffff
"
34ffea07-479f-4466-967d-f80c85af3880,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
1bff6379-75fa-4887-9d52-dec473ebd9c2,IP_ROUTER_ALERT,"5
"
986858c7-e11a-4464-b1d5-9133bdf7091a,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
b902a395-1b6d-4d69-a50e-6d1b17678274,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
1a044e11-7e35-4ef3-bc1a-75d990ac86a5,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
d3f17675-312c-4132-8023-dd14cc417caf,IPV6_RECVPATHMTU,"60
"
988834ce-1e29-4d23-84ba-53a60a723892,__FLT128_MAX_10_EXP__,"4932
"
5cf99bfa-07e1-4478-b722-c32bb15a88fc,RE_DUP_MAX,"(0x7fff)
"
4aa1c837-a7b2-48b4-abf2-dc8980e359f1,SVE_SIG_REGS_OFFSET,((sizeof(struct
2fe862a6-c59e-420c-881c-95f800dad1be,ACL_MASTER_FLOW_READ,"3
"
7c17fbb3-1eb0-4cf6-b424-63f0ad26e99a,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
c3a978ee-535d-489e-a9a9-54b39991dd0b,sa_sigaction,"__sigaction_handler.sa_sigaction
"
78e431a8-15ad-4ee2-8e18-fb1d6303c95f,ACL_JSON_T_OBJ,(1
42160d2f-bee5-4f66-bbf4-1a82a5c1fede,ifr_name,"ifr_ifrn.ifrn_name
"
11605471-6a2b-4198-a688-94557d5b7283,__NFDBITS,(8
09243773-74e3-4a77-b836-3e5e62b9a392,AUT_FLAG_LOOP_END,"4
"
eff29722-235f-4c16-87cb-df0dcfaf9d93,acl_spool_accept,"acl_ioctl_accept
"
d5262f1e-ae80-4181-a85c-57c2de40f262,si_fd,"_sifields._sigpoll.si_fd
"
8afe8609-7cb3-4aa8-85a2-8339edfc72c1,_T_WCHAR_,"
"
2395c644-6f04-4cd1-ad63-13e567af99aa,_SC_IPV6,"_SC_IPV6
"
b93b2c8b-66a7-430b-9738-79e6dbc8b7e3,_IONBF,"2
"
cbdb7a2d-c6f5-4283-9a5b-2343983a9cc0,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
7c9002c6-54c3-4b2f-9000-5f9521a9f2dd,NI_MAXSERV,"32
"
a46606fd-67dd-40b3-b5fc-2f5f8f422c4f,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
3341ba97-13ef-45dd-bf1b-f749dcbb8b52,__CFLOAT64,_Complex
4066fe03-b976-4076-bacf-667081431c7a,TCP_CORK,"3
"
65760be9-4108-4c2c-8c74-0d7c49cf04b1,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
8e7785e0-8c65-426d-821b-7dbb63ace33b,IP_DF,"0x4000
"
bec3a9e2-59dc-4442-976e-469a471da50f,acl_pthread_getspecific,"pthread_getspecific
"
6b1f738d-82bf-49a8-b619-3239db98af0f,si_arch,"_sifields._sigsys._arch
"
09adc82d-0de7-4d2b-80a5-bde81ebf7b84,ACL_EHOSTDOWN,"EHOSTDOWN
"
9af4cf29-d62b-44c5-8877-32799532d2f7,ACL_FHANDLE_O_MKDIR,(1
6247e227-f56d-4df1-ac0c-f43bd4b49b5c,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
cbd7e38a-0c02-4383-80ba-397857812762,__S64_TYPE,long
304117d0-0c6d-4919-ac43-986e51c9390a,IP_TOS,"1
"
