id,name,value
5d7cb27e-2cf3-4fe2-93fb-4fa6aee8cb19,__S_IFBLK,"0060000
"
f1bf9153-bba9-45d4-b0fe-2340044e8958,SOL_LLC,"268
"
33048732-ba3a-40bd-885c-a3b44cc56967,TCP_KEEPCNT,"6
"
815d10a1-d292-424f-a2b5-6738ffe578b3,_BITS_SCHED_H,"1
"
db995095-7676-4ce7-be78-6adc17665b3b,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
9e68d955-868b-4053-a4bb-5a0a16ef6ec6,__SSP_STRONG__,"3
"
02b48f9c-5e70-4aea-aa49-e0b0ec97ec03,ACL_DB_ATOU(_str_),(_str_
0feb7e51-0e18-419f-ae82-deae786ce090,__attr_access(x),__attribute__
45a760b8-70f7-4c79-8361-63c5e6ec48df,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
0c57e1d7-939a-41ab-8f5c-9a6308aa6975,__DBL_MIN_EXP__,"(-1021)
"
04a7bcc3-3203-4e10-8de7-063c75ed4ac9,EMULTIHOP,"72
"
af991f7f-0590-48e4-9946-3ef60d70945f,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
87005451-81d3-42c6-ba07-b1d532f0ac3e,AF_MAX,"PF_MAX
"
db575691-c43c-4165-b725-c9a5cfb01243,_SC_PII,"_SC_PII
"
de631371-3d7b-4fb1-9759-b60ea942884b,TCP_CONGESTION,"13
"
7a789a3e-16c9-4d71-85e3-21a973129496,__CFLOAT32,_Complex
9f21a872-1a2b-4ed3-9360-ec09c88b941a,IFF_SLAVE,"IFF_SLAVE
"
2ffb637b-af6b-4d03-85a8-c412d518df50,__UINT_LEAST16_MAX__,"0xffff
"
c3236c02-1028-4691-9847-d0fd3f2e4be9,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
fb758a76-586b-4f86-81d5-2863e5cad3f1,IP_ROUTER_ALERT,"5
"
472aab83-b01d-4921-9df1-86335ce9a71a,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
fb9a2d33-2edd-470c-9df0-cd3547fb6bc9,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
58578535-8b76-4823-be6b-6f1b08610f42,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
830be628-c675-493b-a513-2e466228f18b,IPV6_RECVPATHMTU,"60
"
b2acd066-4821-4784-8bc4-ca8262209ebd,__FLT128_MAX_10_EXP__,"4932
"
dbde009e-c283-4d63-bd7b-c680f5a03f37,RE_DUP_MAX,"(0x7fff)
"
04a977f4-f039-4473-bd95-9f598f141bd2,SVE_SIG_REGS_OFFSET,((sizeof(struct
00c195d3-6614-42e0-89d8-7603504b414c,ACL_MASTER_FLOW_READ,"3
"
94d55f00-0ed8-45d4-b22e-dfb26c480c07,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
550171af-01fa-4933-9489-9a339906628a,sa_sigaction,"__sigaction_handler.sa_sigaction
"
bd9a5764-0971-4ea1-b2fb-ca9df3c90380,ACL_JSON_T_OBJ,(1
4aee21e6-ea0c-4c66-a295-63c91420fa01,ifr_name,"ifr_ifrn.ifrn_name
"
206bda11-b539-44ae-a709-1c877fda26ea,__NFDBITS,(8
97228334-6404-4b31-ab6f-4dc1d93d9f2f,AUT_FLAG_LOOP_END,"4
"
f6da6364-c487-46cf-bc97-6365cf9db5e8,acl_spool_accept,"acl_ioctl_accept
"
bc75522e-50de-4fff-bc04-eaf72f3c364e,si_fd,"_sifields._sigpoll.si_fd
"
8544c9eb-9a40-4c3c-8a9a-0e19de2212b7,_T_WCHAR_,"
"
c05195fe-7272-4665-b210-0ab7d0c5a16d,_SC_IPV6,"_SC_IPV6
"
f7bdbb1f-3266-4f19-857d-b2cabdd6f2e1,_IONBF,"2
"
9d2b42d8-63c0-4f34-b85b-a81c7ed960b9,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
524e106f-6357-425e-a75f-ed45074d3ddf,NI_MAXSERV,"32
"
a6936ef7-7266-444d-9a25-a733a89af8ff,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
fa3d2db8-e8dc-4e47-931b-ac56b1b5d28e,__CFLOAT64,_Complex
de6ed47a-f01d-4032-92ff-47b452a6b43a,TCP_CORK,"3
"
48031ddd-02f2-4f54-852c-8736e9d26128,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
