id,name,value
f1c06cd6-ef18-4b88-bdf0-020c798deda7,__S_IFBLK,"0060000
"
1a2f64e7-578e-4ba5-9fda-b04e6e1509d6,SOL_LLC,"268
"
ca29c064-dbd0-4409-92e2-a3c8a69bb103,TCP_KEEPCNT,"6
"
3c3c44e9-e26b-4252-89b3-d7676f5a1327,_BITS_SCHED_H,"1
"
629f0aa5-28bc-43d3-bc11-bceb60b65714,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
3ad05e03-42c0-46fe-945a-a5d247e9df18,__SSP_STRONG__,"3
"
ecb0c376-574b-4428-bb27-f899ba4bae06,ACL_DB_ATOU(_str_),(_str_
df3acf94-c579-4b63-8e40-396653e3703c,__attr_access(x),__attribute__
3c6836d5-45da-4975-91b6-ecc9e44bb142,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
fe465e46-a1ac-4074-b683-51ad4c118ac8,__DBL_MIN_EXP__,"(-1021)
"
a9adce0a-3e98-4673-ad7b-e8a4ae18d5e9,EMULTIHOP,"72
"
851d157a-5b73-4262-b4b9-5f8258ed4a42,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
ef71327e-2ed3-40f4-b47a-dc502102758a,AF_MAX,"PF_MAX
"
2f6f2530-45d6-41db-beae-2d5051c37baf,_SC_PII,"_SC_PII
"
3872e94f-cbb2-4139-b67b-a46fe6e74d0b,TCP_CONGESTION,"13
"
74e947f2-e3b9-464d-8fb6-a3770bdd5742,__CFLOAT32,_Complex
d709beb3-5ed4-4a14-85a0-249aaf931784,IFF_SLAVE,"IFF_SLAVE
"
1edbb460-1965-48b5-a056-1f3aedbbc9eb,__UINT_LEAST16_MAX__,"0xffff
"
9254546c-da91-4df6-8418-e1449deb9572,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
9ae0040b-caca-41a2-ac56-d26f208a35a6,IP_ROUTER_ALERT,"5
"
8b21f0bc-8ce2-4130-ba60-7fefc03aa003,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
6570969f-9dfe-42d4-b45b-777f1f41c2a5,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
2dc41d88-c251-411d-af79-b6bac64df8a5,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
a1e65a95-4aa5-4aea-ae90-67f51cd13758,IPV6_RECVPATHMTU,"60
"
15d08456-3515-408c-95bc-367d0d7cb1a5,__FLT128_MAX_10_EXP__,"4932
"
559d5ffa-8cdb-4d24-8e55-589af0686d53,RE_DUP_MAX,"(0x7fff)
"
63f38d80-04bc-4294-bc3e-864920afb7b3,SVE_SIG_REGS_OFFSET,((sizeof(struct
5cfebe4e-ecee-4afd-a806-bafee604eaa8,ACL_MASTER_FLOW_READ,"3
"
