id,name,value
9e8f3c5d-15e2-4bdf-ba04-336aa77ba3c5,__S_IFBLK,"0060000
"
ffd0588a-3ca9-4563-a8c5-0237c69ae19a,SOL_LLC,"268
"
e8dbf8b8-921e-4856-bc2c-ba85b98cbfc2,TCP_KEEPCNT,"6
"
8ecf1550-886f-48ea-a1d3-db0f854bc061,_BITS_SCHED_H,"1
"
766a8fdd-55b5-4e07-92e3-a168418e4386,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
35b6ea4f-3e61-4973-bfea-d79d32b4f4eb,__SSP_STRONG__,"3
"
29704aa8-d8a3-4c70-8a36-a30b5aaf0f15,ACL_DB_ATOU(_str_),(_str_
d7b443a3-5ef1-4fba-a08a-6dc459db04d7,__attr_access(x),__attribute__
3c855083-f212-4411-96e0-6c4d2e5872a3,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
a4ea88f1-349b-41ff-8bab-c4fcd5109270,__DBL_MIN_EXP__,"(-1021)
"
bbfb4858-5cf9-46da-a50b-325f7bb136a2,EMULTIHOP,"72
"
cc2d41da-32a9-4241-8fba-60f7e08128cd,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
3b5744ec-6c1f-4ba2-99ca-1656e1528e26,AF_MAX,"PF_MAX
"
856ee427-c10f-4820-9fba-e96a28159ede,_SC_PII,"_SC_PII
"
123e58ce-0831-4f34-9f7f-f62c0cce2914,TCP_CONGESTION,"13
"
ccec1e7f-8f3c-4d63-99e3-c20abd979242,__CFLOAT32,_Complex
cde5c956-c04e-42d7-9e78-22995999db46,IFF_SLAVE,"IFF_SLAVE
"
661a73e0-374f-4aaa-873c-35b2113d57b1,__UINT_LEAST16_MAX__,"0xffff
"
6a03f503-67ac-4477-ae4b-be477fb474be,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
05b91036-d3e7-4cf1-a095-550313a9c049,IP_ROUTER_ALERT,"5
"
16243910-2db6-4dbb-a1b4-8adaa84d62a9,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
a480d733-25a8-4d13-92b9-fe27bf56d29e,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
e57d23a3-065a-43df-a940-a0195a60d401,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
dce638f5-de46-482a-8a33-b3ca1ef5e5cf,IPV6_RECVPATHMTU,"60
"
b3b92206-657f-497f-8792-f58c3ffa5bcd,__FLT128_MAX_10_EXP__,"4932
"
cfaca6d7-93c7-4bb0-9500-9eab98fee0a7,RE_DUP_MAX,"(0x7fff)
"
81f79519-3dd5-424c-ab70-372b1c370c53,SVE_SIG_REGS_OFFSET,((sizeof(struct
6b2aa803-74fa-4ac7-8602-5b3249014dac,ACL_MASTER_FLOW_READ,"3
"
1f1e1442-7b47-4963-98d2-6b3d8a46606d,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
125b10c4-ca64-4a6c-a8a1-f3ab78aa19aa,sa_sigaction,"__sigaction_handler.sa_sigaction
"
2095d40e-995a-430a-ad6c-af795cfb3409,ACL_JSON_T_OBJ,(1
63b1c9d7-1b17-4018-9cea-783b4863ffa8,ifr_name,"ifr_ifrn.ifrn_name
"
90529480-50d1-41e9-a8f4-9c8cf290e381,__NFDBITS,(8
fbd0c653-cda4-4372-a763-d694052a3948,AUT_FLAG_LOOP_END,"4
"
