id,name,value
fe25fd29-eaa4-4e2c-b117-0dd766ea9c96,__S_IFBLK,"0060000
"
0eb213a6-723b-4a5b-af01-8abe9d3b2b25,SOL_LLC,"268
"
a13ea07b-e173-4e3b-9ef0-cc32e61a4534,TCP_KEEPCNT,"6
"
72c9e161-0d19-4eb7-abac-d91eaca2ab49,_BITS_SCHED_H,"1
"
d302ec5a-a183-456f-9b24-617d65b4bf31,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
b7c4b2ea-7da8-4b1d-8b32-1ef28830b5c0,__SSP_STRONG__,"3
"
c57d1b38-0ba6-4db9-a745-48d96373e5b9,ACL_DB_ATOU(_str_),(_str_
3c1fb579-70df-4c5a-bb82-a6a6fc407c6a,__attr_access(x),__attribute__
c6ddc811-a9ea-40dd-b64d-0ddca9ec151b,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
a647e7d6-a5b7-4d60-9f53-82ab5fa80000,__DBL_MIN_EXP__,"(-1021)
"
f490bcaf-c22f-4e71-96b6-2fc36ccd579c,EMULTIHOP,"72
"
db61cddf-725a-48fe-8839-d6a03ad7fce8,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
148ce04c-bb16-4fea-9e4e-dc8f861dd65b,AF_MAX,"PF_MAX
"
f22ccb86-b9f0-4fc1-894d-de2d2b0a172c,_SC_PII,"_SC_PII
"
946ea44e-cf63-4aad-b8b2-06c2cd533705,TCP_CONGESTION,"13
"
e638275d-e655-4f27-a5bb-70f7b8b0d521,__CFLOAT32,_Complex
3a825131-821e-4d8e-bc22-a4f53a54db1d,IFF_SLAVE,"IFF_SLAVE
"
3e9be951-38d8-418b-ae7f-4ba51b698a7b,__UINT_LEAST16_MAX__,"0xffff
"
8b581a22-2b4d-41d2-b301-3d3407976170,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
efabc592-3f28-464c-8a23-c3673e43cff8,IP_ROUTER_ALERT,"5
"
01638591-bd17-4f31-975a-dd83e307b8f0,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
7e83f391-2283-40f5-8842-2ec0b103ddb3,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
c832cb08-f8e9-4b1c-9285-8b45f54f9dbf,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
e08ac121-90b6-4a62-b1d3-828e961115c0,IPV6_RECVPATHMTU,"60
"
0320a4cd-a542-4113-8c6d-8a7ddd9bec5e,__FLT128_MAX_10_EXP__,"4932
"
4e67f6f4-0a15-490a-a2df-b185251ab568,RE_DUP_MAX,"(0x7fff)
"
1ed97879-766d-4d5b-a318-54dd7f11a020,SVE_SIG_REGS_OFFSET,((sizeof(struct
1d4375da-c015-4cee-b1d6-b8ccc29ef960,ACL_MASTER_FLOW_READ,"3
"
746a9eb2-390a-474e-b22f-ea2f1c73ebb9,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
7c3c86e2-7d10-4034-91c3-de6c813449c3,sa_sigaction,"__sigaction_handler.sa_sigaction
"
05542c19-9b58-45c5-ada9-e2dcc269f752,ACL_JSON_T_OBJ,(1
0aedb093-3084-4af0-ae78-7a3fbb8b3664,ifr_name,"ifr_ifrn.ifrn_name
"
0746c914-abe9-4b59-899b-ce0cb09dfc88,__NFDBITS,(8
a8ac9378-da4a-488e-ba91-31e789bb8fd3,AUT_FLAG_LOOP_END,"4
"
ef2bf72b-6b40-42dd-baf8-f6b9f5ebeb6b,acl_spool_accept,"acl_ioctl_accept
"
839a6fda-bdd2-42f9-b17a-f6541d4a762f,si_fd,"_sifields._sigpoll.si_fd
"
dfe4e347-af51-4194-a525-0f3ad48fe4da,_T_WCHAR_,"
"
c6e7f3f1-f770-4278-ab47-e3b5229b70e1,_SC_IPV6,"_SC_IPV6
"
b91b4aad-1ca4-4a26-b333-9d3a6daf8775,_IONBF,"2
"
e90833f2-74bd-42a1-8d65-6338f99764b2,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
271196e5-e0e5-4dcc-acbd-7bb65ae6806f,NI_MAXSERV,"32
"
87723e3c-346c-4bb5-945c-4618e2aea981,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
127982bf-c398-43b3-a9cf-0167bfab7c7e,__CFLOAT64,_Complex
58136fde-fbb5-44fe-b4cf-2a3d366f0614,TCP_CORK,"3
"
9cdfbae2-d506-4308-ae71-2e1e6bbedc82,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
72f25934-b48b-48e7-b31c-a9ca3619145c,IP_DF,"0x4000
"
ce192944-9103-4ef4-a37f-82306abae713,acl_pthread_getspecific,"pthread_getspecific
"
fe6e3e40-eec9-49ce-b518-203e44d89da7,si_arch,"_sifields._sigsys._arch
"
8488b005-9773-4cb1-8174-786390af4909,ACL_EHOSTDOWN,"EHOSTDOWN
"
93f583fc-4f22-4af4-9d2f-3a0d10d70728,ACL_FHANDLE_O_MKDIR,(1
233def54-7c44-4c3e-bc83-d27d9da9554f,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
e0a3fb16-8d3f-4d01-a893-92c86f9b7098,__S64_TYPE,long
74f1676b-d584-4967-bde1-9cb24cefdeb0,IP_TOS,"1
"
e01624ec-9871-486b-be84-8428b776ac53,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
fdc51a36-4d58-4e79-91b2-e2d676347fe4,__SQUAD_TYPE,long
db87f345-4fb5-4bff-b4bc-1d597dbfd682,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
d04030a8-d773-4ae3-a5b7-82ab64319bed,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
0d72c38d-552c-4b0c-a3c8-c63ba184874b,_BITS_SIGINFO_CONSTS_H,"1
"
f5da3ada-8f9e-44a9-b759-c840afb04ef6,SIGBUS,"7
"
9db45c2c-d9a7-4819-8144-75919221d6b0,_BSD_SIZE_T_DEFINED_,"
"
2c333133-cdd7-4c45-9f71-8bbb6dc3fb97,ACL_DNS_OK_CACHE,"1
"
8e6d97da-a130-42f2-b2ae-125ba6cad062,SIG_SETMASK,"2
"
fc2f340f-11c9-440c-9cc6-edffe86d7597,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
c3beaa52-1395-4707-bc28-23c0069f0a29,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
b5a17ff4-ec89-49d7-acb3-9395a151c1dc,acl_myfree_fn,"acl_free_fn_glue
"
02934da7-464a-488c-bd97-95016a029c74,__CHAR_BIT__,"8
"
26ba6836-4118-4361-9a23-b6db40f9fc15,SO_DOMAIN,"39
"
14d2ba6b-790e-41ff-be08-f7d6a643f857,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
b6633701-4b65-489a-805e-923a2ad62488,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
210650ee-ae1b-433d-8c63-4908cfd7f651,EREMCHG,"78
"
5b1b104c-42ef-4bb0-a2d7-b2fe2efae4e7,SIGTTIN,"21
"
0207e7dd-3a8b-4cdb-858c-187d61252f4c,EACCES,"13
"
718b6b10-5eb0-4fb9-b5f8-6825e66481f7,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
81bad2bf-38db-4569-96a8-28146c10120a,IFF_ALLMULTI,"IFF_ALLMULTI
"
d5063111-02d8-4f40-9c1f-828d9dd5ddd2,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
c957b8f3-3182-4b7a-a963-4d7b4ce2ecae,"__isupper_l(c,l)","__isctype_l((c),"
0fd1fb49-c30f-4d16-ab66-3cc7c4ce0f6f,EDESTADDRREQ,"89
"
897ec7a9-984f-4e52-a454-62a7d20898a7,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
0078e91c-4559-4686-97d4-0e04b6a4968c,ACL_RFC1035_TYPE_MINFO,"14
"
71e159c8-3eb1-4338-a087-96b815e3b92a,__DADDR_T_TYPE,"__S32_TYPE
"
76937e95-4775-44a7-b2a9-2ab121afc669,ACL_THREADS_PARAMS_INCLUDE_H,"
"
967a3be3-fbc5-4550-96da-bde9233b53c0,si_pid,"_sifields._kill.si_pid
"
4b4a6a55-70dd-4bb6-90cf-e10457793663,PIPE_BUF,"4096
"
cef41484-d33f-49c6-9b56-d332aac8b14e,IP_TTL,"2
"
e3e74d1f-d9d5-4b7a-b418-fa3a7f2effea,ACL_VSTREAM_FLAG_WRITE,(1
7e25525a-0c75-4e8f-9663-b2cc45528239,ACL_DEFINE_SUNX86_INCLUDE_H,"
"
85bada20-10e6-4487-b0ab-fbf431b11680,IPV6_JOIN_ANYCAST,"27
"
e54123ba-6078-4860-91ae-1e8840663bdb,stderr,"stderr
"
af4b0fcc-6dea-4044-aa8f-246883260723,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
9f6ee24a-4211-4a5d-822b-da121ca153d6,_CS_POSIX_V7_LP64_OFF64_LINTFLAGS,"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS
"
8db574db-92d2-43ce-a8b2-d4955885ee78,SOCK_RDM,"SOCK_RDM
"
283372db-4c7b-43bd-9336-bee261eec4dd,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
bdae2ca7-b82d-471b-b833-1a2e431b6cc8,_SC_V7_ILP32_OFF32,"_SC_V7_ILP32_OFF32
"
00564405-728e-4679-bb3c-23118231d6c2,__INT32_C(c),"c
"
59857545-0fc1-4326-91b0-f7e46072b2e4,ACL_APP_CTL_EXIT_FN,"ACL_MASTER_SERVER_EXIT
"
11cc33fe-46c4-4900-80bd-e0143c950d68,PF_DECnet,"12
"
fc246610-0fff-400a-90db-648531729fcf,IPV6_CHECKSUM,"7
"
adb2d78e-2436-413c-a06f-a34784939a07,EMLINK,"31
"
28dbb0b1-3f16-458e-a0b7-90c7b432def7,__ORDER_LITTLE_ENDIAN__,"1234
"
3c56ffb4-5dde-45b2-92cd-f0575e3cbd2b,IP_MAX_MEMBERSHIPS,"20
"
33b16802-4b86-4b06-a122-88a75722e533,"__ispunct_l(c,l)","__isctype_l((c),"
0797584d-2d61-4ca7-ad01-76107d85a66c,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
648c1150-9817-4462-b47a-ee9ee30dcaa0,__STATFS_MATCHES_STATFS64,"1
"
67552ff4-1ec7-427e-b30b-a27da2da3054,ACL_DLL_FARPROC,"void*
"
b8128f78-f474-48c3-b385-9803c262f867,IPPROTO_ROUTING,"IPPROTO_ROUTING
"
ac4df6ca-6c0a-403a-ac30-938ef08bf7fe,IPOPT_SECUR_MMMM,"0xbc4d
"
3f6120f2-824a-4129-b2bc-fa5a15310dd0,ACL_BINHASH_STAT_OK,"0
"
a95f2942-94c6-46bb-ae62-f8ad6a6d9d4d,ACL_RING_LAST(head),(acl_ring_pred(head)
d137aa40-8663-4852-af8a-8c5e6c7f3777,MCAST_LEAVE_SOURCE_GROUP,"47
"
4c4857a8-ea48-4c03-896e-36cda71b1406,__FLT32X_DECIMAL_DIG__,"17
"
ff2571dd-d4fc-4661-8ea3-fa2e7ee34d7d,F_RDLCK,"0
"
042ee92b-bace-4e50-87aa-e1c55b5f4a5c,IPV6_IPSEC_POLICY,"34
"
7b2520b4-a603-4dbf-8ce2-7991baf264d4,TCPI_OPT_TIMESTAMPS,"1
"
2e3a0d2a-1068-4c5a-9400-bc81e2371f67,_SC_SPORADIC_SERVER,"_SC_SPORADIC_SERVER
"
78b5366a-bd09-4cfb-b832-5ebdde970c0a,_IO_USER_LOCK,"0x8000
"
646b6019-39c1-47ba-9b6d-4030a17a76f5,IPV6_2292HOPOPTS,"3
"
f3bdb827-3a70-450d-8d04-19cc7b2239f7,ifr_qlen,"ifr_ifru.ifru_ivalue
"
3f5fd8d5-c3b6-42d1-a618-deff0d1b959b,_SC_THREAD_PRIO_INHERIT,"_SC_THREAD_PRIO_INHERIT
"
4a0528d6-e334-4718-ada7-3e960094dac4,IPV6_PMTUDISC_PROBE,"3
"
88b834dd-f965-4bae-b210-7537a6dfa185,ACL_HASH_INCLUD_H,"
"
3cba9b07-15d8-49a8-82e7-45cdef030abf,SCHED_RR,"2
"
adaf4b7d-9aba-4061-8847-151377320a22,ACL_XML2_IS_CDATA(x),(((x)->flag
a83074d5-cdfd-40df-be1f-9770ab678977,SEGV_BNDERR,"SEGV_BNDERR
"
c65d403f-15c1-4e69-8bb1-0d6aba9f2300,ACL_HAS_FCNTL_LOCK,"
"
94c45a78-b34e-4280-919f-37b93e71f1d9,ACL_FLOCK_STYLE_FLOCK,"1
"
c178568d-fccd-4e29-960a-3fb3fa32ba74,ACL_XML2_S_NXT,"0
"
4a5811ea-82ce-44b3-b195-2b88623877ce,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
a41b81cd-1b87-454a-99dd-5f4488b650c6,_CS_POSIX_V7_ILP32_OFFBIG_CFLAGS,"_CS_POSIX_V7_ILP32_OFFBIG_CFLAGS
"
35352a8b-863f-4ab4-bed5-2a1951427cdb,ACL_SCAN_FLAG_RECURSIVE,(1
436c62dc-8c53-4870-8fdf-f8a2794f00b8,"IN6_ARE_ADDR_EQUAL(a,b)",(__extension__
b0ba3da5-51a4-4db6-9d60-1ab0d27cb224,__ASSERT_VOID_CAST,"(void)
"
eb40bc91-24cd-421e-b131-8b7db6204c4e,__O_NOFOLLOW,"0100000
"
449b2562-b4ef-44c1-bc1a-d09fa2d51d50,_CS_LFS_CFLAGS,"_CS_LFS_CFLAGS
"
d5f76ee9-49c3-4748-bdc8-8afc719d38fa,"__CPU_COUNT_S(setsize,cpusetp)",__sched_cpucount
858174d3-2252-4a0d-a555-63c592e9d9bc,__SIGEV_MAX_SIZE,"64
"
d70eb08b-6cd7-42ba-9969-a780fd1dffcb,PTHREAD_PROCESS_SHARED,"PTHREAD_PROCESS_SHARED
"
e49d4357-1023-4389-852a-6a3ba0a42a72,IPOPT_OLEN,"1
"
d74de8c2-3570-4698-b804-fdda73b776a5,__SVE_VL_MAX,(__SVE_VQ_MAX
8560e0a7-5997-4f28-8809-a2e75d953fa6,__sigval_t_defined,"
"
