id,name,value
49e42826-9af5-4074-bb17-058cdd8ba58e,__S_IFBLK,"0060000
"
01522caf-74f4-4616-9030-c07d904f5fa5,SOL_LLC,"268
"
9bb47fd0-a74c-4484-81f2-e7bd2507c337,TCP_KEEPCNT,"6
"
5cfd2e2a-d322-4ed8-94e6-0f15ed870104,_BITS_SCHED_H,"1
"
d1ec9113-9289-454a-a4ef-1d54613c0ead,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
34cb76e7-1578-4942-a505-ebd7a26b0730,__SSP_STRONG__,"3
"
463bef8d-915d-4fac-8da4-a8b0d9e858b1,ACL_DB_ATOU(_str_),(_str_
10668143-ab06-444d-a99a-00da9415df34,__attr_access(x),__attribute__
fb4990d5-9478-4ae7-957f-8dee0e0681a5,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
5bc9cdba-fea9-41a1-ba58-16d174b60701,__DBL_MIN_EXP__,"(-1021)
"
b88eac2c-0713-4f1e-ac7d-94e137e43339,EMULTIHOP,"72
"
099ca5f4-2bd9-475b-aef4-385ab6103611,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
c294c967-b8c3-421e-9ca5-5872f112a741,AF_MAX,"PF_MAX
"
86b43d2d-ad2c-4dbe-a7a3-a2d1e09c966e,_SC_PII,"_SC_PII
"
0a68f543-c30b-4f77-ad7c-ba2560107465,TCP_CONGESTION,"13
"
2eb528c4-8dc7-45bb-9e34-812081908f9c,__CFLOAT32,_Complex
a3084e87-29e1-4478-975b-4dbb222b3030,IFF_SLAVE,"IFF_SLAVE
"
9c80b917-61f9-4032-a2d9-a1c68fadfa72,__UINT_LEAST16_MAX__,"0xffff
"
a6ab3bb4-e2f0-4456-b4da-095b4503a3d7,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
a4246ca2-55bd-4a97-8552-bb10d39e212c,IP_ROUTER_ALERT,"5
"
414e93c0-65ec-4992-aab2-2fba36afc1b4,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
efabdc56-12eb-412b-bca7-03eb4ccc76e0,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
8c891a5d-50de-47d3-85bc-2aa51f37f694,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
9cbb6c7a-0273-479b-9a3e-c3a1952af285,IPV6_RECVPATHMTU,"60
"
7a85801f-df91-41b6-b16c-18d4eb6fa123,__FLT128_MAX_10_EXP__,"4932
"
6c8a822c-004e-4f3c-bd98-412cfca215e0,RE_DUP_MAX,"(0x7fff)
"
043fdf01-f3f4-47f3-b42b-658301b4fee1,SVE_SIG_REGS_OFFSET,((sizeof(struct
f1cd605f-4985-4d7e-bb19-afaab596e675,ACL_MASTER_FLOW_READ,"3
"
54df6ea0-e9bf-4dd5-859b-8a8b4b9996f7,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
f24fe0b0-242b-47d8-951a-e30e26646d1d,sa_sigaction,"__sigaction_handler.sa_sigaction
"
9953160c-b335-4fa8-b39f-952261ae65b2,ACL_JSON_T_OBJ,(1
1321c95d-1bd6-45e1-b678-8b00ddc6f717,ifr_name,"ifr_ifrn.ifrn_name
"
d0a24d0b-45f5-4075-86b0-8e422977a52f,__NFDBITS,(8
ebd928f2-89e9-4041-a6cd-7c3cfe61ed7c,AUT_FLAG_LOOP_END,"4
"
015ca6ea-c87f-48ab-97d3-3f97418ac2f1,acl_spool_accept,"acl_ioctl_accept
"
86b1a61c-81d8-46ac-873d-ad1eca87edc5,si_fd,"_sifields._sigpoll.si_fd
"
e9328601-f686-45e8-bc1f-9588ac1c4f53,_T_WCHAR_,"
"
f4c45ec9-3d26-4f40-ac67-82b97dc899a4,_SC_IPV6,"_SC_IPV6
"
c843dfac-c67a-4fa0-9e72-f8388a27769d,_IONBF,"2
"
8f31ae64-5cbf-42f5-a8c1-6f40a898d0fa,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
74831c78-0ef6-4e77-8f58-3baa5cdb31d3,NI_MAXSERV,"32
"
ac88e52e-1342-4f2d-8d62-5e591366a276,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
8fd04100-66a3-4313-bee5-1e048f3f675c,__CFLOAT64,_Complex
cdcc0b09-0f55-4ea9-b82b-80130696c3c6,TCP_CORK,"3
"
73ccd0b4-664e-4035-999e-4aa480178312,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
f8acacbf-9aa2-4d81-8a16-4d888735764c,IP_DF,"0x4000
"
80db4c82-50fd-4cc1-8bda-2c3ddfd799b3,acl_pthread_getspecific,"pthread_getspecific
"
cc114003-7755-4089-9df5-8ae6e325e778,si_arch,"_sifields._sigsys._arch
"
e362ee2a-7bb2-4c8f-b51a-e3f28c78cfb2,ACL_EHOSTDOWN,"EHOSTDOWN
"
fb8fd066-3de5-46d2-a9ce-ef3a0465c5cc,ACL_FHANDLE_O_MKDIR,(1
807083a7-fce9-4de7-8752-1a6252708696,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
08cb2ce9-b7a4-4d45-8797-c70274575165,__S64_TYPE,long
6b1603d2-e1b9-4d42-9360-9a2c49f8ce1c,IP_TOS,"1
"
f21fad58-67b7-44fb-ba9c-8c093c8c1756,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
ca868349-50ed-4480-8730-92f8cce3cb57,__SQUAD_TYPE,long
aa10468c-e789-4265-bc50-127e7189463e,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
57126e19-3e97-42df-b5d5-37de42438e90,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
33dd1523-8f41-40af-b09c-943f6ddc85ff,_BITS_SIGINFO_CONSTS_H,"1
"
5976a849-0d8b-4f6a-80da-3b324f16151e,SIGBUS,"7
"
b3ea5e3e-6e0a-45fa-a58c-1ed3e41dbf20,_BSD_SIZE_T_DEFINED_,"
"
644afa32-eeed-491d-a303-cce20e0e9c6f,ACL_DNS_OK_CACHE,"1
"
81fdd3cd-7b65-4d11-a1e5-8a8754e34443,SIG_SETMASK,"2
"
bc54d007-a1ed-439c-858e-dac8c9a57c08,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
19c0c824-a03b-47b9-a9fe-2c8679a2acbb,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
ff98bb75-f8cd-4e1c-ada6-be4c1a1406ed,acl_myfree_fn,"acl_free_fn_glue
"
195522da-ddcf-4df5-aec3-abe735936f62,__CHAR_BIT__,"8
"
a004a281-e38d-4d56-8a8d-bd868eefbcb4,SO_DOMAIN,"39
"
d4f51c37-e2ff-4629-85d5-005cbd3edd3b,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
30a060e7-b1c8-40f6-8df4-c9d117a12a2b,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
2840d65e-e479-4c77-8a38-eb92948e9f7e,EREMCHG,"78
"
012a1892-3c18-423e-bfd8-8650494dc3c0,SIGTTIN,"21
"
ac322bcd-19b3-4041-8958-02fb0cb2626e,EACCES,"13
"
fa2e2d84-3562-4a53-a216-69c70c5992ed,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
e129ae01-cf9a-418c-84ef-96956ebdc9b3,IFF_ALLMULTI,"IFF_ALLMULTI
"
ab5fbeb0-5c84-4e84-a384-ef27fb88b51e,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
696dadc9-d18f-465e-9ac0-c56df6fa298e,"__isupper_l(c,l)","__isctype_l((c),"
75f8795c-42c0-4998-a25c-cd0499eb242b,EDESTADDRREQ,"89
"
16d8d05e-276e-4bdd-837c-d8955c52218c,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
86ba1d8d-8fe4-4d75-ac0f-6170f8061c29,ACL_RFC1035_TYPE_MINFO,"14
"
42a90a8d-a80c-4f30-a90b-089c8aff53db,__DADDR_T_TYPE,"__S32_TYPE
"
1e60dc10-5328-41f0-b11b-034b3f429b28,ACL_THREADS_PARAMS_INCLUDE_H,"
"
c3250be7-6768-4dcb-ba21-98f93d90cd4e,si_pid,"_sifields._kill.si_pid
"
8bebdf0c-eebb-4fb1-b687-d3f28dd57c06,PIPE_BUF,"4096
"
f96a8897-20c4-483e-bfbd-20d9a4f7abbc,IP_TTL,"2
"
b81b5329-20f9-4178-9d9f-7867af653870,ACL_VSTREAM_FLAG_WRITE,(1
b7bf5ed2-5502-45e2-b922-1336bc73c9f3,ACL_DEFINE_SUNX86_INCLUDE_H,"
"
a496327e-887d-430b-83db-069a06ce1fc8,IPV6_JOIN_ANYCAST,"27
"
11f7942a-2c38-4cfb-865d-e616c5c11829,stderr,"stderr
"
fccfd82f-caf6-476a-8e0a-e934b95f1fd5,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
8133b86a-91ca-4263-89f4-3360c823f730,_CS_POSIX_V7_LP64_OFF64_LINTFLAGS,"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS
"
02826e32-1c45-4061-a521-c0435a497c78,SOCK_RDM,"SOCK_RDM
"
9082372f-ec88-4b03-ad73-3e754e7dc5a2,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
7136c24b-b452-4682-b8f5-0480a04f5cae,_SC_V7_ILP32_OFF32,"_SC_V7_ILP32_OFF32
"
8be152a3-2bc2-4f3b-9d14-dd26a809892c,__INT32_C(c),"c
"
cf29e218-f40c-4661-96fc-c7bc7018bc88,ACL_APP_CTL_EXIT_FN,"ACL_MASTER_SERVER_EXIT
"
22345422-48c7-4b39-b090-65ab3f5c0c61,PF_DECnet,"12
"
3ed00b7c-2836-44f5-a863-c837e3d0bb5e,IPV6_CHECKSUM,"7
"
ae64dc41-82b4-4139-9470-fdd71974f1de,EMLINK,"31
"
40ac63a7-cbb9-4194-9c50-b0d1eb1f14a2,__ORDER_LITTLE_ENDIAN__,"1234
"
4f6c123c-eb6e-475e-884b-d0ee408136eb,IP_MAX_MEMBERSHIPS,"20
"
c0f7aff8-09e6-4a70-aaaa-2aa30ed4de20,"__ispunct_l(c,l)","__isctype_l((c),"
8c9630b5-a64a-4b11-ac61-f035b72de34d,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
52b7ee8a-6772-483e-9996-02cd893584fe,__STATFS_MATCHES_STATFS64,"1
"
004ac5e0-b18d-4370-8842-f3e957bd6428,ACL_DLL_FARPROC,"void*
"
e9beaeac-421f-4189-b5c2-6b764fc2050f,IPPROTO_ROUTING,"IPPROTO_ROUTING
"
071f5010-f829-4f60-a854-3c1271e8b5de,IPOPT_SECUR_MMMM,"0xbc4d
"
aba86a7b-9756-4229-9a5b-2b49e2da3b7d,ACL_BINHASH_STAT_OK,"0
"
e5ab787d-3e4a-41a8-b916-2c28c2780714,ACL_RING_LAST(head),(acl_ring_pred(head)
37b1d7c8-7e7d-4d47-9f77-d44823f1b83b,MCAST_LEAVE_SOURCE_GROUP,"47
"
d4ec3f33-7bab-4e32-a2c4-59a64488c3c7,__FLT32X_DECIMAL_DIG__,"17
"
4301dede-b33e-4655-b9d9-7a9db04b6a21,F_RDLCK,"0
"
479a9e12-3b93-4587-8569-df59acdf8f34,IPV6_IPSEC_POLICY,"34
"
c21032df-92c6-4f52-9788-791e32cfbb39,TCPI_OPT_TIMESTAMPS,"1
"
59c1abaf-073d-4fb6-86af-211f9decd730,_SC_SPORADIC_SERVER,"_SC_SPORADIC_SERVER
"
bafe0723-26fe-49ae-bbf5-676f8b08cb7b,_IO_USER_LOCK,"0x8000
"
cf30f131-6b1b-4d6c-bff3-e1175cfc82d9,IPV6_2292HOPOPTS,"3
"
4ebed202-e491-4c35-9275-020e4808f0bd,ifr_qlen,"ifr_ifru.ifru_ivalue
"
528605ca-34bb-4459-86f4-05f53e1aad32,_SC_THREAD_PRIO_INHERIT,"_SC_THREAD_PRIO_INHERIT
"
1f3f8281-b4bb-4be9-8cef-59f6bf957860,IPV6_PMTUDISC_PROBE,"3
"
cf31b6b7-2bd5-49b0-85eb-4df8a3f08fff,ACL_HASH_INCLUD_H,"
"
e4364f51-7dc4-476a-9773-b7b29dac02f4,SCHED_RR,"2
"
6e6030e0-2a8b-4996-96fb-af71f8213103,ACL_XML2_IS_CDATA(x),(((x)->flag
9e77a582-1d1a-4aa0-9879-6f8d9726f35a,SEGV_BNDERR,"SEGV_BNDERR
"
31f4d049-ff57-4c9d-ae22-27e321ec7eec,ACL_HAS_FCNTL_LOCK,"
"
78f8352d-38fb-4d94-b449-654cb1cbad59,ACL_FLOCK_STYLE_FLOCK,"1
"
f8fab471-3d17-4501-9e09-1433fa12b2c1,ACL_XML2_S_NXT,"0
"
b84cada3-6829-462d-8413-03a2d9d4807a,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
da7327e4-4cb7-479b-a3ed-7cae95fbfe6b,_CS_POSIX_V7_ILP32_OFFBIG_CFLAGS,"_CS_POSIX_V7_ILP32_OFFBIG_CFLAGS
"
5e94e396-5ab3-4da6-b882-7faabda5b2c8,ACL_SCAN_FLAG_RECURSIVE,(1
fa9a21f1-d7b3-4368-84fd-e876381d78ac,"IN6_ARE_ADDR_EQUAL(a,b)",(__extension__
ced99bdf-dcc3-4940-9185-37f5cd3102a8,__ASSERT_VOID_CAST,"(void)
"
ec360b98-ec3d-4472-8a10-67e37708223d,__O_NOFOLLOW,"0100000
"
16ca48f0-bc9d-41d7-a74f-ac3e474f25d0,_CS_LFS_CFLAGS,"_CS_LFS_CFLAGS
"
8fbe6503-02f1-44bd-a72b-9d444547a636,"__CPU_COUNT_S(setsize,cpusetp)",__sched_cpucount
c3a2f989-7a2c-45d6-a7cd-1367b4c3d455,__SIGEV_MAX_SIZE,"64
"
06fe8669-febe-48f9-bb92-78eb2fb3ece5,PTHREAD_PROCESS_SHARED,"PTHREAD_PROCESS_SHARED
"
a0dc8061-8d4a-424c-961d-267b568076b4,IPOPT_OLEN,"1
"
fe69b9c6-2853-4942-9ec9-4bc7664f141e,__SVE_VL_MAX,(__SVE_VQ_MAX
84f63a61-8125-45e4-a360-3b626ed1320f,__sigval_t_defined,"
"
1071de36-049e-479e-9532-cfa4a306dde5,ACL_MASTER_SERVER_ON_ACCEPT,"17
"
cf9a6954-12a6-4c9d-b3dd-136b9d650e4d,MCAST_LEAVE_GROUP,"45
"
2a6d889a-9164-424c-8597-e7b9aa29c32e,SOL_BLUETOOTH,"274
"
