id,name,value
ad670086-9a7e-4a0c-bdeb-31d7ade5e3ed,__S_IFBLK,"0060000
"
000f8189-7159-4043-b5cf-072bb29336a8,SOL_LLC,"268
"
837f8823-c5d5-4167-a414-51ec95f59b6b,TCP_KEEPCNT,"6
"
131d8c70-65e0-42aa-9e27-46241b89901c,_BITS_SCHED_H,"1
"
13f5d73c-03e5-427d-8ef9-254e36d67591,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
32a117bd-6c92-462f-9ab5-2543d5bdf49f,__SSP_STRONG__,"3
"
1d7e1b61-5bdf-4d11-ae45-01bd91e5ecc7,ACL_DB_ATOU(_str_),(_str_
61144d87-97fb-4b2d-85c1-b53ce8bee937,__attr_access(x),__attribute__
4a95dc98-ddb2-4fb3-81fa-550c30b24786,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
ad5952aa-9b8d-4662-a537-61ebea50969d,__DBL_MIN_EXP__,"(-1021)
"
3c2f82b1-36f3-41c4-9226-bc37183aa8b1,EMULTIHOP,"72
"
4af064e8-a4c1-4d65-a5c7-47e80b1b8873,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
8e387644-6382-4949-a2cd-f22b6759ab66,AF_MAX,"PF_MAX
"
d85e5715-feee-479e-9feb-e1c2b6144553,_SC_PII,"_SC_PII
"
c9fff352-133b-48f1-80ea-c9055ded1cba,TCP_CONGESTION,"13
"
cc48951c-1623-41e9-846b-ba59593daf06,__CFLOAT32,_Complex
af149b79-41fa-4b57-95ed-4a6666614116,IFF_SLAVE,"IFF_SLAVE
"
3e0b636a-2dee-4201-bb05-e38e1dbf9942,__UINT_LEAST16_MAX__,"0xffff
"
d25a45f5-fb09-487f-8a91-abeac61889b0,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
ebc78b03-7bf0-4b6e-b3eb-e56f1c202dc8,IP_ROUTER_ALERT,"5
"
1dc32bfb-3c33-486d-a1c3-4f060ab599f3,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
e9856926-d5ce-4e13-ab8c-0d243085f2cc,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
01c22d70-9d69-4c40-9a55-5d50e20e9919,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
60c6a6a5-51d5-486d-a8e3-d176b097adeb,IPV6_RECVPATHMTU,"60
"
96511dcd-34bc-4649-bbea-219583936bad,__FLT128_MAX_10_EXP__,"4932
"
d0a12153-4904-4c90-93dc-f952fdc6b051,RE_DUP_MAX,"(0x7fff)
"
6d5dcd33-f77c-4282-9b00-1391e9a20f9a,SVE_SIG_REGS_OFFSET,((sizeof(struct
e8dbfcdc-c64b-4421-9a98-60694a308abe,ACL_MASTER_FLOW_READ,"3
"
aa0677eb-fdc4-4f70-ae9f-9effc2725a8a,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
682022a1-4400-4ec8-87b4-dfdbf008d5cb,sa_sigaction,"__sigaction_handler.sa_sigaction
"
3a486aca-2d89-4544-8c2b-69fc660f1e6d,ACL_JSON_T_OBJ,(1
836965f7-ac83-4da0-b8f1-866ba1fb587e,ifr_name,"ifr_ifrn.ifrn_name
"
d9a52af3-31fd-4abb-9d50-e571eaa81eab,__NFDBITS,(8
1e021499-22d3-4d03-a455-a90f9738e0c7,AUT_FLAG_LOOP_END,"4
"
057b5ff7-2b72-4117-985c-b79bf88b3c25,acl_spool_accept,"acl_ioctl_accept
"
49fa7956-2763-4f3d-97e8-3baaebe9d13a,si_fd,"_sifields._sigpoll.si_fd
"
2d2096ff-a96b-491b-8bc6-03e479ae12ab,_T_WCHAR_,"
"
e41b228b-99b4-48e6-863a-3fe82b3eb2fc,_SC_IPV6,"_SC_IPV6
"
ce756c3e-44a0-491a-b2d4-de1aba4050cc,_IONBF,"2
"
70464f5b-8029-4fab-ad62-3e6f88570c20,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
c450e4dd-183e-481b-9e83-97979ef1086d,NI_MAXSERV,"32
"
a4b04944-8528-48da-b736-5bfa4ea6142c,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
83ac186b-c2b2-4a61-ad1c-19bc56fbc4ee,__CFLOAT64,_Complex
b84e2a9b-3c30-4a21-8bf2-af7ca54df462,TCP_CORK,"3
"
2821a307-dfd6-4459-837b-4126c4b6539b,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
3d1fa9f4-35a0-4afb-b7f8-8597857d019d,IP_DF,"0x4000
"
5808e320-d864-48cd-a0b2-85a9548d5d73,acl_pthread_getspecific,"pthread_getspecific
"
48d65ea3-14ba-40f4-a295-af54500a2c41,si_arch,"_sifields._sigsys._arch
"
c3448267-06df-4e54-9013-4acd60515b2b,ACL_EHOSTDOWN,"EHOSTDOWN
"
0df48f1e-bda3-40a0-9bd1-fb9765d13a04,ACL_FHANDLE_O_MKDIR,(1
8df2d08f-fb04-42fe-9c2e-64743eb59738,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
7f3f26f7-8aeb-499b-9824-cd5a4ee60640,__S64_TYPE,long
c0079014-7cf0-4d18-a315-09123b17af89,IP_TOS,"1
"
c08d517f-3324-4f3c-b45e-3031b720381c,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
0ca94905-b1c1-4a78-b839-cf489c194515,__SQUAD_TYPE,long
6dc44239-d38a-4449-b752-d660dfdf82ec,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
1e738de5-5d0f-4923-9df5-32f9183b765b,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
148be67c-9d8d-42b5-8919-5a6b07930596,_BITS_SIGINFO_CONSTS_H,"1
"
e2ae6c29-e682-46b9-a75f-3b3f5eaff46d,SIGBUS,"7
"
29d13425-f93c-45e3-9ce1-0eb70968ffb0,_BSD_SIZE_T_DEFINED_,"
"
10674a9d-145e-423b-915e-5f863bb60921,ACL_DNS_OK_CACHE,"1
"
110a59d3-be86-48ce-a2ea-9454a80cbcb8,SIG_SETMASK,"2
"
ca57e0ee-a226-4586-8048-d68f280d43c2,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
75e55bbf-c054-4623-aebf-e20291ee85a1,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
8acc3c62-b78e-4e66-b965-144cd0aca050,acl_myfree_fn,"acl_free_fn_glue
"
638fd3c4-37cd-42a8-aa4b-0cb28583ba44,__CHAR_BIT__,"8
"
093d52a7-9b54-473e-bad1-949170f70de2,SO_DOMAIN,"39
"
5edd01f7-b4d1-4265-9896-e596e050032a,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
258440d7-6558-4746-b712-40edf297e6e6,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
a20cfdfd-58e7-46a5-8e4f-757c105ee606,EREMCHG,"78
"
c233092a-e7e0-4c8f-979a-9bdb5d59c7ac,SIGTTIN,"21
"
d947f182-5b4c-4c67-8062-e68812913bb4,EACCES,"13
"
09bbc4f4-a6c1-4806-a87a-614b3699836a,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
e42e34cb-518e-4349-9c04-bd61f123d715,IFF_ALLMULTI,"IFF_ALLMULTI
"
947910c6-ea17-4646-88a8-daa6dafe4e5f,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
