id,name,value
6ffe110d-8182-4eff-9d51-ba41e36acb15,__S_IFBLK,"0060000
"
07469ad1-9650-44bf-aefd-f06f9e44e261,SOL_LLC,"268
"
f7007d5d-9dbd-4fa0-901e-828436e571f3,TCP_KEEPCNT,"6
"
96598b58-c750-43f8-8847-a4ced8302dbf,_BITS_SCHED_H,"1
"
ba8fdddd-e12b-405f-a4ce-9cb956ea2e73,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
39c90983-6422-4ef2-a2f2-545e57dbb0af,__SSP_STRONG__,"3
"
1a1ad343-d996-4d9f-9649-653b86a68f23,ACL_DB_ATOU(_str_),(_str_
d1d238b0-1875-4fa6-a569-203fc2634f39,__attr_access(x),__attribute__
8b23d2a9-ad35-44ae-a0f5-2a57e686a3f5,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
db3222d8-bdfb-4c1d-b637-43c6401ba57e,__DBL_MIN_EXP__,"(-1021)
"
c60a8b3f-e905-4814-bdfe-85951330061a,EMULTIHOP,"72
"
0abb6c91-2593-4ce0-b2ea-5568790a822b,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
6b27944a-889f-4d42-a794-357a07bc2cac,AF_MAX,"PF_MAX
"
f6b5b95d-f9fe-481c-90e8-5facfc88b44e,_SC_PII,"_SC_PII
"
f708009f-9653-41a8-89d0-96c640e1914d,TCP_CONGESTION,"13
"
a8229468-391d-4367-a1a4-85b10adf629c,__CFLOAT32,_Complex
7768112b-45b8-46de-9326-9f39c4e62498,IFF_SLAVE,"IFF_SLAVE
"
10528235-2849-4c42-ae8c-2535289f9a35,__UINT_LEAST16_MAX__,"0xffff
"
33003c5e-0bea-4466-bedc-30818fec6efd,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
247b470d-df63-468c-96af-05018a81c476,IP_ROUTER_ALERT,"5
"
d8bf5604-14c9-47c6-ab78-ae5a4a3b97f8,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
d8abae95-6131-45b4-bdf0-ac5d2e58c2dd,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
93afeb1d-502f-4e98-a50c-e57ece97e191,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
3830c08c-123a-4d86-bdd4-872bb6c91f59,IPV6_RECVPATHMTU,"60
"
2f260569-8713-47a5-896f-f82b5d30fbfd,__FLT128_MAX_10_EXP__,"4932
"
fdeab6df-b3af-4daf-989c-b2d86a1bed85,RE_DUP_MAX,"(0x7fff)
"
741319d1-d517-4278-9472-49e09884a0fa,SVE_SIG_REGS_OFFSET,((sizeof(struct
382ed337-1ff6-40fb-80cf-4679fe0a1cf6,ACL_MASTER_FLOW_READ,"3
"
1ef27a23-b4cb-4f6d-85c7-8cf4d66efe06,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
06f957b0-96e7-4f79-9979-bff0581659b8,sa_sigaction,"__sigaction_handler.sa_sigaction
"
3c5538dc-0744-40c4-bd59-8bed173f68f7,ACL_JSON_T_OBJ,(1
42a3174e-138b-4afe-af9c-e516467962ae,ifr_name,"ifr_ifrn.ifrn_name
"
70754012-4631-449a-a678-62a716a6619b,__NFDBITS,(8
79ff63e2-98bc-4fae-b449-db2d0d64c534,AUT_FLAG_LOOP_END,"4
"
02706443-99ce-4630-b25a-e16efc0f6eda,acl_spool_accept,"acl_ioctl_accept
"
02728dbd-1188-465e-9b5b-6dddf388965a,si_fd,"_sifields._sigpoll.si_fd
"
3c4de737-b3bb-438c-aaa8-1fc9fc27ff22,_T_WCHAR_,"
"
c2904000-98c2-44a2-b2fe-3f704d1b0ef8,_SC_IPV6,"_SC_IPV6
"
ceb192df-b24d-4677-95f0-b7c34f320d9d,_IONBF,"2
"
1bd58070-8586-4e53-b85e-291e793491f1,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
