id,name,value
837384e8-e7ef-47c8-a2ac-f9f4524293b9,__S_IFBLK,"0060000
"
86a46f81-6e19-4212-846a-3b00bb85ccc1,SOL_LLC,"268
"
d6a36828-6a7a-45b2-9d7e-4d1b5c390bdc,TCP_KEEPCNT,"6
"
73283f64-d83c-4697-9ffa-b9ea3c387b9d,_BITS_SCHED_H,"1
"
0d887cb3-f8c0-4828-8cac-c02876ae42b4,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
47310ce4-1d04-49f8-bf2b-3592fc2d4daa,__SSP_STRONG__,"3
"
110c9105-7de7-4be8-a80b-cdae1f220f0f,ACL_DB_ATOU(_str_),(_str_
9a2bb080-4836-40d4-ac4a-5924e24f479c,__attr_access(x),__attribute__
92d17b69-a80e-4198-abad-43d94cd5285d,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
3bee9552-2f40-4d60-9005-c7a93e47e412,__DBL_MIN_EXP__,"(-1021)
"
7889e9e2-7e3a-4cea-8543-87baceea2543,EMULTIHOP,"72
"
b10ad759-a985-4596-b624-f1493d9fbbe2,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
5ef08715-78c3-4c4a-a7c1-214b51bc2945,AF_MAX,"PF_MAX
"
a3f99c79-77e3-46e7-9eea-2d611be7f33b,_SC_PII,"_SC_PII
"
ab2d03b3-dfba-4469-8794-0b3cc76bb0a8,TCP_CONGESTION,"13
"
774e4367-f6f8-4059-9172-db03fd266c13,__CFLOAT32,_Complex
555f94f3-eaeb-412f-bd51-fb47acfd6b0e,IFF_SLAVE,"IFF_SLAVE
"
f01ee271-3e68-4e72-9423-abd2dd3f77b7,__UINT_LEAST16_MAX__,"0xffff
"
4d9237a7-62d1-44b2-aad7-a79690ee32ba,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
31b358fb-6ad0-468a-94ca-3f12ec34f162,IP_ROUTER_ALERT,"5
"
aae270c7-5ef5-4975-89ea-179f97941a03,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
92a6814a-b6ef-44f6-a4be-7ff8ee50f474,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
dde62b41-2be5-48e8-8117-face597d25df,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
066e5b72-d8c7-4f15-8448-34aae34709e7,IPV6_RECVPATHMTU,"60
"
8c94eefc-48f8-4e0b-a4a9-848c9a74b0ed,__FLT128_MAX_10_EXP__,"4932
"
64db694f-b2e7-4797-97b5-a80fde408d58,RE_DUP_MAX,"(0x7fff)
"
e058e016-a518-47bd-9f69-fa5f594670da,SVE_SIG_REGS_OFFSET,((sizeof(struct
d91e2172-8fa4-4ae7-93e4-91af11c951df,ACL_MASTER_FLOW_READ,"3
"
5515f2f2-f847-4903-8574-d3b2ebc48a06,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
aa1049cb-c3eb-4ca2-a3b7-689d9240c7a1,sa_sigaction,"__sigaction_handler.sa_sigaction
"
8cef6317-e70f-4bb4-94c3-91d673b4d23c,ACL_JSON_T_OBJ,(1
785d40f0-9c7a-4f0c-94fc-52eb8d48c215,ifr_name,"ifr_ifrn.ifrn_name
"
9dfa4be6-94b2-44b4-9dba-980010fe3be2,__NFDBITS,(8
daa423fe-b30a-4abb-b6ef-84f9971550cb,AUT_FLAG_LOOP_END,"4
"
a9247b05-234c-4f8e-b7c9-888123bc1101,acl_spool_accept,"acl_ioctl_accept
"
ff20b6c3-294b-4ecb-9912-0109090a76a2,si_fd,"_sifields._sigpoll.si_fd
"
24ce7774-75ef-4441-a994-7101ade39eda,_T_WCHAR_,"
"
0ba9876e-119f-4212-b2f7-af8d515eee7d,_SC_IPV6,"_SC_IPV6
"
677ac084-7e3a-43a4-8f85-b506ffcd2667,_IONBF,"2
"
09e1422e-8583-4445-a70f-124aca30714c,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
8f7305a0-98eb-464a-97ee-db1ed9e5f41c,NI_MAXSERV,"32
"
6ea1f224-591f-4f40-a15c-b00a9c52dbd6,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
a15787e8-31ac-4bfb-ab22-490ac4827155,__CFLOAT64,_Complex
9f5a859d-f21b-4d91-ac3e-6f2984418a1d,TCP_CORK,"3
"
9f102c90-1649-4258-bcfa-9fcab2a31d00,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
388d1533-cb16-4bda-b4be-f7507066b9bb,IP_DF,"0x4000
"
23c58fa0-350a-44a0-a306-1208b66f5a39,acl_pthread_getspecific,"pthread_getspecific
"
3e1352d3-9759-4696-8a62-9da284844680,si_arch,"_sifields._sigsys._arch
"
712ea82e-23da-43f2-b284-046cc83a4721,ACL_EHOSTDOWN,"EHOSTDOWN
"
c54bf39c-a37e-4f56-b206-cca65a9c3601,ACL_FHANDLE_O_MKDIR,(1
e75a7550-bfe3-410a-b919-3468c399002d,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
