id,name,value
d4ede414-72b1-41cc-b3d0-463dd80c8fc3,__S_IFBLK,"0060000
"
3a48def3-a653-41a6-8402-b5ba0c5666fe,SOL_LLC,"268
"
c49dd4f1-9815-46ad-910a-71d48fb6857d,TCP_KEEPCNT,"6
"
2a8b4be9-22a7-4161-9139-e68b05a9fb43,_BITS_SCHED_H,"1
"
f67b52c9-5664-460d-873a-3c1d767b3fce,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
64d7ff20-73c1-4cc1-adab-d9dc94b89d1c,__SSP_STRONG__,"3
"
b52b7582-99c8-4341-9270-57b9e34ed5c3,ACL_DB_ATOU(_str_),(_str_
112fb5e9-ced5-4fd3-9199-31a771adbd80,__attr_access(x),__attribute__
f45d4456-d22c-406c-ad44-cf4a6e68372f,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
8ce7e357-9bec-4edc-9560-27f6756c6572,__DBL_MIN_EXP__,"(-1021)
"
343a1cb0-0131-4531-bd9e-a19ba458ec36,EMULTIHOP,"72
"
b73bac98-5b51-4f4f-8245-77d7dbff4d38,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
cd8df1da-2f3b-4ea2-8359-76eba44aa49a,AF_MAX,"PF_MAX
"
aa86e0d4-199a-4c92-946c-7077a0aeb8f3,_SC_PII,"_SC_PII
"
06906c5b-9cc1-4d2a-98b9-be912882f4b3,TCP_CONGESTION,"13
"
d8a21f03-5e78-45d3-9a8a-f3a9999babc5,__CFLOAT32,_Complex
6b4cfc0e-23eb-448e-9ac2-5db14b6e5640,IFF_SLAVE,"IFF_SLAVE
"
52edf9d6-af10-4cae-80e4-1c5459d31307,__UINT_LEAST16_MAX__,"0xffff
"
41b65814-6da1-4bc1-9432-3ff69ad15355,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
09e1fc9e-c550-457b-b13f-64a99bb30e95,IP_ROUTER_ALERT,"5
"
1ff0aa05-2a42-48e1-8736-7e0ec619311c,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
e3368a07-a576-4995-9196-fc52e2bf017f,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
18cbaf11-e831-45f5-b198-14e8728805e0,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
b69d4c6c-d7d0-447d-b177-75a5bee4c125,IPV6_RECVPATHMTU,"60
"
0882a743-6444-4cdc-82eb-f117d0eee58c,__FLT128_MAX_10_EXP__,"4932
"
1b78a49a-b2cb-4278-993b-d4b5657463b3,RE_DUP_MAX,"(0x7fff)
"
56dd63eb-a918-4fd5-833f-02bd1e3783a9,SVE_SIG_REGS_OFFSET,((sizeof(struct
