id,name,value
4cf9b401-5c1e-4bd3-b2dd-7c3c28608974,__S_IFBLK,"0060000
"
2c5be195-44dc-46e1-89e4-4e34ec6f2a7d,SOL_LLC,"268
"
d2390eb4-122b-4aa8-a10e-c433a0fc51bb,TCP_KEEPCNT,"6
"
a6599c0c-41ef-4a7a-a0c4-45b663f2db2e,_BITS_SCHED_H,"1
"
26f7c494-05f5-47e9-a2b1-052fc04746d7,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
a2429668-b218-4f7b-afd4-b88c87d39a51,__SSP_STRONG__,"3
"
5a3b67ba-4389-4e97-8493-5a9a9bcb82ba,ACL_DB_ATOU(_str_),(_str_
26ef9683-993e-41f6-90f4-51a9e83bc170,__attr_access(x),__attribute__
937f9c51-c47f-4ebd-b4ce-b3885a516b67,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
c257c31a-6c1b-4ad1-a20e-a3ff9773468b,__DBL_MIN_EXP__,"(-1021)
"
5a48cc4c-aac4-4ea7-bdb2-a5e690faff2a,EMULTIHOP,"72
"
fd326371-ffbe-4f40-ba5e-4b9f5bc497b9,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
e855887f-ee09-46bc-b898-6f4118979f3e,AF_MAX,"PF_MAX
"
69899796-cb71-4ac6-bfca-c2a7e6ba3397,_SC_PII,"_SC_PII
"
97eaf6d3-a504-4aee-b042-22f4e91c282b,TCP_CONGESTION,"13
"
be12f571-7f8d-4445-b93f-7b9a952adb80,__CFLOAT32,_Complex
c645eaa3-bf39-4304-a359-7ac9190ae253,IFF_SLAVE,"IFF_SLAVE
"
29ec8588-237c-4de5-bb5b-a1ebdc8d32ae,__UINT_LEAST16_MAX__,"0xffff
"
22d98e21-7c2a-4cb5-ac06-d0bab7f98685,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
a88e2173-bdfc-4020-ae39-6c3d54b0f9bf,IP_ROUTER_ALERT,"5
"
33e5c967-0ed7-48f2-bc28-6ad1d9a98bbc,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
e489bb0a-34a0-4c8d-8c3c-8e1fdc5009b9,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
63574651-808f-49c9-9fb0-39ebd96b4c74,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
e6eae5ed-ac33-4a4c-9c2b-19d78388eb23,IPV6_RECVPATHMTU,"60
"
30b02c2f-6635-4a0a-b8cf-d58928ecd4cb,__FLT128_MAX_10_EXP__,"4932
"
91788228-bd47-4744-b843-7308c4362e51,RE_DUP_MAX,"(0x7fff)
"
f8a5eb87-40a5-480e-a6d7-51c8301435b1,SVE_SIG_REGS_OFFSET,((sizeof(struct
3c50b519-5a9a-4bc6-b74c-ce058568ea56,ACL_MASTER_FLOW_READ,"3
"
dd85d03d-d6e4-4584-b4f7-835583df8c3a,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
7cc56424-1b1b-442b-ae04-a02209778865,sa_sigaction,"__sigaction_handler.sa_sigaction
"
39f57808-9f76-442b-80fa-e180c3acb921,ACL_JSON_T_OBJ,(1
d3b69db8-d8fb-4e34-9445-98f7791cf1d5,ifr_name,"ifr_ifrn.ifrn_name
"
1b01efc0-a860-47fd-9b76-5b84d17081d6,__NFDBITS,(8
27e634e7-a1c2-4628-a478-344d013ac3dc,AUT_FLAG_LOOP_END,"4
"
7a399921-3b89-454f-8b49-3bedd8c5664e,acl_spool_accept,"acl_ioctl_accept
"
6deaf6de-bbe5-4bd3-b4c1-7a1f90536e03,si_fd,"_sifields._sigpoll.si_fd
"
20811ff5-75ae-4267-b505-3bd216d4f6e6,_T_WCHAR_,"
"
