id,name,value
eeef5dd8-cd5c-4743-97d7-37d3673ddfe6,__S_IFBLK,"0060000
"
af672e07-81f6-4fe3-b094-5ee7e431419d,SOL_LLC,"268
"
8696fed6-9b03-4e1b-aee2-8fe6086d7124,TCP_KEEPCNT,"6
"
789075b3-9fc6-4515-9f29-86ea3257295f,_BITS_SCHED_H,"1
"
98df0d27-8e3a-4740-b99f-49305a47ae58,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
2f8e015c-8498-4593-bc37-17934c2c1fd9,__SSP_STRONG__,"3
"
cfd09413-7f69-4746-a10e-ea30b25a3338,ACL_DB_ATOU(_str_),(_str_
309d5d5e-47fd-49c3-94ed-ea58c5969512,__attr_access(x),__attribute__
a4d122f5-15e2-40ae-847f-364052316370,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
7a113665-7553-4d55-856f-843f31603422,__DBL_MIN_EXP__,"(-1021)
"
29fdaa94-1cee-4c7e-9036-9070426bbaae,EMULTIHOP,"72
"
4cae7cca-0b39-432a-b570-b78c72b5bff2,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
5bd558e1-22b4-4284-9d80-21d883eb2088,AF_MAX,"PF_MAX
"
4892dee5-2577-40be-a9cd-81902f540f07,_SC_PII,"_SC_PII
"
deb39766-287e-4cb1-8378-b6de3f17f50d,TCP_CONGESTION,"13
"
bcbe0be1-3361-4e86-85ce-4631f8566ac5,__CFLOAT32,_Complex
6d357cc8-f338-40a5-8640-abc223c5b766,IFF_SLAVE,"IFF_SLAVE
"
17e91370-a963-4d4e-bd90-25f21cf16e47,__UINT_LEAST16_MAX__,"0xffff
"
5f8cd308-43bf-405e-8f5b-cddc89d4efa7,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
46814c98-2a28-4a36-87e9-5c9023aca2ab,IP_ROUTER_ALERT,"5
"
83e536cd-0f73-45a3-8245-afb47434df7d,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
8e0d4a45-5963-44c2-98da-816a24172f0a,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
5b63aee9-aac8-4692-91bc-3389cd22e59b,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
12d843b7-2b77-4aa3-a93d-d3d379c6fe47,IPV6_RECVPATHMTU,"60
"
3b69b50a-6460-46e9-af84-20360861c04d,__FLT128_MAX_10_EXP__,"4932
"
2679fdd4-54f2-420a-9ded-1206fcfbac82,RE_DUP_MAX,"(0x7fff)
"
362356d3-acca-48dd-820b-6c734357ea99,SVE_SIG_REGS_OFFSET,((sizeof(struct
3da35bc9-f04c-46c4-8e79-30d0b1211f72,ACL_MASTER_FLOW_READ,"3
"
66187c43-9bae-4425-bbf3-a98998f885e7,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
1f8031fe-bc60-4e56-b61d-b3ea54e2e0c4,sa_sigaction,"__sigaction_handler.sa_sigaction
"
4ab16010-8324-41e9-8fff-5b290583e915,ACL_JSON_T_OBJ,(1
3f1d30a0-41e3-459f-a357-3e55f44db0df,ifr_name,"ifr_ifrn.ifrn_name
"
c7f80197-f4a1-4421-b6b6-81f79e017688,__NFDBITS,(8
ccde4ee6-02df-41ce-9ebc-973b0d6da9a5,AUT_FLAG_LOOP_END,"4
"
c0d4507a-cba7-4cf9-885c-19cb4082c4fd,acl_spool_accept,"acl_ioctl_accept
"
8b0ec7ee-8766-4de9-b4d5-0fcef990d3f2,si_fd,"_sifields._sigpoll.si_fd
"
bcbcd896-b25a-40a1-ae51-311e6d6c9b78,_T_WCHAR_,"
"
1cb4ad28-e31f-427c-8043-3095c4f099e5,_SC_IPV6,"_SC_IPV6
"
44bfd4ee-6e43-4dbd-98d6-183c9d94b394,_IONBF,"2
"
decd4465-ab8d-48d3-96d3-f2c2a54b9f11,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
9c0dcd83-d7cc-4118-9fa5-ff33c09db1c4,NI_MAXSERV,"32
"
