id,name,value
73ee25fb-0aef-4a74-8d46-c7937eb68d69,__S_IFBLK,"0060000
"
d8c5d28a-58c5-4500-a7f6-f9a2e0da3999,SOL_LLC,"268
"
2be2d5da-3e02-4185-b78c-d014b98bd938,TCP_KEEPCNT,"6
"
ef90327e-c1cb-4979-8867-755055a9798d,_BITS_SCHED_H,"1
"
799e0d20-4e5f-4f71-a306-182e6b932063,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
8c2b182b-381c-4aa3-96c9-9c8ddfed536c,__SSP_STRONG__,"3
"
0ed856fa-ad88-49c9-99fd-869294f36165,ACL_DB_ATOU(_str_),(_str_
1b8070a2-ff6b-4f83-8dfb-04019d69fc25,__attr_access(x),__attribute__
154987e3-3bb6-420c-b69f-579b2bdaaa2d,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
c8a9534c-a687-42eb-a4f6-4485c77e1baa,__DBL_MIN_EXP__,"(-1021)
"
b3cb3dd8-52ea-47be-b31b-a51ca263c473,EMULTIHOP,"72
"
d5ad9d1a-1c20-4574-b733-fd6e676dd433,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
4ccaf129-e5d4-4f16-920a-10129a3ebd71,AF_MAX,"PF_MAX
"
538a7699-748c-4f77-abe3-0dc0415385cf,_SC_PII,"_SC_PII
"
7f42d742-5209-4af7-9857-1eb78ceabdbe,TCP_CONGESTION,"13
"
1d8f5253-23ab-423e-93b7-640b25477274,__CFLOAT32,_Complex
46009773-e65d-4088-a679-ee22975221f3,IFF_SLAVE,"IFF_SLAVE
"
4641031e-a052-423e-b28a-13202125ab51,__UINT_LEAST16_MAX__,"0xffff
"
73b3c5eb-673f-4bae-a2f2-de14bd112e40,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
542d538c-fdd3-4eea-ad61-b21b15df43b3,IP_ROUTER_ALERT,"5
"
9dac58ee-965d-4c47-b540-93d4f11cc1b7,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
b0624fdb-31dd-446b-abaa-718ad1c6e0a1,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
487c0643-960b-41fe-8a6f-e6938a95cfbf,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
9dcc0afb-f471-49a7-8805-a201adc901d0,IPV6_RECVPATHMTU,"60
"
326b4450-ba61-43b5-b623-4b3e5ac8df3c,__FLT128_MAX_10_EXP__,"4932
"
763ae38f-05ea-46c5-aef7-09cf9ae3e7e4,RE_DUP_MAX,"(0x7fff)
"
a676acbe-0fb3-491a-956d-7cdc189f987f,SVE_SIG_REGS_OFFSET,((sizeof(struct
841061f7-2aad-4842-a583-7387de67ba52,ACL_MASTER_FLOW_READ,"3
"
4569c69b-14cd-4f1a-b4ac-51914a09ceca,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
4613702d-62c2-40e1-96b6-6b9fb953e522,sa_sigaction,"__sigaction_handler.sa_sigaction
"
424df7fd-f45b-4ac3-b9a3-37e2db60b144,ACL_JSON_T_OBJ,(1
1e279870-a89e-46c5-bf1c-1ee72ce5f4ff,ifr_name,"ifr_ifrn.ifrn_name
"
08f13db4-4604-407c-a85c-c6faf5284f0d,__NFDBITS,(8
9d8f9d82-10f9-45dc-a97c-08612b835812,AUT_FLAG_LOOP_END,"4
"
ff4621c2-f5c3-484b-a8d2-a7bd17e5001c,acl_spool_accept,"acl_ioctl_accept
"
a2c64031-189d-40bf-b2ab-95e1d4af1556,si_fd,"_sifields._sigpoll.si_fd
"
1cf99227-04ab-4098-a728-cab23e46aa56,_T_WCHAR_,"
"
d82b3984-3e3a-4be2-84ac-5dd9d331f9b7,_SC_IPV6,"_SC_IPV6
"
06083e55-5d57-463a-b080-2951175d89f5,_IONBF,"2
"
4d841e59-c1db-4802-bdac-c58e3fc1b611,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
77cc5151-2c92-4300-9613-268fbcdf3d6c,NI_MAXSERV,"32
"
c15dd7cd-e46d-4a94-8dcb-250b3764de60,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
3420cede-9410-4453-a023-fcc992b4d9c1,__CFLOAT64,_Complex
0cfc9313-5110-47fc-963e-16172ac5eadb,TCP_CORK,"3
"
3ed5b414-dc40-4dc3-ab12-cfdf2483065b,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
a1222c30-207c-4495-97f5-863f19897382,IP_DF,"0x4000
"
0f7e99ed-b6ba-4833-84ba-c1c3c6b907a3,acl_pthread_getspecific,"pthread_getspecific
"
36155d85-e613-474e-93e5-d09c3bfe6d66,si_arch,"_sifields._sigsys._arch
"
727dfb98-7d45-4132-909b-b90d80978371,ACL_EHOSTDOWN,"EHOSTDOWN
"
8b12f02e-46d5-4e90-ab88-94abe5ed3238,ACL_FHANDLE_O_MKDIR,(1
a12a4054-4117-4def-ba2d-b87ed0a711f1,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
621ef7ce-06aa-4df7-85fa-d0bc80fb6fcc,__S64_TYPE,long
6c9b5f54-d0c5-4a4b-9e07-f75224c2c02b,IP_TOS,"1
"
e3d66d6c-525d-4474-9a39-fa691c317ea4,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
f628c558-e6d4-4509-8cd4-675f1a0655b2,__SQUAD_TYPE,long
3d472ea8-c181-4431-990a-355d6e070f55,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
12b06089-1536-4331-af2e-355c8e120bfc,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
863cbd0b-3be2-4915-bb15-28cf253dc353,_BITS_SIGINFO_CONSTS_H,"1
"
15ac0f17-9ed1-485e-a485-bff0f101d74a,SIGBUS,"7
"
14cc01ec-72ed-48a2-9dbf-f73260294921,_BSD_SIZE_T_DEFINED_,"
"
fc31a0ce-a055-4900-8244-9c862d9efa2f,ACL_DNS_OK_CACHE,"1
"
fc30a492-a80c-408c-b202-e8812d9e24ae,SIG_SETMASK,"2
"
3f7a0b34-a694-4f81-8365-358b1f177ca3,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
bcf8ed32-49c0-4383-b652-a6541fc3fbcc,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
905c3fd9-89b1-409e-b83e-1f6a927f8d76,acl_myfree_fn,"acl_free_fn_glue
"
af369217-f9f5-4c55-8351-a9518d1aa07f,__CHAR_BIT__,"8
"
951b9298-6455-437b-a27a-24e388b8ddb1,SO_DOMAIN,"39
"
9ae37e39-aa4b-4036-980d-1ed2d3d338a8,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
a1ec8cf2-9901-488f-ba10-3de8355503db,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
2b855e60-dd3f-4f95-8ab7-af0c83806d68,EREMCHG,"78
"
ef8a2311-a99a-4059-97b4-0afabe664a3a,SIGTTIN,"21
"
ac5d5b96-6c31-4420-a2b6-000177a3eea1,EACCES,"13
"
839f7cde-483c-43d4-9323-3f2139b4fd67,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
660e06ee-ed56-4737-a166-82b9ef1ce53b,IFF_ALLMULTI,"IFF_ALLMULTI
"
08491607-7950-4cbc-999a-222633f05839,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
b29fea73-7180-4da9-b940-17afe3506753,"__isupper_l(c,l)","__isctype_l((c),"
