id,name,value
1fa5a918-0da4-4cc6-9734-c16bdd7a66e3,__S_IFBLK,"0060000
"
ebacccef-d2f0-435a-80fb-5f9503e536bf,SOL_LLC,"268
"
af1da6d4-8fc3-49e3-86ad-5f8f63f3ab4a,TCP_KEEPCNT,"6
"
4bbc5356-d494-46e2-bf92-461b74045aeb,_BITS_SCHED_H,"1
"
44d95e98-8f03-49ff-8ebc-3e1c6838d255,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
632141d1-b13d-49a8-ae40-e67563bd298b,__SSP_STRONG__,"3
"
5eaae4e6-c193-408d-9a9b-5d1a6fb50fff,ACL_DB_ATOU(_str_),(_str_
dde44483-c382-4973-96c3-7e04db43637a,__attr_access(x),__attribute__
6825d675-986b-43dd-92ce-12fb1becf70f,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
75376c95-ad69-4a43-a62c-1fadda8639c4,__DBL_MIN_EXP__,"(-1021)
"
4d7522fe-6c8e-46c0-b302-d45cf2d8264b,EMULTIHOP,"72
"
9a722d6e-9488-44ab-9438-003937b33bc7,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
9032a3e9-0d51-4ce1-8f78-a40599aa2c95,AF_MAX,"PF_MAX
"
5856ea43-e580-4dd7-9e03-611d8e36fad8,_SC_PII,"_SC_PII
"
75cf8697-ccaf-4e0a-99dc-27abf4f9e3c2,TCP_CONGESTION,"13
"
6ce7087b-9f4b-4dbc-91fd-c8694a0047b3,PRIO_MIN,"-20
"
6a654086-4839-4350-bfd1-47a35275e3f6,__CFLOAT32,_Complex
4d52cfa0-e4c8-4555-8617-6c139add5a17,IFF_SLAVE,"IFF_SLAVE
"
7d5fd355-45da-4c7c-a595-af0b1b627210,__UINT_LEAST16_MAX__,"0xffff
"
13531f5b-f852-4531-b1c4-42adf6953d75,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
37451c97-0e9f-4a4f-9002-84da9a5849f9,IP_ROUTER_ALERT,"5
"
23b1670c-5b28-471a-9b21-c52937461974,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
46d3dd1d-eb9e-4c72-b843-e29da50dd1df,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
5a73d8da-c686-4fd1-9e42-8c654afe0d16,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
e7562bd3-40ef-4844-b35d-7a4c16c141bc,IPV6_RECVPATHMTU,"60
"
8e6e3cac-5c03-4524-893f-8a53492d4476,__FLT128_MAX_10_EXP__,"4932
"
8539bf7e-214e-4ba1-bc06-35f7b1b53b9d,RE_DUP_MAX,"(0x7fff)
"
de5c5774-8294-4420-a902-8ad6ac87af2a,SVE_SIG_REGS_OFFSET,((sizeof(struct
71405011-9c60-43ca-a1ba-514f3c1c67ad,ACL_MASTER_FLOW_READ,"3
"
539393dd-1b51-468e-9d5d-4ae95b08e0e8,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
200519f2-7b5e-4135-971f-f3dc6696712c,sa_sigaction,"__sigaction_handler.sa_sigaction
"
29ba9d43-c256-4b04-a166-920bc331c030,ACL_JSON_T_OBJ,(1
7fa0ad33-8089-46a1-b17b-5b483527937d,ifr_name,"ifr_ifrn.ifrn_name
"
176ce96f-f73c-4936-b318-94acfd3dc61a,__NFDBITS,(8
a8bdc031-5a38-4856-92be-c1ac10afce3b,AUT_FLAG_LOOP_END,"4
"
d7d9f6ce-a295-4318-a909-934b25438a50,acl_spool_accept,"acl_ioctl_accept
"
5132b552-c888-4f1e-893a-4cb2e581eea9,si_fd,"_sifields._sigpoll.si_fd
"
0431b2fd-fe6e-48e7-b673-1585c1d39117,_T_WCHAR_,"
"
eee759dd-fb66-4d37-8f45-fbf73ef3184c,_SC_IPV6,"_SC_IPV6
"
a919cdeb-fad8-4948-9ebf-e1943b48e344,_IONBF,"2
"
d84c0cd1-0742-427e-a6a8-dcf0ec9e3768,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
daab25cc-4833-4ecb-a970-20373311f969,NI_MAXSERV,"32
"
a0ccab57-a4b6-46be-8c06-46157f093d22,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
63fa5a96-7ede-40b9-ac33-a29a2a4a2ab5,__CFLOAT64,_Complex
9f07a4c7-13e5-479d-81f8-0f752c1c6641,TCP_CORK,"3
"
b685ef31-ce3b-4455-b8dc-7680c5e3de98,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
6ad44794-4adf-495d-848c-18da5bd5703a,IP_DF,"0x4000
"
683445e8-d67f-4bb8-a15d-b1f8d4af7660,acl_pthread_getspecific,"pthread_getspecific
"
6eb1e0bb-4c0e-496c-94e8-c73b385c3f3b,si_arch,"_sifields._sigsys._arch
"
5f944c51-40a7-42ff-af40-f852e7c3c6a1,ACL_EHOSTDOWN,"EHOSTDOWN
"
01ef2806-6a5d-458f-aec4-237922cee5a6,ACL_FHANDLE_O_MKDIR,(1
f5e65fb7-5775-4322-960f-1cf310e13162,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
24520201-6ca2-421c-b1a7-de1240ac6bb4,__S64_TYPE,long
07a8f642-2ae8-4efe-9a5c-fee7df4658ee,IP_TOS,"1
"
e451c8e5-f8d0-4946-8a7c-a3ce9e389efe,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
a40397e6-8386-4617-a407-f1598f133c45,__SQUAD_TYPE,long
81d7d1d0-fd06-4b6f-bb9c-76dcb1fad109,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
8a43ab0b-b4cf-4727-8bc0-00fda2c67337,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
0a2af879-8cbf-45d3-af13-85c2f26064df,_BITS_SIGINFO_CONSTS_H,"1
"
5b8abec8-a23b-48b0-9963-b4f2f0d594e0,SIGBUS,"7
"
b656929f-a8f2-46a9-96e9-a3e458c0844a,PR_FP_EXC_OVF,"0x020000
"
d659ad5b-8e21-4718-926f-ff528c78db3f,_BSD_SIZE_T_DEFINED_,"
"
513d0564-7678-4455-a99a-2640c898c512,ACL_DNS_OK_CACHE,"1
"
f6ee388c-bef7-4e7f-b55d-7013cf72ea1c,SIG_SETMASK,"2
"
e7fb862f-5a98-4849-add8-d7fe35faaad7,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
771552c5-470f-413b-81ca-26830c02593a,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
2187e8a7-18c8-47df-9c68-22e25cbf5da3,__rusage_defined,"1
"
a68b40e3-af92-4c04-ae89-54e82324d9b3,acl_myfree_fn,"acl_free_fn_glue
"
07c56d9e-710a-4dfc-babc-4ebaaae1c361,__CHAR_BIT__,"8
"
f91cd090-674a-4210-9833-88f7c2627804,SO_DOMAIN,"39
"
f22c6aa2-8c8c-4fae-bc93-18f91e48758d,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
51207693-b433-4a52-9128-0b60a878b380,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
6e7515f0-d763-4491-a918-3c3c95bacd93,EREMCHG,"78
"
cc269d32-8815-498b-9ecb-7947db0ba680,SIGTTIN,"21
"
df401b22-eb43-45ad-9e31-9e7563eed35c,EACCES,"13
"
2b7d641f-1df8-4609-ba54-952d42462cba,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
68402da8-f7ed-4a9f-987d-665a0d2a0b3d,IFF_ALLMULTI,"IFF_ALLMULTI
"
7226df80-13be-4231-8ba8-de6ad3672c7f,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
552c4379-dcdd-435c-a3e9-f2d40f64b10a,"__isupper_l(c,l)","__isctype_l((c),"
a671b481-4c83-4b55-a0b4-f3df76ff7621,EDESTADDRREQ,"89
"
0dffc0b8-4cad-4de8-b481-79d8cb7920dc,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
6e9400a4-ecd0-40fe-9a16-0a5fbdd39200,ACL_RFC1035_TYPE_MINFO,"14
"
