id,name,value
856379f0-bbd2-43ab-9c0a-44e2fef8241f,__S_IFBLK,"0060000
"
0487258a-0e39-4c3b-9ac1-f04e358652d2,SOL_LLC,"268
"
1b44981f-6e5a-4e6c-bcea-6af42a0a0025,TCP_KEEPCNT,"6
"
48a31265-f9e7-4b53-a3a7-71ba593c066d,_BITS_SCHED_H,"1
"
b9e49f55-0e28-4173-aff5-e124a0c5b229,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
d97ef7e8-51c0-4367-b67b-230360e49e58,__SSP_STRONG__,"3
"
78e7423f-1b4a-460d-aa68-95e564439451,ACL_DB_ATOU(_str_),(_str_
07756d60-53b1-4082-9e93-d900c50b184c,__attr_access(x),__attribute__
7114aef5-beef-48f7-9172-318eb8ab98df,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
b859672b-3115-4acb-8d3e-c141e4c9f357,__DBL_MIN_EXP__,"(-1021)
"
7eea82b8-7d43-46ce-9494-5353e295b7f6,EMULTIHOP,"72
"
dc1ee894-e70b-4eab-937c-aee091975fde,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
0cdb10ff-0fab-42c1-a9de-99b737635ea6,AF_MAX,"PF_MAX
"
cdc4c758-5696-4994-9065-52ee57db8b1f,_SC_PII,"_SC_PII
"
e64cf84e-e510-409b-a207-79fc474c480f,TCP_CONGESTION,"13
"
74ee175c-5ec5-47c8-a170-781f3657d0ce,__CFLOAT32,_Complex
a45fe06b-4a39-476e-970c-50e6e51f4dd2,IFF_SLAVE,"IFF_SLAVE
"
2bd4d271-c16f-4b78-aa47-cb9bf43d9b62,__UINT_LEAST16_MAX__,"0xffff
"
2f0962b0-be57-4a84-b48f-309c1c2a5d13,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
c58efda2-3dec-49ba-8555-984448c3669c,IP_ROUTER_ALERT,"5
"
91e08c05-c0ba-4d68-9906-7422eeefc798,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
b517ebfb-e7dc-4a9f-85b5-64127b8f9168,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
6d94bb39-4005-4c2f-a3ba-315734828f9f,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
f51fe5c5-8777-4fe5-8b65-079b4b855913,IPV6_RECVPATHMTU,"60
"
ddc0ef64-ff4e-48da-9d0c-468ae6b50230,__FLT128_MAX_10_EXP__,"4932
"
55f94201-cd3c-43cc-9151-d9df4cf0b9d2,RE_DUP_MAX,"(0x7fff)
"
297ea2d9-3535-4eee-9e3d-85f09154b989,SVE_SIG_REGS_OFFSET,((sizeof(struct
db0bac9c-f394-4af9-81df-981474b3be39,ACL_MASTER_FLOW_READ,"3
"
d4fa3e00-fe3f-45a2-a072-3e3cb90f9a09,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
f9b1603f-5f35-45d9-9cd9-48e62b693023,sa_sigaction,"__sigaction_handler.sa_sigaction
"
1d2b9ce3-4a4d-4080-a30d-bfbe5d67b081,ACL_JSON_T_OBJ,(1
96c27d9c-e581-4b19-9fcf-21c8ff984abd,ifr_name,"ifr_ifrn.ifrn_name
"
d728b3d7-8674-4e4b-9edf-21a76835f311,__NFDBITS,(8
d76af539-3e26-4bd7-98f3-997e954d1e29,AUT_FLAG_LOOP_END,"4
"
