id,name,value
e1a84fea-bfae-443d-880c-39cc275b8ac3,__S_IFBLK,"0060000
"
5acbb8c6-aa15-4059-b032-9ba21974f974,SOL_LLC,"268
"
c02694a8-b235-4663-9e10-fd75707c2703,TCP_KEEPCNT,"6
"
ee95fa07-c991-4fb7-ae68-c96cb3f5b796,_BITS_SCHED_H,"1
"
5ac0651c-26f0-4321-9410-73e7228e9374,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
8702b433-7306-4217-804b-ca43aee78234,__SSP_STRONG__,"3
"
979fb995-2671-4afa-949f-f6510ae2c093,ACL_DB_ATOU(_str_),(_str_
b5fc8f58-3e12-43c7-b3ff-26953dfea58b,__attr_access(x),__attribute__
92d02016-bb51-423c-b053-d3b1ce244b22,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
e5dd80d5-23c8-431a-a98c-5aee47ffc83f,__DBL_MIN_EXP__,"(-1021)
"
9b90a5a4-6ad4-43b7-b80e-64ed40c52f1c,EMULTIHOP,"72
"
1e9e6408-d122-4095-b7d9-7f3dc570f0c9,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
939e771c-0693-48e6-8e11-3bec3b05db21,AF_MAX,"PF_MAX
"
7fe2d49e-7a0a-4a6c-b5e3-db4a34c04c58,_SC_PII,"_SC_PII
"
89823c81-a62f-4359-90f7-9847a063ad00,TCP_CONGESTION,"13
"
9a9b12fe-0e18-48de-a37f-25b7eeaab260,__CFLOAT32,_Complex
2a4e6af8-6949-4dc8-b8fb-12911283e050,IFF_SLAVE,"IFF_SLAVE
"
a864125b-1f51-45e2-8118-8715974b01fd,__UINT_LEAST16_MAX__,"0xffff
"
7ee2e3f5-3f49-4299-988d-d7b0940101b9,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
39e838bf-f4d3-47ef-b575-ff919f3cc5d1,IP_ROUTER_ALERT,"5
"
9aadf761-d0d1-4e7d-8afa-88ab966e649a,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
2f6e3f43-b5dd-46bc-85ed-d531f7329dce,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
306536cd-75f2-49e8-8bf4-241ec3de4176,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
788f5ba8-18ac-4a17-92c6-417014b74e59,IPV6_RECVPATHMTU,"60
"
b1eed5dd-37f0-4bcc-b138-0cdd00856d2a,__FLT128_MAX_10_EXP__,"4932
"
79de60be-125f-44d1-9050-c088512ecf57,RE_DUP_MAX,"(0x7fff)
"
bd4b535d-b336-48d0-8838-55e186005734,SVE_SIG_REGS_OFFSET,((sizeof(struct
f879fd81-730e-45e1-b168-5ee3b9a01bbd,ACL_MASTER_FLOW_READ,"3
"
d9d0658b-21fa-40f5-9707-e05378655fdc,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
476f6760-335c-456e-a972-1d2a4a9c8d37,sa_sigaction,"__sigaction_handler.sa_sigaction
"
4e88019f-1f07-4f39-a849-aaf036d5e01f,ACL_JSON_T_OBJ,(1
5648f63e-fdd7-448b-807c-cfc1681cfcdd,ifr_name,"ifr_ifrn.ifrn_name
"
f6124b21-e3b0-436d-b444-7dad69c7af2e,__NFDBITS,(8
d60a6415-b34f-48f9-9350-30b2d8a6000d,AUT_FLAG_LOOP_END,"4
"
b2d8482c-4a3f-4e32-a8ef-eca0da2a6f78,acl_spool_accept,"acl_ioctl_accept
"
2ba8b68c-f0ef-4b2c-93c4-784f33b10673,si_fd,"_sifields._sigpoll.si_fd
"
b46c883e-4be6-4e7f-8c1b-bd04575fd4ea,_T_WCHAR_,"
"
e629fcf2-0ef3-4511-8e19-431122d2e9e4,_SC_IPV6,"_SC_IPV6
"
f23a1d6b-8c07-4e05-984c-1896b4e38736,_IONBF,"2
"
eea9d628-9cc0-4fb1-a95a-a44901498aff,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
d5d19675-567c-4226-bde6-c8f851b27aea,NI_MAXSERV,"32
"
1bd7cd75-4efb-4d46-9ced-0b955489ce2b,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
831c23b6-2e20-417e-8421-fdd5e68bec14,__CFLOAT64,_Complex
e68ab00e-d037-484b-a4d6-92ee4a8b4fcf,TCP_CORK,"3
"
1d19c492-40b4-4b64-a389-32f4c8717fc5,acl_spool_enable_listen,"acl_ioctl_enable_listen
"
69233fe8-35a9-4628-b042-2570d43ff1e3,IP_DF,"0x4000
"
109c8920-369c-42d8-bbe6-44113a73deb1,acl_pthread_getspecific,"pthread_getspecific
"
2e7639a8-4e79-4844-9e5f-916258a3cb76,si_arch,"_sifields._sigsys._arch
"
a5e9daf5-ce42-49a3-8970-4be1735ec8ac,ACL_EHOSTDOWN,"EHOSTDOWN
"
475334c9-7949-4827-8aec-bc8ea7aafc22,ACL_FHANDLE_O_MKDIR,(1
49432e39-f701-4ec1-93d5-3cadb293397a,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
49f1bbfe-908f-4f16-9440-361d96a756cf,__S64_TYPE,long
08cd67b4-28d7-4ceb-bf75-d7561f1150ad,IP_TOS,"1
"
6d3c799e-8e41-481f-af92-e2ce65b17233,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
fd93f7a4-7e6a-4a58-812f-4f75ef93772c,__SQUAD_TYPE,long
87d3d668-5401-41b2-80ff-364a0ba8b84b,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
59b45337-f540-4ee3-881d-e5293fad0640,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
9330c4d4-fdd4-4f53-81ed-95591942873b,_BITS_SIGINFO_CONSTS_H,"1
"
90d3dd31-2668-4383-88f8-89cdc7371018,SIGBUS,"7
"
78d808c1-2702-43eb-83e2-4284847d93cf,_BSD_SIZE_T_DEFINED_,"
"
b805249d-138f-472e-b531-69732add48dc,ACL_DNS_OK_CACHE,"1
"
71319d54-ba18-4647-9709-3f1c49c03fa9,SIG_SETMASK,"2
"
4389fb59-efe5-491f-a5bb-10f5272a60ca,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
0402d963-9e48-407c-bf90-08e68df2c1a3,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
a288fc7c-591a-4c75-9994-76f272e881d9,acl_myfree_fn,"acl_free_fn_glue
"
50001048-030c-413e-953b-53bd4baf013e,__CHAR_BIT__,"8
"
bcdfadb8-9951-4247-b7fa-eddc4ce46a78,SO_DOMAIN,"39
"
a7877187-88fd-440c-875b-21c6081d96b8,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
6e48e9de-30fb-497d-848b-14fc4ad52ffe,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
a0a7f87d-297e-46ca-b7fa-e8e6699ee61f,EREMCHG,"78
"
9b6c028f-1390-4d6c-bccc-368d697a4db0,SIGTTIN,"21
"
80632386-36f9-4705-8b78-11aefd4cf899,EACCES,"13
"
cab0289a-c4fa-4755-ad70-3806e6df050c,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
5f3b9a98-fa2a-428c-ae03-8df620004dd9,IFF_ALLMULTI,"IFF_ALLMULTI
"
b6026025-b00d-443b-9152-5431b52c4d42,"ACL_MSGIO_ON_MSG(id,callback,arg)",do
dc63feea-28d0-4193-9f81-f2f37239cb3a,"__isupper_l(c,l)","__isctype_l((c),"
ffe27546-9ffc-48b6-9372-ec01f93a9047,EDESTADDRREQ,"89
"
a04f8f9e-1690-4d46-b016-87a1030b1cfb,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
