id,name,value
8575be52-54f2-47d3-98d0-daff4891f279,__S_IFBLK,"0060000
"
6d611303-6123-4037-82d7-197765a80483,SOL_LLC,"268
"
2f43a31f-8b6d-43d8-a4b2-4b01661dcc37,TCP_KEEPCNT,"6
"
14cb2299-c38a-42b8-85a8-5b0d147e5e87,_BITS_SCHED_H,"1
"
0e51915a-c804-4939-975e-3536e935a4ca,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
186bfbdb-1186-4b6c-b25d-952d2838e4c4,__SSP_STRONG__,"3
"
8b5ef594-59b1-4f18-8c60-fbc03d68026e,ACL_DB_ATOU(_str_),(_str_
55bacaf4-06af-4a7f-afa5-3145bd559acf,__attr_access(x),__attribute__
f06aef00-496b-4afc-b82e-9e828b318121,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
adacdee6-4530-4e7c-bb0c-75827738f230,__DBL_MIN_EXP__,"(-1021)
"
3a2260a3-f9ea-470b-b21c-e9dbaf48d62a,EMULTIHOP,"72
"
4d524806-50f5-4c9b-a7c5-07426c891ac7,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
3e1ceeb8-785d-4d1a-bb13-3c0680101f3b,AF_MAX,"PF_MAX
"
cc710a2a-93ee-4efc-8ce5-3bf4a4fb54b0,_SC_PII,"_SC_PII
"
f2423796-7b8f-48b0-97a8-1b5be7da3f3d,TCP_CONGESTION,"13
"
8a406f25-02b3-49cb-9945-a9099cb94707,__CFLOAT32,_Complex
7b908a8d-cf3a-4036-bae6-38d149ad755e,IFF_SLAVE,"IFF_SLAVE
"
d8ffcdeb-0b43-4119-8ddb-cb1289afbe07,__UINT_LEAST16_MAX__,"0xffff
"
1e757edb-507d-4768-86e0-1c62fa2c7aa9,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
ff56ddea-4d0b-4c4b-ba8a-7eb73754a6b8,IP_ROUTER_ALERT,"5
"
f1fb1f4b-af4a-4b52-8e06-9b7a1658894d,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
0753c8e4-9808-4547-927c-3cd336c8ef32,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
