id,name,value
4fcbc603-cb3b-43ff-b444-019426e5546d,__S_IFBLK,"0060000
"
401b9c69-c490-43d7-a955-d55878dfd0ec,SOL_LLC,"268
"
b545a91b-e678-4377-b175-b108a72cb7ce,TCP_KEEPCNT,"6
"
a42aa0dd-7046-4f6e-a645-5059a444da2b,_BITS_SCHED_H,"1
"
7daaf110-debf-4786-9634-3617d2a3c6ed,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
45996f9f-23a4-4913-aa65-6ed710a44782,__SSP_STRONG__,"3
"
d02652f0-5aa9-4399-a0ca-a6c286f3ae7e,ACL_DB_ATOU(_str_),(_str_
8eb6a883-d391-4551-995c-def6d1624715,__attr_access(x),__attribute__
2d6f4112-e8fa-405f-8612-1c4e5b98dc67,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
fc2af31e-31f7-40e8-9438-83487975e515,__DBL_MIN_EXP__,"(-1021)
"
315dc96d-1cbc-4a2f-b08a-3bb0655b1c8e,EMULTIHOP,"72
"
bf657522-d626-4ad4-8d7f-c9eb9119498f,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
cedf60c8-b505-4809-a376-650ff0df3458,AF_MAX,"PF_MAX
"
67fffd8a-bcd6-483e-a35c-9b967509d266,_SC_PII,"_SC_PII
"
45860a15-de42-4c7b-a0fe-43171ec571a6,TCP_CONGESTION,"13
"
2aa901c2-f81e-4539-89a4-a08fcf474e3a,__CFLOAT32,_Complex
7e8233a7-6249-46a7-9e2f-1deb18fb599b,IFF_SLAVE,"IFF_SLAVE
"
39b59292-8318-478e-8500-71acacadcc69,__UINT_LEAST16_MAX__,"0xffff
"
8b7a3b34-03f6-4e89-814f-48b4e6a8f844,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
57ced49d-11f1-4436-81a3-191cb939b4f6,IP_ROUTER_ALERT,"5
"
dacfbb7c-adfd-448c-afb6-f41691204eac,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
02746f2e-ac92-4615-b170-853cd1c9d520,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
a64cc2a4-2947-42e5-a026-e2101eeb320f,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
52056658-4771-4312-acf0-ffbf24e413af,IPV6_RECVPATHMTU,"60
"
5637dca5-02fc-476c-b439-bd223860631d,__FLT128_MAX_10_EXP__,"4932
"
d30f6507-f7f9-4ea4-bcea-77b4bd309ca6,RE_DUP_MAX,"(0x7fff)
"
