id,name,value
ec11bbbb-a99f-4e47-973e-6dddcaf57865,__S_IFBLK,"0060000
"
494b4b57-8950-4f39-965c-7f98a586247d,L_XTND,"SEEK_END
"
6d4bcc22-acf6-4af2-a37d-8b043b6e9c57,TCP_WINDOW_CLAMP,"10
"
432c079f-1996-4f7a-925a-836524d1f2dc,STATX_ATTR_AUTOMOUNT,"0x00001000
"
d2a5636b-2b16-43fb-8009-3544daec19e1,_BITS_SCHED_H,"1
"
5625d5ac-59cf-4d7e-b863-c7a57f390e3d,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
d6f1cc38-5c1a-43c4-ab86-dd35b1b70669,IPV6_RTHDR_TYPE_0,"0
"
1c3ffb05-99e1-4c21-a879-9e7e655bf9e4,SI_TIMER,"SI_TIMER
"
bded19fd-0102-495a-b171-3dcba6c60cd0,__SSP_STRONG__,"3
"
5825b41a-8054-485b-a30a-45737cd7af3a,S_ISCHR(mode),"__S_ISTYPE((mode),"
71dd5f63-2adf-42d4-bab7-727524b6f8e2,__attr_access(x),__attribute__
02838d2a-bbf8-4275-b55f-6ad4fef0e3fa,__DBL_MIN_EXP__,"(-1021)
"
f8bef690-7f06-42bd-b33c-5b7f84a2efcb,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
3ed0d281-0158-406c-8712-5c7a0b2318b5,si_timerid,"_sifields._timer.si_tid
"
5bf9ee4a-4cd7-4409-b9cb-e258702c747e,BUS_ADRALN,"BUS_ADRALN
"
6468c970-b288-44cf-a166-e7f6484398cb,_BITS_SIGEVENT_CONSTS_H,"1
"
fc2ee374-f6c5-476a-9d45-aeb72251aa0f,__LDBL_MANT_DIG__,"113
"
53622a11-f36d-4285-9cfd-777a6a20a191,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
9012ef0c-3f2a-4e93-9405-413c71a3987c,AT_STATX_SYNC_AS_STAT,"0x0000
"
0df66c1f-8017-4501-a5db-3aa214d3fa68,LM_ID_NEWLM,"-1
"
27a04005-683a-468e-bf33-5d301f7dbdde,TCP_CONGESTION,"13
"
6121eaf7-8729-4a2f-90d4-8a56f8961a1c,PRIO_MIN,"-20
"
4d4e873b-4c5b-4860-a01c-a65e4b336567,UINT8_MAX,"(255)
"
6f8ae90c-0445-4ad0-8fee-524e2f138aac,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
974bb1cf-ec98-4303-8f03-827391c023f9,IFF_POINTOPOINT,"IFF_POINTOPOINT
"
56423906-9ab6-4ec2-9371-3bd053fc9e90,NO_ADDRESS,"NO_DATA
"
55ec0556-25ab-4384-b47c-4e5b1af646b0,IFF_SLAVE,"IFF_SLAVE
"
e1cf47a3-0294-41e8-9df8-d5b65df143d5,__UINT_LEAST16_MAX__,"0xffff
"
1b4d670e-2740-4c60-a6e4-366ebb6b0daa,F_SET_RW_HINT,"1036
"
26392f27-4ce5-4c40-aec1-ff4cb1cbf561,DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
0454eeb0-a3fc-4b26-8ad4-086f2a377cae,__ARM_SIZEOF_WCHAR_T,"4
"
167019a2-1286-4817-bd11-fa43fa6fbd5c,CPU_ALLOC(count),__CPU_ALLOC
ef44d1a0-fe2a-4639-b3d8-546ee605d864,IP_ROUTER_ALERT,"5
"
3b8e9272-4c68-48ee-8d34-9a3ed7eea405,__DBL_DECIMAL_DIG__,"17
"
8eab4dec-9d32-4ac3-8a18-06b2925450e5,__ATOMIC_ACQUIRE,"2
"
8d1690ed-7fb6-46f3-8bd3-79f3109819f5,_POSIX2_BC_SCALE_MAX,"99
"
32ac5df6-fce2-4384-8749-ab6b183dd69c,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
80e00391-e5b0-4461-84d3-036996b92495,MSG_BATCH,"MSG_BATCH
"
9a82773a-bbe5-4d0c-a5a5-9073a330de95,__FLT128_MAX_10_EXP__,"4932
"
fc93ebb0-60bf-4be4-b559-6412a6b0bf60,TCPOPT_WINDOW,"3
"
13ae918f-6251-4f3e-ae31-1be9c9d210e1,GAI_WAIT,"0
"
d9f2e63f-3433-4493-acee-f21bedcba302,SVE_SIG_REGS_OFFSET,((sizeof(struct
213f5932-41e7-45dc-8697-9c866e5e5cc0,IP_DEFAULT_MULTICAST_TTL,"1
"
f5e05d10-c504-4723-abec-4f4faaa64703,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
9640a0c0-3d53-46cc-8b42-a0c008da37a8,__off64_t_defined,"
"
2bb47c1d-f14c-44ef-9a5d-bd9541c303af,sa_sigaction,"__sigaction_handler.sa_sigaction
"
645a6c7d-aff4-4620-8416-1d534dc012c8,ifr_bandwidth,"ifr_ifru.ifru_ivalue
"
7134eb89-a1d9-41a7-905f-be725d762d0d,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
23812bf9-d9d2-41aa-8042-5c86975f216e,SEGV_MTEAERR,"SEGV_MTEAERR
"
739b5fe0-58e9-4352-92c3-c768094c1ed5,__GCC_IEC_559_COMPLEX,"2
"
3d67ab57-2489-48c3-84b9-9bad0f982df4,TCPI_OPT_WSCALE,"4
"
33d6f24e-1d8e-43ac-875c-e67192366814,AF_APPLETALK,"PF_APPLETALK
"
eaa0d8a3-f92e-427c-b860-cd21fb92303f,RTLD_NOW,"0x00002
"
f2be9cbd-9a98-4411-950a-a1ca67d6e347,__NFDBITS,(8
c9e84d2a-4d7d-4715-87c6-5780906231d9,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
97de43d0-e483-4037-9d79-511fd48bda0f,_SC_TIMEOUTS,"_SC_TIMEOUTS
"
5bac8ac8-9a54-43d0-8590-428d690ecb8d,__GLIBC_USE(F),__GLIBC_USE_
3d623ae7-8a81-49a0-bf7a-fe2ddeb49b58,si_fd,"_sifields._sigpoll.si_fd
"
8717f585-f194-4d34-8077-b3dfbcf41ca8,__UINT_LEAST8_TYPE__,unsigned
74b6742a-0094-4952-a81d-a7b70d4bda59,_T_WCHAR_,"
"
94221b96-b664-42f5-9e66-63f6ef6d2d2d,"__S_ISTYPE(mode,mask)",(((mode)
758c499b-179b-4464-bb62-aad3cf710eae,_SC_IPV6,"_SC_IPV6
"
966e18d5-48dd-4af0-a9f3-a9a453fd9285,EUNATCH,"49
"
a8c27537-7c00-4f1b-80d1-f99b34f7b4d1,SOL_ATM,"264
"
24f24a03-756d-414f-a1e9-4ede0f8940b0,RWH_WRITE_LIFE_SHORT,"2
"
96559ced-02ff-4233-8735-5fb0eaa32e62,EPOLLWRBAND,"EPOLLWRBAND
"
81bfc000-4e8c-4438-9195-7f2d0a2b9105,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
