id,name,value
da4191dc-c295-4eb5-9d2b-09fbb4d79228,__S_IFBLK,"0060000
"
d968515d-240f-4878-90f1-b11f4534a2d3,L_XTND,"SEEK_END
"
88ef05c8-572b-4dd2-bde2-5c261e428fdd,TCP_WINDOW_CLAMP,"10
"
98c552e6-844b-48e1-925d-8f4bc36e2b1b,STATX_ATTR_AUTOMOUNT,"0x00001000
"
703ed5a0-e81c-40b8-b07f-d6dd2fa53929,_BITS_SCHED_H,"1
"
46bbee38-e28f-4133-a54f-306701f271c9,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
6b8929a2-7788-42c2-bdfb-8a7ef240b80a,IPV6_RTHDR_TYPE_0,"0
"
392c93db-2019-4b09-ae25-8105131a5d48,SI_TIMER,"SI_TIMER
"
fea53f93-04cc-4bf6-8dc5-f5092ae4ea80,__SSP_STRONG__,"3
"
93fd938c-ea5d-4ac6-9f74-2f2caaa5bd20,S_ISCHR(mode),"__S_ISTYPE((mode),"
bafbd654-d0e8-4ecb-bf1d-0c1fa00a1477,__attr_access(x),__attribute__
12813cac-2448-4b7f-b037-e26fac00e2a0,__DBL_MIN_EXP__,"(-1021)
"
65fdbe08-a106-47e4-af3b-5de2cbc46b49,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
f8dab2a6-2a01-4e69-b2d3-2b22e374985e,si_timerid,"_sifields._timer.si_tid
"
58a63073-c402-455d-8677-a252ae79408d,BUS_ADRALN,"BUS_ADRALN
"
d5c74741-92a4-4709-bbab-5fa6523d1f21,_BITS_SIGEVENT_CONSTS_H,"1
"
cf69ebbc-7db7-4503-8397-0a777e02f9cb,__LDBL_MANT_DIG__,"113
"
c6f13f79-8178-4d88-ab75-d8ebaa4b7d09,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
8545b944-5d5f-4b7c-bd30-6fd357453bbd,AT_STATX_SYNC_AS_STAT,"0x0000
"
468f0c87-adec-436d-beb7-23df7ff514cd,LM_ID_NEWLM,"-1
"
b6475927-3a89-435c-a6d9-93d9d41af34e,TCP_CONGESTION,"13
"
4f237296-85bf-40d1-84f5-916f542f7181,PRIO_MIN,"-20
"
966528d9-1ee6-4cec-83de-2943b73ae42f,UINT8_MAX,"(255)
"
aaa88300-0fb7-4c50-a661-c52a01e20ad7,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
8d64d2eb-2c63-4325-95cf-0fd92e83aa67,IFF_POINTOPOINT,"IFF_POINTOPOINT
"
35006d59-3423-469c-9b24-f049339cd6c2,NO_ADDRESS,"NO_DATA
"
1e43389f-d9c0-4d56-9d47-a10c8b359a38,IFF_SLAVE,"IFF_SLAVE
"
483939e7-8227-43d0-a313-a7a7f66efd8b,__UINT_LEAST16_MAX__,"0xffff
"
c9530fdf-4c70-41a0-ad7d-e1b874ed16e1,F_SET_RW_HINT,"1036
"
50f11a2a-911a-4d66-a31a-703de4cafce5,DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
8e8f94fe-c875-4743-83fc-9ab67a09cda4,__ARM_SIZEOF_WCHAR_T,"4
"
a53a8c19-aaa5-4071-89be-cbe9a3b5fa41,CPU_ALLOC(count),__CPU_ALLOC
1013ccb4-cc34-405b-af8d-946f01cda3d5,IP_ROUTER_ALERT,"5
"
91671b7c-5e01-4cb9-952b-4946b8e9300c,__DBL_DECIMAL_DIG__,"17
"
f94626ae-a8ac-4c2c-86fd-62135a2c74b6,__ATOMIC_ACQUIRE,"2
"
1f06e1e4-7787-41e8-8acb-9929e47e1f92,_POSIX2_BC_SCALE_MAX,"99
"
a1cc7c02-172e-4b45-b98a-9987d5663deb,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
4bd18492-0d10-4835-834b-9e93c356580a,MSG_BATCH,"MSG_BATCH
"
aba8f878-2fc2-4fad-9de3-0aad139282fc,__FLT128_MAX_10_EXP__,"4932
"
593bb5c4-a0e6-4866-a3a8-0ee68953d978,TCPOPT_WINDOW,"3
"
968a8ff6-0a69-4ce2-8a8d-4818da9e7e24,GAI_WAIT,"0
"
7ad8a5d5-6f1a-4295-bb28-c1baa698f753,SVE_SIG_REGS_OFFSET,((sizeof(struct
b8e620cc-b20f-402a-a4d8-a7ffd0af5cbd,IP_DEFAULT_MULTICAST_TTL,"1
"
45fcbd99-9509-4f07-a2d1-f3c240c95b19,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
1879fcda-5f15-450a-8904-faf874e2334a,__off64_t_defined,"
"
749296de-f1f1-4514-93c2-4a92ce1f0c6f,sa_sigaction,"__sigaction_handler.sa_sigaction
"
173ad374-fc7b-43e6-8979-8e9a77b92d13,ifr_bandwidth,"ifr_ifru.ifru_ivalue
"
0cd44da8-6b59-4967-ace5-11f57ba6a539,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
0c13eefe-37ab-486f-8c12-e1140ee4b833,SEGV_MTEAERR,"SEGV_MTEAERR
"
