id,name,value
df836967-8be6-4559-a279-421fd5274f79,__S_IFBLK,"0060000
"
b7a21a9b-3427-481c-8e46-9cef8b83c88d,L_XTND,"SEEK_END
"
13fe4d8f-45e6-41a7-b66b-e03f254d758f,TCP_WINDOW_CLAMP,"10
"
836c962f-3f29-40d6-815b-fb2229d58472,STATX_ATTR_AUTOMOUNT,"0x00001000
"
8e10ccee-abe8-4cc3-b413-4514c62a41aa,_BITS_SCHED_H,"1
"
22b3aaf4-4cc2-4dbf-b01c-26a6debcb8ed,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
10395452-10ca-4e22-82a7-0ba398fbeb3d,IPV6_RTHDR_TYPE_0,"0
"
a60dd057-4663-4215-81a7-f691394afb58,SI_TIMER,"SI_TIMER
"
20f3134c-0749-4124-8b56-6541c47cf724,__SSP_STRONG__,"3
"
d9fd6e3a-190e-4310-a0b4-cd975866d94f,S_ISCHR(mode),"__S_ISTYPE((mode),"
8804b3c5-fb49-4736-80ef-ca9d74dd69ad,__attr_access(x),__attribute__
a5247e5b-7dab-4508-a4db-9cac2cda41cd,__DBL_MIN_EXP__,"(-1021)
"
a231f7a8-c69f-4cde-86c3-0f0f70d473cd,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
9f4a9be7-8c5e-4257-a17b-a79c67cadbe5,si_timerid,"_sifields._timer.si_tid
"
04cc6673-57ca-4237-8857-d043e6d16124,BUS_ADRALN,"BUS_ADRALN
"
824fbf2b-af51-445b-a793-dda3a46e873d,_BITS_SIGEVENT_CONSTS_H,"1
"
90cee723-17ca-4003-8564-f603b6e42b01,__LDBL_MANT_DIG__,"113
"
0bbe6f13-7063-4001-951c-350fcb9fcfd5,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
0082db7a-a19c-4fe9-b905-9d68047cb94f,AT_STATX_SYNC_AS_STAT,"0x0000
"
d5e47afa-fdfd-4b9e-890d-830d8e0c2343,LM_ID_NEWLM,"-1
"
116eef32-ba80-45cd-9948-314c2f54b3cb,TCP_CONGESTION,"13
"
39b22960-fb3b-46cb-b05f-0541f89342bb,PRIO_MIN,"-20
"
44c831e0-880d-427b-811e-4149856e0165,UINT8_MAX,"(255)
"
e4804cc9-72f6-41ce-881e-3adc885f8a29,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
9ef3df93-2aea-4c8d-92a3-0031012e934e,IFF_POINTOPOINT,"IFF_POINTOPOINT
"
c67b65d6-18c8-492f-b1d9-7f2d7349e6ae,NO_ADDRESS,"NO_DATA
"
bef1a8ea-2e1c-4bbb-a7f6-0f39da6c989e,IFF_SLAVE,"IFF_SLAVE
"
d9871599-628d-4ad9-abec-7060eac41589,__UINT_LEAST16_MAX__,"0xffff
"
2ed0312f-f816-41b3-8618-080a79abcda9,F_SET_RW_HINT,"1036
"
46641a59-9f3f-404a-b7dc-da749cc3ef60,DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
2c5d545a-0bc7-4895-bef0-2f657d4c8d3f,__ARM_SIZEOF_WCHAR_T,"4
"
8b64b736-36c0-4646-988f-aeb93b856284,CPU_ALLOC(count),__CPU_ALLOC
d75523ba-c886-4a63-bceb-047ce8f21fdb,IP_ROUTER_ALERT,"5
"
b1d7add9-d642-4acc-8804-ec868ddd51fb,__DBL_DECIMAL_DIG__,"17
"
034d577c-8a86-4c02-a62c-8c28a5e5111e,__ATOMIC_ACQUIRE,"2
"
a7b5cf09-dc58-484a-9ec5-e3d7ea08cbd4,_POSIX2_BC_SCALE_MAX,"99
"
a850a037-fbae-4709-95a4-98bcefcd0600,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
5665f70e-8812-42f4-abd8-4146eb44045a,MSG_BATCH,"MSG_BATCH
"
7bf2308d-2f0b-4069-b949-0db86591749d,__FLT128_MAX_10_EXP__,"4932
"
885528d4-51ab-469c-bb85-99af8c463c04,TCPOPT_WINDOW,"3
"
6bc50bc1-3214-4713-90c4-e588f0fb02a6,GAI_WAIT,"0
"
c93be586-b454-460a-be00-17aad6d07c1b,SVE_SIG_REGS_OFFSET,((sizeof(struct
e0907b79-d3ae-4500-9e1d-65e244231b24,IP_DEFAULT_MULTICAST_TTL,"1
"
03c5655b-1f68-428f-980d-ddbe96b4070e,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
e045a19d-da21-4aab-a69f-9efe3a88df2b,__off64_t_defined,"
"
18caa67f-a73a-4ea0-b6c6-3fcdf07c7440,sa_sigaction,"__sigaction_handler.sa_sigaction
"
c5839efc-6948-4b44-90d0-0df7b1f5e105,ifr_bandwidth,"ifr_ifru.ifru_ivalue
"
4b191190-f072-41c9-8afb-77b11824c83c,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
f8cb9034-08d8-4d5c-a891-fa5d9e86c0a9,SEGV_MTEAERR,"SEGV_MTEAERR
"
e3708178-5c55-4c23-9d46-d9f28b1d16e0,__GCC_IEC_559_COMPLEX,"2
"
accacdee-da91-4588-9380-3a1e5b1ae765,TCPI_OPT_WSCALE,"4
"
816d774f-aa6d-46d5-8cce-e5644956ea2e,AF_APPLETALK,"PF_APPLETALK
"
d09ecc39-2dd8-41ef-913b-037ad26d24e7,RTLD_NOW,"0x00002
"
6899fcbc-e704-4c31-8971-4277093c5b53,__NFDBITS,(8
16c3fede-1f3b-4314-bbba-e508815ea990,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
ad6c00d6-3dde-4a40-a668-770b3651d7b7,_SC_TIMEOUTS,"_SC_TIMEOUTS
"
d2525b58-189b-46df-8322-c4d1c8739aac,__GLIBC_USE(F),__GLIBC_USE_
1abe9244-730b-493b-a1d7-716d27e85f4c,si_fd,"_sifields._sigpoll.si_fd
"
68ff08d7-03dd-47f9-aba3-363b3f40f278,__UINT_LEAST8_TYPE__,unsigned
8d94d943-21b2-44d4-a3a0-853bd76f3954,_T_WCHAR_,"
"
241fd1b2-c395-4259-9c0e-eabf64687c64,"__S_ISTYPE(mode,mask)",(((mode)
6c4a3561-205d-47c7-a736-f03f238b62e4,_SC_IPV6,"_SC_IPV6
"
f0aecb86-ec17-46ab-a6f5-30beb9c10971,EUNATCH,"49
"
c57b611c-229c-4462-b91e-d0a860df958a,SOL_ATM,"264
"
