id,name,value
b911232d-5c63-4f51-b194-a1c550478fef,__S_IFBLK,"0060000
"
93b50e3f-e40b-46b5-adbc-f0e8abdf621b,L_XTND,"SEEK_END
"
86d0ff2a-20f6-4cd8-81d7-5b5e7c50c4ea,TCP_WINDOW_CLAMP,"10
"
d305bcbe-25e8-4196-a3c0-30b15e1fb0d8,STATX_ATTR_AUTOMOUNT,"0x00001000
"
5e307d51-7a2d-43ff-9845-b33d75e05c47,_BITS_SCHED_H,"1
"
5f943faf-b883-43e6-a442-e48d255f3264,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
bad05762-d0f1-4646-8b9e-f9c5d8209471,IPV6_RTHDR_TYPE_0,"0
"
7d87b32e-6692-4541-a51f-8cbd79c50150,SI_TIMER,"SI_TIMER
"
57ef8dd1-2e42-45c8-816e-4aabd384be49,__SSP_STRONG__,"3
"
5a0e6517-3541-4f0e-ac32-c09ea29bd37e,S_ISCHR(mode),"__S_ISTYPE((mode),"
a14c20e5-a5f6-4478-ad60-1b760d9ae548,__attr_access(x),__attribute__
4bc634e3-174e-45aa-a6df-d1f4e73e0eb9,__DBL_MIN_EXP__,"(-1021)
"
7ee37d28-c36b-4d0d-b1f0-bc8b38a46096,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
6c8c72ff-79ca-40b2-adad-a2fc624036f2,si_timerid,"_sifields._timer.si_tid
"
8f756ccd-d7e3-4dd8-b673-42b19dddf4f0,BUS_ADRALN,"BUS_ADRALN
"
798a3da8-f3ab-49c8-98e8-123dc2e13169,_BITS_SIGEVENT_CONSTS_H,"1
"
e1c5f082-d2fb-4e25-a22c-db4b94714eb1,__LDBL_MANT_DIG__,"113
"
961dad38-e148-420d-a65d-06a82853b29e,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
dd2c762b-9f28-4933-9673-725f2a7f96da,AT_STATX_SYNC_AS_STAT,"0x0000
"
045728b7-4af0-466f-b0fb-847968cfa04b,LM_ID_NEWLM,"-1
"
b5ed8d14-288a-4976-ad9d-6be3dea721fb,TCP_CONGESTION,"13
"
791221fd-c5b7-4065-a161-2ad6fa353976,EVENT_NVAL,(unsigned)
313fef3e-c7fc-4d67-b9b8-440e3545b3ab,PRIO_MIN,"-20
"
7fd580a4-8850-49c1-80be-2a02ae08f428,UINT8_MAX,"(255)
"
ffed693a-b168-4959-86dc-389f489bb8c8,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
bd8c8b3d-d6b8-47e5-bc2c-201c7830a30a,IFF_POINTOPOINT,"IFF_POINTOPOINT
"
c24e92a1-d0a7-44d4-833d-723d270f7ed5,NO_ADDRESS,"NO_DATA
"
79268325-bb04-46fc-8d79-acb180321b55,IFF_SLAVE,"IFF_SLAVE
"
9a709bdb-75a9-45e6-9faa-7f65afe6b18e,__UINT_LEAST16_MAX__,"0xffff
"
56ab2eb3-24ad-4526-bbd0-37cc28075a2f,F_SET_RW_HINT,"1036
"
a4f7ebd4-2c61-493b-877d-b49d5e54a493,__ARGV_INCLUDE_H__,"
"
6847908d-90eb-4c30-8648-9b08781e3b9b,DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
b459e1bb-f5e2-4335-9507-68ae208212bd,__ARM_SIZEOF_WCHAR_T,"4
"
da089266-465f-4cf7-881e-af95168a0696,CPU_ALLOC(count),__CPU_ALLOC
20824620-81ff-4a73-af83-d1f308ad3f8a,IP_ROUTER_ALERT,"5
"
f1d4cee4-7b62-4b60-89dc-c83521cb28f3,__DBL_DECIMAL_DIG__,"17
"
ed67e4a2-1f55-47e7-89a6-9fac8573ad33,__ATOMIC_ACQUIRE,"2
"
eb8f098e-cdee-4c6a-8a81-c8301ffee026,_POSIX2_BC_SCALE_MAX,"99
"
acd0ea8b-4171-435e-9561-1e58448340de,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
08b43c8b-e3a6-420b-9e7f-ed105b91e764,MSG_BATCH,"MSG_BATCH
"
da991515-a948-4b61-bc4d-3114c33c4a04,__FLT128_MAX_10_EXP__,"4932
"
6623effd-c457-428c-9f6c-1046f3c67a6a,TCPOPT_WINDOW,"3
"
