id,name,value
d77d2caf-eaf8-4a6d-9ec5-178069e1606b,__S_IFBLK,"0060000
"
61915890-2739-44ce-907a-98d6ee8ddb53,L_XTND,"SEEK_END
"
938a228a-f43f-4cae-86fa-ae7c1abd40d1,TCP_WINDOW_CLAMP,"10
"
d86a8fc3-5541-4188-82d6-3e17297c7497,STATX_ATTR_AUTOMOUNT,"0x00001000
"
0c44186f-9a9d-4ee7-aff8-6998cb179003,_BITS_SCHED_H,"1
"
1bb01e49-b723-4133-8151-2caee6c370c0,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
f0496893-d6ba-4761-a672-c55328944032,IPV6_RTHDR_TYPE_0,"0
"
d228af4b-8402-4731-9d4d-0409e72d31d2,SI_TIMER,"SI_TIMER
"
d84bd5b9-9f12-4d47-8116-8716391e1442,__SSP_STRONG__,"3
"
645f598f-9639-4ef8-98d4-c4710f24361a,S_ISCHR(mode),"__S_ISTYPE((mode),"
025e75e0-35d7-4945-9015-0a903dc5ccd2,__attr_access(x),__attribute__
bcfe5467-88df-4ad5-ab0e-93e1bd1e7122,__DBL_MIN_EXP__,"(-1021)
"
a0559328-e8e4-4cdd-b976-f74513f39c67,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
85e0086a-140d-4bd8-8a1b-9d638ad7221c,si_timerid,"_sifields._timer.si_tid
"
348a2c7d-7cd3-4d21-94b9-f3cc3ac7700f,BUS_ADRALN,"BUS_ADRALN
"
1046c7d5-8c92-42d3-9f03-78b9ab42b033,_BITS_SIGEVENT_CONSTS_H,"1
"
6f6b07f9-9834-4b1b-be8d-323f18829562,__LDBL_MANT_DIG__,"113
"
1bf5f24a-273b-4eae-bddc-46e3c5b868b5,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
be75e9e0-0e19-4199-b615-60fc52481728,AT_STATX_SYNC_AS_STAT,"0x0000
"
1370a6c0-012a-4579-a35e-06666dc5875a,LM_ID_NEWLM,"-1
"
0ee908de-a46c-42ad-a8f1-8214234d13d3,TCP_CONGESTION,"13
"
71dc308f-8d67-40f7-a03a-97c6c388c97e,EVENT_NVAL,(unsigned)
855ed1de-2702-4a54-9de1-7d5e76779e01,PRIO_MIN,"-20
"
fc76e487-22da-4df3-b596-41463e91e11d,UINT8_MAX,"(255)
"
1ca22ea3-f227-4fd4-ae83-58e9c22899f7,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
0e9b9230-39ff-493e-b2ee-f0905825018d,IFF_POINTOPOINT,"IFF_POINTOPOINT
"
3e2c80db-fd5c-4eb3-b3d4-5f437da16452,NO_ADDRESS,"NO_DATA
"
78f604f6-09b5-44f1-910a-7384a6755df1,IFF_SLAVE,"IFF_SLAVE
"
f63c2cb3-bbf6-4152-b8bb-20437436da0e,__UINT_LEAST16_MAX__,"0xffff
"
50742a2c-a3e3-4bde-876e-a93bc5b1be98,F_SET_RW_HINT,"1036
"
130f3bcc-78c6-46de-8fe8-30ad6c55a2dd,__ARGV_INCLUDE_H__,"
"
413b72b2-72d3-403e-ac32-4058744206e8,DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
1bce8e17-750e-4c4e-b88a-6ce7fe5eb8d8,__ARM_SIZEOF_WCHAR_T,"4
"
105dcd84-c8ac-4318-b25d-7389161e0500,CPU_ALLOC(count),__CPU_ALLOC
6bb19848-e6b6-47b3-a68a-1bac98e096bd,IP_ROUTER_ALERT,"5
"
38d5d043-e0be-49d3-b957-c3e951751396,__DBL_DECIMAL_DIG__,"17
"
31f46abc-1faa-4e90-b96e-10a5c07b9c30,__ATOMIC_ACQUIRE,"2
"
2edf0348-7969-4b94-8f78-81d41513f67c,_POSIX2_BC_SCALE_MAX,"99
"
c86bddb7-fb53-47f9-93c1-54acbab3e405,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
a1a4401d-ffef-4e41-aca6-e5903a0f0a54,MSG_BATCH,"MSG_BATCH
"
283a9937-c0ed-4b7e-8b74-8a51b1526a86,__FLT128_MAX_10_EXP__,"4932
"
1fa292bc-f906-4477-b9e7-89f3ff287bef,TCPOPT_WINDOW,"3
"
de912189-48ce-4488-957f-0162b888c782,WAITER_INC(e),"((e)->waiter++)
"
05b0fca0-344c-4655-bf93-9e1462615dd6,GAI_WAIT,"0
"
6036491c-e83b-43f9-ade9-8574dfdb150c,SVE_SIG_REGS_OFFSET,((sizeof(struct
8577e619-8b43-466a-b52a-9e9ec994f981,IP_DEFAULT_MULTICAST_TTL,"1
"
555ae792-0533-44aa-9b17-ad7c7ff311f3,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
8ab3ce66-f220-42b8-8d12-31b135b6ea1c,__off64_t_defined,"
"
8748a62a-91b5-41e5-a4eb-1f31a84e66c0,sa_sigaction,"__sigaction_handler.sa_sigaction
"
c9f187a0-73fd-4506-8f8b-8cf611726185,ifr_bandwidth,"ifr_ifru.ifru_ivalue
"
fc6efb3c-2bdf-45c1-b113-650f87e5d151,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
ede5f118-1ef9-4767-87da-633d895f8b67,SEGV_MTEAERR,"SEGV_MTEAERR
"
189900fa-b958-4bb8-b08b-fcc0dbfa0f40,__GCC_IEC_559_COMPLEX,"2
"
0a77a4ac-5443-4a69-8ca1-ecbcefcf511e,TCPI_OPT_WSCALE,"4
"
5646d6d2-5eb7-4c0d-a68a-c4e802c5459b,AF_APPLETALK,"PF_APPLETALK
"
c8775cc5-193c-48e3-bc3f-b77f6e0b5b81,__COMMON_INCLUDE_H__,"
"
20de9e6c-bfe6-4d73-b178-4e3be8c6310c,RTLD_NOW,"0x00002
"
b73cf40e-0142-4a0f-a131-6ab974edf074,__NFDBITS,(8
769afe7a-d884-4530-ab45-32ab1de59ecc,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
4fcc7837-143e-46b6-a862-acdeeb6f4701,_SC_TIMEOUTS,"_SC_TIMEOUTS
"
bb32742e-6837-415a-a785-2ef1a7bb4cf0,__GLIBC_USE(F),__GLIBC_USE_
bacd900c-2d07-4b3e-8dd1-65156a1436ed,si_fd,"_sifields._sigpoll.si_fd
"
313d8d4c-d41e-4607-91fb-289211f33512,__UINT_LEAST8_TYPE__,unsigned
1f6fafb9-30f8-4ef5-ae59-08f8e16e9fb4,__INIT_H__,"
"
9765b980-4105-42e7-a87a-7e320a24a533,_T_WCHAR_,"
"
cd0b7cb7-cc37-4bbc-a4de-27ec09c9d8ed,"__S_ISTYPE(mode,mask)",(((mode)
eb3eeaec-c0fa-43bc-81f3-c8c78a2fe65e,_SC_IPV6,"_SC_IPV6
"
67bb95b7-ab04-4405-8133-8a0ca7fdbbcb,EUNATCH,"49
"
9d97de2b-1edb-45a6-9d20-0652f95c6517,SOL_ATM,"264
"
3b6beddf-d386-442e-9653-c7a5d53ade55,RWH_WRITE_LIFE_SHORT,"2
"
bca11cf2-4b3b-42ed-bcf4-e948bf29b651,EPOLLWRBAND,"EPOLLWRBAND
"
ed7e823a-4412-4478-af8b-81de0f33b4a6,__BOOST_JUMP_INCLUDE_H__,"
"
e06b11f3-1d47-4400-8f5a-655be9636bf3,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
dbf48b2c-acf5-4023-aaa7-0885b58728d9,NI_MAXSERV,"32
"
d8455b95-7a13-44e7-b8ab-95e96d0f57d0,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
4bba808a-e93d-4386-9e56-ba0b2ec5d9bd,__CFLOAT64,_Complex
043160e0-b8d3-4930-ab53-ca3ca80e3446,CHAR_BIT,"__CHAR_BIT__
"
d253d6a6-42a7-425b-b4fb-dfff0f239b66,FIBER_ENETDOWN,"ENETDOWN
"
5f3f11e8-15ed-43c7-b17d-1559311a0391,TCP_CORK,"3
"
f35f18d8-bf47-4c12-a8ad-5101ee02ca45,SO_KEEPALIVE,"9
"
2c39507b-96e4-40ed-bb0b-48f4a7bb71ff,AF_PPPOX,"PF_PPPOX
"
1aaa5e7f-1934-4de0-964b-a38a507b4cd9,_NETINET_IN_H,"1
"
2d425db1-206c-4029-9a28-bf0ca8deb2f2,ENOCSI,"50
"
6af84248-4e37-4fc2-850c-b414d4f6ecfb,__stub___compat_get_kernel_syms,"
"
754e4e15-00e5-4702-a8ad-963a3ce1bad8,SO_SNDBUF,"7
"
3a4bafe5-b2e7-4e99-9b98-056a9e78bf9a,si_arch,"_sifields._sigsys._arch
"
14b5590a-a04d-4a0b-bd8a-82c5245cf2f4,"RING_LAST_APPL(head,app_type,ring_member)",(ring_pred(head)
2606429a-fb9a-4dd7-8743-f89e7d216576,foreach_reverse,"FOREACH_REVERSE
"
3c081e72-adbe-449b-9e39-cdb13928e3cd,RTSIG_MAX,"32
"
b3e24fcb-4b03-4f66-bd41-cbcf58bf307e,_CS_XBS5_LP64_OFF64_LIBS,"_CS_XBS5_LP64_OFF64_LIBS
"
34b38542-c5ed-4732-865a-1431b7bf01c0,__S64_TYPE,long
b2aa2dad-63cb-4304-b79f-217245dbceb1,_PRINTF_NAN_LEN_MAX,"4
"
a3b8eca7-7d8b-4d0f-b681-45bb930bfa1b,_POSIX_PRIORITIZED_IO,"200809L
"
d83d26cc-c36b-4c59-847a-f522bec738a4,__FLT128_DIG__,"33
"
bc1f0fb9-4f34-421d-a04b-c4dda55dc183,DLFO_STRUCT_HAS_EH_DBASE,"0
"
7614ac00-9bff-4a31-ab3a-612b81e83508,__stub_fchflags,"
"
993365f6-a1c5-4526-b6ab-b202d9ab4cd5,__SQUAD_TYPE,long
9e8f6dba-6a29-4cf1-ba90-19a007d952a7,SVE_NUM_ZREGS,"__SVE_NUM_ZREGS
"
e49f6c34-0e7b-4e7c-8960-39e95e67c530,_BITS_SIGINFO_CONSTS_H,"1
"
da1140fc-1c9a-488b-af96-48601e34c3a4,SIGBUS,"7
"
41578eca-8271-4a07-9faf-bbc08f1551e8,__INTMAX_C(c),c
a0a225d5-117d-4bea-a435-e428b1728b7d,_SC_LEVEL4_CACHE_SIZE,"_SC_LEVEL4_CACHE_SIZE
"
007cf948-ae83-4d2d-aa9c-7acf543aa60a,_SC_TTY_NAME_MAX,"_SC_TTY_NAME_MAX
"
eb4294e1-4bd5-4950-ab03-e68c5328fa61,_BITS_FLOATN_COMMON_H,"
"
7d91d3af-f679-445b-839f-d41958adc6c1,_BSD_SIZE_T_DEFINED_,"
"
77cc61f9-2174-4a44-888d-5891b03e625d,SOL_LLC,"268
"
9f44c2ca-6681-478b-9e40-4d088a0a0e87,NL_NMAX,"INT_MAX
"
