id,name,value
5d87ae2f-4482-4cd1-8958-b2b9bf29e086,__S_IFBLK,"0060000
"
a19ea7c7-2d11-4dfc-b3a8-e2263f876bd5,L_XTND,"SEEK_END
"
75cbed81-d68b-4fc1-a6f2-412e663f8f47,TCP_WINDOW_CLAMP,"10
"
d0e5f9b7-2359-4f46-8409-99b422a0a105,STATX_ATTR_AUTOMOUNT,"0x00001000
"
9f5a95f4-65c1-4fc0-baad-cee941a9b632,_BITS_SCHED_H,"1
"
636dd223-fc8a-4f47-bc59-989e73416045,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
a78b6683-b6ad-4458-b979-cafcfb9896b9,IPV6_RTHDR_TYPE_0,"0
"
00ca0053-a13a-47b8-a6ce-325c4175d5df,SI_TIMER,"SI_TIMER
"
dcb73934-9d7a-4f16-9521-87c129e78da2,__SSP_STRONG__,"3
"
b3396bca-802c-47b3-93d4-908fe61dd505,S_ISCHR(mode),"__S_ISTYPE((mode),"
99eeb9b3-9a8c-41a1-a19f-8a0e612cd043,__attr_access(x),__attribute__
7020a2fe-9801-4564-8d4c-cecfe745bd40,__DBL_MIN_EXP__,"(-1021)
"
442e4b1b-dc2b-4988-a180-4f0986b3cad3,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
e16f6d11-dbf3-418d-ba8c-3e5ccd9cb4e4,si_timerid,"_sifields._timer.si_tid
"
e282b07f-2e2d-4cac-a756-7f302bf520dc,BUS_ADRALN,"BUS_ADRALN
"
838349be-b2b4-44c8-b0ce-1b4f39d6d5a6,_BITS_SIGEVENT_CONSTS_H,"1
"
5b9e0560-bb0b-413d-93b3-88244435d812,__LDBL_MANT_DIG__,"113
"
274f4ad4-1315-4a7a-9b8d-d0b6530bebf3,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
162a1b54-7934-4ff2-916b-b6ef8b45ff56,AT_STATX_SYNC_AS_STAT,"0x0000
"
511b227d-67c6-487f-8992-d44a85830f77,LM_ID_NEWLM,"-1
"
e6ecb2ca-6de4-4928-a57f-e787e8727d01,TCP_CONGESTION,"13
"
459c7e91-5ff2-408a-a86c-e0ce2f7b966c,EVENT_NVAL,(unsigned)
3b3042b6-ce54-4a2a-bd7a-1871ce833c1e,PRIO_MIN,"-20
"
94ab2adf-5f77-4b80-8cdd-eee1c5266c59,UINT8_MAX,"(255)
"
b24fd1b4-5ab7-423d-89bb-0808735a119c,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
c7e50c64-3d80-4956-91fa-6fc81ac01384,IFF_POINTOPOINT,"IFF_POINTOPOINT
"
8e2bb2d6-e014-4b5b-9ebb-5a2a93628f6c,NO_ADDRESS,"NO_DATA
"
81414292-1325-40ee-85a7-55843fe896b9,IFF_SLAVE,"IFF_SLAVE
"
6075a4a3-a6a6-42f5-af60-0b932e91f36c,__UINT_LEAST16_MAX__,"0xffff
"
707c576a-2ceb-403a-8f33-4689f0128e82,F_SET_RW_HINT,"1036
"
1c690137-2595-4574-8c94-ff9aad3cc9a2,__ARGV_INCLUDE_H__,"
"
0a0921c5-f991-4521-96a9-ba198726a82c,DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
e6be0d22-d22f-488f-98b5-80687b2a03a4,__ARM_SIZEOF_WCHAR_T,"4
"
872c37b5-9277-42de-b9b6-4cad4b6a375e,CPU_ALLOC(count),__CPU_ALLOC
4db7d275-1ac7-4e7c-accc-7d4a15b43fa5,IP_ROUTER_ALERT,"5
"
75d66a8b-bf03-4eef-a970-086dbac5b0fe,__DBL_DECIMAL_DIG__,"17
"
13978366-93e1-49f4-b385-20dad29efaad,__ATOMIC_ACQUIRE,"2
"
11c6a7b3-e933-49f8-ba35-dd56383140ee,_POSIX2_BC_SCALE_MAX,"99
"
cf431188-4297-4ccd-ac0c-4b5b73fab967,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
485fee3a-7f57-4bbf-9bdb-5a79d685f4d9,MSG_BATCH,"MSG_BATCH
"
be88c40c-388a-423d-914a-2923d54186e7,__FLT128_MAX_10_EXP__,"4932
"
cd21dd52-aa37-4d21-b139-86b641646acd,TCPOPT_WINDOW,"3
"
e56e3251-6dd9-466e-95d8-49d466362bd1,WAITER_INC(e),"((e)->waiter++)
"
47c11517-80ba-47c2-86ea-8912bdaf3b44,GAI_WAIT,"0
"
2ebcbc1b-6d8d-4509-973f-4b57d3fce1ec,SVE_SIG_REGS_OFFSET,((sizeof(struct
6d36a34a-5dfe-40b0-b0ea-5a4e7aca0b97,IP_DEFAULT_MULTICAST_TTL,"1
"
5ecc8d77-abb7-4199-afcc-4f739020b073,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
2625df86-1012-4bb7-bb7c-4206196ab12e,__off64_t_defined,"
"
c590e5ba-608d-4229-b966-ff2d957d3141,sa_sigaction,"__sigaction_handler.sa_sigaction
"
22feb4ef-86bb-46a8-b4c5-18850d5a6a8c,ifr_bandwidth,"ifr_ifru.ifru_ivalue
"
2c6d03d5-9113-40b5-9631-6f9135ea4dbc,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
43f16423-d0ec-4665-9848-04a2c857da76,SEGV_MTEAERR,"SEGV_MTEAERR
"
13efbfb7-ae91-44c6-8165-55b77be1041f,__GCC_IEC_559_COMPLEX,"2
"
680fb780-c509-4fd6-be8d-75439feeaf83,TCPI_OPT_WSCALE,"4
"
92d124db-0b35-46f2-ab51-c63cd9ec98de,AF_APPLETALK,"PF_APPLETALK
"
aef8aed7-82ba-43b8-977e-88c93dc75b2d,__COMMON_INCLUDE_H__,"
"
624d1950-8e62-42b0-805e-9facdec67589,RTLD_NOW,"0x00002
"
95021970-4f24-494e-a07c-f37706a2fef8,__NFDBITS,(8
cb2c09b6-5406-438b-b1e7-8968cdd8a77d,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
1ea278fe-422b-40fa-9ff8-035f890e7c54,_SC_TIMEOUTS,"_SC_TIMEOUTS
"
ab05f83f-c73d-487c-a941-7e4a868360ab,__GLIBC_USE(F),__GLIBC_USE_
3f1f319f-457a-404a-beaf-dc00fdb6194f,si_fd,"_sifields._sigpoll.si_fd
"
1705b6f3-8946-4921-8709-67e40a45d6fb,__UINT_LEAST8_TYPE__,unsigned
0e26195f-b745-4a86-81eb-467a38351768,__INIT_H__,"
"
a92fdf36-8e24-446e-8401-05daae4a59b9,_T_WCHAR_,"
"
950b164e-3330-44b0-90d6-2ad7428a6202,"__S_ISTYPE(mode,mask)",(((mode)
c9bd752c-a407-4e58-8076-98716afcb191,_SC_IPV6,"_SC_IPV6
"
528db659-3c40-4a55-a38f-6d585b28c671,EUNATCH,"49
"
ad675139-f472-4e6b-a65d-9c8fb6271436,SOL_ATM,"264
"
7c21fa3e-87b7-4695-9f80-ceb7c2d5208c,RWH_WRITE_LIFE_SHORT,"2
"
5ef369a9-c99b-487e-87db-ac771727b061,EPOLLWRBAND,"EPOLLWRBAND
"
a9e9b03f-3d3e-4ce2-bbda-1b0b4f4ff146,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
413cfcdf-3b7b-446c-b06f-fdd2c97cb424,NI_MAXSERV,"32
"
221c713c-ff33-49e8-959a-1c64fa097657,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
e13696f3-ac63-4f28-97fa-05bb09aa0737,__CFLOAT64,_Complex
e063331e-f8fd-4c82-aef7-681f9c324fb0,CHAR_BIT,"__CHAR_BIT__
"
4a946399-4238-4cb0-95c3-b857b03d4979,FIBER_ENETDOWN,"ENETDOWN
"
5acf7087-e36a-474c-9c63-0f0bd8de0079,TCP_CORK,"3
"
708c6948-e71d-4743-aa0f-e908b68acee2,SO_KEEPALIVE,"9
"
df142036-1a29-49e3-946c-edfcda2df814,AF_PPPOX,"PF_PPPOX
"
537082e6-c2ac-426a-a85f-711fdb9b3b97,_NETINET_IN_H,"1
"
d917c709-0ad7-401f-820b-d2e1c56370c6,ENOCSI,"50
"
bbc074a7-ba67-412b-bc86-c4e8afb44f73,__stub___compat_get_kernel_syms,"
"
dedfd21b-3829-4917-ac20-033c8ccb7db8,SO_SNDBUF,"7
"
0844a7dd-158f-41e4-802a-cffdcf1e955a,si_arch,"_sifields._sigsys._arch
"
bba9b2a5-ac00-411c-bff2-d4868c057dc6,"RING_LAST_APPL(head,app_type,ring_member)",(ring_pred(head)
c64677a2-0a39-48e0-b8f2-2173c9ea7e26,foreach_reverse,"FOREACH_REVERSE
"
09caccf1-4710-4ab0-9a53-4759b70a180e,RTSIG_MAX,"32
"
7fbb0838-fdab-4b39-b0e4-dd1870bb3e54,_CS_XBS5_LP64_OFF64_LIBS,"_CS_XBS5_LP64_OFF64_LIBS
"
582dbd62-70fa-4ad6-b525-ac051b8c94f7,__S64_TYPE,long
4de5ff6e-ea19-4f0d-a7b0-efb30569ede4,_PRINTF_NAN_LEN_MAX,"4
"
fa43f136-f37f-497c-b2c0-ae80416ded98,_POSIX_PRIORITIZED_IO,"200809L
"
42a56ccd-9d72-47f3-8109-42bee528d36d,__FLT128_DIG__,"33
"
e88838d6-0dbf-4590-a2f9-9e13be9d60e7,DLFO_STRUCT_HAS_EH_DBASE,"0
"
dc6092dc-ea83-45de-b5f9-5e2baedaeec7,__stub_fchflags,"
"
c7b68bb0-f27c-44de-b7a1-5498d3e6a11c,__SQUAD_TYPE,long
cefb200b-6b85-4f78-b505-9a839823c3e4,SVE_NUM_ZREGS,"__SVE_NUM_ZREGS
"
