id,name,value
65b924b9-10fc-4471-8226-70055f78fd1f,__S_IFBLK,"0060000
"
0d9c178b-25bb-43b1-90c5-c05d2871adb0,L_XTND,"SEEK_END
"
ef19451d-eddb-452d-9cb2-04f5b325d20d,TCP_WINDOW_CLAMP,"10
"
258c65f1-e17e-4f20-90f5-f0974346cf8b,STATX_ATTR_AUTOMOUNT,"0x00001000
"
477c11e1-2bf3-4407-9b84-9a0cf2a1e5ee,_BITS_SCHED_H,"1
"
a72912ee-86ff-4487-9b77-eff1716360e2,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
1258bbee-445d-4b00-b94d-56e34255e220,IPV6_RTHDR_TYPE_0,"0
"
23f5cd23-1749-49f0-a412-88ffb1c308c2,SI_TIMER,"SI_TIMER
"
b1851065-8ef1-4db6-ac6d-51ad184d763a,__SSP_STRONG__,"3
"
06d04733-4b7a-4d52-84ef-86049d51182b,S_ISCHR(mode),"__S_ISTYPE((mode),"
a5eda4aa-394e-4ea5-b477-eaf813055d75,__attr_access(x),__attribute__
88a214a6-e528-4ee2-aba0-252575d77203,__DBL_MIN_EXP__,"(-1021)
"
f2bbc899-d09b-461b-b388-0a9a3fad4165,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
b837b777-e392-4dea-bead-e522ed1966bf,si_timerid,"_sifields._timer.si_tid
"
d7bfd8ed-a31a-4c22-8e46-aed95b261f1d,BUS_ADRALN,"BUS_ADRALN
"
45fff736-5812-4845-a334-bffe87274149,_BITS_SIGEVENT_CONSTS_H,"1
"
5c87add6-97ff-4c15-8e52-4d3bad9d1b13,__LDBL_MANT_DIG__,"113
"
3257a38c-7dab-4683-a8c5-b302e610d72e,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
a1b6ceb1-f71d-4ac5-b33e-b66fc89d78b6,AT_STATX_SYNC_AS_STAT,"0x0000
"
5ebb8c3c-9c13-4cbb-96bf-3b08fcb8f9f1,LM_ID_NEWLM,"-1
"
87edda44-7c0a-44b3-93ab-9c9ba7c114c3,TCP_CONGESTION,"13
"
d7677398-900f-454f-b739-d9bfb3c5154f,EVENT_NVAL,(unsigned)
311dbbf9-56c8-45bf-971a-282f19066f94,PRIO_MIN,"-20
"
dbb0a73e-75cd-4ad9-ab9b-1577b25a12ff,UINT8_MAX,"(255)
"
d7b4f346-d397-4cab-bcff-7601c1fa581b,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
799ea429-aece-4571-90d8-1c40bcf69685,IFF_POINTOPOINT,"IFF_POINTOPOINT
"
8f7027b9-723e-4a8a-81b2-39afde0f9408,NO_ADDRESS,"NO_DATA
"
64e9a43d-64ac-4052-aeef-ffac754d9955,IFF_SLAVE,"IFF_SLAVE
"
14dc424f-3dd8-4a65-af47-380fc19312f5,__UINT_LEAST16_MAX__,"0xffff
"
fcb71c34-38ab-4044-b4d8-27a07fd3dc1c,F_SET_RW_HINT,"1036
"
6fee3f89-eeb5-463a-89b3-692967302cde,__ARGV_INCLUDE_H__,"
"
90e76a74-d343-4b22-af4e-961840be77a7,DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
1bbaf7d4-1e61-4778-a33c-8ada44f1e18d,__ARM_SIZEOF_WCHAR_T,"4
"
3b4aee01-5171-4822-ab57-891a01524ab1,CPU_ALLOC(count),__CPU_ALLOC
e2bcf7e6-7ad2-4af2-a7ec-cea5742347b3,IP_ROUTER_ALERT,"5
"
b78cb6d9-70c4-4bc1-9875-527a279509cb,__DBL_DECIMAL_DIG__,"17
"
e4783076-be6e-45fc-8f7d-b6a3cc05b8bf,__ATOMIC_ACQUIRE,"2
"
1482bd6e-ed0e-4ed6-b952-eb8075c2dfe5,_POSIX2_BC_SCALE_MAX,"99
"
14f62815-3139-4efc-88ff-b0615d1ee052,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
925b3644-770e-4f9d-b5b1-38889bf3bf9e,MSG_BATCH,"MSG_BATCH
"
694f3356-9894-4956-86f7-53010ba58936,__FLT128_MAX_10_EXP__,"4932
"
19565523-0f58-4fc9-9f3e-bdc75aeecdb7,TCPOPT_WINDOW,"3
"
64795713-a7fa-40fc-8097-39779c06201d,WAITER_INC(e),"((e)->waiter++)
"
7a41e86d-0d65-4840-b97b-0f1e494409c0,GAI_WAIT,"0
"
8bd4a2d8-2063-4cf2-bb0b-398a1a9124c1,SVE_SIG_REGS_OFFSET,((sizeof(struct
4043379a-ccbf-46ce-a6e6-f8b74b40fa46,IP_DEFAULT_MULTICAST_TTL,"1
"
2a5be3df-f15e-4e7b-acf6-2860cc52c3ab,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
b2634f04-8936-4c90-872a-fb7f380bf792,__off64_t_defined,"
"
2281297c-3c14-4636-9444-6ce67aa74a92,sa_sigaction,"__sigaction_handler.sa_sigaction
"
fa372520-92da-4844-96cd-074e68957c85,ifr_bandwidth,"ifr_ifru.ifru_ivalue
"
4860f203-6e39-4c96-a6a2-91388a2fc90d,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
f41d37a2-42b6-444d-b929-69e0abf7d0f3,SEGV_MTEAERR,"SEGV_MTEAERR
"
e2526edd-d533-4b89-aa5e-c374844c5658,__GCC_IEC_559_COMPLEX,"2
"
412d8b1e-4d37-492b-9f00-b1af56de7531,TCPI_OPT_WSCALE,"4
"
8eb6906a-0f2b-4f2d-8bf6-55083d37ca30,AF_APPLETALK,"PF_APPLETALK
"
b2a0bf18-3cd5-45b9-9340-e3d17e5cc513,__COMMON_INCLUDE_H__,"
"
8ac1281d-0c19-4bb9-acf9-47f7593c1242,RTLD_NOW,"0x00002
"
74c5e9aa-f538-4e7f-8aff-eeb18a7cb48e,__NFDBITS,(8
288387b8-4734-4f6d-afca-25a66197bcf7,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
c5c1370a-c8c4-4a5d-91e6-3502ab6ef49c,_SC_TIMEOUTS,"_SC_TIMEOUTS
"
d340e8da-c67f-4416-9311-e6bda04d1fab,__GLIBC_USE(F),__GLIBC_USE_
fbc64bd2-83b8-4ed0-a8ee-03bce07b99af,si_fd,"_sifields._sigpoll.si_fd
"
a955ee48-283b-4e22-9c23-a60cc4605718,__UINT_LEAST8_TYPE__,unsigned
f126d3ae-e86d-4d75-9c9d-dbb5521d0d15,__INIT_H__,"
"
25660c8c-1363-4aeb-a5d7-29f8965027b2,_T_WCHAR_,"
"
2279f349-2c88-49bc-b355-fbe3e4ab0fb5,"__S_ISTYPE(mode,mask)",(((mode)
cf61afc8-634c-48e6-94d8-23606347211e,_SC_IPV6,"_SC_IPV6
"
1f07e048-ae38-4c1c-9c3d-5d48a2b4998a,EUNATCH,"49
"
7585f977-83cf-4e3e-9a99-8f5c3a1ecea4,SOL_ATM,"264
"
21dbb164-2886-44e0-a543-9d25b6472a1d,RWH_WRITE_LIFE_SHORT,"2
"
04380302-e9e4-4340-9bed-9be0384ec857,EPOLLWRBAND,"EPOLLWRBAND
"
af30a332-07e1-4231-8a25-e73592cef654,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
103a6ac0-564a-4f47-b5fa-013161c727fc,NI_MAXSERV,"32
"
e04a608c-309c-470c-9d51-208ba4b9cbba,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
2f153e32-7bfa-48ed-9a6f-b00f8c0b16c9,__CFLOAT64,_Complex
b6cd95d4-3174-4a46-9e65-2bb373d7116f,CHAR_BIT,"__CHAR_BIT__
"
776bf858-db2e-4482-b364-f4dc147bb2ed,FIBER_ENETDOWN,"ENETDOWN
"
73d555c6-d55f-4638-88f2-adf23d6a60db,TCP_CORK,"3
"
146a66a3-b144-4687-9391-c6b6e116e103,SO_KEEPALIVE,"9
"
d228c8b4-826a-4956-966b-3fcb32a1349d,AF_PPPOX,"PF_PPPOX
"
cef28b22-3d76-4476-ba92-5bac88157414,_NETINET_IN_H,"1
"
ec6d9d0e-09f5-49e9-8947-ae3da6c0bd9a,ENOCSI,"50
"
64ebefbd-466a-489c-8f25-6ff1790ae470,__stub___compat_get_kernel_syms,"
"
4e33d684-5449-439b-a603-b41bec4d83d7,SO_SNDBUF,"7
"
389caaeb-10ab-43d2-bff0-be3e66e22460,si_arch,"_sifields._sigsys._arch
"
4dd46d8e-26bd-44fd-a40c-3db5ef716cd5,"RING_LAST_APPL(head,app_type,ring_member)",(ring_pred(head)
5a56de83-3f0c-416d-b516-c71f373e0a26,foreach_reverse,"FOREACH_REVERSE
"
8a0c2567-1f0f-4d69-9a93-b601569d7315,RTSIG_MAX,"32
"
94c4fe6f-b8c1-4eb8-9cfb-aac850fa212c,_CS_XBS5_LP64_OFF64_LIBS,"_CS_XBS5_LP64_OFF64_LIBS
"
d53db229-8d49-4994-8cc9-0557c15ead04,__S64_TYPE,long
3a74c0e8-b5f6-4e54-bc42-d72744717160,_PRINTF_NAN_LEN_MAX,"4
"
a6e28f21-b9c9-410c-a75d-f7c2b3c86128,_POSIX_PRIORITIZED_IO,"200809L
"
ecb6b126-94a7-4bfa-b43a-0e09a179b702,__FLT128_DIG__,"33
"
4a51ca31-f13a-4966-882b-1046d0c8cec7,DLFO_STRUCT_HAS_EH_DBASE,"0
"
63d78db0-7eb7-44fd-a723-c1fe9db7dc69,__stub_fchflags,"
"
0f64965e-101e-40e6-83f8-880a82a1dd4f,__SQUAD_TYPE,long
585c48fa-e842-4bad-9672-ec503f665248,SVE_NUM_ZREGS,"__SVE_NUM_ZREGS
"
aab018b0-d52a-4d02-865e-510ddf757417,_BITS_SIGINFO_CONSTS_H,"1
"
390c7271-ebdb-445e-9dfa-974fa0b8d14e,SIGBUS,"7
"
fd5d6824-f9c3-4db1-bccb-9f60f1dcb085,__INTMAX_C(c),c
5fd483a9-f82c-428f-8eed-d4145c247e78,_SC_LEVEL4_CACHE_SIZE,"_SC_LEVEL4_CACHE_SIZE
"
5b56360c-c9e4-45bb-8f96-d3d4a38d1977,_SC_TTY_NAME_MAX,"_SC_TTY_NAME_MAX
"
4a80e67a-7402-4cc9-ac01-0edca22b795c,_BITS_FLOATN_COMMON_H,"
"
bc084415-a852-4b92-8251-60b745f95c6c,_BSD_SIZE_T_DEFINED_,"
"
a36ee17f-7d8b-4dd2-9a54-b21a9f12f6d3,SOL_LLC,"268
"
4f7c4cf9-5a1c-4ba3-8be3-3f5a861a9aa2,NL_NMAX,"INT_MAX
"
eb5d896a-233a-46f4-98a7-f3e305167412,_SC_LEVEL4_CACHE_LINESIZE,"_SC_LEVEL4_CACHE_LINESIZE
"
1e75e7c6-5ba7-42f2-a3a8-26baf36b9766,IP_ORIGDSTADDR,"20
"
059cced9-0a39-4617-b160-686d0bd2df1e,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
2512940b-f982-4fa3-b4a4-52206dc6bb4d,IP_NODEFRAG,"22
"
c7943ecc-b917-44b2-bf47-f8fa850dace8,ILL_ILLTRP,"ILL_ILLTRP
"
eca7676c-6b65-435b-a0ef-3c6773055ca0,__rusage_defined,"1
"
2ff3859f-1d75-4847-b504-101555a9a21b,S_IRGRP,(S_IRUSR
263e0c91-5ff7-4ff1-8e98-37bb0df58ca6,IP_UNBLOCK_SOURCE,"37
"
0f15b876-65cb-49f7-9bdb-db82423be40f,__CHAR_BIT__,"8
"
768dfd92-a898-4edd-b602-bdf685446ab1,__FSWORD_T_TYPE,"__SWORD_TYPE
"
4f3817eb-2a9d-43ca-b225-73ba0a4013d0,SOL_RDS,"276
"
cfc1e466-5ba6-4d7b-8067-14da46c712f2,EAFNOSUPPORT,"97
"
044aa65d-b6e3-498b-9192-9d76c1d986ba,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
c34ca976-f80c-41c7-be77-f1712419dbeb,IN6_IS_ADDR_UNSPECIFIED(a),(__extension__
7820c9d7-af96-49b2-8e91-98e4ce0e931b,EVENT_BUSY_WRITE,(1
194fa376-9af5-4d4e-9845-2a8eaef6631c,EREMCHG,"78
"
0cafab12-e1c0-4003-b7ed-b35c0c61263b,SCHAR_MIN,(-SCHAR_MAX
7aea883b-10f0-46c4-ad0b-917d44a0b8c1,"__CPU_ZERO_S(setsize,cpusetp)",do
638abafb-78c8-4092-8d1c-89ecb9e6c1cc,SIGTTIN,"21
"
e41ca7c9-1c7a-45a3-a593-1f9922af8388,EEXIST,"17
"
dc07bd34-98b3-4ec1-b51d-e900ff60921d,_POSIX_TRACE,"-1
"
12e92e60-1f30-4d24-8228-4abba787da50,__attribute_pure__,__attribute__
467b4076-eaee-4328-ab45-1929fa9f9384,_SC_SHRT_MIN,"_SC_SHRT_MIN
"
1b486996-d75f-4375-967b-03fa2b5e5e53,EACCES,"13
"
7fc9b9c8-1987-447e-bc4e-39acbe873edf,__UINT8_MAX__,"0xff
"
4e21dc0a-5838-49a0-ad62-525f652df2bb,_POSIX_TYPED_MEMORY_OBJECTS,"-1
"
0dd6ada4-eb58-4725-acb0-a86ca6b67095,IFF_ALLMULTI,"IFF_ALLMULTI
"
b8aaec13-24a0-4ff2-a980-df1375521de3,IPPROTO_UDP,"IPPROTO_UDP
"
3e6f615e-fa9a-485c-bd10-03fa45e5b299,_SC_TYPED_MEMORY_OBJECTS,"_SC_TYPED_MEMORY_OBJECTS
"
