id,name,value
965a663a-92ca-49f1-a884-351153206bd4,__S_IFBLK,"0060000
"
bb96a564-0b13-49a2-8689-f6af97a22ee5,L_XTND,"SEEK_END
"
64025c10-b3b8-4dea-bf5a-d7bbe5d5513a,TCP_WINDOW_CLAMP,"10
"
255ace3c-15e6-4c48-9b8c-93ec184c453c,STATX_ATTR_AUTOMOUNT,"0x00001000
"
089545b1-17f5-4d82-b4fe-32ad8ed0493d,_BITS_SCHED_H,"1
"
d584bee0-5331-4beb-a68f-da4cc1c91d47,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
6ccb80dd-5737-4b80-8cb6-09069616e34f,IPV6_RTHDR_TYPE_0,"0
"
5c5df1a0-c0f5-4ddd-8475-d051792839ac,SI_TIMER,"SI_TIMER
"
c31a3d9f-a20b-4e67-80d9-cdb86be5b4f5,__SSP_STRONG__,"3
"
3abc76bf-1d82-4117-8e75-341710fa111d,S_ISCHR(mode),"__S_ISTYPE((mode),"
9c3e0d26-f085-44c7-a560-7516039a587f,__attr_access(x),__attribute__
a11d8aa7-7c5e-4546-b2ad-e6227dfa5d59,__DBL_MIN_EXP__,"(-1021)
"
c78cd437-8a1e-4701-87c1-28c6872ec94a,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
17141e2f-3ca1-4913-a99d-3fe12b19ae4d,si_timerid,"_sifields._timer.si_tid
"
38632193-6d11-4c64-9693-26470b489168,BUS_ADRALN,"BUS_ADRALN
"
02cb8895-3861-4bb6-943b-4b03402dca59,_BITS_SIGEVENT_CONSTS_H,"1
"
dce9f438-6dbd-4048-afb8-b259331a4b1f,__LDBL_MANT_DIG__,"113
"
2cf5d4c5-4834-41e1-af71-5da073422ca2,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
5aa655a9-6cc5-441e-822b-2505b47133eb,AT_STATX_SYNC_AS_STAT,"0x0000
"
b3de6a51-ce13-4bb2-93fd-178c2cc8a1f8,LM_ID_NEWLM,"-1
"
e7ff70e7-d57a-4ed1-a313-2f2a0e3efb18,TCP_CONGESTION,"13
"
d7ec1ab7-ea41-4ca9-8011-be9f3938e5aa,EVENT_NVAL,(unsigned)
c2bec9f2-2a4c-46d5-9127-b93e63fa6349,PRIO_MIN,"-20
"
4e5f2a76-0dc7-4b6a-92d8-b74a53ef7357,UINT8_MAX,"(255)
"
59475f94-81c7-4ed0-8fe9-5f09f02a89b6,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
5bd15a85-9783-43af-9cdd-dfe2fbb3962b,IFF_POINTOPOINT,"IFF_POINTOPOINT
"
3d9def17-8e99-42ff-b6ab-eb5c530a555a,NO_ADDRESS,"NO_DATA
"
e9c24c43-7939-4c00-91a1-d8416f819c37,IFF_SLAVE,"IFF_SLAVE
"
66893ec2-c9f4-4fc9-b9e2-9e667e7cf2ea,__UINT_LEAST16_MAX__,"0xffff
"
21760e03-3e3b-463c-9254-daf338ea807b,F_SET_RW_HINT,"1036
"
d73b4901-b46e-4f77-8b1a-0a2ed200eb5c,__ARGV_INCLUDE_H__,"
"
42e98db5-bd8b-467f-8ee3-fd7d00621911,DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
be1c429a-9634-4fa0-80ea-3f103f97c46e,__ARM_SIZEOF_WCHAR_T,"4
"
97102dda-a385-4c82-922d-2bcd64817fd7,CPU_ALLOC(count),__CPU_ALLOC
4d5e3ba5-09e5-4726-9752-17f83fb32834,IP_ROUTER_ALERT,"5
"
69580fa6-4fa5-4ad6-b734-9905dde0fc5e,__DBL_DECIMAL_DIG__,"17
"
b31d8044-1994-4626-96c0-638b383828bd,__ATOMIC_ACQUIRE,"2
"
b63ff23d-d245-43a1-9505-cd56d5901357,_POSIX2_BC_SCALE_MAX,"99
"
31c4c873-3c5a-4c6e-a65e-67cce371c0ee,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
e64b256c-2465-478c-bc10-97e1862406e1,MSG_BATCH,"MSG_BATCH
"
584abf88-35d2-429a-ba3d-c5919e4f58c4,__FLT128_MAX_10_EXP__,"4932
"
945b9d73-c35a-47ca-bb74-1a0dd4670a2f,TCPOPT_WINDOW,"3
"
adfff307-b7c2-47e1-a0ce-e21258337345,WAITER_INC(e),"((e)->waiter++)
"
ff15e427-86a2-4582-b533-10c62265f096,GAI_WAIT,"0
"
