id,name,value
52859f12-a90f-42c3-8d1b-17745e6eaf52,__S_IFBLK,"0060000
"
299d7b7b-b39f-4317-99b3-5bc6b40d6828,L_XTND,"SEEK_END
"
1f9aaedb-f673-447d-bf66-d2f6f1240037,TCP_WINDOW_CLAMP,"10
"
8424945a-16fb-4427-9e45-837fae110b42,STATX_ATTR_AUTOMOUNT,"0x00001000
"
40df96a8-e11d-4bb4-853b-ee2811fd3fce,_BITS_SCHED_H,"1
"
f87d90e8-e3b7-4de2-970b-ba9a3c2f0356,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
748e024d-fe03-4b02-8f59-cbb76dbde068,IPV6_RTHDR_TYPE_0,"0
"
11337dd7-ecb1-4087-baab-ef9571ba8216,SI_TIMER,"SI_TIMER
"
8b4ce497-e1cf-42d0-8598-487ed9541fc6,__SSP_STRONG__,"3
"
9d162a83-232d-417d-8fbe-364698f4673d,S_ISCHR(mode),"__S_ISTYPE((mode),"
83e326aa-ee26-4f53-a5ed-731cb86e4ab2,__attr_access(x),__attribute__
becc9fab-eac1-41ca-9f35-ad557c215a67,__DBL_MIN_EXP__,"(-1021)
"
d3b721f9-297e-4822-8da3-9ce4dcbe4ffc,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
e7b47efa-3582-48df-b3d2-3b755f88649c,si_timerid,"_sifields._timer.si_tid
"
8c2d2640-5a1a-4d6f-93f8-5bea11e64490,BUS_ADRALN,"BUS_ADRALN
"
80d00a72-e0e5-4dfa-81de-b2620169db03,_BITS_SIGEVENT_CONSTS_H,"1
"
f2994101-ff2b-45b8-9d76-968f4377be2c,__LDBL_MANT_DIG__,"113
"
b4e71460-6f1d-456e-8d01-d74cffb95fc1,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
b78f47aa-e8b0-4f62-ab25-ad6255c2162b,AT_STATX_SYNC_AS_STAT,"0x0000
"
2066f3ad-2c1e-441a-92dc-d51b7ef14444,LM_ID_NEWLM,"-1
"
bf8d878c-edfa-4add-9c33-34f72d984f9f,TCP_CONGESTION,"13
"
b7a3a642-054a-4476-b2be-b56b1cbc7dd3,EVENT_NVAL,(unsigned)
23af22aa-8670-4d38-a17e-188c1934e6fa,PRIO_MIN,"-20
"
97729c7c-426b-4a07-be06-58d7489b14a1,UINT8_MAX,"(255)
"
bddc64f1-fc1a-4ba9-9402-7eeaec7305c4,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
04a1ad66-2ba7-4323-8199-cad00f0a3f86,IFF_POINTOPOINT,"IFF_POINTOPOINT
"
de027c3d-2130-415c-8b99-e4ba7044e0a6,NO_ADDRESS,"NO_DATA
"
6e3d0773-8847-4b83-93d3-829147df9a9e,IFF_SLAVE,"IFF_SLAVE
"
ee24c76a-acb4-405b-8e8e-a570f417fd37,__UINT_LEAST16_MAX__,"0xffff
"
fc51de8a-1a67-4e49-b858-4cbe87f2d17c,F_SET_RW_HINT,"1036
"
6c117fdf-a1e6-48f7-90eb-14100deb8493,__ARGV_INCLUDE_H__,"
"
5403892d-cb4d-4379-8a23-186fd6e2f7af,DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
26810ba0-d71b-480d-b85c-b43a6a3b3bc6,__ARM_SIZEOF_WCHAR_T,"4
"
d932de69-9ca8-49c3-a47f-d4bbdd98b86a,CPU_ALLOC(count),__CPU_ALLOC
3ecf001f-3e7d-4f24-b0c5-feadfbc26bcc,IP_ROUTER_ALERT,"5
"
92030bba-b550-496d-94e2-5fb55407b3c3,__DBL_DECIMAL_DIG__,"17
"
1acb81ad-26c7-4f46-999c-0364189ac3b8,__ATOMIC_ACQUIRE,"2
"
2249e992-2eea-40c7-9b71-957696533b3d,_POSIX2_BC_SCALE_MAX,"99
"
51fed7f9-501b-45de-8cda-3d9ea9085a0c,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
12fde9cd-efa3-4bdf-95d6-9f8955ea3586,MSG_BATCH,"MSG_BATCH
"
7f8caa1c-1038-4c2b-be45-7f75ed104168,__FLT128_MAX_10_EXP__,"4932
"
98cd0cd1-042f-4f83-af73-c029cbd578e7,TCPOPT_WINDOW,"3
"
6df2124c-a49f-4853-b846-e7bb9b110c41,WAITER_INC(e),"((e)->waiter++)
"
5f8b7bdb-af7a-464c-a72a-259134ea7170,GAI_WAIT,"0
"
1976a78e-eea8-432f-b544-918b73d2c232,SVE_SIG_REGS_OFFSET,((sizeof(struct
b3cf1c5f-bc07-4376-8ca7-1d31ad3bee02,IP_DEFAULT_MULTICAST_TTL,"1
"
1fa153d4-ddaa-42e4-8c9d-2074f3c35f0a,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
e090581d-ab93-4a5e-9491-b419a2b3a1c6,__off64_t_defined,"
"
eb9fddb3-9f9f-466d-98a3-39616fc9c0c3,sa_sigaction,"__sigaction_handler.sa_sigaction
"
4f42e791-e3f8-432b-b31e-2b50c55a6fc9,ifr_bandwidth,"ifr_ifru.ifru_ivalue
"
b826c508-f9da-4cd0-b770-00b9ea265e97,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
2bb0438b-9410-4432-8a76-8a6ffebaccc9,SEGV_MTEAERR,"SEGV_MTEAERR
"
bb165428-6b90-436c-8fd5-e7650377a9e8,__GCC_IEC_559_COMPLEX,"2
"
94ef5fe9-8f9b-449d-b248-879e25ff2917,TCPI_OPT_WSCALE,"4
"
c900bc53-1787-41ab-b6a7-7ad6344ac82e,AF_APPLETALK,"PF_APPLETALK
"
ec371540-ca93-4330-9718-83bf3f4b27e9,__COMMON_INCLUDE_H__,"
"
94beb8d6-5172-4b72-83c8-bd56c802939f,RTLD_NOW,"0x00002
"
da40faee-dc18-4460-9e57-1d992e0e97ea,__NFDBITS,(8
27b85427-8fc2-4dae-a0c2-7e174849426d,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
bf8f21b0-b220-4282-988f-86b9fc33e9e9,_SC_TIMEOUTS,"_SC_TIMEOUTS
"
83ca69b4-7064-40ba-8a52-076f277976c1,__GLIBC_USE(F),__GLIBC_USE_
c8139b6e-edf1-41ac-a5ef-4d7f3a836d34,si_fd,"_sifields._sigpoll.si_fd
"
37f74a0d-50cc-488a-b3b4-f10ef6dae783,__UINT_LEAST8_TYPE__,unsigned
68141395-3516-43a8-b8d7-d855c4257a73,__INIT_H__,"
"
fce8ba2b-39f8-4d88-a4b0-18264a4c7f61,_T_WCHAR_,"
"
c802c161-a641-4a5f-8bc9-445cf013891d,"__S_ISTYPE(mode,mask)",(((mode)
f1faf537-6487-494d-8875-2dd465172852,_SC_IPV6,"_SC_IPV6
"
3a71d653-c6e0-4df7-bbcc-6c5facdb8ce8,EUNATCH,"49
"
afa26002-9326-42da-92af-0da1224bf272,SOL_ATM,"264
"
8873551b-7b0e-41c5-b64b-78205887996f,RWH_WRITE_LIFE_SHORT,"2
"
06fd28c4-4b6e-4082-a4a2-c9ec7e8a4c76,EPOLLWRBAND,"EPOLLWRBAND
"
acb0b88c-ada5-4011-ae31-f87f028b9b17,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
fabcc008-7dc3-4be5-8b27-b617060f1f96,NI_MAXSERV,"32
"
918fe8b6-6dba-4ca7-aa2d-0853a9e04376,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
dc8383cc-118e-4e23-a332-8a205efc3a8a,__CFLOAT64,_Complex
6269a406-14d4-4f3c-befb-31f8991e01da,CHAR_BIT,"__CHAR_BIT__
"
fb7bb0f6-c714-4b41-9866-42629eb410eb,FIBER_ENETDOWN,"ENETDOWN
"
1c0d1eb0-e649-4ec9-a0f5-82c84a9fc691,TCP_CORK,"3
"
1ee189c4-bc5b-414e-84d1-a39b1ca86736,SO_KEEPALIVE,"9
"
ef94f5ce-6e04-42a0-82c4-8aefe84a89e8,AF_PPPOX,"PF_PPPOX
"
78ce37b2-0be4-4958-ad12-a2a43a624918,_NETINET_IN_H,"1
"
ab059435-fcf2-4e40-8470-ad42b7346b8e,ENOCSI,"50
"
ee24de3b-4e93-4031-9fa1-3396fc76fefd,__stub___compat_get_kernel_syms,"
"
d26319ce-6b7a-4c0f-ad9a-a23fc2d70fd9,SO_SNDBUF,"7
"
b3c8e488-b798-4d7a-8bfa-235156a680a9,si_arch,"_sifields._sigsys._arch
"
7a2988f4-afa6-45b4-ae07-a194ec69b7fc,"RING_LAST_APPL(head,app_type,ring_member)",(ring_pred(head)
cf137e65-2548-4d51-8e11-3dda42616bda,foreach_reverse,"FOREACH_REVERSE
"
1ee8e16d-7154-4e7c-8057-ae6add8d14f0,RTSIG_MAX,"32
"
c558b5c5-7f12-414d-aae6-187b3b6f3f23,_CS_XBS5_LP64_OFF64_LIBS,"_CS_XBS5_LP64_OFF64_LIBS
"
b339ff95-dc5a-4eb2-86c4-60864f84d74d,__S64_TYPE,long
690e2373-6e56-4d61-a82f-24dcb87c4320,_PRINTF_NAN_LEN_MAX,"4
"
416252bf-436d-43c1-a9d5-b8506430b5bc,_POSIX_PRIORITIZED_IO,"200809L
"
1f019f8f-9064-4770-b060-0fe0dfa5f529,__FLT128_DIG__,"33
"
a36d5be8-9093-4f94-b1a4-2806909fe7a7,DLFO_STRUCT_HAS_EH_DBASE,"0
"
bfd79088-2914-48ec-af27-8346a3fbfcbc,__stub_fchflags,"
"
f8a48d73-9e1b-4c07-b935-5f55f72328da,__SQUAD_TYPE,long
28bdaf77-205b-487c-b506-bf934f3cf2f2,SVE_NUM_ZREGS,"__SVE_NUM_ZREGS
"
1bccd30e-7516-457a-adfa-295bf6d374b6,_BITS_SIGINFO_CONSTS_H,"1
"
184f0254-238c-4154-a667-bdc49f3d210f,SIGBUS,"7
"
75f27d0a-dea2-4dc4-9433-69df2fef5366,__INTMAX_C(c),c
c7e17c67-23ec-45ab-bc15-92f34753f6ba,_SC_LEVEL4_CACHE_SIZE,"_SC_LEVEL4_CACHE_SIZE
"
4c4ae1ed-47e0-4011-a4ea-070d5243bf5f,_SC_TTY_NAME_MAX,"_SC_TTY_NAME_MAX
"
32abcc51-5f32-46cb-a36f-9a1415933122,_BITS_FLOATN_COMMON_H,"
"
41ed73e4-28d7-4da4-945d-d0d17a655245,_BSD_SIZE_T_DEFINED_,"
"
88ed9698-2682-4eec-bee3-34b7af56464f,SOL_LLC,"268
"
8958cd05-6fdc-4ae8-9d65-b62baed9fd44,NL_NMAX,"INT_MAX
"
ffb6b1e8-7a5f-4665-ac97-293cbde5c454,_SC_LEVEL4_CACHE_LINESIZE,"_SC_LEVEL4_CACHE_LINESIZE
"
9ce3c038-c41e-4bfd-8e95-3bbe8ca9cf99,IP_ORIGDSTADDR,"20
"
aeddc91c-7fee-4422-9b8c-215dea4c3a15,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
a67e9858-e469-460b-b32f-d18b6aefcca4,IP_NODEFRAG,"22
"
cf6741d2-1eef-480a-a245-8a8697091b13,ILL_ILLTRP,"ILL_ILLTRP
"
2e792c83-2dff-4c22-9fbf-69fc77284dc9,__rusage_defined,"1
"
046c3a11-8e2e-46eb-87f5-0c6f36d6cb18,S_IRGRP,(S_IRUSR
d8f14729-f6bd-4aec-a65e-b6ad4d84d1d7,IP_UNBLOCK_SOURCE,"37
"
f90f856e-88bc-4ed2-b62d-3fa69f43d1f2,__CHAR_BIT__,"8
"
30519c5f-f1c8-4247-8393-fd4777b7a171,__FSWORD_T_TYPE,"__SWORD_TYPE
"
43c7c819-4f09-4764-b4ac-14b8f6998e8b,SOL_RDS,"276
"
3aee30e9-bac5-4056-9649-aac904b3d2c4,EAFNOSUPPORT,"97
"
b17db616-540f-4797-ba8c-c893c9858897,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
9d28ead0-bc12-4aed-9ddb-f35dc3218ec8,IN6_IS_ADDR_UNSPECIFIED(a),(__extension__
36a27169-38fa-40d3-bc20-674f6e2bd00f,EVENT_BUSY_WRITE,(1
a2cbf1f7-4573-4e7e-aba0-dbc46da7aa8c,EREMCHG,"78
"
130c7b7e-4916-44e9-96b6-c4058c0bf9eb,SCHAR_MIN,(-SCHAR_MAX
21c17cae-df59-4cdf-b057-9c07618139fc,"__CPU_ZERO_S(setsize,cpusetp)",do
fcf822c5-f7d2-410e-9be9-b36ab98c428e,SIGTTIN,"21
"
a0318ccb-8476-4af9-bead-9bd323363884,EEXIST,"17
"
d49e153e-3330-41f8-88f3-603ebb978267,_POSIX_TRACE,"-1
"
fd736d86-a5d9-4d61-8b1f-613528fee603,__attribute_pure__,__attribute__
c96cd154-4504-4f8d-bc52-b3d7da4475f2,_SC_SHRT_MIN,"_SC_SHRT_MIN
"
b3e274f0-a8d3-49b2-a5d5-4818aa633944,EACCES,"13
"
bcd319e3-6578-4d67-b1d1-20ec6dcb2182,__UINT8_MAX__,"0xff
"
4ad3015b-3223-4be2-9c70-f0f87da5a931,_POSIX_TYPED_MEMORY_OBJECTS,"-1
"
f9a246cd-6dcd-4527-9510-fa37527f8aef,IFF_ALLMULTI,"IFF_ALLMULTI
"
fbca42a9-f262-4893-83b2-ac37beb81c7c,IPPROTO_UDP,"IPPROTO_UDP
"
bf400f9c-a2da-4c9f-ad3c-e93688647010,_SC_TYPED_MEMORY_OBJECTS,"_SC_TYPED_MEMORY_OBJECTS
"
30d963e1-4e79-4fc6-af6f-abb76030a59b,IPV6_PMTUDISC_INTERFACE,"4
"
a4a51951-94cd-4773-b657-d4f84b8e2176,TCP_ULP,"31
"
35de14fa-2e83-4234-91fc-5433b2aab4f3,WCHAR_MAX,"__WCHAR_MAX
"
5299c9c6-510a-4ee1-b42b-2405414f7ad0,"__isupper_l(c,l)","__isctype_l((c),"
ce35e6c2-aadf-4005-ba69-398c18168cd8,EDESTADDRREQ,"89
"
d579717e-27ac-44b5-b768-2000b678466c,__feof_unlocked_body(_fp),(((_fp)->_flags
e56f0d60-2ac1-4a45-a1fd-0f859b638612,SPLICE_F_GIFT,"8
"
285d2ddc-364d-432e-ad6f-bd659c98e06d,LONG_BIT,"64
"
81db9a3a-e6b4-4dd2-a21c-6b701f1432b6,_SC_2_C_DEV,"_SC_2_C_DEV
"
e4b3f7cb-653d-4eaa-b2c2-11fc4c76499f,si_pid,"_sifields._kill.si_pid
"
b223963d-73a9-4b00-b07f-a61173deaec3,IOV_MAX,"__IOV_MAX
"
8fc3f3a5-2228-4d95-a3dc-e7e1f4aae677,__sigset_t_defined,"1
"
1ff99c3f-b4ee-401e-8e36-1bda7fa54d83,__SIZEOF_PTHREAD_ATTR_T,"64
"
13e4bf4a-2e0c-430c-a178-5bcd98bbc86d,RLIMIT_NOFILE,"RLIMIT_NOFILE
"
6a175657-8c50-4f73-b931-f3565a06c8a7,TCP_ZEROCOPY_RECEIVE,"35
"
5158b54d-307e-49c8-807f-44433be71ce2,PIPE_BUF,"4096
"
cb039e65-c079-4dd8-824c-66b3ed9a61e3,_SC_XOPEN_XPG2,"_SC_XOPEN_XPG2
"
06f751ff-95fa-4ec2-84cb-17779fa5cced,IP_TTL,"2
"
bdd734b7-d407-47f2-8597-41bf99c0a291,_SC_XOPEN_LEGACY,"_SC_XOPEN_LEGACY
"
0fe712d6-0064-415f-858e-f4f06f40f894,IN_CLASSB_MAX,"65536
"
9c8de76b-4e99-4f0a-8c1e-28f2404eca74,CLD_TRAPPED,"CLD_TRAPPED
"
8b219044-27cd-4e83-975a-24de84433bdb,pthread_cleanup_pop_restore_np(execute),do
e5ee6c1a-5973-49a8-8d6d-57623ec74261,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
83c50129-ecf6-4226-bcf2-4de59fa72c8d,_CS_POSIX_V7_ILP32_OFFBIG_CFLAGS,"_CS_POSIX_V7_ILP32_OFFBIG_CFLAGS
"
c6875295-57e9-44ed-9b72-e062fac25ac1,__HAVE_FLOAT16,"0
"
b6d28781-0965-4bb7-9192-42dadb816566,stderr,"stderr
"
430cfb65-c234-4805-9c74-5f24d0c6e16e,_CS_LFS_LIBS,"_CS_LFS_LIBS
"
9295130e-a643-49d3-87cb-6e282bee0587,STATX_BASIC_STATS,"0x000007ffU
"
ff6d9c29-2ed3-4419-9a83-f347795bb948,WAITER_DEC(e),"((e)->waiter--)
"
8e3dec06-d97c-48a3-a9ab-6e76f199ce77,__cleanup_fct_attribute,"
"
dabe0f0f-b2ba-49d6-9add-59d7b7a4f5ca,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
d0ff68da-883c-41e9-bdad-8386591c9a7f,_SC_LEVEL1_DCACHE_SIZE,"_SC_LEVEL1_DCACHE_SIZE
"
17e6ca9c-ecf8-4636-b6b2-f6692f29f3d4,_CS_LFS64_LDFLAGS,"_CS_LFS64_LDFLAGS
"
eb75ef61-add1-4068-a634-191f1806dffa,_CS_POSIX_V7_LP64_OFF64_LINTFLAGS,"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS
"
8be61bb0-6050-4d6f-9c9f-28e4f92c4875,__stack_t_defined,"1
"
e70c51c9-763d-4a46-bf77-a389134b640b,_XOPEN_SOURCE,"700
"
59440f65-ff9e-4ab3-9c50-fcebc65f0aae,_POSIX2_BC_DIM_MAX,"2048
"
7c3d2743-f437-46cf-a853-d6cbbd8871a3,SO_RXQ_OVFL,"40
"
58ca5456-7c29-42ef-8de4-49d86f6a86da,EILSEQ,"84
"
79217a13-01d2-411d-bbdb-f63103cfb13b,TCP_KEEPCNT,"6
"
e6225056-4f99-4c70-b3ed-224a380956a9,IPPROTO_ICMP,"IPPROTO_ICMP
"
7005db17-010c-40df-9271-109616c88d26,_SC_PII_SOCKET,"_SC_PII_SOCKET
"
04b66709-49ef-42a7-99a8-39f874d146d1,ESPIPE,"29
"
4bb71bd6-00bb-4d97-bcd9-2ba7d667cc03,SOCK_RDM,"SOCK_RDM
"
6b362504-c6b4-4d2f-8676-b565255ae07c,__STDLIB_MB_LEN_MAX,"16
"
635e2e4a-deb2-4505-8788-78a6cf22cbaa,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
81a369d4-929f-48bd-be9e-5a1a370b0f1e,_SC_V7_ILP32_OFF32,"_SC_V7_ILP32_OFF32
"
320ccdfa-f602-49e9-9f32-aaa6e88c21f8,_POSIX_TTY_NAME_MAX,"9
"
57146c9f-e474-42fa-98f9-de201cd80a33,ECOMM,"70
"
ad80a2c1-ef5c-491a-aa51-d7961c0a25f3,STATX_BTIME,"0x00000800U
"
ccf07080-5ea8-4c6b-875d-4f5d4c0171fb,NON_BLOCKING,"1
"
9883f549-9bc9-4531-b034-d36638e6cc0e,SI_DETHREAD,"SI_DETHREAD
"
00b059e7-c66d-4981-a8bc-12f9185c6cad,EPERM,"1
"
aada0964-82b5-4c8b-a22f-ca9d2dcfd78e,__OFF_T_MATCHES_OFF64_T,"1
"
61b79a6c-5a3c-4444-b296-91bd9d70153b,iscntrl(c),"__isctype((c),"
621be938-8b76-42da-9018-d99c6e74027b,EMLINK,"31
"
3e757a04-95f6-499a-bede-79266756dfa7,UINT_FAST16_WIDTH,"__WORDSIZE
"
1438b52b-e39c-49ec-87e1-18696e93f934,IP_MAX_MEMBERSHIPS,"20
"
ca6ade97-f6d0-486d-b7ee-d73230d15285,STATUS_POLLING,(unsigned)
ab4754b2-9446-44be-bc49-f7ca52ea04ce,IPV6_PMTUDISC_WANT,"1
"
3c8993a6-90c9-4509-872f-294c3d162df1,"__ispunct_l(c,l)","__isctype_l((c),"
71bedd39-cbb9-4e20-a492-6c35a90a3ad3,__WCHAR_MAX__,"0xffffffffU
"
a7970381-966e-4357-9bd7-3d7d82212241,"pthread_cleanup_push_defer_np(routine,arg)",do
f59e7441-0ed3-4e12-ad43-9988a7b7431a,SOL_PPPOL2TP,"273
"
7c893773-fb47-48e1-937e-1f2ef1a5510d,AF_IB,"PF_IB
"
f5a4c2f5-feb8-4605-b8c2-2ee6be2993c7,_SC_LEVEL3_CACHE_LINESIZE,"_SC_LEVEL3_CACHE_LINESIZE
"
59765923-daee-47b3-b309-0c98c132b30c,SO_NETNS_COOKIE,"71
"
2e93d127-9d27-4490-9cf9-cedaf06a325c,INT16_MAX,"(32767)
"
a50baeb2-2fe4-46fc-8a7a-d3537a4b4855,"RING_PREPEND(ring_in,entry_in)",do
1f1c3b12-d140-41ba-ab02-fe4a66dafbbc,RLIMIT_AS,"RLIMIT_AS
"
f26cdab9-3dd7-4e32-a879-d16d8ac1e0ed,IPV6_NEXTHOP,"9
"
4c12d82d-b93c-48bb-9fcc-879210b7f0c0,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
d82ed8ff-7710-4378-b098-30cc3b9e6be2,__STATFS_MATCHES_STATFS64,"1
"
21d52759-9ddd-49ff-8ea7-17018e6d6283,"__isprint_l(c,l)","__isctype_l((c),"
d9904f59-cac2-4169-b211-5071a40910d7,EAI_INTR,"-104
"
fa94fe5b-b475-4cd6-93af-96253d020e29,WIFEXITED(status),__WIFEXITED
07b03304-2ed2-40e8-94d9-4bb32976a4c6,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
8e578e19-cef2-4815-8207-ded0fdac19c8,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
