id,name,value
2c79b241-741a-4fe1-9ce3-cdd2de679d5c,__S_IFBLK,"0060000
"
7a9e07e9-116d-48b4-b3f9-8e59f24e6b9d,SOL_LLC,"268
"
11c1c2a9-b4c6-47ab-a713-2966ba44bf29,_BITS_SCHED_H,"1
"
0f989c94-dda9-4cc1-8729-b177feb9a74c,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
29ea9619-b83e-429c-a6f5-50cd60d9f7d3,__SSP_STRONG__,"3
"
fbac8804-6662-4584-b8d4-06e50737e3cd,ACL_DB_ATOU(_str_),(_str_
dc1f3763-a3e5-4e4e-a258-67050a1f9c7b,__attr_access(x),__attribute__
b64a50b2-650c-4b58-8898-d7118bf2fcfc,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
a586def8-ed61-4416-ac9b-2cf2980e9b83,__DBL_MIN_EXP__,"(-1021)
"
fc4c7b29-ede3-40be-98b3-d11ef76068a8,EMULTIHOP,"72
"
61c0d061-499a-4581-87f2-e8db836b05c2,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
5208373e-180b-4a18-b0c4-fe34d51b14d6,AF_MAX,"PF_MAX
"
bd9ff1dc-aa04-4308-bd28-a9b5e3cc645c,_SC_PII,"_SC_PII
"
a5f0c02d-9db5-465d-a68f-b50451836669,__CFLOAT32,_Complex
5a1798ff-003b-47c1-be78-02febf4e7c84,IFF_SLAVE,"IFF_SLAVE
"
722391af-d955-418d-97cd-cfa3bf2aa239,__UINT_LEAST16_MAX__,"0xffff
"
de60f9e6-1d05-47b7-b8a6-7f73d4ca3f29,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
7a309119-26f8-4a56-b89c-651a21a42547,IP_ROUTER_ALERT,"5
"
09527cc0-f973-45af-8fe2-45f7bb75d833,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
99538b93-bb46-4a24-8ac5-ef7d02d404bc,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
884fe765-52d7-40d3-8d9c-299dc1ae66ab,__FLT128_MAX_10_EXP__,"4932
"
8543c0fe-8b24-4643-bef8-2373e23c8fcf,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
03012edb-4505-4d2e-8c57-1ac2cf7e9786,ACL_JSON_T_OBJ,(1
315bb95d-0d8a-4c76-9572-72ae78f207c6,ifr_name,"ifr_ifrn.ifrn_name
"
f5abda9b-3538-4350-bf62-929b6fd99882,__NFDBITS,(8
c98b8870-8282-4fd3-b3a9-a177b448b94a,AUT_FLAG_LOOP_END,"4
"
d6647564-5d88-47f4-b718-5915a350077a,acl_spool_accept,"acl_ioctl_accept
"
9f6d05ad-3761-47b9-ad51-e471a88ea0e7,_T_WCHAR_,"
"
57a76ad8-0512-44a4-a33c-a0929131f0e4,_SC_IPV6,"_SC_IPV6
"
a9a6a9ae-1460-4bd8-a80e-1b2708e6e419,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
7d9a337e-e732-4c0e-abfc-152390544b24,NI_MAXSERV,"32
"
4021601a-8591-4832-adeb-2966daac930d,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
324fc168-edf6-46d3-9b02-be6512da045d,__CFLOAT64,_Complex
9b94234d-e142-418a-9238-f8bdd2066651,_GCC_MAX_ALIGN_T,"
"
d42e8f16-369b-4c1d-8885-fce172ae90be,acl_pthread_getspecific,"pthread_getspecific
"
ee950e2a-a98b-4e5c-b6f2-0cc35902d4e1,ACL_EHOSTDOWN,"EHOSTDOWN
"
336921cc-d882-4c81-9cf3-b40c974a1928,ACL_FHANDLE_O_MKDIR,(1
6b3b6894-8442-48fc-92f0-ac6402a0acba,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
5bd28085-42c5-4d5c-9549-2179d6afb0d1,__S64_TYPE,long
ec1b7d0c-5691-4a14-910b-a8978609a79f,IP_TOS,"1
"
20b17bcf-7613-4889-9dbf-b4330688ae9f,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
6d0bed90-b8eb-4ce0-b791-765231ee8b9f,__SQUAD_TYPE,long
ee6dd985-09d1-4a71-864b-bfbd930b3447,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
5dd433b8-849f-4ebb-a929-4b19c56becce,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
d1ba959e-a7eb-4ccb-a3a2-ca86d0b0fd55,_BSD_SIZE_T_DEFINED_,"
"
250f8b13-0231-447e-b90d-8033b14be3ed,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
3682734e-7b47-4b9f-bd35-3682f8d7c42b,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
7f6a6719-a1bb-4cfb-b739-f315cb819745,acl_myfree_fn,"acl_free_fn_glue
"
27cb2832-6e3f-437b-9382-d5d33391dfa9,__CHAR_BIT__,"8
"
7672900d-a510-4e4f-a135-fde4b86f6277,SO_DOMAIN,"39
"
67f3278c-be50-42d4-a0d8-2c3a3e1865a1,"acl_debug(SECTION,LEVEL)","!acl_do_debug((SECTION),"
2a6987a9-8dc6-493f-bd72-02c952302bae,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
79264f9e-35dd-4175-a6ea-110f1bc6da00,EREMCHG,"78
"
6b15d1a9-0d77-458f-9361-182253ce1d53,SO_NOFCS,"43
"
0315ff43-f644-452a-96bb-fef3e022d52b,EACCES,"13
"
bc018422-56e8-4898-92a9-639ec07d987b,_SC_COLL_WEIGHTS_MAX,"_SC_COLL_WEIGHTS_MAX
"
cb3fb499-2387-4af6-aec6-326840d83d14,IFF_ALLMULTI,"IFF_ALLMULTI
"
7f7bb3da-2833-40e8-9e12-b07d7e957580,"__isupper_l(c,l)","__isctype_l((c),"
9f20969e-e6d5-4d0c-8f7d-f777ece84939,EDESTADDRREQ,"89
"
a29c3ac3-2ef5-4949-b670-6e60d0e374ed,__DADDR_T_TYPE,"__S32_TYPE
"
a7e036bd-469b-48e0-8de6-8f18c8e09620,__LONG_WIDTH__,"64
"
e6d569ba-4f45-41a0-b52c-19a1e148bb04,IP_TTL,"2
"
84eb2ac5-9574-48c0-89ed-5255509c61f5,ACL_VSTREAM_FLAG_WRITE,(1
b9e4ae8e-68c1-43e3-bb70-0f42f1f30aa9,ACL_DEFINE_SUNX86_INCLUDE_H,"
"
bfe6535e-f20a-4582-a533-979e2431ab07,IPV6_JOIN_ANYCAST,"27
"
7f7f2279-82d7-4745-8113-3d275928912a,stderr,"stderr
"
91be8742-c44b-4ab8-bf5e-3b86cad3ba17,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
e9ae8517-a8b2-4d32-ae64-259ab5101885,_CS_POSIX_V7_LP64_OFF64_LINTFLAGS,"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS
"
493f82b9-0cd4-4f3d-853b-5f7e717a7487,SOCK_RDM,"SOCK_RDM
"
8e877cad-36b3-435b-bb6c-930142a1bc64,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
ec2e8c67-a8f5-4aaf-aa57-e59fc2f3de8b,_SC_V7_ILP32_OFF32,"_SC_V7_ILP32_OFF32
"
9383bbf4-6756-48b0-9081-6d2cd5852f98,__INT32_C(c),"c
"
45a0c095-9bf3-4043-9741-57aaa35a3c75,ACL_APP_CTL_EXIT_FN,"ACL_MASTER_SERVER_EXIT
"
d72da65f-47c8-456f-826e-ee286239769c,PF_DECnet,"12
"
10b678a4-7ec6-4e24-adac-51dded2f5708,IPV6_CHECKSUM,"7
"
c32eef37-7812-40f5-9bca-b43d805194b7,EMLINK,"31
"
41f3018e-4ef5-49f9-975f-30fa548962af,__ORDER_LITTLE_ENDIAN__,"1234
"
d9b82b44-ed21-494a-81cd-e8c7b5e13868,IP_MAX_MEMBERSHIPS,"20
"
b53a63c1-f3f7-4576-a23c-fb90705fa5fc,HTTP_CHAT_CTL_BUFF_ONOFF,"1
"
d9708bbb-258b-46c2-b7b2-386239ba2abd,"__ispunct_l(c,l)","__isctype_l((c),"
83383085-404f-4457-9a41-abee834a1308,ACL_MASTER_FLOW_READ,"3
"
16bcc3d4-086a-4f6b-a7a6-62b23503ccc3,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
47021404-8f49-456a-a2b2-b2efb1b16e8a,__STATFS_MATCHES_STATFS64,"1
"
b2d24edc-2415-4de2-afe0-dfb6155d4f4a,ACL_DLL_FARPROC,"void*
"
f0f87d05-bb13-4e8e-86d5-2d5579c04b7f,IPPROTO_ROUTING,"IPPROTO_ROUTING
"
41316aca-03dc-4b90-b8ad-d8a44def2b7a,acl_htable_foreach,"ACL_HTABLE_FOREACH
"
d4ffb893-f3e0-42b3-aea6-d6ee9bf920ae,ACL_BINHASH_STAT_OK,"0
"
25cfb23a-7a02-4cc3-8599-7b3dbc36ea80,ACL_RING_LAST(head),(acl_ring_pred(head)
3febd2c7-9359-400f-a648-486a0cf2ad74,MCAST_LEAVE_SOURCE_GROUP,"47
"
0378dadb-9e5f-45f8-be47-b5a464ebc72a,__FLT32X_DECIMAL_DIG__,"17
"
445d8404-8ef0-44be-96b6-22a2869f9533,F_RDLCK,"0
"
2419d078-9113-4b3a-8f3b-9410f7bc1b72,IPV6_IPSEC_POLICY,"34
"
df25e84f-6483-4f5f-8847-a6cd73006516,acl_pthread_attr_setdetachstate,"pthread_attr_setdetachstate
"
a9025299-d40e-4384-b3a3-17d023c7a0d7,_SC_SPORADIC_SERVER,"_SC_SPORADIC_SERVER
"
6b34e140-0cc4-45cf-a9c3-b3cfa2155468,_IO_USER_LOCK,"0x8000
"
4f865884-04b7-48bf-b980-5cb4fd3a4676,IPV6_2292HOPOPTS,"3
"
760fc3fd-3372-4451-840a-15e683504f47,ifr_qlen,"ifr_ifru.ifru_ivalue
"
9fc5bbb4-c2b9-423c-91c4-286858688c17,_SC_THREAD_PRIO_INHERIT,"_SC_THREAD_PRIO_INHERIT
"
2104ec05-0907-4171-99c7-352a7e0c7bb0,IPV6_PMTUDISC_PROBE,"3
"
ab7fb0c6-6616-47a7-9ae9-2801a547f1ea,ACL_HASH_INCLUD_H,"
"
db4a6ff0-0b0f-4c30-926d-646f638a41d2,SCHED_RR,"2
"
8ab30555-677c-44c8-83a6-d13539ca0bae,ACL_XML2_IS_CDATA(x),(((x)->flag
f16d12dc-d601-4883-91f0-388f8a904161,ACL_HAS_FCNTL_LOCK,"
"
0a2a50ac-b116-4b1b-8607-88c0d4401581,ACL_FLOCK_STYLE_FLOCK,"1
"
26f9f7c1-359a-4216-bd54-9284967008b0,ACL_XML2_S_NXT,"0
"
e64a0f9d-92bb-44e4-bd1f-9db97faa9437,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
2470fc37-39c2-4b7c-b006-2113dddbecc8,ACL_EVENT_SELECT,"0
"
1d8c31a1-c519-49ba-914c-6c822ff809f3,ACL_SCAN_FLAG_RECURSIVE,(1
b4dea732-8318-46b4-92fd-0b80a8ed934e,"IN6_ARE_ADDR_EQUAL(a,b)",(__extension__
e68ede6d-8463-4d97-b984-f041fb683e50,__ASSERT_VOID_CAST,"(void)
"
ac7e535a-1060-406c-be81-e8dfa1e662f4,IPV6_UNICAST_IF,"76
"
815a3b7e-5f9c-4a1e-a4ff-437adee0e098,__O_NOFOLLOW,"0100000
"
c2bade23-fb10-4035-99df-cca6d0ee7f2f,_CS_LFS_CFLAGS,"_CS_LFS_CFLAGS
"
e821bb8e-9ccd-494e-8b69-279b4c45754d,"__CPU_COUNT_S(setsize,cpusetp)",__sched_cpucount
7429aa22-a0ad-46ce-9f19-bcba611af0f3,PTHREAD_PROCESS_SHARED,"PTHREAD_PROCESS_SHARED
"
c78d5680-4ac8-4e5d-a887-21c2fddac7d3,ACL_MASTER_SERVER_ON_ACCEPT,"17
"
e861e32e-996f-4e02-bc61-0f8042516482,MCAST_LEAVE_GROUP,"45
"
c260d294-6a14-4280-b311-d04503212cb3,SOL_BLUETOOTH,"274
"
2edd88b5-dff2-4ee8-affd-2251d306e463,IFF_MULTICAST,"IFF_MULTICAST
"
16ecb5a5-c69f-49be-9533-6c0870bcdc00,HTTP_STATUS_502,"""<html><body>502</body></html>""
"
c5ffc502-0516-469d-9354-481ca925c79c,__CFLOAT128,_Complex
804156b7-57b3-4821-b57c-35552b3f668d,_SC_CPUTIME,"_SC_CPUTIME
"
1223a1fe-f6a5-4294-a7ef-989a8d4ef22e,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
76e38d2b-d5bd-43d2-80c1-b58625e19904,__SIG_ATOMIC_TYPE__,"int
"
d9718324-0a7b-4d50-8e10-5da367665f70,_ASM_GENERIC_ERRNO_BASE_H,"
"
b96b185d-a65a-4d28-bf1f-df410413dedf,ACL_FSTREAM(fp),"((fp)->fp)
"
66729c60-a4b9-4438-8559-491912f72d44,acl_htable_reset_r,"acl_htable_reset
"
484726a5-ce7f-4a7b-a1b6-386186386688,__DBL_MIN_10_EXP__,"(-307)
"
2fc91125-de36-4aa4-80af-57ce1cda6a09,ENOTTY,"25
"
255b8d83-f3e7-4e5a-9037-3998bbe0ad4f,ACL_RING_PRED(c),"((c)->pred)
"
e92f27a3-1d87-4c24-9ac4-0e8d3b5484e6,SO_ATTACH_REUSEPORT_CBPF,"51
"
3ccafae8-f260-4fe5-8555-49cee42b6c7f,__attribute_alloc_size__(params),__attribute__
ddb40b3b-2c05-4424-b521-59cb6a70747c,_CS_V6_ENV,"_CS_V6_ENV
"
dbe58389-0700-4ae4-bb16-aaa6a0296727,__LP64__,"1
"
09a56cd2-3064-4acb-9f16-373406dfa966,__U64_TYPE,unsigned
2f0f868f-9d7e-4f4f-b7e0-594e82fc26a7,ACL_APP_CTL_THREAD_EXIT_CTX,"ACL_MASTER_SERVER_THREAD_EXIT_CTX
"
64495865-38f7-4eb4-bc68-c06b6ee0de78,__u_char_defined,"
"
2dc3aa19-a3c3-4de6-a449-889d4f02f157,ACL_SLICE_FLAG_LP64_ALIGN,(1
d5466e9d-b51c-46bd-b8cb-3c0770cfc7b6,ACL_JSON_T_STRING,(1
6e287472-a678-48df-a4e8-a029c5ad780e,__GNUC_PATCHLEVEL__,"0
"
c0e47aed-a659-45cf-b169-1b83b2c511fd,__FLT32_HAS_DENORM__,"1
"
f93cdf17-c937-4dc0-a493-1e5134161f7e,__FLT64X_HAS_INFINITY__,"1
"
a95b745f-c569-4886-bac8-bace059b22c8,IPV6_HOPOPTS,"54
"
