id,name,value
93fd8b1e-e236-4112-99bd-960a0a2f67d1,__S_IFBLK,"0060000
"
76e729c4-f3d3-4ecd-aeaf-f87ccc0dc615,SOL_LLC,"268
"
bf9c5bb8-42f8-4ab1-990f-aeb9bfe78164,_BITS_SCHED_H,"1
"
de4688cc-16bd-4f5d-a87f-7363224c24c1,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
41a1c0ce-3de5-463d-835e-ff3a5616c7b8,__SSP_STRONG__,"3
"
27f9ba20-51e6-41c7-b506-0c279ffa4815,ACL_DB_ATOU(_str_),(_str_
4f0c4c4b-f499-4759-b652-f9bf6b52004d,__attr_access(x),__attribute__
b3f849cd-c18b-4495-8e92-112315524ca0,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
6f18474c-0010-43db-a22a-83f5cb8daf57,__DBL_MIN_EXP__,"(-1021)
"
d6f27e07-f4cf-4387-897d-c72e1273b9a7,EMULTIHOP,"72
"
38f37efd-5c24-42cc-87ed-885e2df9edde,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
0c838dcc-cd1b-41cf-8b2e-c16eaebc1b4c,AF_MAX,"PF_MAX
"
4d2f35cf-2ada-403a-8fe1-10ebfda416ca,_SC_PII,"_SC_PII
"
5e32ae3a-c695-4f54-af4a-49c25b337027,__CFLOAT32,_Complex
56d75a59-ded5-4957-bd11-2ff9a3585a31,IFF_SLAVE,"IFF_SLAVE
"
6d9167d7-9cb4-43a5-95f4-d90c474738a7,__UINT_LEAST16_MAX__,"0xffff
"
b273f61b-6fd0-4483-a844-e52fae4c8758,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
8a5db5e8-0309-43a7-8230-029f94f0ae09,IP_ROUTER_ALERT,"5
"
1dc5d8c3-2bbc-456d-b2c5-9b49521e2b39,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
f428f753-7220-43ff-bd9b-5cb48b4974f4,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
afb3de3e-9330-4445-8163-24f3c84074c5,__FLT128_MAX_10_EXP__,"4932
"
bc854236-961d-4448-9639-8590006b7027,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
53db9df2-5980-42c0-8196-1476d0afba4e,ACL_JSON_T_OBJ,(1
e544ab63-4ff1-48b0-8819-034876b3f90d,ifr_name,"ifr_ifrn.ifrn_name
"
7a1658d2-1afc-40cb-9fd4-ac9246717a0c,__NFDBITS,(8
ee7cd3db-b61d-4987-b2a9-0a07bb11a7a4,AUT_FLAG_LOOP_END,"4
"
b8b5ec52-d7f5-4038-a147-fa6050e4477a,acl_spool_accept,"acl_ioctl_accept
"
bcfe421b-8385-4af2-875d-522cd7bbf7bc,_T_WCHAR_,"
"
f9dcb0d3-c0f9-4163-9875-8b1a4d89898d,_SC_IPV6,"_SC_IPV6
"
d9268326-2db0-41fd-ac54-681714332945,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
513e5a73-fb83-4807-bcd3-8bf975cfe5fd,NI_MAXSERV,"32
"
4bb9e2a9-b67d-4f9a-b0b7-52cb4235ad5e,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
868cfe3f-bf54-47ed-94b9-ab62317e57d0,__CFLOAT64,_Complex
7f4ebd3b-bf51-4d7c-90ce-9dbcf100e12a,_GCC_MAX_ALIGN_T,"
"
11d72d56-386f-42d0-923c-766d1a19e8a9,acl_pthread_getspecific,"pthread_getspecific
"
08ea52fa-28e8-4981-ab31-f05937aca81d,ACL_EHOSTDOWN,"EHOSTDOWN
"
6093a5fc-33e0-4f02-92e8-9ceeff5e8939,ACL_FHANDLE_O_MKDIR,(1
45b61b8f-f1f2-45cd-ac8e-4ae85a88e12d,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
cead2f44-98a1-43ff-b962-869215252ee4,__S64_TYPE,long
3280353e-8736-418d-ab8f-7ee8fa3cdc8f,IP_TOS,"1
"
0890b3fe-96af-4693-a66a-3d57ae243419,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
a649ca7d-6ec2-4e01-809b-5f84b601f772,__SQUAD_TYPE,long
14c3959b-04eb-4267-9211-4b33ac5740f0,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
44fb723d-f529-4ffa-a1da-d2f582ed5aa9,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
0bd38320-dac4-45b9-8f28-c6a50f290269,_BSD_SIZE_T_DEFINED_,"
"
33323dcd-b046-4f1f-8a95-877a0afde7d9,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
