id,name,value
3d68205d-b816-425c-b843-fc7f9e6cdf31,__S_IFBLK,"0060000
"
0cef060f-31d6-49b7-8152-b18b5a90fcfa,SOL_LLC,"268
"
44f97955-83ea-473d-bd3f-97e22a250b7c,_BITS_SCHED_H,"1
"
a043e3ce-badd-4fd7-9d00-fc2c3fdd6377,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
8d7795e7-75c4-415f-af60-02f43d758db8,__SSP_STRONG__,"3
"
714b27f1-6b1e-464c-a040-85466584f5b7,ACL_DB_ATOU(_str_),(_str_
1ff38c61-9b22-45ca-bd56-dd27ed102fba,__attr_access(x),__attribute__
6d044d2f-6c68-44b3-8fa6-5172c5bb8c4e,ACL_BINHASH_STAT_DUPLEX_KEY,"2
"
4b0055d6-677f-4463-a837-a75571f9cd0b,__DBL_MIN_EXP__,"(-1021)
"
f8c8b92b-63ef-479f-851d-b029d2b433f4,EMULTIHOP,"72
"
fc9a5b3c-76c1-48dd-a4ed-e4c54160d403,ACL_VBUF_FLAG_TIMEOUT,"(1<<2)
"
75b111b8-e1af-4503-9046-76a58c600f83,AF_MAX,"PF_MAX
"
4a5b652e-8565-495a-a88f-2549dad7e70e,_SC_PII,"_SC_PII
"
6ea06364-dd31-4f9a-9273-9eb322b65d56,__CFLOAT32,_Complex
a84bf96b-5d46-4492-bbc4-9572f88c06a5,IFF_SLAVE,"IFF_SLAVE
"
e84035be-2b01-4397-ad92-3c8b31e6ecc2,__UINT_LEAST16_MAX__,"0xffff
"
ee62c4cc-0e04-4279-aa7d-c52df51f6948,"acl_myrealloc(ptr,size)","acl_realloc_glue(__FILE__,"
d4414535-3851-46ea-b1ec-9a93a8eea730,IP_ROUTER_ALERT,"5
"
e04d67db-669a-4492-9529-e82c82bae402,ACL_DEPRECATED_FOR(f),"__attribute__((deprecated(""Use"
43fb7888-538c-4513-98b6-45e68b042451,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
a401313c-ec4a-495a-a729-1d40ea21900b,__FLT128_MAX_10_EXP__,"4932
"
9d95dde1-fe5c-4767-99de-0213e80c7fba,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
13690395-8937-4894-b236-90eeb6c403a5,ACL_JSON_T_OBJ,(1
21421d6f-ef74-4764-86ed-c65e4521b4d7,ifr_name,"ifr_ifrn.ifrn_name
"
80f59352-527b-4f3d-9be0-8536db2fea29,__NFDBITS,(8
017a2e80-df87-482a-b8a9-900869a26bf2,AUT_FLAG_LOOP_END,"4
"
7939e338-50a1-42f8-9f32-35ac6e2e10b4,acl_spool_accept,"acl_ioctl_accept
"
c4aced95-4cc6-4d30-971f-4001407de33e,_T_WCHAR_,"
"
e8f39183-23a3-456d-aead-9a883c0901fc,_SC_IPV6,"_SC_IPV6
"
9e194a4d-6881-4c81-b1c2-65c2bd6c32da,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
ac37d9b3-b242-4b4b-ae7d-39ec52a75682,NI_MAXSERV,"32
"
c81794f3-72b4-4af4-9610-e30270f68961,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
1c672247-df3e-45ab-b7a1-e285e483ae3e,__CFLOAT64,_Complex
e6d6dab9-9684-4aec-a581-ee36cdb529aa,_GCC_MAX_ALIGN_T,"
"
5f40fbac-2375-4861-8eba-70d76623fc5e,acl_pthread_getspecific,"pthread_getspecific
"
f3ed1d88-5511-4f9f-adde-0a228a19fcab,ACL_EHOSTDOWN,"EHOSTDOWN
"
ee90ed0a-d87b-43a7-bf69-2e87b87e35ab,ACL_FHANDLE_O_MKDIR,(1
e10f8b3b-785a-4728-bc6d-e7e00fb736e4,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
2bbdcc5d-e542-46e0-bc45-b66a2ceca75f,__S64_TYPE,long
c7997e98-c89a-4079-a34e-1423f2bef411,IP_TOS,"1
"
8e954537-9407-448b-bfa4-c782c094aeab,ACL_MDT_FLAG_SLICE_RTGC_OFF,(1
09332ebf-27d3-44b7-8fdd-1fbd4a97e231,__SQUAD_TYPE,long
f3215151-056f-4baf-b351-631667b19f96,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
