id,name,value
aa0885b0-575a-4d59-a431-7796680159f2,PG_INT8_MAX,"(0x7F)
"
b4fa03c7-237f-4edb-8ab6-8adfbc546b5a,LOCK_MANAGER_LWLOCK_OFFSET,(BUFFER_MAPPING_LWLOCK_OFFSET
4cb1c447-f04c-4a06-b259-bdab8c8eccfb,IPV6_RTHDR_TYPE_0,"0
"
5cef18cc-9968-4c31-95e9-6e428d693b10,USER_LOCKMETHOD,"2
"
8907249c-17c8-4e1d-bc25-1f5d075e38e8,__SSP_STRONG__,"3
"
e5cce510-6b27-463d-bf1f-dfb7a931d17a,__attr_access(x),__attribute__
49c5c582-bc93-4384-9705-bba9313f2abb,CppAsString(identifier),"#identifier
"
0bea0507-eacd-4bbb-a214-1bf3c1bdb17a,__DBL_MIN_EXP__,"(-1021)
"
b3263354-e079-4eab-9c60-064bffd7add7,EAI_INPROGRESS,"-100
"
98d40cf9-8cd7-44ce-85d9-c7792a4e6af2,__LDBL_MANT_DIG__,"113
"
8be34914-5807-46d3-8a93-a6a9dda5e5f3,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
1124a4e8-fe69-4204-a2e0-710f35672bb7,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
35e0f9b1-79c2-49e7-b448-8481d2703338,NAMESPACE_H,"
"
597a2aa6-b00b-48fb-9daf-5bd2e14553fb,"StrNCpy(dst,src,len)",do
4a0cf6dd-f9aa-4233-8b27-3a5f02036732,STATUS_EOF,"(-2)
"
074b3fd8-fda0-4087-ab45-1c2d335875f7,ERRCODE_FDW_DYNAMIC_PARAMETER_VALUE_NEEDED,"MAKE_SQLSTATE('H','V','0','0','2')
"
4958a421-85c0-480d-a0ba-2d50b4279378,"lsecond_node(type,l)","castNode(type,"
7fdebb7e-b3cd-4363-95b0-e86a29f99a10,ERRCODE_INVALID_CURSOR_STATE,"MAKE_SQLSTATE('2','4','0','0','0')
"
19f1fcc7-abb2-4ba3-9731-51e67cc3d975,ERRCODE_OPERATOR_INTERVENTION,"MAKE_SQLSTATE('5','7','0','0','0')
"
ae68d840-9cda-49be-adbf-0957aaedb5c6,NO_ADDRESS,"NO_DATA
"
4055269c-a4cf-4b5d-941d-e9fc20ecd43f,__UINT_LEAST16_MAX__,"0xffff
"
f019e4cf-71af-4220-ae6c-d557486049b6,_STDBOOL_H,"
"
24365fbb-e2e6-4ae9-947f-f1fe76506bc9,__ARM_SIZEOF_WCHAR_T,"4
"
957a721a-568b-469b-8579-0dbfd99f0606,IP_ROUTER_ALERT,"5
"
d747a6be-56a6-4c82-b084-fd6020bce7c1,HAVE_STRING_H,"1
"
ff873428-55bf-46ff-a0a1-d736367c0fdd,__DBL_DECIMAL_DIG__,"17
"
cd65142c-0fb2-4ec3-8a9e-77723e0ed899,__ATOMIC_ACQUIRE,"2
"
8b0dbf2d-78cf-4a54-a17d-5a7fadc3c6c1,Float4GetDatumFast(X),"Float4GetDatum(X)
"
c6803139-0e60-40f6-bef4-05054e9ef108,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
a65e386a-fc0c-483c-b720-2a43505206b8,__FLT128_MAX_10_EXP__,"4932
"
12c54006-619e-48ad-a386-de2437dd2809,GAI_WAIT,"0
"
384e82e0-41b9-4c33-a73d-61ed9448a2c6,IP_DEFAULT_MULTICAST_TTL,"1
"
37b76c28-9d36-4a7b-8c53-bf48b5019b1a,__off64_t_defined,"
"
30dac7dc-db67-495c-a51d-dc7830882af4,IP_PMTUDISC_OMIT,"5
"
f3d8045f-2a30-468e-b0d4-29c208587f49,SOL_LLC,"268
"
709af6c6-cc27-4f97-ad16-dc1e8d7e36f1,ATTNUM_H,"
"
fb989db1-5d1a-48c7-ab46-6cc177a8380e,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
e2c315f6-6d14-44ba-b3ef-30dfa1f21404,__GCC_IEC_559_COMPLEX,"2
"
4e60fea3-5143-4801-8962-754d901d9d92,AF_APPLETALK,"PF_APPLETALK
"
2fd257c9-9337-4e3d-acd3-884c61de1e8a,VARATT_IS_EXTERNAL_ONDISK(PTR),(VARATT_IS_EXTERNAL(PTR)
90d30ea7-6d3e-4e23-ba26-f2965c50f713,INT64CONST(x),(x
3b962268-9c17-46b9-9c29-d1eaecd174da,__NFDBITS,(8
6924f07b-2627-4771-b515-ecd168622f36,__GLIBC_USE(F),__GLIBC_USE_
de5c9035-6ad1-450c-9f84-63308337bb37,__UINT_LEAST8_TYPE__,unsigned
4db9d839-25b2-475c-9e52-2d7462097219,USE_LLVM,"1
"
afdb5b02-3bdd-44ec-b726-8fb539136f43,_T_WCHAR_,"
"
5b292459-5e36-4682-ba41-6b4d225e9bbc,EUNATCH,"49
"
41cd43a5-3cff-405e-bf29-6985db12fc13,SOL_ATM,"264
"
5b74026b-9138-48cf-bdbd-d87e30e845c2,ERRCODE_UNTRANSLATABLE_CHARACTER,"MAKE_SQLSTATE('2','2','P','0','5')
"
691762b6-ac4f-4948-8250-6c97c470424a,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
f20a8868-eb50-494b-a9f6-73856ca235e3,ERRCODE_E_R_E_MODIFYING_SQL_DATA_NOT_PERMITTED,"MAKE_SQLSTATE('3','8','0','0','2')
"
c2a1be81-8871-47e7-97a7-c30d65013bca,NI_MAXSERV,"32
"
5c4ea6c3-1524-4c03-837f-8c4afde7b9b1,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
a0eac068-a69b-4318-b110-58d6b707fd2f,INT_LEAST16_MIN,"(-32767-1)
"
6532dd87-b86f-4235-bfa1-27654f04a302,restrict,"__restrict__
"
bdbc3c89-d548-4fb0-a422-7f92fadbe0d9,USE_ICU,"1
"
0b364a14-2778-40f5-8f7b-466df3cb5829,IPPROTO_IP,"IPPROTO_IP
"
051d02f9-e741-488e-bf4a-95035dd2ff4f,LWLOCK_H,"
"
f0ef83c7-f6b2-4207-a7db-40a831376eb9,SO_KEEPALIVE,"9
"
d3ca8e9a-1341-4af0-b27f-3312355950b3,AF_PPPOX,"PF_PPPOX
"
0892cb5d-b3c5-4232-ae53-e3fed3d81677,_NETINET_IN_H,"1
"
09a483a3-3418-4337-ae4e-840b4594622b,ENOCSI,"50
"
a1ce7166-8d40-4e2a-a70a-bf70603bb957,__stub___compat_get_kernel_syms,"
"
4079c690-0c6b-4851-89cf-a6b5a84cb80b,SO_SNDBUF,"7
"
8d797273-8cfd-4fc7-899c-87a282eb3f96,LC_ADDRESS_MASK,(1
0a71499c-8c9a-4fb7-82f2-78a909255079,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
dc33d4c5-300b-4e6d-a6df-fa740d02bef3,__S64_TYPE,long
ee75cd7a-3438-4229-b481-1670f5c6e63c,_PRINTF_NAN_LEN_MAX,"4
"
9c66ee07-afcc-408f-a8a1-73e74f1c7440,__FLT128_DIG__,"33
"
5fda4b7f-f577-4565-9a0f-a247e8a4d7a1,PG_BINARY_W,"""w""
"
2a6e93dd-64d8-493a-92da-58784c1223b4,"__ispunct_l(c,l)","__isctype_l((c),"
3e9d00d8-7f39-4c86-8ded-167de5230253,__stub_fchflags,"
"
807a9f15-1066-4e97-a9be-37e84876f712,__SQUAD_TYPE,long
ba9a70a7-bf08-4ee7-84aa-57ccf39f07c7,__INTMAX_C(c),c
eae6cb5a-d822-4b4c-bcbb-845bfcb56159,_BITS_FLOATN_COMMON_H,"
"
f98f84c8-4f54-4074-b140-809b4ac667e3,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
147b1ebf-54bd-4a6c-8d9b-5250cebc95ce,__GNU_LIBRARY__,"6
"
18535447-331b-4388-9827-30d0de74c042,IPPROTO_MTP,"IPPROTO_MTP
"
eab5815a-409d-4db9-8c48-698fb50e6f8f,NL_NMAX,"INT_MAX
"
aae27cf7-ed90-406c-b93d-eb989beb0977,ACCEPT_TYPE_ARG1,"int
"
3faaffe7-8078-4622-89b8-7003f410652b,"list_make4_oid(x1,x2,x3,x4)","lcons_oid(x1,"
6655ed4f-944c-4422-8347-bd9992e99b60,ERRCODE_INVALID_XML_COMMENT,"MAKE_SQLSTATE('2','2','0','0','S')
"
90b365ea-cbc7-4077-996c-467e893d363a,_VA_LIST_T_H,"
"
96b6acdb-2962-4f48-baab-7fa4ddd7f8a1,LOCK_H_,"
"
5dc08e6c-7927-4063-af3b-257168953dfd,INDEX_MAX_KEYS,"32
"
eae5acbd-c927-4332-b06e-e154b00bd871,__CHAR_BIT__,"8
"
b29ffbd7-03d1-48d7-92f2-951088110828,__FSWORD_T_TYPE,"__SWORD_TYPE
"
142367d6-e106-47e5-a089-70f569723768,USE_OPENSSL,"1
"
6fedc6f6-3af5-4692-b7cd-d284f6b12247,"TrapMacro(condition,errorType)","(true)
"
4019cf40-26d6-4a6c-b133-78ba5f759d96,SOL_RDS,"276
"
2763c9a2-e3f6-4edd-ba2e-139e1b3b63a0,SHORTALIGN(LEN),"TYPEALIGN(ALIGNOF_SHORT,"
5238f43c-b2b2-483e-bda6-7d932d8f51d5,EAFNOSUPPORT,"97
"
a1636d52-fbe6-43dd-9bd8-8979b99ab49f,IN6_IS_ADDR_UNSPECIFIED(a),(__extension__
e0f2bde7-74c6-4101-8bbd-102ef7b45a73,HASH_CONTEXT,"0x0400
"
6faf5163-aa30-4fde-8fed-7022efcaeb10,lnext(lc),"((lc)->next)
"
15952047-0dde-4174-8e10-85af526a67db,EREMCHG,"78
"
dbdbf3b5-d9e7-456c-bc95-aa5da7199e36,ERRCODE_DUPLICATE_COLUMN,"MAKE_SQLSTATE('4','2','7','0','1')
"
1e335fcc-ee1d-4224-a615-b60e7a4140e2,PG_VERSION_STR,"""PostgreSQL"
568f77dd-fcd3-43a5-bff9-81485fc802f9,HASH_KEYCOPY,"0x0100
"
c5641350-3c08-4cbf-b59a-dd3b8dee13fb,EEXIST,"17
"
8f9d1923-52a3-492f-a4da-ae2f69f71c4d,ACCEPT_TYPE_RETURN,"int
"
34fedd4a-6359-4f9b-b535-b4e5245103c3,__attribute_pure__,__attribute__
7eee4e3e-4bd4-4604-933d-ff9961c8910f,EACCES,"13
"
261fc4d9-995b-4f1e-a2d6-329d11f3f3e1,__UINT8_MAX__,"0xff
"
5c33068c-45cf-4152-b6db-57fd083d018a,IPPROTO_UDP,"IPPROTO_UDP
"
ff4b80fb-acc2-4052-8cfb-628427eae5ba,SOCK_RAW,"SOCK_RAW
"
