id,name,value
bf3c1e00-e380-4b08-8b67-40215e4e727d,__S_IFBLK,"0060000
"
2f93215d-105d-423a-8a02-f724a1999bf4,DatumGetByteaP(X),((bytea
ab4e947b-0cae-477e-900d-e26f3c94d530,PARTPRUNE_H,"
"
54d92aa5-0cd5-451e-98db-167aea17596f,SOL_LLC,"268
"
099bd439-7319-4df8-b35c-47a8fe610dba,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
612b0e65-346d-4863-bc11-1ed2018349ee,__SSP_STRONG__,"3
"
97e76268-5d35-4c29-b67d-3919504d283c,__attr_access(x),__attribute__
9fd6cd69-79a4-4785-9923-1c40f102d92b,__DBL_MIN_EXP__,"(-1021)
"
30db9e60-9231-42bd-b4dd-31eabf87f64b,EMULTIHOP,"72
"
8aa62cf9-1b55-4e5f-9e15-9fef22306718,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
9a6aaabb-a797-47bd-8654-c9ba17168d1f,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
75fbe574-2465-4970-902e-9208beb0aaff,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
8794c311-94b1-4b40-80f4-54032d53e65e,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
64181e51-cc0e-4e5d-9cb4-8da1af9021a4,AT_STATX_SYNC_AS_STAT,"0x0000
"
1c579a2b-0bd1-463a-aa10-998baf80837b,STATUS_EOF,"(-2)
"
051341a5-4344-446d-8f8c-943b4610961b,MAX_FORKNUM,"INIT_FORKNUM
"
a89f2f79-f91f-4b0e-b9f7-62a23880438c,AF_MAX,"PF_MAX
"
4062079d-f3b3-450c-9a2d-99928660c1e1,_SC_PII,"_SC_PII
"
0bec83f4-98d0-4fb2-8673-2855644be357,__GNUC_EXECUTION_CHARSET_NAME,"""UTF-8""
"
738a6a60-8204-4fe2-bc8c-5f2ad239dcec,__CFLOAT32,_Complex
360e0240-ad7f-4a9a-8cf6-95ab487f6ac5,__UINT_LEAST16_MAX__,"0xffff
"
4edb2c21-e59f-447e-b21c-073705695490,F_SET_RW_HINT,"1036
"
8a756e72-efde-489d-9bd1-2d4f18661a75,IP_ROUTER_ALERT,"5
"
f9ec98f0-ba13-4d3f-8e59-0829f1cdbe74,CYPHER_TARGET_NODE_IS_VARIABLE(flags),(flags
aa5f7326-ec33-4042-a1e5-0e17b607329c,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
536127c0-b55a-4e38-8f7e-fed632606ad5,__FLT128_MAX_10_EXP__,"4932
"
0360cedc-934a-46c8-ad83-61b455d863ab,OPCLASS_ITEM_STORAGETYPE,"3
"
5aa46875-f645-4ff2-872e-1c36037e7d61,RE_DUP_MAX,"(0x7fff)
"
f7643c30-fec0-4ad3-8340-ec0a504673ca,SVE_SIG_REGS_OFFSET,((sizeof(struct
50ab86ff-9ee9-4500-af88-a56e93b7e82c,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
