id,name,value
4ed92032-9aad-4068-90a7-d394171d1ebe,__S_IFBLK,"0060000
"
b8b4476d-db21-4f44-a3e9-cab86b3388ab,DatumGetByteaP(X),((bytea
a03e4751-e34f-4212-88a5-c95777a98e7a,PARTPRUNE_H,"
"
69cb4822-4933-42d7-b27e-f806f327e3c2,SOL_LLC,"268
"
033fe5f4-95a0-498e-8198-56156773b61c,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
69bacd8b-c014-4bd4-ad22-9143074b08f2,__SSP_STRONG__,"3
"
4366179a-0bb4-4276-96f1-ebb98c052390,__attr_access(x),__attribute__
241815ef-dbee-4063-a84d-da75e762b976,__DBL_MIN_EXP__,"(-1021)
"
d0786f3e-93b0-402b-ac4f-7f78761fde16,EMULTIHOP,"72
"
a1010ac4-4077-4e1e-b483-506925d31109,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
38b89154-9263-493a-8c92-9cef6c34ac92,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
c6cb3cb7-f719-4858-ab03-1b363814670e,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
8f2af99e-372f-46ff-b9e3-faaa029f6166,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
22716944-86d0-4429-81d3-ed53a7562a8e,AT_STATX_SYNC_AS_STAT,"0x0000
"
f30cc861-63ba-413c-8e38-e544d9f4e4dd,STATUS_EOF,"(-2)
"
5797c7b7-0d39-4d0e-ad55-ab28d3beaed3,MAX_FORKNUM,"INIT_FORKNUM
"
f650c1b3-9d2d-43d5-9b76-81aff06ed675,AF_MAX,"PF_MAX
"
7da004aa-c749-493a-ae21-4cf4ba794dd7,_SC_PII,"_SC_PII
"
b8e76c1e-a97d-454e-9ee7-633f08781c2c,__GNUC_EXECUTION_CHARSET_NAME,"""UTF-8""
"
943f1990-98e0-4dc2-9101-2f911827cec6,__CFLOAT32,_Complex
1d1b8604-4180-4de0-a0b8-c194ae019aa2,__UINT_LEAST16_MAX__,"0xffff
"
81460678-db14-4915-9938-5b295e25c867,F_SET_RW_HINT,"1036
"
565ecf10-a294-4e09-a0f8-45c4cd854b8e,IP_ROUTER_ALERT,"5
"
1c0c09f5-e3c3-418d-844c-2b8f4e5daa93,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
