id,name,value
c3c9ad24-30d6-41f3-a40f-a6439d1cca57,__S_IFBLK,"0060000
"
114bab7f-4e79-401f-9c1e-f79f352e803d,_XOPEN_XPG3,"1
"
27b90ca0-a81b-4d67-af8d-16b741f2b48b,DatumGetByteaP(X),((bytea
1d4cfa7b-5a7c-4e6d-881d-9380f6d50316,SOL_LLC,"268
"
5b761768-73a9-45c3-b5e9-b99eaa2ffc90,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
58dec799-60b2-4789-a554-db906d8ac013,__DECL_SIMD_erff64,"
"
47ada20a-cb6d-4dae-bc75-f03f2ffacfb7,__DECL_SIMD_acoshf64,"
"
cee796e2-c220-4579-b2d8-675dd88a72f1,__SSP_STRONG__,"3
"
5e279720-b76e-40f9-bbc0-56ef589c9f3d,__attr_access(x),__attribute__
0a0b7721-8b24-4224-bf3d-c2154e8675bb,__DBL_MIN_EXP__,"(-1021)
"
8f323dbd-4ca6-45bb-9585-4389caefe66d,EMULTIHOP,"72
"
9189f3d6-c9d4-4328-a3ca-34523217579e,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
507dfc54-f0d3-4dc9-a63f-52c21fe6fbdb,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
004aa336-74c7-4a70-b17c-af84d5f91456,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
136c3cb8-9cdb-4a58-8451-ef4e7bc916cb,AT_STATX_SYNC_AS_STAT,"0x0000
"
d2943c84-f29b-4579-96f0-5e4aeddc280d,STATUS_EOF,"(-2)
"
050275ee-ef11-49b8-bafe-a0a5b7fe5d2f,AF_MAX,"PF_MAX
"
c83d4ef8-158e-419d-bedb-98a0cfd11d6c,_SC_PII,"_SC_PII
"
5208873d-f604-4576-bc7b-80107706161e,__UINT_LEAST16_MAX__,"0xffff
"
af84a74e-c844-487d-bcb1-5a8939a82f95,F_SET_RW_HINT,"1036
"
4c9693e0-129d-44e8-b048-a1d88e662883,SIGPIPE,"13
"
aa8f1536-2cbc-4e6f-ac56-8a8634fe7eda,IP_ROUTER_ALERT,"5
"
4143afdd-0353-4730-be76-a262fa6f57d7,FRAMEOPTION_NONDEFAULT,"0x00001
"
16784624-67a7-4518-b58d-483538e0b629,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
cbd9abf1-7f7c-4594-8d78-93155ce08a3a,__FLT128_MAX_10_EXP__,"4932
"
e38e6b82-e5b3-4b94-b59d-e7e8652d0bad,OPCLASS_ITEM_STORAGETYPE,"3
"
9ea98f4d-9b33-43e4-a7d8-e197aa0727d9,SVE_SIG_REGS_OFFSET,((sizeof(struct
b3c00466-7d54-410a-bf09-8aa6d16c2ae0,"isless(x,y)","__builtin_isless(x,"
76dfa98e-42a6-498f-8735-9ff0a3382b8f,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
95d84719-714d-4b53-b969-02f2e74c4ec6,__DECL_SIMD_cosf32x,"
"
9183e55a-05e6-4e36-a3a0-28c1d4ee90ba,sa_sigaction,"__sigaction_handler.sa_sigaction
"
bc26b10a-9b1d-48ca-8935-5a8cfa8698cc,ADBC,"18
"
96cc318b-48a3-4d36-8c9d-407b1f3008b9,ERRCODE_INVALID_ROLE_SPECIFICATION,"MAKE_SQLSTATE('0','P','0','0','0')
"
aad0de6f-d94a-4944-b1de-09b4c88118e6,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
d86cb5d3-7236-41f1-9337-1be0cfd2a042,__NFDBITS,(8
b646e34d-7c2b-43a1-ae43-3e56c59ffca4,_PC_MAX_INPUT,"_PC_MAX_INPUT
"
3f1c48ff-0857-4d2f-ad23-a9c8fd62f6af,"__glibc_fortify_n(f,__l,__s,__osz,...)",(__glibc_safe_or_unknown_len
91e5fcda-db2d-4294-a88e-90a1f7abd35d,si_fd,"_sifields._sigpoll.si_fd
"
4651468a-7d4c-45d2-9f4c-c13d91ab59f8,_GETOPT_CORE_H,"1
"
83634e0a-e0fa-475b-9ec4-48825f339401,USE_LLVM,"1
"
6fab9e41-cf8b-4281-965e-f1fedd18afb0,_T_WCHAR_,"
"
dc9d56f7-71ae-4ce1-b128-30d7a0d96e45,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
c37ba7c9-8bcf-433d-a424-84d8263ecf96,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
073a1606-8797-4296-b8a3-f530049dc6b0,NI_MAXSERV,"32
"
608fbd31-c62f-4181-a1f3-3edd1a14f6f7,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
7baaf154-a44f-4ba9-9fcb-48e25bc53aae,restrict,"__restrict__
"
21bac7d8-40ee-47c6-8c96-e91ca0358005,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
f46c3b19-c3fd-4a17-8a9e-107525656cc2,__CFLOAT64,_Complex
6281e15d-7ff7-4d52-b9ce-4150c8fbde3c,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
8ba30aa4-4c2b-4fed-9ab5-e4bf361e927c,__error_t_defined,"1
"
d1464790-1ad0-4ace-8954-60f88e923ffd,M_PIl,"3.141592653589793238462643383279502884L
"
0f638ccc-511d-45df-8ab3-ae8224dd6d73,LC_JISX0208_1978,"0x90
"
c1a7b8b5-c61e-4a05-99c4-29be0035ebe9,ISSJISHEAD(c),(((c)
0068af92-3c10-47ce-b0e4-1a35f14cfcb3,OIDVECTORARRAYOID,"1013
"
b95b389f-d887-43fe-9ccb-a2157d2c4161,_MATH_H,"1
"
1b36c2a5-f124-4710-a140-7c68378dce88,FIELDNO_FUNCTIONCALLINFODATA_ARGNULL,"7
"
982c987e-e715-4842-8b00-c5366b518894,__S64_TYPE,long
753e8ac5-3251-44cc-9837-5ff90f87b004,_PRINTF_NAN_LEN_MAX,"4
"
ecdcff4a-143e-4eb9-a53e-88080e14c00d,PG_BINARY_R,"""r""
"
9575b19a-b5e6-4c3e-afc6-9659f93a12d3,__FLT_MAX_EXP__,"128
"
85716273-7286-4233-a4c0-d2bd35c6460b,PG_BINARY_W,"""w""
"
b56d5703-d809-46d6-8ad3-171aa75f50eb,__SQUAD_TYPE,long
6de4c8fd-cf53-4f0d-b133-510a864a8ada,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
537336c1-07e6-41f2-b01b-f3632cafd468,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
b3ba6420-e8a3-4d1e-80b4-afd567407c74,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
bf82160d-fe3b-407e-a473-8c8e77d1ca58,PG_GETARG_VARLENA_PP(n),"PG_DETOAST_DATUM_PACKED(PG_GETARG_DATUM(n))
"
15e77753-39af-423a-8595-2e3e220c718f,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
d0a4d890-9c45-4778-8a15-c41e8cd2551f,_BSD_SIZE_T_DEFINED_,"
"
2a931538-817e-415e-beb3-2dcbfca418ce,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
de44a083-bb52-4619-a121-6e7e2cb855ba,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
a0209984-9d61-42c0-8fa8-62b421875c6f,DATEORDER_MDY,"2
"
80a709d9-647f-41ae-b5b1-397f6b5cc855,__CHAR_BIT__,"8
"
22efdeac-0298-4abf-8876-fe9b6d13a1ad,"iseqsig(x,y)",__MATH_TG
bd71a327-5f25-485d-bc6d-7dd917578ec5,SO_DOMAIN,"39
"
cc8ef316-5968-41fa-a4e9-8406fe71d83d,M_LOG2Ef128,__f128
7edaf56b-5feb-43b0-95fb-1c790752a756,SIGRTMIN,(__libc_current_sigrtmin
653e6b3b-2a4b-4ca9-8697-9c4abb4e81ed,HTUP_H,"
"
52a135cf-d6e1-4869-b358-659243fc2820,USE_OPENSSL,"1
"
3815d104-dd17-4d70-bd97-8dd511c5835d,_SC_SIGSTKSZ,"_SC_SIGSTKSZ
"
77f8ba38-5fdf-4388-afa5-0f2c0c26c1bc,SHORTALIGN(LEN),"TYPEALIGN(ALIGNOF_SHORT,"
00e014f0-3efe-4509-841c-6225ef1d32b8,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
d1139959-2550-4b04-b78f-368c4e7dd163,ARR_HASNULL(a),((a)->dataoffset
2e2cfee0-5c95-48e8-a56f-ce5ffe76fcbe,lnext(lc),"((lc)->next)
"
26285a94-b242-4bf1-b23a-952bb7e3c054,EREMCHG,"78
"
557475dd-9565-4216-b1c3-7599640613c8,VARATT_IS_EXPANDED_HEADER(PTR),(((varattrib_4b
9b213d64-0e71-47fa-8396-9a644be9b504,PG_VERSION_STR,"""PostgreSQL"
75d9e242-c21f-47cf-ad66-c9773adbc298,pairingheap_reset(h),((h)->ph_root
85ceded7-d6c7-4d38-a3f1-87f63687b18e,SIGTTIN,"21
"
5fdc6661-0074-4286-9d66-07b4c3100342,__DECL_SIMD_hypot,"
"
c3e437d7-fdcb-4d22-bdf2-11087ceeee1f,EACCES,"13
"
f380e215-22a4-46b0-9ba9-06d1c13a5a7a,M_1_PIf32x,__f32x
f573d640-8cc0-4b55-84fc-1136b8de0e20,__DECL_SIMD_atan2f32,"
"
c8bd8efb-f5a7-4e0e-84ee-bf4e9780280a,SOCK_RAW,"SOCK_RAW
"
e50eea0c-bb02-411b-8ca5-84259ce9e087,NOW,"""now""
"
7b96531c-58ed-49ac-b7d6-0f886e43c1bc,"__isupper_l(c,l)","__isctype_l((c),"
0e15e92b-b3e7-4839-a29d-63db5c6aed64,EDESTADDRREQ,"89
"
bc06da7a-bb93-42b2-b4a7-db6432dbf57c,_PC_LINK_MAX,"_PC_LINK_MAX
"
315a1fcb-b087-484b-b131-7bc3e72f549b,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
68ecbe2f-70bc-4cdc-9453-91e96518ad03,si_pid,"_sifields._kill.si_pid
"
ddd17061-84f4-4188-8ca7-a0dbacf65f99,ERRCODE_DATA_EXCEPTION,"MAKE_SQLSTATE('2','2','0','0','0')
"
995d7ab2-51e4-4bcd-b6ec-75f6cfd8bf16,PG_DIAG_STATEMENT_POSITION,"'P'
"
4cacd468-5025-42a7-b4d0-f212d626f79a,__DECL_SIMD_erfcf64x,"
"
7aa220d2-bc31-4979-918d-d92dd1eafc2e,INT8RANGEOID,"3926
"
f0b0127c-08b4-4a79-9954-e601300bbce0,IP_TTL,"2
"
dbbeed69-2230-4ec6-9534-a695fd551ac4,DatumGetArrayTypeP(X),((ArrayType
d906a8b4-45b7-47d7-9d31-5bbe0cf72aec,UInt64GetDatum(X),((Datum)
b8b560c8-1b5a-462d-80bc-f7616b5780be,IPV6_JOIN_ANYCAST,"27
"
49b7d527-53e1-4133-91fc-035af4ae86c9,stderr,"stderr
"
7afc6fc8-299e-4d14-ba34-8e1ba2991745,__DECL_SIMD_expf16,"
"
4ae05be2-0476-496b-bc15-1d2dd717581d,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
339c8795-6edb-4814-bf4b-989cd7ebe83a,RECORDARRAYOID,"2287
"
23c13e04-aa04-49fa-9f76-a8a3454c73b6,__USE_XOPEN2KXSI,"1
"
0fb928ea-b20b-461d-b5dc-a51bb86584c8,_CS_POSIX_V7_LP64_OFF64_LINTFLAGS,"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS
"
50849a9b-7250-4a9d-b4fc-e6b9ddec7987,CASHOID,"790
"
b30ae828-c9b8-4a81-bedb-b84d470d394c,__DECL_SIMD_atan2f128,"
"
a98ded99-6122-420b-abe8-81bca8ff60e9,RWH_WRITE_LIFE_EXTREME,"5
"
f36cc58e-701c-4c52-acc5-cbfbaf456ac7,VARDATA(PTR),"VARDATA_4B(PTR)
"
f142c080-e09e-480f-a69a-0e3bf141df1c,SOCK_RDM,"SOCK_RDM
"
9c02673d-7adc-4e00-9c09-de8463e19888,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
5c7e3d71-1da0-4d25-91f2-94853db1c1e7,_SC_V7_ILP32_OFF32,"_SC_V7_ILP32_OFF32
"
296cc043-1046-4b9e-a6b2-e897974d29d7,FP_FAST_FMA,"1
"
e4d9fa22-9919-40a9-8b12-1cc372483bee,Int8GetDatum(X),((Datum)
1233e4fc-b6ba-4c13-a62d-072aa5b5ac6a,SECURITY_RESTRICTED_OPERATION,"0x0002
"
70472255-592f-42a4-ac02-d5ee75b34425,ERRCODE_TRANSACTION_ROLLBACK,"MAKE_SQLSTATE('4','0','0','0','0')
"
953a9630-bf58-4a28-b271-86da5393fddb,OPCLASS_ITEM_OPERATOR,"1
"
4bacdb8f-8eb5-4095-b0fb-623185d49908,PF_DECnet,"12
"
0e83fd24-b005-4fad-8e3d-d33c5c8f3b95,IPV6_CHECKSUM,"7
"
59dd257d-78f9-4840-a758-12ab783f9b27,EMLINK,"31
"
62f6db78-1ead-4e5e-812b-7dbbe38c6eb6,__ORDER_LITTLE_ENDIAN__,"1234
"
458d1656-0d59-4893-9a4c-a13144b9c33d,UINT_FAST16_WIDTH,"__WORDSIZE
"
95bb3ce7-6cae-41ea-bce8-ea0a12697f00,IP_MAX_MEMBERSHIPS,"20
"
5c2654c6-05c1-425d-b77d-4050bff1e4cf,__DECL_SIMD_sinl,"
"
db04c3f4-d29d-4ed1-9c82-0dfcf4458d7b,HAVE_STRUCT_ADDRINFO,"1
"
5ce532e3-1619-4a4a-b7f7-234e086cdf7b,"__ispunct_l(c,l)","__isctype_l((c),"
6a43d7d8-0898-471e-ab82-2563a29168b0,"PG_GETARG_BYTEA_P_SLICE(n,a,b)","DatumGetByteaPSlice(PG_GETARG_DATUM(n),a,b)
"
4b90b136-b311-4bc4-b0fa-abefb18c5ffd,"pairingheap_container(type,membername,ptr)","(AssertVariableIsOfTypeMacro(ptr,"
