id,name,value
6dc49d77-8f37-4ee2-b365-48b8315f5f76,__S_IFBLK,"0060000
"
8692a931-2a7e-4d42-84e1-940d28fea495,DatumGetByteaP(X),((bytea
f6e689d7-7d16-4c55-b800-e59991b41337,SOL_LLC,"268
"
18a6dfb6-a09c-461b-a5a6-a953550d9b66,BootstrapTransactionId,((TransactionId)
2013d31b-93a0-4dda-be5d-7a1c484f2c71,Anum_pg_proc_proargnames,"22
"
7b307a11-8bb6-4204-ad24-86251ea18263,__SSP_STRONG__,"3
"
025b7e08-1d51-4d32-b17c-c3a30fecd6c9,__attr_access(x),__attribute__
6953c202-011a-4a72-9378-1239a313914f,__DBL_MIN_EXP__,"(-1021)
"
5bd71e17-3dd4-41d0-bbf7-785c4e7ccd4b,EMULTIHOP,"72
"
496f71ff-e9c8-4665-8001-6a1ec65bb12a,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
742a1f62-229c-4286-bf37-63305f449e88,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
699b2cc9-a219-4170-afc4-fa3e7e7593c2,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
aefd413c-9be4-4b9b-970d-d60f7d40e5a9,AT_STATX_SYNC_AS_STAT,"0x0000
"
071d037f-c30f-4a66-a4f8-93655fa1a2d2,STATUS_EOF,"(-2)
"
3249f364-12cb-4c3f-9336-6fad44d23e35,AF_MAX,"PF_MAX
"
c6260cf6-9d8c-4315-a0cd-c852c92f7d46,__CFLOAT32,_Complex
d3a0869a-8631-4030-96ca-83e1f37cb1cf,__UINT_LEAST16_MAX__,"0xffff
"
2638e236-c433-492f-9914-1b938f0176a0,F_SET_RW_HINT,"1036
"
a1162619-0c19-41e8-9740-5dc337ac1e58,IP_ROUTER_ALERT,"5
"
6d434201-fc67-408a-a401-3031ef5d7b60,FRAMEOPTION_NONDEFAULT,"0x00001
"
8dd7eef4-710c-4c29-befe-68d6a67b83a3,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
59f1c401-a0ec-498d-aaf3-fd38d206811c,__FLT128_MAX_10_EXP__,"4932
"
203aed71-8d4c-4b42-a1f6-7408b403c91e,OPCLASS_ITEM_STORAGETYPE,"3
"
0c3e7cc9-60d5-4037-baaa-2abbc4853ba8,ERRCODE_INVALID_ROLE_SPECIFICATION,"MAKE_SQLSTATE('0','P','0','0','0')
"
ce486783-17e4-490b-a4f4-4960bb3730ed,__NFDBITS,(8
32b2d85d-9b89-4ff5-9b2a-0cc1146ebfc6,"__glibc_fortify_n(f,__l,__s,__osz,...)",(__glibc_safe_or_unknown_len
2b4e8f8f-f6c0-4b0d-a217-cde24d9448e6,USE_LLVM,"1
"
91a0004e-257a-42cc-8e10-e16af19c2d9c,_T_WCHAR_,"
"
55b00216-8d1e-424c-b7f0-8fc206f1ef77,"HeapTupleHeaderSetTypMod(tup,typmod)",(
3f4a9655-d5bf-4af1-966f-90e6d10a41f0,RWH_WRITE_LIFE_SHORT,"2
"
451d5dc7-d8e4-482e-8f62-7d09639db9b7,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
918fac14-a395-4035-8bd4-585c6e7a4440,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
0c65c864-8d66-474a-a4b8-abe45a779f70,NI_MAXSERV,"32
"
04da611a-4991-4648-9dc2-a9001b6ec833,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
926c00dd-34c6-4618-a862-ebc289c8e549,restrict,"__restrict__
"
5b282ea5-e612-4c6e-8450-d7d31fde387c,__CFLOAT64,_Complex
a9f1d49c-15db-4452-b829-db41f8bd10df,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
931d92b2-76d2-452e-9a75-9988d425f20d,__error_t_defined,"1
"
96e94507-b959-47fb-a79e-1e1e9436743a,FIELDNO_FUNCTIONCALLINFODATA_ARGNULL,"7
"
1e31454e-ab2d-408d-b618-b975f9ab77b4,__S64_TYPE,long
dcaf4277-c86e-4507-a14c-48063850e57b,_PRINTF_NAN_LEN_MAX,"4
"
f7b3b0e0-2b0d-46cb-9062-876cd6f93d4f,PG_BINARY_R,"""r""
"
e571e32a-6cd5-44fc-917a-4de18eae4896,__FLT_MAX_EXP__,"128
"
2042f345-8e5b-442e-b0ed-4eb7ed9de893,PG_BINARY_W,"""w""
"
c73a2ee8-944a-45ad-bd5c-a0a1b2bd345b,__SQUAD_TYPE,long
932a3827-9417-4121-8161-3066b27f7992,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
8579de09-663e-4a66-9bbd-0af7dfcf5170,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
b0f58112-8165-4d79-838f-c22bdf5b6a2a,PG_GETARG_VARLENA_PP(n),"PG_DETOAST_DATUM_PACKED(PG_GETARG_DATUM(n))
"
2450baf3-743a-495f-bc26-09edaf47ab05,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
12940da0-7c8e-4171-84b4-51c7e15f8206,_BSD_SIZE_T_DEFINED_,"
"
