id,name,value
885823cd-ee0c-4eb0-bd94-c920397dd994,__S_IFBLK,"0060000
"
08aaaa1a-1131-4f4f-989e-5941a44bf19d,DatumGetByteaP(X),((bytea
b3aeff21-3421-4307-8da5-301068cfc921,Anum_pg_index_indisready,"12
"
302c1d9b-6276-403e-ae4a-e24efe1d03f4,GUC_SUPERUSER_ONLY,"0x0100
"
c1f34733-6d53-47e8-839a-11ee23a3fcad,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
fbe41e0a-b2f3-4849-9366-5094023d4c75,F_INT2UM,"213
"
f6250e97-dc27-4a51-a2df-56a66369f740,F_INT2UP,"1911
"
a4446cea-16a9-4974-a278-976e996b803f,UNIX_EPOCH_JDATE,"2440588
"
db219ce9-a944-4acd-ae3a-bfee80ce45a3,BootstrapTransactionId,((TransactionId)
b09ab2f6-32f5-47b4-b256-2ed7f8ccb620,__SSP_STRONG__,"3
"
09b120d2-b4ef-4de0-9f87-be85ffa3c835,F_BOOLSEND,"2437
"
7c2c09fc-37ec-4ddd-8a9b-d6622ab00438,__attr_access(x),__attribute__
3f2537ac-fc38-4b66-9455-82e78ad060e9,IPV6_2292HOPOPTS,"3
"
ae692ff7-9c04-45be-887b-0a6ed1b9db07,RELKIND_PARTITIONED_INDEX,"'I'
"
6cbe1dd1-2618-40a0-b63b-3fa7078f739d,ag_label_name_graph_index_id(),"ag_relation_id(""ag_label_name_graph_index"","
d4bd2a19-833d-49a5-8d55-576ee734d008,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
9ad74aa1-ad69-44a6-99ec-c687c8298d08,F_PRSD_HEADLINE,"3720
"
f75a378b-de93-46f5-9e5a-b4701b81f788,F_PG_STAT_GET_BGWRITER_REQUESTED_CHECKPOINTS,"2770
"
8db1f7a7-f4ea-4c5d-854a-ba4fdd6340b7,AT_STATX_SYNC_AS_STAT,"0x0000
"
66ee0eee-11d0-450d-b352-53c6653be48f,STATUS_EOF,"(-2)
"
ff907233-aec6-4916-a2d1-a60df2c536c4,F_MACADDR_EQ,"830
"
6c8781a0-30de-4784-9cc4-598661339997,AF_MAX,"PF_MAX
"
0458dc95-0417-4e68-913a-3d075758dfe8,_SC_PII,"_SC_PII
"
2c5a0e6e-1772-4bf4-bdd5-ca914e19e3e3,F_JSONB_INT2,"3450
"
f83b31a6-c414-4011-8c9d-facb5616e981,F_JSONB_INT4,"3451
"
ee16a77c-005c-4316-848e-e10ddaaeab1b,F_JSONB_INT8,"3452
"
2bcb6883-c874-49fe-80d4-c28dcbfc5888,F_ARRAY_LE,"393
"
0c121683-d46e-4b3e-a892-bbd74e0ec695,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
46c90d16-5ff4-4e2b-a251-785f0f57b8ce,F_ARRAY_LT,"391
"
0f6f9c7c-9b66-4f4a-ac59-5a913f3c5e4b,__UINT_LEAST16_MAX__,"0xffff
"
0050b6a9-f3ad-4bcd-a383-27b7b26d328c,IP_ROUTER_ALERT,"5
"
b14af757-98a6-40d4-9d0d-d49a68a125c6,F_NUMERIC_AVG_COMBINE,"3337
"
c1af2751-77e6-4763-ada7-56d66a45beac,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
9cc421c8-f08a-4903-8eef-6880223a7d7b,RE_DUP_MAX,"(0x7fff)
"
aea0f724-40de-493f-9333-27279faebd5d,SVE_SIG_REGS_OFFSET,((sizeof(struct
88fb2fa5-e7e0-47cf-93f2-2974390c7980,F_BOOL_ACCUM,"3496
"
eec58870-8fe0-4955-aaae-d141848a9a3c,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
cb14adcf-21d9-436d-9db6-4faafa736762,sa_sigaction,"__sigaction_handler.sa_sigaction
"
038ed4c4-5b76-4f5e-8be6-5eabf304856e,XLOG_MARK_UNIMPORTANT,"0x02
"
aa1cd7a9-169f-4e4e-963b-5f5c20e97d31,F_MACADDR_GT,"833
"
42c143ee-842a-442d-ae48-088425d6ce9f,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
2cac8f77-dca7-48d0-a264-e11c5ee5ebcf,F_ARRAY_NE,"390
"
c78fc57d-9ed7-432e-b3aa-f11141f71592,__NFDBITS,(8
9987887c-c7e3-4173-9bc0-2e9cb55a628c,F_WIDTH_BUCKET_ARRAY,"3218
"
285f5154-da07-4911-b702-7c7103c1dc7b,si_fd,"_sifields._sigpoll.si_fd
"
c5dde2b0-6105-44a7-8dad-387261eeea11,USE_LLVM,"1
"
e6b3647c-99f6-4326-a4d6-ffe037fab75d,_T_WCHAR_,"
"
e094bf65-3751-4bba-9d1c-b392976f21cd,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
c44fd35c-d274-49ce-a612-5af0cf2556c2,NI_MAXSERV,"32
"
