id,name,value
f321a3a2-028d-40cc-9439-c1bcb3a83756,__S_IFBLK,"0060000
"
8b7136e7-5da1-44f1-9d67-c45cea096d00,DatumGetByteaP(X),((bytea
7f4f150c-7766-4a44-bc2d-4b8c81b2c989,Anum_pg_index_indisready,"12
"
4c0c241b-2373-4c46-86ff-a0fb3266e998,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
f0a73db4-5b17-4945-9acc-e67f9b40fa3e,__DECL_SIMD_erff64,"
"
38786800-65eb-4460-81ae-12d434b6917e,UNIX_EPOCH_JDATE,"2440588
"
027474a4-5b71-4a7b-a086-6af582e81e0c,BootstrapTransactionId,((TransactionId)
01b7d461-3b00-410c-ab29-bbcc176daf42,DATEMULTIRANGEOID,"4535
"
4f8f5cb6-c0d6-4521-976f-09ea5533d114,__SSP_STRONG__,"3
"
96659a01-a4c8-46c5-8b73-1c2f768c3343,__attr_access(x),__attribute__
13728268-f760-40a7-91bc-70fa785a3cf7,IPV6_2292HOPOPTS,"3
"
cdb6b54b-6e06-473f-ba3f-131a469c727e,ALLOCSET_DEFAULT_MAXSIZE,(8
66b1375d-4b6b-46c1-bdd3-ff90efb34b01,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
2e2dcfc8-5eab-440e-a76f-af0f31db6a88,AT_STATX_SYNC_AS_STAT,"0x0000
"
378fa9cb-740c-4967-b975-ffab1c4a087b,STATUS_EOF,"(-2)
"
7976cf7b-3d13-40fe-b480-f68e2d559847,AF_MAX,"PF_MAX
"
263345ad-d4a2-4593-952d-906931cb3af0,_SC_PII,"_SC_PII
"
4b2afde7-f535-49f5-8e07-4949097ad071,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
4cfcd334-477e-4de9-b94c-14cc98778af4,__UINT_LEAST16_MAX__,"0xffff
"
28f2e1a5-8579-47e4-875c-1defb58de87d,IP_ROUTER_ALERT,"5
"
af3c1396-9434-4634-8b1c-e089b98a5ed5,FRAMEOPTION_NONDEFAULT,"0x00001
"
e506b7c7-fbf2-4df2-b4f6-b654a92ba1cf,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
864f4bae-ee02-4031-adf7-fb041940086d,RE_DUP_MAX,"(0x7fff)
"
79832ee6-fe3f-4ed5-8680-ee60677453de,SVE_SIG_REGS_OFFSET,((sizeof(struct
76a3e7da-f3d8-438d-9875-aff7d6d5abea,"isless(x,y)","__builtin_isless(x,"
bdcd9131-fb7f-4ff9-9385-e79134975661,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
7c3ec35b-ae64-4150-8294-8cee58b4bbe9,sa_sigaction,"__sigaction_handler.sa_sigaction
"
69a56177-05d2-4954-81b9-a729fa640e67,XLOG_MARK_UNIMPORTANT,"0x02
"
093002c9-cbf4-4344-b70f-78f5791718d2,ILIST_H,"
"
f4e90b08-51d6-43e9-b4d6-c628ad30c859,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
fd3abc6f-ea5d-469b-9822-edfc236a8eb5,__NFDBITS,(8
416deed1-4d70-4402-8849-8d3c3992a872,si_fd,"_sifields._sigpoll.si_fd
"
8d8ec7ca-2781-4a37-b75d-4000e1ef0f27,USE_LLVM,"1
"
df3e5872-830f-4d51-a3f4-95915143b8cc,_T_WCHAR_,"
"
982317af-5469-4948-8107-528320c22f1d,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
21b28c3e-d794-40ae-bb74-c277e8661130,NI_MAXSERV,"32
"
dbcbd782-bb28-440c-aefe-13f7587f5913,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
79f65fe6-f18c-46a7-8521-6cb88370f582,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
71987d73-c16e-41d7-a40b-99c1ad2095d5,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
e75a2bb0-5600-4645-932e-1681d3f8805f,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
bd74236b-2fa9-401b-bf3e-8b4253ef0243,_PRINTF_NAN_LEN_MAX,"4
"
d41ab970-0de7-468c-b76a-7ba7b4550e52,PG_BINARY_R,"""r""
"
16f31222-f70e-4d28-9cbc-9d61bd4cfb65,PG_BINARY_W,"""w""
"
139b78e1-ccdb-453a-8b1e-aca552ba207e,GUC_SUPERUSER_ONLY,"0x0100
"
3e6eef13-2452-4877-b98d-545f5148a241,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
56adc903-a138-411e-ac7f-64ce0a7efbf0,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
7155c9a3-e26c-406d-af3c-ec7d2a666966,GUC_UNIT_MB,"0x4000
"
e630853f-2871-44ce-950f-c5cdeb6adc45,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
58ef7ae3-1c41-4219-a8c2-625f161827c7,__GNU_LIBRARY__,"6
"
9c2d750d-0400-4e43-8293-3fa439176501,NL_NMAX,"INT_MAX
"
ef1322fa-0d11-4ebc-8859-37d169dc07f1,GUC_UNIT_MS,"0x10000
"
0434811f-cbc8-4c43-a5ab-355506f1da53,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
3d6227c2-5521-4d35-93eb-b82e447984ad,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
847ea5c6-f5f0-44b1-b26d-f5037f3537a0,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
1d740138-988b-4aac-b984-8fe6987e3b32,CONFIGURE_ARGS,""""
a46f9fd1-d6ed-423c-9d83-d6c1d407da91,CLOCK_THREAD_CPUTIME_ID,"3
"
b47143dd-0def-40b8-930a-85c42c768996,HTUP_H,"
"
5e93f995-4cf6-4d10-94f9-1d9ea8be43ee,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
3e2cecc0-1ba6-49bc-b6ae-f176ed43bbd3,PG_RETURN_UINT32(x),return
a7141c4e-70e3-4ceb-80b2-a03b78ee439e,ADJ_OFFSET,"0x0001
"
56c90918-c7d5-44cb-9a73-eb5f18626a21,SOCK_RAW,"SOCK_RAW
"
33503943-d376-4a5f-9d2a-683efe4cf294,EDESTADDRREQ,"89
"
0b399d96-a239-4f59-bde7-13cdcf362d3d,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
2f65912b-1237-46f6-a4df-fff544ef6145,AMFLAG_HAS_TID_RANGE,(1
7f5cc4ae-b926-4a0e-9d25-e485c39ce66e,"__MATH_TG(TG_ARG,FUNC,ARGS)",(sizeof
b3745785-64d4-4f3a-b318-89850f055678,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
