id,name,value
10251203-4050-4de6-9603-89e03b27fd74,__S_IFBLK,"0060000
"
17e58fec-47a4-47f4-adc1-c9736cf4ae85,_XOPEN_XPG3,"1
"
301b53a6-0b38-4998-ab25-136fe824bbd9,DatumGetByteaP(X),((bytea
e2f60492-5b1b-436c-baa3-4c3bd68c3bda,Anum_pg_index_indisready,"12
"
7e89bca7-744e-4fe2-ab65-ba4219380d75,SOL_LLC,"268
"
790f6b33-d8f9-4b9b-82ac-4fb0add94198,REGCOLLATIONOID,"4191
"
8b78d4a0-a48a-45fc-9f99-8131d4955605,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
0ab24a8e-1160-44bf-86fa-206ac588e9a2,BootstrapTransactionId,((TransactionId)
72c1c760-411e-4b8a-8cb9-5863244df482,DATEMULTIRANGEOID,"4535
"
372c9b84-89dd-4bb6-b8b8-6ee57e6ee186,__SSP_STRONG__,"3
"
05e2d9fb-4e89-4f0f-8011-6961e6772acc,__attr_access(x),__attribute__
62765ba1-01d3-4b6c-83c2-e7194ef166c7,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
d7fa949b-e6f4-417d-8cf6-0615505e1b60,__DBL_MIN_EXP__,"(-1021)
"
71f41224-8c56-49a6-93a0-1b80cbe0789a,RELKIND_PARTITIONED_INDEX,"'I'
"
24c60501-b4d5-4a02-9cb8-15327979ed67,EMULTIHOP,"72
"
8f59cb1c-ffef-4f6f-86c4-c717639f1199,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
9b2e32ad-dad2-407c-b45f-642503e7bc54,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
646eadb5-862e-4d9b-a8f4-ddaf1ad712c4,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
90d07a93-4291-4075-a331-54a59d4f280f,AT_STATX_SYNC_AS_STAT,"0x0000
"
c4b76eaf-5f30-49cb-aab6-c517f80f17b9,STATUS_EOF,"(-2)
"
eab36134-8ce5-4fef-994b-b55c4e96947d,MAX_FORKNUM,"INIT_FORKNUM
"
dca08f49-d721-4b03-a22f-b51f9e0be5d2,AF_MAX,"PF_MAX
"
773cadf2-f9d8-43b8-8d77-d30bba2a228f,_SC_PII,"_SC_PII
"
b3522dd5-64c6-406b-852c-cc096573b4ac,__CFLOAT32,_Complex
45090ae2-770f-4215-b274-e5842c71c93f,__UINT_LEAST16_MAX__,"0xffff
"
50a80884-0124-4324-90e7-b90769de7228,BufferIsValid(bufnum),(
1bbe9c1b-4890-42cc-b611-0ad577d4969b,SIGPIPE,"13
"
607ebfb4-d42c-4ec5-b4ee-fa8549298153,IP_ROUTER_ALERT,"5
"
fd8b60e5-027e-48ae-a89b-bc0729211c16,JSONPATHARRAYOID,"4073
"
883f851b-a327-4c89-aed3-a0fb505e278c,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
571de035-c80d-491c-ab36-4a28e43544e9,IPV6_RECVPATHMTU,"60
"
1d3e04af-41f9-4b86-ab04-c70948a84790,__FLT128_MAX_10_EXP__,"4932
"
7ce2729e-ac68-4e64-8217-b97bbb0e223a,OPCLASS_ITEM_STORAGETYPE,"3
"
b448ad51-067c-494b-9fa9-57eb1f178448,RE_DUP_MAX,"(0x7fff)
"
ac62e922-06b5-4673-ac09-06ad5c64df5a,SVE_SIG_REGS_OFFSET,((sizeof(struct
49b9a249-ce82-4e3e-a01f-0a22b5be53a4,PVC_RECURSE_AGGREGATES,"0x0002
"
988a48e1-bc68-4d3c-b699-d6306f1029e4,XACT_FLAGS_ACQUIREDACCESSEXCLUSIVELOCK,(1U
f8105c10-2309-413c-8e56-81656745635c,__SVE_ZREGS_SIZE(vq),"(__SVE_ZREG_OFFSET(vq,"
63e12fe3-a9d0-4453-9a09-1a419f062831,PG_DEPENDENCIESOID,"3402
"
ab9129bc-7457-4d10-977e-cc3838324878,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
5e58beaf-ed94-4852-9e19-48ba068ebd2b,outerPlanState(node),(((PlanState
30e51c40-c72a-44f7-9fcf-e1640162a293,BackendIdForTempRelations(),(ParallelLeaderBackendId
5485e443-031c-4c17-bf9c-a9a3ccf5b4bb,sa_sigaction,"__sigaction_handler.sa_sigaction
"
b446dbd3-00f3-4e00-9e94-8054a1b6d3b3,XLOG_MARK_UNIMPORTANT,"0x02
"
47e16b46-0729-44d9-be03-01366c22168a,__NFDBITS,(8
c0d2fbdf-74fe-46de-933c-6c494fe35432,_PC_MAX_INPUT,"_PC_MAX_INPUT
"
f4068ee2-4425-4c89-84f6-433c41a66627,"__glibc_fortify_n(f,__l,__s,__osz,...)",(__glibc_safe_or_unknown_len
4ca97d38-ecfd-4053-b7b3-c256c579f647,si_fd,"_sifields._sigpoll.si_fd
"
f88e6afa-42e1-4726-a5f4-46651fc81f1f,_GETOPT_CORE_H,"1
"
7b80920e-a4ff-42a1-9a63-91b077888f95,USE_LLVM,"1
"
31b9bf43-1d60-4022-9510-8d3bae32212a,_T_WCHAR_,"
"
d5bd549e-e542-4b03-9e60-42154d94f42e,"HeapTupleHeaderSetTypMod(tup,typmod)",(
4c2d2cae-1aef-47e6-b26f-a9b6b38b590a,RWH_WRITE_LIFE_SHORT,"2
"
493b8d08-dc78-4cd9-9e96-170ad4417811,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
8bdbe2b4-6d8f-48e7-8534-94e58ae92126,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
66f4ce57-2d01-47e1-ac04-9dabf0846a97,NI_MAXSERV,"32
"
57fea284-e3da-49ac-a11f-d115e8479c96,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
e1d7cf60-ebc8-4ff7-b901-4587ab131b52,restrict,"__restrict__
"
bf786aae-b53e-45ad-a2f0-e763c0579ef3,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
77056080-9be6-48a7-85ef-7269e6563a82,__CFLOAT64,_Complex
a51db3dc-24eb-46c2-8722-9a7fe02db8e5,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
4bc2c17b-ee77-4f3c-bb44-e8a4f4fafd91,ClassTblspcRelfilenodeIndexId,"3455
"
18bb1349-7de6-4ae4-8880-df90a9528be5,OIDVECTORARRAYOID,"1013
"
17b25df2-8066-48cb-8738-7f806d54e594,si_arch,"_sifields._sigsys._arch
"
b78635e2-020a-4ad3-94fa-d1142a0a1da3,__S64_TYPE,long
865c9c30-3583-408e-bb6d-be5cb8a6f3b2,_PRINTF_NAN_LEN_MAX,"4
"
b2c5d817-98d0-400f-af28-4d594f4e5130,PG_BINARY_R,"""r""
"
9fc3a47a-5940-409b-bb92-ae68c14be275,__FLT_MAX_EXP__,"128
"
1778e284-e26e-422a-a72c-e00f25450830,PG_BINARY_W,"""w""
"
9421fee7-6f1d-4576-b2fa-0f50f799ae01,GUC_SUPERUSER_ONLY,"0x0100
"
59efe7e4-e725-4968-a546-ec7ef9f177f7,SizeOfPageHeaderData,"(offsetof(PageHeaderData,"
1d6e7d93-bd1c-4599-8248-8e2bacf5f415,__SQUAD_TYPE,long
860f108f-064d-4446-87df-3ca8ccf5ffad,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
e14696b6-b501-4167-85a8-5f60fa0f216f,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
72e2b8ff-61ed-4e1e-8829-bd96c9a2053b,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
73c56725-a054-4a8b-b46e-3e2147473c91,GUC_UNIT_MB,"0x4000
"
b5014d1c-e56a-470e-bcd6-1e474cd53871,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
173d1be3-407a-4ac4-ac2f-1613a36683bb,_BSD_SIZE_T_DEFINED_,"
"
4ec9f364-0eb5-452f-ab17-2dede6e418f3,NL_NMAX,"INT_MAX
"
88fccc47-34fc-4ca5-9372-aae24372fa89,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
78d92ebb-f249-4a4c-a435-e928f040495f,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
395f5045-469a-49f1-9617-1e41104270fb,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
85226c56-e80c-4b2b-a86d-26cfd43b5b05,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
cbb714b8-a436-4d38-8e93-03227659e369,RelationGetNumberOfBlocks(reln),"RelationGetNumberOfBlocksInFork(reln,"
913dadba-135e-4af6-be1e-66b1719ff86e,CONFIGURE_ARGS,""""
0804b684-002b-48a1-a3dd-2cd282a99702,__CHAR_BIT__,"8
"
17d9015e-e270-4479-808c-a370753abfc6,SO_DOMAIN,"39
"
c2c1fa30-3246-4b6e-8993-1a039d9237a6,SIGRTMIN,(__libc_current_sigrtmin
efaefda5-5454-43be-bb2a-aab90a7aa413,HTUP_H,"
"
a0591798-b4cb-4ca3-87ee-8909a532b3d8,USE_OPENSSL,"1
"
21d4f3be-f4cd-4362-b57c-db9e1b7b9334,_SC_SIGSTKSZ,"_SC_SIGSTKSZ
"
2b27c388-171e-4af3-b141-4d2e5ac1944b,"heap_getattr(tup,attnum,tupleDesc,isnull)",(
eba39271-d51a-4ba2-8289-caba0d0377a6,SHORTALIGN(LEN),"TYPEALIGN(ALIGNOF_SHORT,"
dcde1365-e5a2-4dfe-8341-d8c955832fdd,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
d14fd5fd-f4ab-4416-b28e-d42b73ef0787,ARR_HASNULL(a),((a)->dataoffset
2e76da14-8126-400c-bc32-d2fcd8c5b4b4,EREMCHG,"78
"
78d6a3e5-31d6-47b2-9142-8520ea0085dd,VARATT_IS_EXPANDED_HEADER(PTR),(((varattrib_4b
3b89b185-1f02-4b61-b694-9df95945e318,PG_VERSION_STR,"""PostgreSQL"
7e25fdd3-72d0-4171-ba3f-61579ae967e9,pairingheap_reset(h),((h)->ph_root
776e0ea4-ed3a-4781-a004-151719dd56b9,SIGTTIN,"21
"
c7cd0085-f0cb-4108-8555-54c566b83d7f,EACCES,"13
"
1aba5cf3-1a54-4cb2-a0ae-ff45032e495b,_SC_WORD_BIT,"_SC_WORD_BIT
"
9a58dcf7-1cf7-473c-bd39-53c02bd947c7,SOCK_RAW,"SOCK_RAW
"
c6946e5a-fabb-40b1-bff7-38441c7e5d0e,"ExecARDeleteTriggers_compat(a,b,c,d,e,f)","ExecARDeleteTriggers(a,"
35eb3aac-77f7-418f-b10b-367e92b4b3b3,"__isupper_l(c,l)","__isctype_l((c),"
b36b29de-9e38-465d-9d8f-96fe072d83ae,EDESTADDRREQ,"89
"
7295a2a4-fd77-4ca1-aba2-c8ef63a11119,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
df2f94ed-b86c-4414-aee4-1ff4a8cbc8e2,AMFLAG_HAS_TID_RANGE,(1
806bfdc7-5620-422c-ba46-21ac014d701b,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
d99a69a9-598d-473e-a545-acdd58ba688a,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
c20ec147-1d32-4153-b2ea-a1503ba1a938,_SC_FD_MGMT,"_SC_FD_MGMT
"
3a584859-df96-4b3e-b7a8-3594a5b97156,FIELDNO_NULLABLE_DATUM_DATUM,"0
"
a9654678-53f3-45ad-ad37-8b584b4df70d,pg_attribute_cold,"__attribute__((cold))
"
d8374fa7-bebc-4b94-ab7d-0b5b7b4c145f,si_pid,"_sifields._kill.si_pid
"
a81c3b2e-538b-495c-9ae4-41c36cc043a3,ERRCODE_DATA_EXCEPTION,"MAKE_SQLSTATE('2','2','0','0','0')
"
9afb1531-ca69-4475-a466-70ac20ae5600,PG_DIAG_STATEMENT_POSITION,"'P'
"
a35d2c5a-99f3-4d68-a6a3-2f65f84190eb,INT8RANGEOID,"3926
"
4ed37c7d-d940-435f-9ed4-82020a7f3e86,PIPE_BUF,"4096
"
7c6f95ad-bd34-4d85-97d0-efafc83e9ce7,PG_MINORVERSION_NUM,"5
"
678639f6-25fd-43e6-855f-2a3733556bcd,IP_TTL,"2
"
1da3f849-fe45-40cb-91a1-adb95d381341,DEFAULT_TABLE_ACCESS_METHOD,"""heap""
"
a6d62cc7-7aed-4be8-bcae-d22ab43e66aa,DatumGetArrayTypeP(X),((ArrayType
3a8068c6-53a7-4767-8694-5445bb940d8d,UInt64GetDatum(X),((Datum)
5e6905b7-a822-415e-87be-15af96f2ef4a,stderr,"stderr
"
9a5ce496-b221-41cb-a62f-1ba5264b3ddf,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
55b689cc-0c8f-43a6-9aa1-d30ad44cd1b8,RECORDARRAYOID,"2287
"
5a83949d-dc4f-4b68-a0bf-66a8a0c08af7,__USE_XOPEN2KXSI,"1
"
3dcb2bd4-b579-4896-bea2-36e96dbc7d2b,_CS_POSIX_V7_LP64_OFF64_LINTFLAGS,"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS
"
6226f1fe-8c8e-40e3-8950-be43c9b53693,CASHOID,"MONEYOID
"
f8b36c7c-7c3c-40c6-9225-ebe3081a99d8,RWH_WRITE_LIFE_EXTREME,"5
"
b606453d-357c-4d23-9c60-cc107aedf3c6,BKPBLOCK_HAS_DATA,"0x20
"
f7c3245b-4477-4494-bc9c-736a122ca9ee,PRIiLEAST8,"""i""
"
2ef838bd-c8ff-4ef1-9e85-2f2b99d781f5,SOCK_RDM,"SOCK_RDM
"
35c5da2c-8bf6-49f3-89f1-48f40fc0a4b9,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
016ac748-0eca-48ea-8fec-2b9f30036fcd,_SC_V7_ILP32_OFF32,"_SC_V7_ILP32_OFF32
"
383aab77-36b9-4043-9cdd-01a9b400b5af,Int8GetDatum(X),((Datum)
e648d163-97bf-473e-b83f-1e52c6dc6a4a,P_LEFTMOST(opaque),((opaque)->btpo_prev
642a9cb1-bd46-4396-8b2e-45946bc18d87,DT_LNK,"DT_LNK
"
ffab9e45-fed1-473e-96f6-65800e84738c,ERRCODE_TRANSACTION_ROLLBACK,"MAKE_SQLSTATE('4','0','0','0','0')
"
7854fa53-7deb-4628-893b-3b4fff4d1e98,OPCLASS_ITEM_OPERATOR,"1
"
e1dd9dda-3562-4ae4-b9f1-735921c382d0,PF_DECnet,"12
"
7381d5f8-d584-4e00-a22f-7ca7f84730d8,IPV6_CHECKSUM,"7
"
5754cf8f-bbc4-4946-9335-63d76e80a813,EMLINK,"31
"
d12e03c0-af28-4462-8f77-c1508dc78563,__ORDER_LITTLE_ENDIAN__,"1234
"
b0f47953-adbf-4488-94d0-6ac15e312fe1,UINT_FAST16_WIDTH,"__WORDSIZE
"
1bab1caf-d285-4822-b388-f95679af1f87,IP_MAX_MEMBERSHIPS,"20
"
d133f12a-c39b-4a45-8c0b-eab46f803ec7,HAVE_STRUCT_ADDRINFO,"1
"
65e66541-8d88-4c07-b84c-9ca88807f106,BITMAPLEN(NATTS),(((int)(NATTS)
d105407f-52cb-40a2-9bc8-030e009ea15e,PG_MCV_LISTOID,"5017
"
66cfbe22-5bf9-4342-b902-35290b9a6932,"__ispunct_l(c,l)","__isctype_l((c),"
76856a77-8814-47c1-8597-7782d070730f,"PG_GETARG_BYTEA_P_SLICE(n,a,b)","DatumGetByteaPSlice(PG_GETARG_DATUM(n),a,b)
"
5fc092c3-d6f0-47b1-83d0-7874fe51484c,GUC_CUSTOM_PLACEHOLDER,"0x0080
"
ee3a7899-e393-478b-9846-f87702d853f2,"pairingheap_container(type,membername,ptr)","(AssertVariableIsOfTypeMacro(ptr,"
8f1460ac-27ef-4436-ad26-121b40006794,OLD_SNAPSHOT_TIME_MAP_ENTRIES,(old_snapshot_threshold
22a662bb-f396-4dd5-84ec-8d092b305f60,MaxAttrSize,(10
77c4af25-07ee-4788-922a-080767900a04,"foreach_ptr(var,l)",for
f8d8880d-dfb7-42d7-ad71-be0d9017ba23,PRIXFAST32,__PRIPTR_PREFIX
6a35e3fb-7f40-44f0-b24d-6d41cb889197,"pg_attribute_printf(f,a)","__attribute__((format(PG_PRINTF_ATTRIBUTE,"
8aa5e68a-a55d-428e-b4ac-c9bbfd9c3562,ERRCODE_UNDEFINED_COLUMN,"MAKE_SQLSTATE('4','2','7','0','3')
"
b055f35a-cbf8-45aa-9d8c-d3283f40ce51,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
