id,name,value
d935100a-b4a9-4be1-8642-751f4a316cc7,__S_IFBLK,"0060000
"
edaa9266-0fe6-47f4-9082-7f2fcffd9289,_XOPEN_XPG3,"1
"
af727d5f-1aa7-4840-9a42-65eafea11d90,DatumGetByteaP(X),((bytea
d8a14d2a-84f7-46af-b26b-734e41166f45,Anum_pg_index_indisready,"12
"
bdebd445-1aa2-452d-911d-83d8cca551bf,SOL_LLC,"268
"
c6170950-8569-4dd7-8cbd-b9027f4e20b5,REGCOLLATIONOID,"4191
"
58276c23-8f92-4d43-aec6-756aafa393a7,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
070fd52c-eed6-4743-9159-30951c1a55a3,BootstrapTransactionId,((TransactionId)
8c92f09f-a2f1-43fa-a5f2-c6f163267dd2,DATEMULTIRANGEOID,"4535
"
c4a6aa50-c580-404e-bbc0-70bee877fcbe,__SSP_STRONG__,"3
"
53afa1ce-8ee1-4e71-afc3-7f4f97fe7715,__attr_access(x),__attribute__
b00daf2c-b274-463b-86ff-780f09bd19d8,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
40954e7d-a8eb-4112-bdab-751bcdbb01d6,__DBL_MIN_EXP__,"(-1021)
"
ebb638d4-f9c8-4e64-96b9-a22cfaba5b84,RELKIND_PARTITIONED_INDEX,"'I'
"
2a589d69-b23a-4c20-8f9e-807b9ad82c45,EMULTIHOP,"72
"
10611886-1042-449e-9cab-b283bdbcffb7,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
6cdd7336-0e8a-4e45-b469-4fb01f632278,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
e400709f-769a-49f9-8516-a8fd7eddbb5b,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
7c75b69d-0d96-49d7-a906-3292eca550b6,AT_STATX_SYNC_AS_STAT,"0x0000
"
3e2a61a5-6792-434c-9aa3-272f8689c368,STATUS_EOF,"(-2)
"
1e41a890-1b78-454d-8744-048e50f0958b,MAX_FORKNUM,"INIT_FORKNUM
"
070d868e-d4b9-4c1e-a901-d03cb21b56cf,AF_MAX,"PF_MAX
"
04ff61ea-db0c-411c-9b2d-fa5405c68a32,_SC_PII,"_SC_PII
"
24e295a2-1d0f-45b7-960b-2e38c06188ca,__CFLOAT32,_Complex
2f66e230-d784-46d3-9010-55fc51af99f7,__UINT_LEAST16_MAX__,"0xffff
"
4db1bf1d-b9f8-4d87-92cf-c7fcd6fa553c,BufferIsValid(bufnum),(
f7a8f41e-f042-443c-89df-67e8669b6b57,SIGPIPE,"13
"
