id,name,value
f49d8529-11fa-4960-99b7-2ef6d5d328db,ESBADFMT,(
05b7a67d-1baf-4d61-95bb-ce8cfc2f4581,__SSP_STRONG__,"3
"
6398ad69-5a79-4c8b-8877-92abdb55080f,__attr_access(x),__attribute__
ba75267e-3777-4103-9a71-1a1bb094be1e,__DBL_MIN_EXP__,"(-1021)
"
73cb5ef0-0af1-4a4a-a7f1-5e329920f5f9,__SAFE_MEM_LIB_H__,"
"
691c7823-ae01-40de-9fcd-b14768ca945d,__LDBL_MANT_DIG__,"113
"
2ebed14a-f755-4cf0-a9b9-73b898070a79,__UINT_LEAST16_MAX__,"0xffff
"
20f4bd02-94ab-4f66-bff5-91f87290156d,_STDBOOL_H,"
"
c2cb8869-f884-4813-8eea-fbb3c21916fd,__ARM_SIZEOF_WCHAR_T,"4
"
8d9c17d1-4dbe-48d7-84a8-ce784568c378,__DBL_DECIMAL_DIG__,"17
"
74382edf-c762-4f97-b0e3-71b0d6743063,__ATOMIC_ACQUIRE,"2
"
a9f03762-b018-4950-9802-a729c9b3b84e,__FLT128_MAX_10_EXP__,"4932
"
107496f3-1597-4b92-8443-5af8f0e4113d,__off64_t_defined,"
"
a0f538f5-d8b4-43ce-9568-c832d39ddf3f,PRIXFAST64,__PRI64_PREFIX
ebf3c310-d573-4211-b1b7-3e861d331d18,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
a7bb4531-5601-4275-9d90-747d8de623a5,__GCC_IEC_559_COMPLEX,"2
"
10708947-8d5d-4575-80c0-e10da6c80d2f,SCNiFAST8,"""hhi""
"
ee8d4290-7d2b-45f1-88d3-0c70a77d4adf,__NFDBITS,(8
3878c8c3-72ce-416c-8af1-1ee056dccf6b,__GLIBC_USE(F),__GLIBC_USE_
1f740a6b-d525-4798-8771-dd8b3ff980c6,__UINT_LEAST8_TYPE__,unsigned
79ae9212-cf44-4bb8-8517-b8d5362f342d,_T_WCHAR_,"
"
e8692b52-8857-4964-8fbc-1cb4223fbd5e,EUNATCH,"49
"
6533d25f-af34-49f2-bb51-d7e17a2faa0e,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
5cd795ae-4bcc-4bd7-838c-3baf823f5fcb,SCNuMAX,__PRI64_PREFIX
400a61ec-1733-4858-9806-db9055ed5633,INT_LEAST16_MIN,"(-32767-1)
"
18c8dd17-8b66-4e72-ab2b-e3de9bdbd8f6,__CFLOAT64,_Complex
e1f7a379-2e7e-41a3-b32d-472c111fde83,ENOCSI,"50
"
657f263e-d422-47dd-a8bf-51fa932d0211,__stub___compat_get_kernel_syms,"
"
70f5853b-7833-4b46-a439-520b8a52973d,__S64_TYPE,long
2d04bc70-2c1e-4fad-b4f5-809cdaeb7719,_PRINTF_NAN_LEN_MAX,"4
"
d9a827c9-cc2d-4a58-a1e4-90320ede6a3e,__FLT128_DIG__,"33
"
212b131d-3611-4ba7-b36a-abf951a7c5b4,__stub_fchflags,"
"
4685a277-7507-4b0d-a343-5da08ccaaba4,__SQUAD_TYPE,long
fb6020ed-afdb-486b-8996-d8a969d405ec,__INTMAX_C(c),c
813c5c0d-2b29-49b9-b032-011e8cdac4b2,_BITS_FLOATN_COMMON_H,"
"
36979d18-813e-4053-9a9d-851c2da5f17b,__GNU_LIBRARY__,"6
"
e6a5aac0-c535-4294-a9f2-4eccacdcb1fb,__CHAR_BIT__,"8
"
175d05e4-2e1d-467a-901c-d1afc1d0d319,__FSWORD_T_TYPE,"__SWORD_TYPE
"
8fcedfdd-9de9-477d-a86c-03cd90329b5e,EAFNOSUPPORT,"97
"
6c7d906a-0b29-4342-8c97-de50954793bd,EREMCHG,"78
"
1e5b12f1-d6f6-4332-9468-800d3cac8af7,__attribute_pure__,__attribute__
5dc967d7-9215-47a0-a6b3-01301cfbc028,EACCES,"13
"
fb872ca7-5158-4fa2-a3b1-380788d219a8,__UINT8_MAX__,"0xff
"
f0cf3920-e9b0-4f3a-a6ab-368e92e84e2d,WCHAR_MAX,"__WCHAR_MAX
"
7aaa2db4-46e9-445c-8ce4-ccd3d6dd2b4e,EDESTADDRREQ,"89
"
1c9553e6-89cb-4bb6-861c-04fdd5f9aa5b,__feof_unlocked_body(_fp),(((_fp)->_flags
15d61f08-9b85-4643-8750-6ebd7314ec2a,__sigset_t_defined,"1
"
b828fb88-1b3a-4437-b956-16c0bd4f7026,__SIZEOF_PTHREAD_ATTR_T,"64
"
4c3aeadf-b998-4440-91e5-442e80dc08bb,INT8_MAX,"(127)
"
ecc6c324-e866-4731-a881-1dcb8e74f7a1,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
4f9a58f7-8b0c-41d0-bdd1-418ea2001381,__HAVE_FLOAT16,"0
"
73e34473-6818-4060-aa05-5896b563a310,stderr,"stderr
"
