id,name,value
3659d4b6-dbf1-4bb4-8302-54fd53477f4e,ESBADFMT,(
b421596a-999d-4c16-a81d-b047dd90b0ba,__SSP_STRONG__,"3
"
18dafca9-50b0-4371-96b1-6efee4b62dec,__attr_access(x),__attribute__
3d095957-d314-4f7f-a0b4-1b164cef7c61,__DBL_MIN_EXP__,"(-1021)
"
3426a0af-22fd-43fd-b2e2-c259b3a93782,__SAFE_MEM_LIB_H__,"
"
b5fcf8f3-0c14-4eb2-b2ee-0a80d037f4aa,__LDBL_MANT_DIG__,"113
"
c8a4fc38-1041-4385-a10a-1375070bd598,__UINT_LEAST16_MAX__,"0xffff
"
44d8c173-9647-47c3-bac5-c95c2ae1a41c,_STDBOOL_H,"
"
af0fc24c-7ab0-4913-9cf2-802d381c4c97,__ARM_SIZEOF_WCHAR_T,"4
"
f2ed6c69-a0c6-492d-bf4b-c9d3f450d141,__DBL_DECIMAL_DIG__,"17
"
73ece98a-06d7-45b1-833d-701da6c6c555,__ATOMIC_ACQUIRE,"2
"
60bec390-a59e-4b79-abd2-c5fa6bef40f6,__FLT128_MAX_10_EXP__,"4932
"
09c3c72c-69b1-49a1-a6bf-8df07a97e0d7,__off64_t_defined,"
"
7738d3a8-ffb5-47d8-b2d3-695b37dd3dfb,PRIXFAST64,__PRI64_PREFIX
4a756762-f0ca-4a1e-87c0-3fa331cd05a0,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
8bd21909-74b9-4890-8759-f9937e3e2e1f,__GCC_IEC_559_COMPLEX,"2
"
7defdb0c-733b-4b7e-9778-a92e23d45abd,SCNiFAST8,"""hhi""
"
03d059e1-dc84-4a53-9ba5-d18e9cbf9289,__NFDBITS,(8
ef4aaace-3a42-4771-a7ca-ce5aab527dca,__GLIBC_USE(F),__GLIBC_USE_
9be2e45a-9267-4ce7-93ab-a4c457b6fe02,__UINT_LEAST8_TYPE__,unsigned
c83d7918-d920-48a3-8e31-f224867059a3,_T_WCHAR_,"
"
bb8e07c8-becd-484f-9820-d6c5f84bca40,EUNATCH,"49
"
d78895e3-e554-4dbe-a5c1-530282636138,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
2c9f449b-d237-4a24-b8a3-2052b9ae319b,SCNuMAX,__PRI64_PREFIX
51028554-4f79-44f3-b764-f81fe6cbff21,INT_LEAST16_MIN,"(-32767-1)
"
082b9785-3236-4dab-a2ef-2c8ae3ae6cb4,__CFLOAT64,_Complex
38b6ecf4-1bb2-4f26-af25-3c2c76de8a37,ENOCSI,"50
"
037fa723-6919-447b-a80f-1c30e7cfdee7,__stub___compat_get_kernel_syms,"
"
e69b91af-74dd-4103-bd0a-0e27741c6bed,__S64_TYPE,long
75a0b22a-a397-4c92-b01e-391b36575194,_PRINTF_NAN_LEN_MAX,"4
"
7b33ede4-ac20-4096-b91c-cf0e36eb1e92,__FLT128_DIG__,"33
"
fbb08ade-692f-4217-9cc9-0b414014cf7d,__stub_fchflags,"
"
c58e2c2b-97dc-496b-9fd5-7d12a2454f5a,__SQUAD_TYPE,long
