id,name,value
71b4ce23-3a20-43f2-a5b3-ed3c384e818b,ESBADFMT,(
80872652-40b4-4d97-b59c-998be0880216,__SSP_STRONG__,"3
"
795ef751-2467-45c6-81eb-c7f54e20ef0e,__attr_access(x),__attribute__
41748b68-a835-46e6-b7dd-bec05903e0f3,__DBL_MIN_EXP__,"(-1021)
"
30ec6757-1943-4185-b1b2-317516954329,__SAFE_MEM_LIB_H__,"
"
1800cccb-50ac-4414-9581-5a37e41fa61c,__LDBL_MANT_DIG__,"113
"
44f5f040-88e0-4723-9a2e-cee0a14b894f,__UINT_LEAST16_MAX__,"0xffff
"
ecbafa47-8963-4a63-8fd4-2862bb4ede61,_STDBOOL_H,"
"
0614a47f-4b6e-4ce7-8d97-e96c92c1cf60,__ARM_SIZEOF_WCHAR_T,"4
"
a5573ccc-7a27-4e86-b18e-1f3a28cca4cc,__DBL_DECIMAL_DIG__,"17
"
8ddc6aed-8cd9-4f85-a157-4f4e250b72a1,__ATOMIC_ACQUIRE,"2
"
1af48fb5-ea55-4e50-8014-1650846277ad,__FLT128_MAX_10_EXP__,"4932
"
bd222436-3c59-4c17-b315-94658f42c6f1,__off64_t_defined,"
"
b7807028-82d4-46ca-84e5-154a07d9c3f9,PRIXFAST64,__PRI64_PREFIX
a07fad42-9a46-449e-9909-f2829e4ae60e,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
6bdee64b-b114-44ec-b72d-c6c4a111b15e,__GCC_IEC_559_COMPLEX,"2
"
ebd99d5d-3c50-4736-97b4-8fa9ab665937,SCNiFAST8,"""hhi""
"
27d03d8a-6def-4049-8909-9c7fa42c901c,__NFDBITS,(8
20526612-d010-43c5-8ee5-0eedd173f3d1,__GLIBC_USE(F),__GLIBC_USE_
d34720e5-5447-4a5d-aa37-7d9a54f15ed0,__UINT_LEAST8_TYPE__,unsigned
937e3c99-af86-4770-94ec-9a1efff5ad9a,_T_WCHAR_,"
"
ff3f55b0-bc20-4535-a210-b25aacd9567f,EUNATCH,"49
"
f02ae230-a70a-4a17-9f3a-2c22ce08c105,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
fb590f9a-e200-4c23-b257-6734432ab497,SCNuMAX,__PRI64_PREFIX
f0ff2e40-0b7b-4d4e-b4ae-8d79aef31173,INT_LEAST16_MIN,"(-32767-1)
"
183f20b8-4db3-43d9-afd4-22a4bf5d02a2,__CFLOAT64,_Complex
51d35a3a-28b2-4723-8ff1-cc9a15ebef02,ENOCSI,"50
"
f14b5705-82ce-4c41-a487-e1323994277d,__stub___compat_get_kernel_syms,"
"
50d1b9fe-139d-44da-9025-0c342f12d2a8,__S64_TYPE,long
2cf9af99-2eec-49cc-b222-eeffc3113dbe,_PRINTF_NAN_LEN_MAX,"4
"
f20132a2-6a49-4f34-9d29-38a6e187628d,__FLT128_DIG__,"33
"
61601791-7b1b-4b90-8419-7e3ced93e9cc,__stub_fchflags,"
"
e81b2b35-5fb2-4da2-8e3f-c03b1fe6d18a,__SQUAD_TYPE,long
b18653fb-7b41-4c37-9da0-876cabff6d37,__INTMAX_C(c),c
fe06b7d6-41ec-4aa6-bd73-d9bb96061e77,_BITS_FLOATN_COMMON_H,"
"
d595a576-b802-4c3a-9627-13fcc2e25692,__GNU_LIBRARY__,"6
"
73a1ca37-6ad7-40a3-b7c2-0957220b5659,__CHAR_BIT__,"8
"
bbc5e637-10c6-4bb5-bf49-a6d77e94bf0b,__FSWORD_T_TYPE,"__SWORD_TYPE
"
521dbb35-ae5e-4e7a-b272-14f5c5c791f3,EAFNOSUPPORT,"97
"
5f0084f2-0100-404b-b38e-6bbc8ab3955b,EREMCHG,"78
"
2b4df794-a4a3-4cbf-88d7-21357dfe49fc,__attribute_pure__,__attribute__
28a6f214-bf7b-473c-a725-fbed866bb7af,EACCES,"13
"
94817cf8-cafa-4640-9dd6-191db0d2e146,__UINT8_MAX__,"0xff
"
ecc5a71d-d268-4e16-8792-82d17d92ce18,WCHAR_MAX,"__WCHAR_MAX
"
e5eb172a-01a4-4b29-a389-58561b6bbaba,EDESTADDRREQ,"89
"
c7346a25-bfc9-4b24-97c4-b6181e325908,__feof_unlocked_body(_fp),(((_fp)->_flags
9021b28a-8e98-45f9-983b-0073a9a73b09,__sigset_t_defined,"1
"
