id,name,value
8e13902f-a838-469b-8d32-67103715d3d8,ESBADFMT,(
c5b1da3d-ef83-425e-a6c0-3b0fc1958d58,__SSP_STRONG__,"3
"
a940361d-3889-4555-b056-e5b28d47763a,__attr_access(x),__attribute__
0a0b5e02-4c1f-432f-8483-4cb67a8802a3,__DBL_MIN_EXP__,"(-1021)
"
b0cf9f1a-a6ea-458e-bb27-dcfe25231193,__SAFE_MEM_LIB_H__,"
"
867bd5e1-de64-4f72-b4ea-06d4c412a280,__LDBL_MANT_DIG__,"113
"
d43e345b-6271-49ff-8c67-9b69798c318c,__UINT_LEAST16_MAX__,"0xffff
"
adb02f99-5fa8-4e71-b022-9ddb3104b03b,_STDBOOL_H,"
"
9c1f657f-7cff-41ac-ac22-c6c350e83062,__ARM_SIZEOF_WCHAR_T,"4
"
5f4f0b48-a1d1-49e2-b3b4-111c63e5094b,__DBL_DECIMAL_DIG__,"17
"
e47e4593-bbaf-4a9f-9b81-67898852fdce,__ATOMIC_ACQUIRE,"2
"
da524089-8c17-42db-88f6-2100659ee6c9,__FLT128_MAX_10_EXP__,"4932
"
ae492fab-5116-486d-8c0d-33589ec5066e,__off64_t_defined,"
"
a31dae95-ef26-41fa-a96b-41bf4bc359a2,PRIXFAST64,__PRI64_PREFIX
19043e55-7d85-4db7-8c16-c11f5eb45eac,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
4fd35a51-37a0-4cae-b9fe-94f9a1fe4507,__GCC_IEC_559_COMPLEX,"2
"
9f2257e9-df08-4fa7-bb69-66171537754e,SCNiFAST8,"""hhi""
"
b5dec448-a854-4a94-99a8-3e72712ba195,__NFDBITS,(8
094e5a4c-57f1-4c9d-a0f2-33598de7862d,__GLIBC_USE(F),__GLIBC_USE_
e59764d7-2fcf-4ef4-aa06-606b1784651c,__UINT_LEAST8_TYPE__,unsigned
15fbc3e1-3832-46d2-bb49-b33a94d323c6,_T_WCHAR_,"
"
cdc0e7a1-b7c1-4d28-b9df-941fa94c00e0,EUNATCH,"49
"
220b3ecb-3e65-4d09-ae8a-9a499d3e64b1,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
dad5a76e-c8fb-4ac5-9186-a1ddb47a3e05,SCNuMAX,__PRI64_PREFIX
9b60786e-6936-46a1-9ffe-0498dcce3bf8,INT_LEAST16_MIN,"(-32767-1)
"
71665573-e8b3-4fda-b53a-710c438d16b7,__CFLOAT64,_Complex
