id,name,value
941f67c2-b53f-407c-8381-ce36f377732d,ESBADFMT,(
db835ac2-31ef-49e0-a338-0044e73fea6c,__SSP_STRONG__,"3
"
b60164f3-3834-4d36-a81b-7f5e10647ea4,__attr_access(x),__attribute__
9e7f8717-75f0-4288-82d3-8b71b4eab08c,__DBL_MIN_EXP__,"(-1021)
"
4bea2bcb-6502-435f-a7aa-0ee11809e296,__SAFE_MEM_LIB_H__,"
"
175cd2b3-1608-4128-87dd-c36a99a797d4,__LDBL_MANT_DIG__,"113
"
1f2a533c-ea3e-4cc9-b999-df58d108a343,__UINT_LEAST16_MAX__,"0xffff
"
a51345f6-5e87-4f6b-abbb-12e5b8b8a58b,_STDBOOL_H,"
"
276e3dce-a9ae-476f-a7fc-39934139a0b9,__ARM_SIZEOF_WCHAR_T,"4
"
1bef4e90-5886-4c2e-8559-ef01f5c945c4,__DBL_DECIMAL_DIG__,"17
"
ac993cfc-a167-45a8-a048-69a4597e3c80,__ATOMIC_ACQUIRE,"2
"
fbfda5a3-dd53-4dd1-a2fa-5dd42b001acc,__FLT128_MAX_10_EXP__,"4932
"
e74b6aeb-08a3-454a-a302-e0bff1c1cdd2,__off64_t_defined,"
"
5c5a311b-56d8-425d-823d-fa5d48f71c84,PRIXFAST64,__PRI64_PREFIX
e6fdfa90-2dea-4f97-bd0a-3736a3c60267,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
30246d2b-53e9-4c22-ae33-c936d6ab4e08,__GCC_IEC_559_COMPLEX,"2
"
2bfef747-6bf3-46b7-bc58-3edc777c5df1,SCNiFAST8,"""hhi""
"
3ad083d6-ec5e-42b5-97e5-84942cc671dc,__NFDBITS,(8
b9eb86ff-5d02-4090-9e1d-c41bdb69c458,__GLIBC_USE(F),__GLIBC_USE_
85e2c22a-5e8e-4e35-8b0b-91162fb79e2c,__UINT_LEAST8_TYPE__,unsigned
25c7b519-3faa-4bd5-b480-9d3f676c8112,_T_WCHAR_,"
"
3005b240-99e6-4b00-a3c3-e4f5ba3bf781,EUNATCH,"49
"
16094904-11be-4774-9afd-bfb2ce071007,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
4ed5c583-f956-4a4c-848f-f029ad0465ec,SCNuMAX,__PRI64_PREFIX
57fb1afd-f23b-453a-9ce7-eb91a575c4b8,INT_LEAST16_MIN,"(-32767-1)
"
1ba33574-1a33-46a1-b288-997390bf8be9,__CFLOAT64,_Complex
66dad058-b96d-445c-bd93-03d92069cc20,ENOCSI,"50
"
e446a448-52f7-4c9e-b34d-5c6f34446dc6,__stub___compat_get_kernel_syms,"
"
83a8ae81-d662-4ca4-815e-7ef745a578db,__S64_TYPE,long
b5db8839-7a75-4989-875e-a268381c9cf7,_PRINTF_NAN_LEN_MAX,"4
"
54cef6b6-063b-4983-bf65-54225a856235,__FLT128_DIG__,"33
"
db83fc8b-4f99-4bce-9087-7ad2d7a66ca7,__stub_fchflags,"
"
ae871046-aada-49f8-8f3d-17459924c9bd,__SQUAD_TYPE,long
fc86a012-7d26-498e-b77c-260f23303bc3,__INTMAX_C(c),c
ef682356-8c9f-4ad4-9b5a-df4fc3a9e10d,_BITS_FLOATN_COMMON_H,"
"
5e53212c-3fed-4e4c-a8db-b76cfe062f9b,__GNU_LIBRARY__,"6
"
74fb57b4-6354-481b-9e58-789b8bddef46,__CHAR_BIT__,"8
"
8edeeb35-389b-4192-bf84-dbbe41a9adf4,__FSWORD_T_TYPE,"__SWORD_TYPE
"
d0b91e0d-24ac-4c80-8c82-41b0af1784a5,EAFNOSUPPORT,"97
"
5dbb22ee-de36-47c2-8d46-9a1dad049040,EREMCHG,"78
"
1545a1e7-20a7-4472-9a00-7b2528e74d43,__attribute_pure__,__attribute__
66e75d0b-5394-4ca9-9d14-6c8a6b43342e,EACCES,"13
"
9dd41ae2-367f-45f5-bd52-9f1ef3f8c017,__UINT8_MAX__,"0xff
"
f00da53d-d0da-43e1-85e8-4603b38cb55d,WCHAR_MAX,"__WCHAR_MAX
"
0b681096-c365-4bd2-92a6-1ff44ca88904,EDESTADDRREQ,"89
"
903988ab-ccf8-4f89-96f2-7a31a84fefa6,__feof_unlocked_body(_fp),(((_fp)->_flags
fdafa708-7d30-4850-9160-4fb00c0b33e3,__sigset_t_defined,"1
"
5b87ab0a-f828-4d81-abdb-4da66ef14bba,__SIZEOF_PTHREAD_ATTR_T,"64
"
7900e5f5-0b1b-43a7-a584-0a8b05ced06e,INT8_MAX,"(127)
"
48ed1af8-7027-4806-a987-4ba769028d3d,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
8aebfbfe-d198-4ca1-b60f-f9ad1acfa2a4,__HAVE_FLOAT16,"0
"
4beb2c85-1eab-4dff-b670-afd06f04ce0d,stderr,"stderr
"
ec9dab80-c030-4285-8529-79c5a8a6a210,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
7204af64-a0fa-4f52-b04c-875cf05a1256,_XOPEN_SOURCE,"700
"
ae44bb50-eef4-4ebb-8291-aaaefcc27734,UINT_LEAST32_WIDTH,"32
"
cc73c98b-e492-43f5-b0bf-2813fc652227,EILSEQ,"84
"
84b89337-4cd0-43f7-a03f-09983f2d484b,ESPIPE,"29
"
5c5bb2d9-513b-43c8-93e9-e44f6ca67de9,INT32_MIN,"(-2147483647-1)
"
5e02f91f-6bdb-4cbd-8bc2-3cfae4aef261,SCNxFAST8,"""hhx""
"
25393ca8-4cd7-43e8-9b13-117e88d6ea49,EPERM,"1
"
5dda28a5-ae73-4841-b23a-caa76abe0859,__OFF_T_MATCHES_OFF64_T,"1
"
fce71f96-a148-49a2-94ae-ba0e63fe4778,EMLINK,"31
"
333302b2-b1b5-4818-86e0-d26fca86811b,UINT_FAST16_WIDTH,"__WORDSIZE
"
ee1204c5-68d8-4ad6-9971-c8ee5d4f56d0,PRIdMAX,__PRI64_PREFIX
459df683-83f1-4546-ba2f-14c999e4002d,__WCHAR_MAX__,"0xffffffffU
"
46fca88c-5f27-480d-87b6-2ffeccab333d,ENOSR,"63
"
9eaf4bab-240b-4981-bc15-b5b219be5111,INT16_MAX,"(32767)
"
7f970716-47f3-4125-a8c2-32d465a0e87a,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
ec59cfb9-04ed-4b73-890e-19d04bc7dcbe,__STATFS_MATCHES_STATFS64,"1
"
b650d152-35aa-44c6-be93-14cd88e69806,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
