id,name,value
5833e34b-7e14-4ddb-89dc-6a9276d5bc70,ESBADFMT,(
2e90da3b-96a6-4f13-a58c-63e8989cf98d,__SSP_STRONG__,"3
"
fe57ed6c-3bc1-4139-94fe-2bf9bd2f5756,__attr_access(x),__attribute__
9de810b0-01af-4ec4-be40-c20278a693f4,__DBL_MIN_EXP__,"(-1021)
"
0c601e47-af59-41e1-b4c4-07dc941d2b6d,__SAFE_MEM_LIB_H__,"
"
643f031b-e754-4c08-9c4d-b2d194e358f4,__LDBL_MANT_DIG__,"113
"
02a40f3a-7b2d-4d0f-a996-fd6b4fddeced,__UINT_LEAST16_MAX__,"0xffff
"
84a7c37b-2399-4097-9ead-5b55a3648944,_STDBOOL_H,"
"
16573108-3c29-4802-ad45-0b2bbb6bc978,__ARM_SIZEOF_WCHAR_T,"4
"
e4d69fd0-01ad-4cfd-a673-2038d25ff921,__DBL_DECIMAL_DIG__,"17
"
db822f0e-340c-4c95-8fcc-b50302df4f00,__ATOMIC_ACQUIRE,"2
"
c338ae01-da3a-48fd-b42e-04c6ebbd0858,__FLT128_MAX_10_EXP__,"4932
"
74856bb5-4831-46ae-b0bf-f399a5d36a40,__off64_t_defined,"
"
f8ac0a51-e248-42b4-9fe5-3646531dc7cd,PRIXFAST64,__PRI64_PREFIX
3529384a-3952-4f11-9771-91e485187c1a,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
17e8da3f-874c-407e-a86a-ee2fd7beeed7,__GCC_IEC_559_COMPLEX,"2
"
dd0716b5-5596-4e02-bc62-2a69f24ccb66,SCNiFAST8,"""hhi""
"
14d3e387-76e8-4bcb-a1d3-ada5b7885cda,__NFDBITS,(8
dbd8cc32-90cf-48be-b999-de038b5dc6f9,__GLIBC_USE(F),__GLIBC_USE_
2fe95d8f-3b0a-4d95-a1e7-bf840d42c0f8,__UINT_LEAST8_TYPE__,unsigned
8c9c5708-e13d-476d-a7c2-b82364fe2318,_T_WCHAR_,"
"
706619c2-a0f0-4e58-80e3-cb4aa839a992,EUNATCH,"49
"
b49d2edc-0d9c-473e-89b3-845434a73223,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
6395b891-cf1b-4b3a-ae86-e37338cba579,SCNuMAX,__PRI64_PREFIX
b3b94fcb-c1c6-4a83-8286-5e8033748a41,INT_LEAST16_MIN,"(-32767-1)
"
d0fbd4ef-c085-4fcb-ba10-b5c8c05b67ff,__CFLOAT64,_Complex
b7782daa-eca4-4662-bc6b-0f33750c2cdd,ENOCSI,"50
"
ed12e746-7b53-4812-9cab-1943b234b1b6,__stub___compat_get_kernel_syms,"
"
084cb285-fffc-40e7-a0c4-174e3e4bb199,__S64_TYPE,long
07759cb0-dbb5-40d9-9363-a3bdf91b58c8,_PRINTF_NAN_LEN_MAX,"4
"
1337917f-a56b-4231-a0c7-deb199567403,__FLT128_DIG__,"33
"
1689cd58-d6bc-4fca-976f-945ab59c492f,__stub_fchflags,"
"
