id,name,value
be589113-204c-4e32-8d40-322bd9d8b8ba,ESBADFMT,(
fcdd5760-c85c-41d8-84cf-1948f5af001d,__SSP_STRONG__,"3
"
e0724987-788c-45aa-853e-a9f370729b04,__attr_access(x),__attribute__
b393e856-2d8f-4e9e-8a18-eb0cb92ac6d4,__DBL_MIN_EXP__,"(-1021)
"
f57b8097-2d44-4a7b-819f-c945e696dd9e,__SAFE_MEM_LIB_H__,"
"
17ed3079-ff14-4c72-a397-3cba3bdb6959,__LDBL_MANT_DIG__,"113
"
dae0cb61-13c0-4302-8c91-5a53843ae9be,__UINT_LEAST16_MAX__,"0xffff
"
bed099f2-34e8-44bd-ba4d-7c6735e2d76c,_STDBOOL_H,"
"
a33e3c9c-ed2e-4b4e-b89b-e7ea12cfb7c6,__ARM_SIZEOF_WCHAR_T,"4
"
95603f62-6718-4dce-834d-be6edaae18e1,__DBL_DECIMAL_DIG__,"17
"
0afc21a6-6679-4bbf-8d5e-48d8bdaaeb43,__ATOMIC_ACQUIRE,"2
"
22a446f7-193d-4c47-bc2b-081be55e0a7a,__FLT128_MAX_10_EXP__,"4932
"
be832b08-44e1-4458-b490-2d0ab7fb4674,__off64_t_defined,"
"
1a3ef223-85af-4065-a3ab-ef1149352c18,PRIXFAST64,__PRI64_PREFIX
6f6fcb6c-fd95-4ba5-ba45-f1df15d8e51e,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
226dac9f-5ac9-4c2d-83a1-74e8e597d222,__GCC_IEC_559_COMPLEX,"2
"
129f5a70-2657-4e83-80b4-53d958ae85e1,SCNiFAST8,"""hhi""
"
62a77cc7-b22b-4561-885d-405e8c2decba,__NFDBITS,(8
3506c36f-1baf-46e6-9962-00c1cbf1e3f9,__GLIBC_USE(F),__GLIBC_USE_
8759898f-2e78-457b-a7f3-5cf006c875d8,__UINT_LEAST8_TYPE__,unsigned
dfa42ea6-7d7f-497e-9a5c-8d9605ed7a1e,_T_WCHAR_,"
"
91c6b5e5-c45c-489a-912b-1f9cc3b22559,EUNATCH,"49
"
b267006d-7cc0-4be4-8be6-4ad6cd634b9e,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
29aac75d-aec0-4ad6-87d4-1c4aa4f90287,SCNuMAX,__PRI64_PREFIX
89c00209-436b-4e57-988c-2b5c117f3749,INT_LEAST16_MIN,"(-32767-1)
"
99b19d4d-0925-4047-9f8e-4e17e1eed6ab,__CFLOAT64,_Complex
85feb006-e1f0-4d1e-98ec-7cca9b011a10,ENOCSI,"50
"
00d88924-429a-4c0e-94a2-7fa706f5deed,__stub___compat_get_kernel_syms,"
"
fbe4e5dc-46c4-47ef-9b07-b84fb410ac45,__S64_TYPE,long
e83c4424-2328-47a2-bcc9-6a299d1455bd,_PRINTF_NAN_LEN_MAX,"4
"
323e5d68-f708-4b3b-86dd-354d8fddb685,__FLT128_DIG__,"33
"
e1c72903-3090-4a38-8ae6-3ce153b22575,__stub_fchflags,"
"
062b8867-5d13-49c2-8a52-de1d103942bc,__SQUAD_TYPE,long
47bdd90e-dea8-4934-9e75-807395b4492f,__INTMAX_C(c),c
76d02461-8b11-4ddd-84b4-993888d347e0,_BITS_FLOATN_COMMON_H,"
"
47bb1e9a-d43c-48da-afd6-9dd65716dd99,__GNU_LIBRARY__,"6
"
6f366076-2de5-470d-8879-dae498be5b9b,__SAFE_STR_CONSTRAINT_H__,"
"
21c5f7e9-8cba-4b00-8358-7f0f720e700e,__CHAR_BIT__,"8
"
f1c77cf8-ae88-414d-839e-087d677ff39e,__FSWORD_T_TYPE,"__SWORD_TYPE
"
ae0b520e-2468-44a8-8123-655a9f30cfe5,EAFNOSUPPORT,"97
"
323b2bcd-9542-4dc2-9c05-caf486645b6b,EREMCHG,"78
"
fa0f042d-3395-463f-ad18-c1b074722ed6,__attribute_pure__,__attribute__
80974f67-409e-4d59-a465-bfbea615fd60,EACCES,"13
"
8491e10c-3d8f-4f40-a6bc-7cecfb2555d7,__UINT8_MAX__,"0xff
"
84e5537f-c327-4ea2-a9e2-9451952cf7ff,WCHAR_MAX,"__WCHAR_MAX
"
e651a4d2-f65a-4623-a26f-be7b3a0f3185,EDESTADDRREQ,"89
"
422a3e46-8f35-41a3-918d-c0d642d2ef75,__feof_unlocked_body(_fp),(((_fp)->_flags
28eb8fb4-b70a-4039-a359-59810e8bc419,__sigset_t_defined,"1
"
78df1dba-7ecb-4d0a-a885-ec54fab5b9cb,__SIZEOF_PTHREAD_ATTR_T,"64
"
3f54ee7c-5bf3-4410-97db-23f9ed6f2c60,INT8_MAX,"(127)
"
4da2fd15-1665-44c7-be6c-d5a698a964ff,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
6f55f4e0-5855-4071-a2bc-a5dfab8b6dc6,__HAVE_FLOAT16,"0
"
9badc146-912a-4b22-95ce-09b466fb12a0,stderr,"stderr
"
f015957e-403a-4cdc-8512-3fcb2955c70e,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
a08e51e4-d315-4e44-9039-e6f3a8d59919,_XOPEN_SOURCE,"700
"
8b81ad4c-c366-4749-871c-35fa83b74295,UINT_LEAST32_WIDTH,"32
"
13ea1099-2162-4a50-91c9-0238f523191d,EILSEQ,"84
"
83f9d68f-744a-46a3-8930-b8d10c22a968,ESPIPE,"29
"
79934a01-c091-4348-a047-27f2029b901b,INT32_MIN,"(-2147483647-1)
"
02a0ea44-ae86-4eb9-af88-0a39db0b5171,SCNxFAST8,"""hhx""
"
f4205e5f-0d05-4a04-9918-faefbe1d0027,EPERM,"1
"
b720dc4d-7bc8-44d5-8df2-cc500514e2f3,__OFF_T_MATCHES_OFF64_T,"1
"
694b7007-942a-4566-bf6b-db43d215c6ff,EMLINK,"31
"
941fde64-0417-4c12-87f0-10bebc63f942,UINT_FAST16_WIDTH,"__WORDSIZE
"
5bab26f3-1b26-45b1-9ca2-d39533f9e822,PRIdMAX,__PRI64_PREFIX
1e05166d-86ff-4818-bdd2-66fdf110a155,__WCHAR_MAX__,"0xffffffffU
"
cb6e65bf-f9f5-4382-871b-330ebf10dae3,ENOSR,"63
"
adf494b4-662a-4e7c-ba5f-4d05f16e3304,INT16_MAX,"(32767)
"
4444ea78-6b08-4566-8445-e9b08152c787,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
91ae71a3-7386-470b-b3b8-c35055736ec3,__STATFS_MATCHES_STATFS64,"1
"
cfb52c14-f31f-4a6d-b931-8f5e822956bd,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
ce3da145-f89b-4102-a8b0-ddef0ba0b7b4,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
71c591af-2613-4625-91a0-90d0f1d2fbde,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
c16c1163-6991-4cd9-8071-e49b2415b1d3,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
d4114ec2-feb2-440b-b891-768434605138,__GCC_IEC_559,"2
"
c85b6706-c5f7-4131-9a4b-2261797aabd8,__LITTLE_ENDIAN,"1234
"
ac92d21b-71c5-4836-a3d8-a5139a660c49,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
